NPC编号	对象类型	名称	模型编号	头像	NPC类型	NPC种类ID	响应范围	选择操作分类	脚本编号	采集范围	采集时特效名	采集后特效名	采集后特效持续时间（毫秒）	刷新时间（ms）	采集动作名	读条时间(ms)	采集类型	参数1	参数2	回收	掉落	采集地点	最多可采集次数	体力	工具限制（不填写表示没有限制）	多人同时采集（填1允许）	AI编辑包	鼠标形状
GatherClone021003	MineNpc	蝴蝶泪	npc\itemnpc014	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	3016	0		TaskItemClone_021004		20					
GatherClone021004	MineNpc	破损的火器图纸	npc\fbmac021066	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	3020	0		TaskItemClone_021005		20					
GatherClone021005	MineNpc	白色旗	npc\itemnpc516	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	7006	0		TaskItemClone_021006		20					
GatherClone021006	MineNpc	红色旗	npc\itemnpc515	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	7006	0		TaskItemClone_021007		20					
GatherClone015001	MineNpc	竹笋	npc\cj_040011	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				30000	interact041	3000	1	2715	0		TaskItemClone_015007		1					
GatherClone015002	MineNpc	蝴蝶	npc\worldnpc1108	icon\funcnpc\task.png	153	1	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	2718	0		TaskItemClone_015011		1					
GatherClone015003	MineNpc	埋着东西的土堆	npc\cj_040101	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				30000	interact041	3000	1	6402	0		TaskItemClone_015013		1					
GatherClone015004	MineNpc	稻子	npc\cj_040051	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				30000	interact041	3000	1	6406	0		TaskItemClone_015014		1					
GatherClone015005	MineNpc	红果	npc\cj_ts0002b	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				30000	interact041	3000	1	6406	0		TaskItemClone_015015		1					
GatherClone015006	MineNpc	汾酒	npc\fbmac015036	icon\funcnpc\itemnpc001.png	153	3	2	2	npc\gather_npc.lua	3				30000	interact041	3000	1	6408	0		TaskItemClone_015018		1					
	//测试用																											
Gather10860	MineNpc	秘籍	npc\itemnpc053	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				-1	interact041	3000	1	10860	4		ng_book_jh_501		1					
																												
	//销魂洞																											
BoxClone019001	MineNpc	五毒鼎包裹	npc\fbmac009005_fb		153	3	2	2	npc\gather_npc.lua	3				-1	interact041	3000	4				XxdBox001		99					9
BoxClone019002	MineNpc	毒蛇杖包裹	npc\fbmac009005_fb		153	3	2	2	npc\gather_npc.lua	3				-1	interact041	3000	4				JLchushiBoss004		99					9
BoxClone019005	MineNpc	冰晶石	npc\fbmac009005_fb		153	3	2	2	npc\gather_npc.lua	3				-1	interact041	3000	4				JLchushiMon003		99					9
BoxClone019007	MineNpc	火纹石	npc\fbmac009005_fb		153	3	2	2	npc\gather_npc.lua	3				-1	interact041	3000	4				JLchushiMon002		99					9
BoxClone019018	MineNpc	鹰眼石	npc\cj_102021		153	3	2	2	npc\gather_npc.lua	3				-1	interact041	3000	4				XxdBox004		99					9
																												
																												
																												
																												
																												
																												
GatherClone013001	MineNpc		npc\itemnpc005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	2609	0		TaskItemClone_013005		1					
GatherClone013002	MineNpc		npc\itemnpc011	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				60000	interact041	3000	1	6206	0		TaskItemClone_013008		1					
GatherClone013003	MineNpc		npc\cj_160001	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				60000	interact041	3000	1	6203	0		TaskItemClone_013009		1					
GatherClone013004	MineNpc		npc\cj_160150	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				60000	interact041	3000	1	6203	0		TaskItemClone_013010		1					
																												
	//恩仇测试																											
GatherClone022001	MineNpc	大钟	npc\fbmac005010	icon\funcnpc\itemnpc032.png	153	3	5	2	npc\gather_npc.lua	4				100	interact041	3000	1	11901	1		qiyubao0001		99					
GatherClone022002	MineNpc	树下宝箱	npc\itemnpc005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	11906	1		qiyubao0006		99					
GatherClone022003	MineNpc	石马下宝箱	npc\itemnpc005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	11907	1		qiyubao0007		99					
GatherClone022004	MineNpc	宝箱	npc\itemnpc005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	11908	2		qiyubao0008		99					
GatherClone022005	MineNpc	毒池宝箱	npc\itemnpc005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	10000	1	11911	1		qiyubao0011		99					
GatherClone022006	MineNpc	账本	npc\itemnpc460	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	11913			key_cjshow_29		1					
																												
																												
GatherClone005004	MineNpc	木柴	npc\itemnpc038	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	5402	0		TaskItemClone005022		1					
GatherClone005005	MineNpc	特殊草药	npc\itemnpc054	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	5407	0		TaskItemClone005027		1					
GatherClone005006	MineNpc	石头	npc\itemnpc052	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	5408	0		TaskItemClone005028		1					
																												
GatherClone003001	MineNpc	野生草药	npc\itemnpc054	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	5206	0		TaskItemClone_003005		1					
GatherClone003002	MineNpc	鱼群	npc\cj_101009	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	offact048	3000	1	5203	0		TaskItemClone_003006		99			1		
GatherClone003003	MineNpc	黑铁盒	npc\itemnpc591	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	5222	0		TaskItemClone_003009		1			1		
																												
GatherClone001011	MineNpc	破烂的衣服	npc\itemnpc135	icon\funcnpc\itemnpc059.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	5005	0		TaskItemClone_001036		1					
GatherClone001012	MineNpc	金佛草	npc\cj_040004	icon\funcnpc\cj_150001.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	5010	0		TaskItemClone_001030		1					
GatherClone001013	MineNpc	机关进	npc\fbmac013002	icon\funcnpc\fbmac013002.png	153	3	2	2	npc\gather_npc.lua	3				1000	interact041	2000	1	5005	0				1					
GatherClone001014	MineNpc	机关出	npc\fbmac013002	icon\funcnpc\fbmac013002.png	153	3	2	2	npc\gather_npc.lua	3				1000	interact041	2000	1	5005	0				1					
GatherClone001015	MineNpc	酒缸	npc\fbmac002018	icon\funcnpc\fbmac002018.png	153	3	2	2	npc\gather_npc.lua	3				1000	interact173	2000	1	5008	0				1					
Gather_qy_qdz001	MineNpc	草药	npc\itemnpc054	icon\funcnpc\cj_150001.png	153	3	2	2	npc\gather_npc.lua	3				1000	interact173	2000	1	10210	-1		key_qy_qiandengzhen0028		1					
Gather_qy_qdz002	MineNpc	茶叶	npc\itemnpc487	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				1000	interact173	2000	1	10210	-1		key_qy_qiandengzhen0034		1					
																												
GatherClone01101	MineNpc	酒	npc\itemnpc001	icon\funcnpc\fbmac002018.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	6002	1		TaskItemClone_011007		1					
																												
	//恩仇极乐谷																											
Gather_qy_jilegu002	MineNpc	极乐谷武器箱	npc\fbmac00040	icon\funcnpc\fbmac00040.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	18001	0		key_qy_jilegu002_dao		99					
Gather_qy_sz_01	MineNpc	带血手帕	npc\itemnpc160	icon\funcnpc\prop291.png	153	3	2	2	npc\gather_npc.lua	3				-1	interact017	2000	1	11946	0		key_qy_suzhou_daixueshoupa		1					
qy_111030_jilegu_shenmihezi	MineNpc	盒子	npc\itemboxnpc001	icon\prop\prop625.png	153	3	2	2	npc\gather_npc.lua	2				4000	interact017	2000	1	18017	1		key_111030_jilegu_jinhe		99					
Gather_qy_jmy004_xiang	MineNpc	神秘的雕像	npc\itemnpc656	icon\monster\monster137.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	10902	0		key_qy_jmy004_xiang		99					
Gather_qy_yanjing_sfdt	MineNpc	   	npc\itemnpc649	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact041	2000	1	18001	0		key_yanjing_dsk		99					
qy_111205_jzt_fodingbaoxiang	MineNpc	宝箱	npc\itemboxnpc003	icon\prop\prop630.png	153	3	2	2	npc\gather_npc.lua	2				4000	interact017	2000	1	17841	1		key_111205_jzt_baoyu01		99					
Gather_qy_jmy004_xiang2	MineNpc	神秘的雕像	npc\itemnpc656	icon\monster\monster137.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	10904	0		key_qy_jmy004_xiang		99					
																												
Gather_qy_chengdu001	MineNpc	猓莉	npc\itemnpc054		153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	14001	0		key_qy_chengdu003		6					
																												
	//鸡鸣驿奇遇																											
