	ini注释名称	副本分组场景刷新属性包	对象类型	Npc类型	实力包编号	AI类型	表现AI包编号	是否转身	模型编号	模型半径	图片	材质类型	脚本编号	级别	怪物强度	跑步速度	修为经验	掉落	技能表	主动被动	响应范围	走路速度	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	鼠标形状	模型缩放	武器名称	武器持握方式	武器类型	出生状态	随机动作	刷新时间	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	进入切磋前对话	结束切磋后对话	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	能否移动	是否停止AI	攻击防御比重	"战斗频率,毫秒"	使用锁定技能概率	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	AI编辑包	直接触发	格挡方式(-1表示不格挡)	存在时间	防御概率	连招表	播放的动作名	npc等待时间	只关心距离脱离战斗	使用轻功	穿云纵速度	是否可以战斗
macclone001507	白虎链柱		AttackNpc	2	89		0		npc\fbmac00031	2	icon\funcnpc\fbmac00031.png			55	2	0.1				1	0.1	0.1	1	2	1	2	2		0	0										-1	4																		1	1	0	1	1										0.01					-1									
npc_qy_clone001021	吕弑华		AttackNpc	3	64	1	1		npc\fbboss00010	0.989951	icon\monster\fbfunnpc00005.png			53	3	7				0	5	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0										8021			8000-8007		8013	funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0				1	-1									
																																																																																							
npcclone001002	庄丁		AttackNpc	2	52	1	1		npc\fbnpc00001	0.858898	icon\monster\fbnpc00001.png			56	2	5			"clone001_xg_jialiliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0													8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001003	庄丁		AttackNpc	2	52	1	1		npc\fbnpc00001	0.858898	icon\monster\fbnpc00001.png			56	2	5			"clone001_xg_liliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0													8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001004	庄丁		AttackNpc	2	52	1	1		npc\fbnpc00001	0.858898	icon\monster\fbnpc00001.png			56	2	5			"clone001_xg_liliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0													8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001005	庄丁		AttackNpc	2	52	1	1		npc\fbnpc00001	0.858898	icon\monster\fbnpc00001.png			56	2	5			"clone001_xg_jialiliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0													8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001006	庄丁		AttackNpc	2	52	1	1		npc\fbnpc00001	0.858898	icon\monster\fbnpc00001.png			56	2	5			"clone001_xg_jialiliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0													8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001026	星位水中守卫		PlayActNpc	202	60	1	1		npc\fbnpc00006	0.864603	icon\monster\fbnpc00006.png		npc\monster\PlayActNpc.lua	56	2	5			"clone001_xg_fanwei1,1,50;clone001_xg_fanwei1,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0											8003-8007		8007-8009			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001019	五行门卫		AttackNpc	2	12	1	1		npc\monster105	1.091011	icon\monster\monster105.png			55	2	5			"clone001_xg_jiafangyu,1,50;clone001_xg_jialiliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0					lsp_r_npcitem060	lspear1_1	33	lsp_fi_stand_1		-1	0											8006		8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001007cj	水中守卫		PlayActNpc	202	52	1	1		npc\fbnpc00006	0.864603	icon\monster\fbnpc00006.png		npc\monster\PlayActNpc.lua	55	2	5				1	12	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0											8005		8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001027	庄丁(远程)		AttackNpc	2	58	1	1		npc\fbnpc00001	0.858898	icon\monster\fbnpc00001.png			55	2	5			"clone001_xg_liliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0											8008		8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001032	近战6		AttackNpc	2	52	1	1		npc\fbnpc00001	0.858898	icon\monster\fbnpc00001.png			55	2	5			"clone001_xg_liliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0											8002-8010					funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001037	远程		AttackNpc	2	58	1	1		npc\monster058	0.857726	icon\monster\monster058.png			55	2	5			"clone001_xg_jialiliang,1,50;clone001_xg_liliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0						hand1_2	0			-1	0										"801,280,158,022"	8002				8000-8014	funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001043	巡逻3		AttackNpc	2	58	1	1		npc\fbnpc00001	0.858898	icon\monster\fbnpc00001.png			55	2	5			"clone001_xg_yuancheng1,1,50;clone001_xg_jiansu,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	1										-1	0																funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001044	巡逻4(没用到)		AttackNpc	2	58	1	1		npc\fbnpc00001	0.858898	icon\monster\fbnpc00001.png			55	2	5			"clone001_xg_yuancheng1,1,50;clone001_xg_jiansu,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	1										-1	0																funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001045	巡逻5		AttackNpc	2	58	1	1		npc\monster043	0.928146	icon\monster\monster110.png			55	2	5			"clone001_xg_yuancheng1,1,50;clone001_xg_jiansu,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	1										-1	0											8009		8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001047	巡逻6		AttackNpc	2	58	1	1		npc\fbnpc00001	0.858898	icon\monster\fbnpc00001.png			55	2	5			"clone001_xg_yuancheng1,1,50;clone001_xg_jiansu,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	1										-1	0											8007		8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001048	巡逻7		AttackNpc	2	58	1	1		npc\monster043	0.928146	icon\monster\monster110.png			55	2	5			"clone001_xg_yuancheng1,1,50;clone001_xg_jiansu,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	1										-1	0											8009		8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001049	巡逻8(没用到)		AttackNpc	2	58	1	1		npc\monster110	0.90642	icon\monster\monster110.png			55	2	5			"clone001_xg_yuancheng1,1,50;clone001_xg_jiansu,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	1										-1	0											8009		8000-8007			funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001046	近战5		AttackNpc	2	58	1	1		npc\monster132	0.907274	icon\monster\monster132.png			54	2	5			"clone001_xg_fanwei1,1,50;clone001_xg_liaoshang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0						hand1_1	0			-1	0										8007-8015	8002-8010				8000-8014	funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001028	远程1		AttackNpc	2	58	1	1		npc\monster134	0.879219	icon\monster\monster134.png			55	2	5			"clone001_xg_fanwei1,1,50;clone001_xg_liaoshang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0										8007-8015	8002-8010				8000-8014	funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001015	近战3		AttackNpc	2	58	1	1		npc\monster036	1.030654	icon\monster\monster036.png			53	2	5			"clone001_xg_jialiliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	0										-1	0										8000-8006					8000-8014	funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001050	巡逻9(没用到)		AttackNpc	2	58	1	1		npc\monster110	0.90642	icon\monster\monster110.png			53	2	5			"clone001_xg_jiafangyu,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	1										-1	0										"801,280,158,022"	8002				8000-8014	funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001051	巡逻10(没用到)		AttackNpc	2	58	1	1		npc\monster114	0.930587	icon\monster\monster114.png			53	2	5			"clone001_xg_jialiliang,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	1										-1	0										"801,280,158,022"	8002				8000-8014	funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001041	巡逻1		AttackNpc	2	58	1	1		npc\petm_c_1501	#N/A	icon\monster\monster009.png			53	2	5			"clone001_xg_liuxue,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	1										-1	0																funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001042	巡逻2(没用到)		AttackNpc	2	58	1	1		npc\petm_c_1501	#N/A	icon\monster\monster009.png			53	2	5			"clone001_xg_liuxue,1,50"	1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	1										-1	0																funnpcclone001001	npcclone001026;npcclone001010;npcclone001011;npcclone001017;npcclone001019;npcclone001007;npcclone001027;npcclone001032;npcclone001033;npcclone001043;npcclone001044;npcclone001045;npcclone001047;npcclone001048;npcclone001049;npcclone001009;npcclone001046;npcclone001028;npcclone001029;npcclone001030;npcclone001031;npcclone001034;npcclone001035;npcclone001036;npcclone001037;npcclone001038;npcclone001039;npcclone001040;npcclone001014;npcclone001015;npcclone001050;npcclone001051;npcclone001013;npcclone001041;npcclone001042	0	0	0				1500	20	1000		5	1			0					-1									
npcclone001100	入口强盗		AttackNpc	2	1	1	1		npc\monster124	0.96475	icon\monster\monster124.png			53	1	5				1	10	1.5	0	2	1500	60	1800	npc_foundplayer	0	20						hand1_1	0	stand		-1	1																npcclone001102		0	0	0				1500	20	1000		5	1			0					-1									
