NPC编号	ini注释名称	对象类型	副本分组场景刷新属性包	实力包编号	AI类型	表现AI包编号	NPC类型	是否转身	模型编号	模型半径	图片	材质类型	脚本编号	级别	怪物强度	跑步速度	修为经验	掉落	掉落数量	技能表	主动被动	响应范围	走路速度	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	缩放	武器名称	武器持握方式	武器类型	出生状态	随机动作	刷新时间	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	进入切磋前对话	结束切磋后对话	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	碰撞时对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	不能移动	攻击防御比重	防御概率	"战斗频率,毫秒"	使用锁定技能概率	锁定技能间隔	召唤类型	召唤ID	召唤半径	表演概率	表演时间	"追击范围,米"	只关心距离脱离战斗	附加随机能力编号	普通攻击	势力归属	势力关系表	AI编辑包	直接触发	接任务表	交任务表	善恶参数	时间轴	格挡方式(-1表示不格挡)	破防几率	破防使用技能	格挡CD	使用轻功	轻功使用概率(默认为0)	脱战回血	连招表	加载蓝条	黑幕对话	不会反击	动作集	无受击动作（1不播放）	上半身受击动作（1不播放）	NPC优先显示	动态图标	商店ID	天气包	是否可见	动态副本积分	动态buff包	动态技能包	动态副本限制套路标志	伤害判定奖励类BOSS类型	追击高度差	竞拍掉落	团队显示道具
bossclone001017	西门煜（低）	BossNpc		537	7	1	340		npc\fbfunnpc00002	0.899143	icon\monster\fbfunnpc00002.png			49	4	5			6	"clone001_ximenyu_01,1,0;clone001_ximenyu_02,1,0;clone001_ximenyu_03,1,0;clone001_ximenyu_wxf,1,0;clone001_ximenyu_lhmy1,1,0;clone001_ximenyu_lhmy2,1,0;clone001_ximenyu_lhmy,1,0;clone001_ximenyu_hyz,1,0;clone001_ximenyu_qsq1,1,0;clone001_ximenyu_qsq,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		10				1			1001		4488	1			2	1069	5			20									1	1													
bossclone001013	马鞭（低）	BossNpc		536	7	1	340		npc\monster261	0.912081	icon\monster\monster261.png			50	4	5			6	"clone001_mabian_01,1,0;clone001_mabian_02,1,0;clone001_mabian_03,1,0;clone001_mabian_hhjs,1,0;clone001_mabian_fjcy,1,0;clone001_mabian_lhfmsg,1,0"	0	15	1.5	1	2	3600	300	7200								hand1_1				-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		5				1			1001		4489	1			2	1069	5			20									1	1													
bossclone001006	麻蜂（低）	BossNpc		538	7	1	340		npc\fbboss00006	0.908137	icon\monster\fbboss00006.png			51	4	5			6	"clone001_mafeng_01,1,0;clone001_mafeng_02,1,0;clone001_mafeng_03,1,0;clone001_jghtsg,1,0;clone001_mafeng_yhj,1,0;clone001_mafeng_yhz,1,0;clone001_mafeng_ahj,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		10				1			1001		4490	1			2	1069	5			20									1	1													
bossclone001011	海其阔（低）	BossNpc		537	7	1	340		npc\fbboss00011	0.908137	icon\monster\fbboss00011.png			51	4	5				"clone001_haiqikuo_01,1,0;clone001_haiqikuo_02,1,0;clone001_haiqikuo_03,1,0;clone001_haiqikuo_xsd,1,0;clone001_haiqikuo_dsy,1,0;clone001_haiqikuo_kfxlg,1,0;clone001_haiqikuo_shishen,1,0;clone001_haiqikuo_sxrgs,1,0;clone001_haiqikuo_pmpmj,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001002;bossclone001008;bossclone001007;bossclone001005;bossclone001018	0	0	0		100	-1	2000	20	1000	1		18				1			1001		4487	1			2	1069	5			20									1	1													
bossclone001007	高涛（低）	BossNpc		537	7	1	340		npc\fbboss00007	0.908137	icon\monster\fbboss00007.png			51	4	5				"clone001_gaotao_xtqg,1,0;clone001_gaotao_lxbrg,1,0;clone001_gaotao_brh,1,0;clone001_gaotao_jzz,1,0;clone001_gaotao_01,1,0;clone001_gaotao_02,1,0;clone001_gaotao_03,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001008;bossclone001005;bossclone001018	0	0	0		50	-1	2000	20	1000	1		18				1			1001		4499	1			2	1069	5			20									1	1													
bossclone001008	古淞（低）	BossNpc		537	7	1	340		npc\fbboss00008	0.908137	icon\monster\fbboss00008.png			51	4	6				"clone001_gusong_01,1,0;clone001_gusong_02,1,0;clone001_gusong_03,1,0;clone001_xxr,1,0;clone001_gusong_qmscd,1,0;clone001_gusong_chgr,1,0;clone001_gusong_nshy,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001007;bossclone001005;bossclone001018	0	0	0		30	-1	2000	20	1000	1		20				1			1001		4495	1			2	1069	5			20									1	1													
bossclone001005	毛战（低）	BossNpc		537	7	1	340		npc\fbboss00005	0.908137	icon\monster\fbboss00005.png			51	4	8				"clone001_maozhan_yjck,1,0;clone001_maozhan_jdmz,1,0;clone001_maozhan_01,1,0;clone001_maozhan_02,1,0;clone001_maozhan_03,1,0;clone001_maozhan_lhtzg,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001008;bossclone001007;bossclone001018	0	0	0		100	-1	2000	20	1000	1		12				1			1001		4511	1			2	1069	5			20									1	1													
bossclone001018	柳箐箐（低）	BossNpc		88	7	1	340		npc\fbfunnpc00004	0.846766	icon\monster\fbfunnpc00004.png		npc\clone\clone001\bossclone001018.lua	52	4	5				"clone001_liuqingqing_frjz,1,0;clone001_liuqingqing_01,1,0;clone001_liuqingqing_02,1,0;clone001_liuqingqing_03,1,0;clone001_liuqingqing_qm,1,0;clone001_liuqingqing_qcyz,1,0;clone001_liuqingqing_zhy,1,0;clone001_kuangbao,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001008;bossclone001007;bossclone001005	0	0	0		50	-1	2000	20	1000	1		90				1			1001		208	1			2		5			20									1	1													
bossclone001002	穆道人（低）	BossNpc		94	7	1	340		npc\fbboss00002	0.951906	icon\monster\fbboss00002.png		npc\clone\clone001\bossclone001002.lua	53	4	7				"clone001_mudaoren_bmsg,1,0;clone001_mudaoren_hgdf,1,0;clone001_mudaoren_ljfs,1,0;clone001_nhg,1,0;clone001_pxcyz,1,0;clone001_mudaoren_01,1,0;clone001_mudaoren_02,1,0;clone001_mudaoren_03,1,0;clone001_mudaoren_04,1,0;clone001_mudaoren_05,1,0;clone001_mudaoren_06,1,0;clone001_mudaoren_07,1,0;clone001_kuangbao,1,0"	0	15	1.5	1	2	3600	300	7200								sword1_1				-1					2													funnpcclone001001	bossclone001011;bossclone001008;bossclone001007;bossclone001005;bossclone001018	0	0	0		90	-1	2000	20	1000	1		35				1			1001			1			2		5			20									1	1													
bossclone001201	吕尸华（中）	BossNpc			7	1	3		npc\itemnpc1088	1				1	9	0					0	1	0	1	2	1	1	1						"4.5,4.5,4.5"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4494				2		5			20			4				1		1	1													
bossclone001202	汤野（中）	BossNpc			7	1	3		npc\itemnpc1323	1				1	9	0					0	1	0	1	2	1	1	1						"6,6,6"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4492				2		5			20			4				1		1	1													
bossclone001203	杜铁芯（中）	BossNpc			7	1	3		npc\itemnpc630	1				1	9	0					0	1	0	1	2	1	1	1												-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4493				2		5			20			4				1		1	1													
bossclone001204	龙孟（中）	BossNpc			7	1	3		npc\itemnpc057m	1				1	9	0					0	1	0	1	2	1	1	1						"2,2,2"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4486				2		5			20			4				1		1	1													
bossclone001205	狗郎君（中）	BossNpc			7	1	3		npc\itemnpc057_huo	1				1	9	0					0	1	0	1	2	1	1	1						"5,5,5"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4491				2		5			20			4				1		1	1													
bossclone001206	南霸天（中）	BossNpc		539	7	1	340		npc\monster190	0.925	icon\monster\monster190.png			57	4	5			8	"clone001_dinggan_01_B,1,0;clone001_dinggan_02_B,1,0;clone001_dinggan_03_B,1,0;clone001_dinggan_xff_B,1,0;clone001_dinggan_gcj_B,1,0;clone001_dinggan_clmzd_B,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		5				1			1001		4485	1			2	1069	5			20									1	1													
bossclone001207	西门煜（中）	BossNpc		540	7	1	340		npc\fbfunnpc00002	0.899143	icon\monster\fbfunnpc00002.png			57	4	5			8	"clone001_ximenyu_01_B,1,0;clone001_ximenyu_02_B,1,0;clone001_ximenyu_03_B,1,0;clone001_ximenyu_wxf_B,1,0;clone001_ximenyu_lhmy_B,1,0;clone001_ximenyu_hyz_B,1,0;clone001_ximenyu_qsq1_B,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		10				1			1001		4488	1			2	1069	5			20									1	1													
bossclone001208	马鞭（中）	BossNpc		539	7	1	340		npc\monster261	0.912081	icon\monster\monster261.png			58	4	5			8	"clone001_mabian_01_B,1,0;clone001_mabian_02_B,1,0;clone001_mabian_03_B,1,0;clone001_mabian_hhjs_B,1,0;clone001_mabian_fjcy_B,1,0;clone001_mabian_lhfmsg_B,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		5				1			1001		4489	1			2	1069	5			20									1	1													
bossclone001209	麻蜂（中）	BossNpc		541	7	1	340		npc\fbboss00006	0.908137	icon\monster\fbboss00006.png			59	4	5			8	"clone001_mafeng_01_B,1,0;clone001_mafeng_02_B,1,0;clone001_mafeng_03_B,1,0;clone001_jghtsg_B,1,0;clone001_mafeng_yhj_B,1,0;clone001_mafeng_yhz_B,1,0;clone001_mafeng_ahj_B,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		10				1			1001		4490	1			2	1069	5			20									1	1													
bossclone001210	海其阔（中）	BossNpc		540	7	1	340		npc\fbboss00011	0.908137	icon\monster\fbboss00011.png			59	4	5			8	"clone001_haiqikuo_01_B,1,0;clone001_haiqikuo_02_B,1,0;clone001_haiqikuo_03_B,1,0;clone001_haiqikuo_xsd_B,1,0;clone001_haiqikuo_dsy_B,1,0;clone001_haiqikuo_kfxlg_B,1,0;clone001_haiqikuo_shishen_B,1,0;clone001_haiqikuo_sxrgs_B,1,0;clone001_haiqikuo_pmpmj_B,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001002;bossclone001008;bossclone001007;bossclone001005;bossclone001018	0	0	0		100	-1	2000	20	1000	1		18				1			1001		4487	1			2	1069	5			20									1	1													
bossclone001211	高涛（中）	BossNpc		540	7	1	340		npc\fbboss00007	0.908137	icon\monster\fbboss00007.png			59	4	5			8	"clone001_gaotao_xtqg_B,1,0;clone001_gaotao_lxbrg_B,1,0;clone001_gaotao_brh_B,1,0;clone001_gaotao_jzz_B,1,0;clone001_gaotao_01_B,1,0;clone001_gaotao_02_B,1,0;clone001_gaotao_03_B,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001008;bossclone001005;bossclone001018	0	0	0		50	-1	2000	20	1000	1		18				1			1001		4499	1			2	1069	5			20									1	1													
bossclone001212	古淞（中）	BossNpc		540	7	1	340		npc\fbboss00008	0.908137	icon\monster\fbboss00008.png			59	4	6			8	"clone001_gusong_01_B,1,0;clone001_gusong_02_B,1,0;clone001_gusong_03_B,1,0;clone001_xxr_B,1,0;clone001_gusong_qmscd_B,1,0;clone001_gusong_chgr_B,1,0;clone001_gusong_nshy_B,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001007;bossclone001005;bossclone001018	0	0	0		30	-1	2000	20	1000	1		20				1			1001		4495	1			2	1069	5			20									1	1													
bossclone001213	毛战（中）	BossNpc		540	7	1	340		npc\fbboss00005	0.908137	icon\monster\fbboss00005.png			59	4	8			8	"clone001_maozhan_yjck_B,1,0;clone001_maozhan_jdmz_B,1,0;clone001_maozhan_01_B,1,0;clone001_maozhan_02_B,1,0;clone001_maozhan_03_B,1,0;clone001_maozhan_lhtzg_B,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001008;bossclone001007;bossclone001018	0	0	0		100	-1	2000	20	1000	1		12				1			1001		4511	1			2	1069	5			20									1	1													
bossclone001214	柳箐箐（中）	BossNpc		542	7	1	340		npc\fbfunnpc00004	0.846766	icon\monster\fbfunnpc00004.png		npc\clone\clone001\bossclone001018.lua	60	4	5				"clone001_liuqingqing_frjz_B,1,0;clone001_liuqingqing_01_B,1,0;clone001_liuqingqing_02_B,1,0;clone001_liuqingqing_03_B,1,0;clone001_liuqingqing_qm_B,1,0;clone001_liuqingqing_qcyz_B,1,0;clone001_liuqingqing_zhy_B,1,0;clone001_kuangbao_B,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001008;bossclone001007;bossclone001005	0	0	0		50	-1	2000	20	1000	1		90				1			1001		208	1			2		5			20									1	1													
bossclone001215	穆道人（中）	BossNpc		543	7	1	340		npc\fbboss00002	0.951906	icon\monster\fbboss00002.png		npc\clone\clone001\bossclone001002.lua	61	4	7				"clone001_mudaoren_bmsg_B,1,0;clone001_mudaoren_hgdf_B,1,0;clone001_mudaoren_ljfs_B,1,0;clone001_nhg_B,1,0;clone001_pxcyz_B,1,0;clone001_mudaoren_01_B,1,0;clone001_mudaoren_02_B,1,0;clone001_mudaoren_03_B,1,0;clone001_mudaoren_04_B,1,0;clone001_mudaoren_05_B,1,0;clone001_mudaoren_06_B,1,0;clone001_mudaoren_07_B,1,0;clone001_kuangbao_B,1,0"	0	15	1.5	1	2	3600	300	7200								sword1_1				-1					2													funnpcclone001001	bossclone001011;bossclone001008;bossclone001007;bossclone001005;bossclone001018	0	0	0		90	-1	2000	20	1000	1		35				1			1001		249	1			2		5			20									1	1													
bossclone001301	吕尸华（高）	BossNpc			7	1	3		npc\itemnpc1088	1				63	9	0					0	1	0	1	2	1	1	1						"4.5,4.5,4.5"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4494				2		5			20			4				1		1	1													
bossclone001302	汤野（高）	BossNpc			7	1	3		npc\itemnpc1323	1				63	9	0					0	1	0	1	2	1	1	1						"6,6,6"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4492				2		5			20			4				1		1	1													
bossclone001303	杜铁芯（高）	BossNpc			7	1	3		npc\itemnpc630	1				63	9	0					0	1	0	1	2	1	1	1												-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4493				2		5			20			4				1		1	1													
bossclone001304	龙孟（高）	BossNpc			7	1	3		npc\itemnpc057m	1				63	9	0					0	1	0	1	2	1	1	1						"2,2,2"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4486				2		5			20			4				1		1	1													
bossclone001305	狗郎君（高）	BossNpc			7	1	3		npc\itemnpc057_huo	1				63	9	0					0	1	0	1	2	1	1	1						"5,5,5"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4491				2		5			20			4				1		1	1													
bossclone001306	南霸天（高）	BossNpc	259	539	7	1	340		npc\monster190	0.925	icon\monster\monster190.png			63	4	5			8	"clone001_dinggan_01_C,1,0;clone001_dinggan_02_C,1,0;clone001_dinggan_03_C,1,0;clone001_dinggan_xff_C,1,0;clone001_dinggan_gcj_C,1,0;clone001_dinggan_clmzd_C,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		5				1			1001		4485	1			2	1069	5			20									1	1													
bossclone001307	西门煜（高）	BossNpc	260	540	7	1	340		npc\fbfunnpc00002	0.899143	icon\monster\fbfunnpc00002.png			63	4	5			8	"clone001_ximenyu_01_C,1,0;clone001_ximenyu_02_C,1,0;clone001_ximenyu_03_C,1,0;clone001_ximenyu_wxf_C,1,0;clone001_ximenyu_lhmy1_C,1,0;clone001_ximenyu_lhmy2_C,1,0;clone001_ximenyu_lhmy3_C,1,0;clone001_ximenyu_hyz_C,1,0;clone001_ximenyu_qsq1_C,1,0;clone001_ximenyu_qsq_C,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		10				1			1001		4488	1			2	1069	5			20									1	1													
bossclone001308	马鞭（高）	BossNpc	261	539	7	1	340		npc\monster261	0.912081	icon\monster\monster261.png			64	4	5			8	"clone001_mabian_01_C,1,0;clone001_mabian_02_C,1,0;clone001_mabian_03_C,1,0;clone001_mabian_hhjs_C,1,0;clone001_mabian_fjcy_C,1,0;clone001_mabian_lhfmsg_C,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		5				1			1001		4489	1			2	1069	5			20									1	1													
bossclone001309	麻蜂（高）	BossNpc	262	541	7	1	340		npc\fbboss00006	0.908137	icon\monster\fbboss00006.png			65	4	5			8	"clone001_mafeng_01_C,1,0;clone001_mafeng_02_C,1,0;clone001_mafeng_03_C,1,0;clone001_jghtsg_C,1,0;clone001_mafeng_yhj_C,1,0;clone001_mafeng_yhz_C,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		10				1			1001		4490	1			2	1069	5			20									1	1													
bossclone001310	海其阔（高）	BossNpc	263	540	7	1	340		npc\fbboss00011	0.908137	icon\monster\fbboss00011.png			65	4	5			8	"clone001_haiqikuo_01_C,1,0;clone001_haiqikuo_02_C,1,0;clone001_haiqikuo_03_C,1,0;clone001_haiqikuo_xsd_C,1,0;clone001_haiqikuo_dsy_C,1,0;clone001_haiqikuo_kfxlg_C,1,0;clone001_haiqikuo_shishen_C,1,0;clone001_haiqikuo_sxrgs_C,1,0;clone001_haiqikuo_pmpmj_C,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001002;bossclone001008;bossclone001007;bossclone001005;bossclone001018	0	0	0		100	-1	2000	20	1000	1		18				1			1001		4487	1			2	1069	5			20									1	1													
bossclone001311	高涛（高）	BossNpc	264	540	7	1	340		npc\fbboss00007	0.908137	icon\monster\fbboss00007.png			65	4	5			8	"clone001_gaotao_xtqg_C,1,0;clone001_gaotao_lxbrg_C,1,0;clone001_gaotao_brh_C,1,0;clone001_gaotao_jzz_C,1,0;clone001_gaotao_01_C,1,0;clone001_gaotao_02_C,1,0;clone001_gaotao_03_C,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001008;bossclone001005;bossclone001018	0	0	0		50	-1	2000	20	1000	1		18				1			1001		4499	1			2	1069	5			20									1	1													
bossclone001312	古淞（高）	BossNpc	265	540	7	1	340		npc\fbboss00008	0.908137	icon\monster\fbboss00008.png			65	4	6			8	"clone001_gusong_01_C,1,0;clone001_gusong_02_C,1,0;clone001_gusong_03_C,1,0;clone001_xxr_C,1,0;clone001_gusong_qmscd_C,1,0;clone001_gusong_chgr_C,1,0;clone001_gusong_nshy_C,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001007;bossclone001005;bossclone001018	0	0	0		30	-1	2000	20	1000	1		20				1			1001		4495	1			2	1069	5			20									1	1													
bossclone001313	毛战（高）	BossNpc	266	540	7	1	340		npc\fbboss00005	0.908137	icon\monster\fbboss00005.png			65	4	8			8	"clone001_maozhan_yjck_C,1,0;clone001_maozhan_jdmz_C,1,0;clone001_maozhan_01_C,1,0;clone001_maozhan_02_C,1,0;clone001_maozhan_03_C,1,0;clone001_maozhan_lhtzg_C,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001008;bossclone001007;bossclone001018	0	0	0		100	-1	2000	20	1000	1		12				1			1001		4511	1			2	1069	5			20									1	1													
bossclone001314	柳箐箐（高）	BossNpc	267	542	7	1	340		npc\fbfunnpc00004	0.846766	icon\monster\fbfunnpc00004.png		npc\clone\clone001\bossclone001018.lua	66	4	5			10	"clone001_liuqingqing_frjz_C,1,0;clone001_liuqingqing_01_C,1,0;clone001_liuqingqing_02_C,1,0;clone001_liuqingqing_03_C,1,0;clone001_liuqingqing_qm_C,1,0;clone001_liuqingqing_qcyz_C,1,0;clone001_liuqingqing_zhy_C,1,0;clone001_kuangbao_C,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001	bossclone001011;bossclone001002;bossclone001008;bossclone001007;bossclone001005	0	0	0		50	-1	2000	20	1000	1		90				1			1001		208	1			2		5			20									1	1													
