NPC编号	对象类型	名称	模型编号	NPC类型	NPC种类ID	响应范围	选择状态	脚本编号	玩家最多传送人数（-1：不限制）	玩家传送坐标	npc最多传送人数（-1：不限制）	npc传送坐标	AI编辑包
GotoDoornlb_lh01	GotoDoor	前往十里红帐	npc\itemnpc057_gb01	43		2	33	npc\goto_door_npc.lua	-1	"1539.382813,81.781113,1255.456543,2.002581"	0		
GotoDoornlb_lh02	GotoDoor	前往七色迷宫	npc\itemnpc057_gb01	43		2	33	npc\goto_door_npc.lua	-1	"1891.855225,119.44146,584.717651,4.856197"	0		
GotoDoornlb_lh03	GotoDoor	前往红尘劫	npc\itemnpc057_gb01	43		2	33	npc\goto_door_npc.lua	-1	"2036.614258,119.021461,1092.5354,1.128822"	0		
GotoDoornlb_lh04	GotoDoor	前往胭脂谷	npc\itemnpc057_gb01	43		2	33	npc\goto_door_npc.lua	-1	"2587.488525,107.972603,735.406799,2.117116"	0		
GotoDoornlb_lh05	GotoDoor	前往天香阁	npc\itemnpc057_gb01	43		2	33	npc\goto_door_npc.lua	-1	"2089.928467,112.638535,853.205444,4.044613"	0		
GotoDoornlb_lh06	GotoDoor	前往翠玉谷	npc\itemnpc057_gb01	43		2	33	npc\goto_door_npc.lua	-1	"1774.626587,113.597969,390.753204,2.143297"	0		
GotoDoornlb_lh07	GotoDoor	前往云水榭	npc\itemnpc057_gb01	43		2	33	npc\goto_door_npc.lua	-1	"1932.559448,101.332993,971.083679,2.568721"	0		
													
GotoDoorcfbjdbdh01	GotoDoor	夺镖大会传送出比赛场景	npc\funcnpc019	43		2	33	npc\goto_door_npc.lua	-1	"731.7,4.3,1801.6,-3.1"	0		
													
GotoDoorhsp_jumpqz	GotoDoor	华山派气宗跳墙触发	npc\itemnpc057	43		2	33		-1	"1453.5,252.7,420.1"	0		
GotoDoorhsp_jumprk	GotoDoor	华山派入口跳墙触发	npc\itemnpc057	43		2	33		-1	"1547.5,154.2,954.3"	0		
GotoDoorhsp_jumpzj	GotoDoor	华山派折剑跳墙触发	npc\itemnpc057	43		2	33		-1	"1637.6,141.8,852.4"	0		
GotoDoorhsp_jumplh	GotoDoor	华山派莲花跳墙触发	npc\itemnpc057	43		2	33		-1	"1283.1,245.3,568.5"	0		
GotoDoorhsp_jumpzx	GotoDoor	华山派谪仙跳墙触发	npc\itemnpc057	43		2	33		-1	"1652.7,146.42,534.707"	0		
													
GotoDoorerg001	GotoDoor	恶人谷剧情传送	npc\itemnpc057	43		2	33	npc\goto_door_npc.lua	-1	"756.436,21.473,481.644,1.538"	0		
													
GotoDoorSchool20A	GotoDoor	前往密道	npc\funcnpc019	43		3	33	npc\goto_door_npc.lua	-1	"32.975,23.263,1354.311,3.12319"	0		
GotoDoorSchool20B	GotoDoor	前往明教后山	npc\funcnpc019	43		3	33	npc\goto_door_npc.lua	-1	"181.536,205.681,542.218,-3.023183"	0		
													
GotoDoormj_guj04	GotoDoor	前往耀金殿	npc\itemnpc057_gb01	43		2	33	npc\goto_door_npc.lua	-1	"113.962,90.272,120.333,4.765"	0		
GotoDoormj_guj05	GotoDoor	前往风水宝地	npc\itemnpc057_gb01	43		2	33	npc\goto_door_npc.lua	-1	"303.7,93.4,44.7,2.3"	0		
													
GotoDoortsp_guj04	GotoDoor	前往演武堂	npc\itemnpc057_lengpf006	43		2	33	npc\goto_door_npc.lua	-1	"1011.3,157.9,1121.4,-1.5"	0		
GotoDoortsp_guj05	GotoDoor	前往风水宝地	npc\itemnpc057_lengpf006	43		2	33	npc\goto_door_npc.lua	-1	"965.9,165.7,943.7,-1.4"	0		
													
GotoDoorxmg_gujxmg01	GotoDoor	星渺阁	npc\itemnpc057	43		2	33		-1		0		
GotoDoorxmg_gujxmg02	GotoDoor	星渺阁	npc\itemnpc057	43		2	33		-1		0		
													
GotoDoorxmg_jch01	GotoDoor	前往观星岛	npc\itemnpc057_yhg05	43		2	33	npc\goto_door_npc.lua	-1	"-171.637,200.226,497.558,-0.034"	0		
GotoDoorxmg_jch02	GotoDoor	前往星渺阁	npc\itemnpc057_yhg05	43		2	33	npc\goto_door_npc.lua	-1	"-145.543,222.227,360.783,-2.824"	0		
													
GotoDoorsyjq_guj04	GotoDoor	前往船上	npc\fbmac004012y	43		2	33	npc\goto_door_npc.lua	-1	"143.9,-1.8,660.2,-0.4"	0		
GotoDoorsyjq_guj05	GotoDoor	前往岸边	npc\fbmac004012y	43		2	33	npc\goto_door_npc.lua	-1	"134.0,-0.2,614.3,1.6"	0		
GotoDoorsyjq_guj06	GotoDoor	传送	npc\fbmac004012y	43		2	33		-1		0		
