NPC编号	对象类型	名称	模型编号	NPC类型	NPC种类ID	响应范围	触发事件编号	触发类型	触发任务ID	是否可见	交互顺序	脚本编号	AI编辑包	触发条件	世界触发器相关	存在时间	触发高度
EventNpc24144	EventNpc	梨花寨	npc\worldnpc140	47	4	5		2	24144	1	1						
EventNpc24162	EventNpc	霓裳宫门外	npc\worldnpc140	47	4	6		2	24162	1	2						
EventNpc24165	EventNpc	霓裳宫门外	npc\worldnpc140	47	4	3		2	24165	1	1						
EventNpc24114	EventNpc	冲古寺外	npc\worldnpc140	47	4	20		5	24114	1							
EventNpc24123	EventNpc	野地	npc\worldnpc140	47	4	20		5	24123	1							
EventNpc24126	EventNpc	巫师格桑索却家	npc\worldnpc140	47	4	20		5	24126	1							
EventNpc24130	EventNpc	湖边	npc\worldnpc142	47	4	20		4	24130	1							
EventNpc24131	EventNpc	叹息城寺庙	npc\worldnpc140	47	4	20		5	24131	1							
EventNpc24141	EventNpc	一个地方	npc\worldnpc140	47	4	20		5	24141	1							
EventNpc24259	EventNpc	画皮书生被砍处	npc\worldnpc140	47	4	10	30	1	24259	1							
EventNpc24158	EventNpc	霓裳宫门口	npc\worldnpc140	47	4	20		5	24158	1							
EventNpc24176	EventNpc	霓裳宫外围	npc\worldnpc140	47	4	20		5	24176	1							
EventNpc24164	EventNpc	门口	npc\worldnpc140	47	4	5		4	24164	1							
																	
EventNpc24195	EventNpc	成都城中	npc\worldnpc140	47	4	20	2	5	24195	1							
EventNpc24199	EventNpc	霓裳宫门外	npc\worldnpc140	47	4	3		2	24199	1	1						
EventNpc24201	EventNpc	二仙庵	npc\worldnpc140	47	4	3		2	24201	1	1						
EventNpc24213	EventNpc	成都衙门	npc\worldnpc140	47	4	3		2	24213	1	2						
EventNpc24240	EventNpc	故乡千灯镇	npc\worldnpc140	47	4	4		2	24240	1							
EventNpc24249	EventNpc	挖坟之地	npc\worldnpc140	47	4	3		4	24244	1							
EventNpc24251	EventNpc	千灯镇驿站	npc\worldnpc140	47	4	4		2	24251	1	1						
EventNpc24300_1	EventNpc	泛黄平原出入口	npc\worldnpc140	47	4	1500		5	24300	1							
EventNpc24296	EventNpc	古墓附近	npc\worldnpc140	47	4	4		2	24296	1	1						
EventNpc24317	EventNpc	赤蛟帮	npc\worldnpc140	47	4	4		2	24317	1	1						
EventNpc24326	EventNpc	马家村村庄	npc\worldnpc140	47	4	4		2	24326	1	1						
EventNpc24332	EventNpc	崔健软禁处	npc\worldnpc140	47	4	4		2	24332	1	1						
EventNpc24322	EventNpc	粮仓	npc\worldnpc140	47	4	10		5	24322	1							
EventNpc24315	EventNpc	去丐帮路上	npc\worldnpc140	47	4	20	26	1	24315	1							
EventNpc24299	EventNpc	燕京城门口伏击地点	npc\worldnpc140	47	4	50	25	1	24297	1							
EventNpc24330	EventNpc	马家村附近	npc\worldnpc140	47	4	50		4	24330	1							
EventNpc24325	EventNpc	护送关出发点	npc\worldnpc140	47	4	20	27	1	24325	1							
EventNpc24385	EventNpc	峨眉天池	npc\worldnpc140	47	4	5		2	24385	1	1						
EventNpc24418	EventNpc	峨眉弟子触发点	npc\worldnpc140	47	4	5		2	24418	1	1						
EventNpc24432	EventNpc	东方凌少触发点	npc\worldnpc141	47	4	10		5	24430	1							
																	
EventNpc24436	EventNpc	触发点1	npc\worldnpc140	47	4	20		5	24436	1							
EventNpc24439	EventNpc	触发点8	npc\worldnpc140	47	4	10		2	24439	1	1						
EventNpc24440	EventNpc	触发点	npc\worldnpc140	47	4	10		4	24439	1							
EventNpc24443	EventNpc	触发点2	npc\worldnpc140	47	4	10		5	24443	1							
EventNpc24445	EventNpc	触发点15	npc\worldnpc140	47	4	10		2	24445	1	1						
EventNpc24447	EventNpc	老管家关押处	npc\worldnpc140	47	4	5		2	24447	1	1						
EventNpc24463	EventNpc	东方凌少关押处	npc\worldnpc140	47	4	5		2	24463	1	1						
EventNpc24489	EventNpc	薄弱之地	npc\worldnpc140	47	4	3		2	24489	1	1						
EventNpc24502	EventNpc	藏有证据的树	npc\worldnpc140	47	4	3		2	24502	1	1						
EventNpc24525	EventNpc	采草药之地	npc\worldnpc140	47	4	3		2	24525	1	1						
EventNpc24539	EventNpc	蛇窟深处	npc\worldnpc140	47	4	3		2	24539	1	1						
EventNpc24543	EventNpc	蛇窟深处	npc\worldnpc140	47	4	3		2	24543	1	1						
EventNpc24550	EventNpc	半夏旱莲处	npc\worldnpc140	47	4	3		2	24550	1	1						
EventNpc24567	EventNpc	附近	npc\worldnpc140	47	4	3		2	24567	1	1						
EventNpc24601	EventNpc	关押薛霸天的地方	npc\worldnpc140	47	4	3		2	24601	1	1						
EventNpc24610	EventNpc	薛霸天的女儿	npc\worldnpc140	47	4	3		2	24610	1	1						
EventNpc24621	EventNpc	武当	npc\worldnpc140	47	4	3		2	24621	1	2						
EventNpc24634	EventNpc	武当剑冢处	npc\worldnpc140	47	4	3		2	24634	1	1						
EventNpc24649	EventNpc	黑衣人所逃方向	npc\worldnpc140	47	4	3		2	24649	1	1						
EventNpc24660	EventNpc	武当无极峰	npc\worldnpc140	47	4	3		2	24660	1	1						
EventNpc24666	EventNpc	武当剑阵	npc\worldnpc140	47	4	3		2	24666	1	1						
EventNpc24672	EventNpc	武当紫霄宫	npc\worldnpc140	47	4	3		2	24672	1	1						
EventNpc24671_1	EventNpc	武当剑阵巡逻A	npc\worldnpc140	47	4	3		2	24671	1	1						
EventNpc24671_2	EventNpc	武当剑阵巡逻B	npc\worldnpc140	47	4	3		2	24671	1	2						
EventNpc24671_3	EventNpc	武当剑阵巡逻C	npc\worldnpc140	47	4	3		2	24671	1	3						
EventNpc24719	EventNpc	武当山下	npc\worldnpc140	47	4	3		2	24719	1	1						
EventNpc24722	EventNpc	酒楼2楼	npc\worldnpc140	47	4	3		2	24722	1	1						
EventNpc24727	EventNpc	告示牌	npc\worldnpc140	47	4	3		2	24727	1	1						
EventNpc24729	EventNpc	峨眉触发点	npc\worldnpc140	47	4	3		2	24729	1	1						
EventNpc24739_1	EventNpc	骷髅标志触发点	npc\worldnpc140	47	4	3		2	24739	1	1						
EventNpc24739_2	EventNpc	可疑弟子触发点	npc\worldnpc140	47	4	3		2	24739	1	2						
EventNpc24746	EventNpc	马蹄银触发点	npc\worldnpc140	47	4	3		2	24746	1	1						
EventNpc24761	EventNpc	神秘人触发点	npc\worldnpc140	47	4	3		2	24761	1	1						
EventNpc24763	EventNpc	凌霄城雪谷触发点	npc\worldnpc140	47	4	3		2	24763	1	1						
EventNpc26248	EventNpc	极乐谷弟子聚集地触发点	npc\worldnpc140	47	4	3		2	26248	1	1						
																	
EventNpc28007	EventNpc	妇女触发点	npc\worldnpc140	47	4	3		2	28007	1	1						
EventNpc28008	EventNpc	鸡鸣驿触发点	npc\worldnpc140	47	4	3		2	28008	1	1						
EventNpc28041	EventNpc	鸡鸣驿触发点	npc\worldnpc140	47	4	3		2	28041	1	1						
EventNpc28045	EventNpc	鸡鸣驿触发点	npc\worldnpc140	47	4	3		2	28045	1	1						
EventNpc28042	EventNpc	燕京触发点	npc\worldnpc140	47	4	3		2	28042	1	1						
EventNpc28050	EventNpc	天然居触发点	npc\worldnpc140	47	4	3	177	4	28050	1	1						
EventNpc28051	EventNpc	天然居触发点	npc\worldnpc140	47	4	3		2	28051	1	2						
EventNpc28052	EventNpc	天然居触发点	npc\worldnpc140	47	4	3		2	28052	1	1						
EventNpc28054	EventNpc	丐帮触发点	npc\worldnpc140	47	4	3		2	28054	1	1						
EventNpc28056	EventNpc	丐帮总舵	npc\worldnpc140	47	4	3		2	28056	1	1						
EventNpc28058_1	EventNpc	疑点1	npc\worldnpc140	47	4	1		2	28058	1	2						
EventNpc28058_2	EventNpc	疑点2	npc\worldnpc140	47	4	1		2	28058	1	3						
EventNpc28063	EventNpc	逃出去	npc\worldnpc140	47	4	1		2	28063	1	1						
EventNpc28076	EventNpc	东方世家	npc\worldnpc140	47	4	1		2	28076	1	2						
EventNpc28085	EventNpc	恶人触发点	npc\worldnpc140	47	4	3		2	28085	1	1						
EventNpc28097	EventNpc	小六子触发点	npc\worldnpc140	47	4	3		2	28097	1	1						
EventNpc28102	EventNpc	赌坊外	npc\worldnpc140	47	4	3		2	28102	1	2						
EventNpc28104	EventNpc	衙门触发点	npc\worldnpc140	47	4	3		2	28104	1	1						
EventNpc28114	EventNpc	武当山下	npc\worldnpc140	47	4	3		2	28114	1	1						
EventNpc28121	EventNpc	刘老汉家	npc\worldnpc140	47	4	3		2	28121	1	1						
EventNpc28124	EventNpc	被调戏女触发点	npc\worldnpc140	47	4	3		2	28124	1	1						
EventNpc28125	EventNpc	老乞丐触发点	npc\worldnpc140	47	4	3		2	28125	1	1						
EventNpc28127_1	EventNpc	采花大盗1	npc\worldnpc140	47	4	3		2	28127	1	1						
EventNpc28127_2	EventNpc	采花大盗2	npc\worldnpc140	47	4	3		2	28127	1	2						
EventNpc28127_3	EventNpc	采花大盗3	npc\worldnpc140	47	4	3		2	28127	1	3						
EventNpc28147	EventNpc	恶鬼门触发点	npc\worldnpc140	47	4	3		2	28147	1	1						
EventNpc28150	EventNpc	恶鬼门大门	npc\worldnpc140	47	4	3		2	28150	1	1						
EventNpc28172	EventNpc	饿死鬼触发点	npc\worldnpc140	47	4	3		2	28172	1	1						
EventNpc28173	EventNpc	恶鬼门外	npc\worldnpc140	47	4	3		2	28173	1	1						
EventNpc28174	EventNpc	五鬼触发点	npc\worldnpc140	47	4	3		2	28174	1	1						
EventNpc28722	EventNpc	清善触发点	npc\worldnpc140	47	4	3		2	28722	1	1						
EventNpc28735	EventNpc	少林塔林	npc\worldnpc140	47	4	3		2	28735	1	1						
EventNpc28740	EventNpc	峨眉触发点	npc\worldnpc140	47	4	3		2	28740	1	1						
EventNpc28764	EventNpc	峨眉山下	npc\worldnpc140	47	4	3		2	28764	1	1						
																	
EventNpc38003	EventNpc	净能	npc\worldnpc140	47	4	3		2	38003	1	1						
EventNpc38006_1	EventNpc	净德	npc\worldnpc140	47	4	3	144	4	38006	1	1						
EventNpc38006_2	EventNpc	净德	npc\worldnpc140	47	4	3		2	38006	1	2						
EventNpc38009	EventNpc	玄怀大师	npc\worldnpc140	47	4	3	146	4	38009	1	1						
EventNpc38011	EventNpc	池塘	npc\worldnpc140	47	4	3		2	38011	1	1						
EventNpc38012	EventNpc	清相	npc\worldnpc140	47	4	3	139	4	38012	1	2						
EventNpc38030	EventNpc	净德	npc\worldnpc140	47	4	3	147	4	38030	1	2						
EventNpc38027	EventNpc	格聂玛	npc\worldnpc140	47	4	3		2	38027	1	2						
																	
EventNpc36001	EventNpc	香客房	npc\worldnpc140	47	4	3		2	36001	1	1						
EventNpc36013	EventNpc	山下	npc\worldnpc140	47	4	10		2	36013	1	1						
EventNpc36013_1	EventNpc	前面	npc\worldnpc140	47	4	2.5	117	4	36013	1	1						
EventNpc36019	EventNpc	仇一刀	npc\worldnpc140	47	4	2		2	36019	1	1						
EventNpc36021	EventNpc	回去	npc\worldnpc140	47	4	10		2	36021	1	1						
EventNpc36031	EventNpc	回去	npc\worldnpc140	47	4	10		2	36031	1	1						
EventNpc36038	EventNpc	南岩宫	npc\worldnpc140	47	4	10		2	36038	1	1						
EventNpc36038_1	EventNpc	周围	npc\worldnpc140	47	4	10		2	36038	1	1						
EventNpc36038_2	EventNpc	屋内隐蔽之处	npc\worldnpc140	47	4	1		2	36038	1	1						
EventNpc36040	EventNpc	掌门	npc\worldnpc140	47	4	1	119	4	36040	1	1						
EventNpc36041	EventNpc	掌门	npc\worldnpc140	47	4	1	120	4	36041	1	1						
EventNpc36014	EventNpc	树上	npc\worldnpc140	47	4	1		2	36014	1	1		116				
EventNpc36014_1	EventNpc	树上	npc\worldnpc140	47	4	5		2	36014	1	2						
																	
EventNpc36032	EventNpc	雷丸砂触发	npc\worldnpc143	47	4	20	0	2	36032	1	1						
EventNpc36086	EventNpc	五老峰触发点	npc\worldnpc141	47	4	20		2	36086	1							
EventNpc36028	EventNpc	寻找女子	npc\worldnpc140	47	4	2.3	118	4	36028	1	1						
EventNpc36106	EventNpc	龙南村	npc\worldnpc140	47	4	3		5	36106	1							
EventNpc36110	EventNpc	狼群所在地	npc\worldnpc140	47	4	3		5	36110	1							
EventNpc36111	EventNpc	脚印处	npc\worldnpc140	47	4	2		5	36111	1							
EventNpc36118	EventNpc	血迹处	npc\worldnpc140	47	4	2		5	36118	1							
EventNpc36119_1	EventNpc	西南边	npc\worldnpc140	47	4	2		2	36119	1	1						
EventNpc36119_2	EventNpc	西北边	npc\worldnpc140	47	4	2		2	36119	1	2						
EventNpc36119_3	EventNpc	西边	npc\worldnpc140	47	4	2		5	36119	1							
EventNpc36120	EventNpc	宋浚清处	npc\worldnpc140	47	4	3		5	36120	1							
EventNpc36168	EventNpc	墓地	npc\worldnpc140	47	4	5		5	36168	1							
EventNpc36449	EventNpc	交易地点	npc\worldnpc140	47	4	5		2	36449	1	1						
EventNpc36143	EventNpc	通知太师父	npc\worldnpc140	47	4	5		2	36143	1	1						
																	
																	
EventNpc36211	EventNpc	夏厦	npc\worldnpc140	47	4	3		5	36211	1							
EventNpc36821	EventNpc	一封留书	npc\worldnpc140	47	4	3		5	36821	1							
EventNpc38546	EventNpc	山间要道	npc\worldnpc140	47	4	10		5	38546	1							
EventNpc38561	EventNpc	音缘洞口	npc\worldnpc140	47	4	10		5	38561	1							
EventNpc38532	EventNpc	湖边	npc\worldnpc140	47	4	20		5	38532	1							
																	
EventNpc38519	EventNpc	沐云庄外五毒教驻地外旗帜下	npc\worldnpc140	47	4	10		5	38519	1							
EventNpc38511_1	EventNpc	老毒前方	npc\worldnpc140	47	4	2	23	1	38511	1							
EventNpc38511_2	EventNpc	老毒前方	npc\worldnpc140	47	4	2	24	1	38511	1							
EventNpc38155	EventNpc	抓获清善	npc\worldnpc141	47	4	6	15	1	38155	1							
EventNpc38471	EventNpc	苏州拥翠山庄外湖泊	npc\worldnpc140	47	4	6	16	1	38471	1							
EventNpc38282	EventNpc	湖边	npc\worldnpc140	47	4	10			38282	1							
EventNpc38281	EventNpc	火盆	npc\worldnpc140	47	4	10			38281	1							
EventNpc38296	EventNpc	试药处	npc\worldnpc140	47	4	5		2	38296	1							
EventNpc38307	EventNpc	毒物巢穴入口处1	npc\worldnpc140	47	4	5		2	38307	1							
EventNpc38332	EventNpc	毒物巢穴入口处2	npc\worldnpc140	47	4	5		2	38332	1							
EventNpc36508	EventNpc	梵云傲剧情逃跑触发点	npc\worldnpc140	47	4	10		5	36508	1							
EventNpc36526	EventNpc	梵天行剧情逃跑触发点	npc\worldnpc140	47	4	10		5	36526	1							
EventNpc36562	EventNpc	梵天行剧情逃跑触发点	npc\worldnpc140	47	4	10		1	36562	1							
																	
EventNpc40004	EventNpc	门外	npc\worldnpc140	47	4	8		2	40004	1							
EventNpc40017_1	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40017	1							
EventNpc40017_2	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40017	1							
EventNpc40049_1	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40049	1							
EventNpc40049_2	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40049	1							
EventNpc40063_1	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40063	1							
EventNpc40063_2	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40063	1							
EventNpc40073	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40073	1							
EventNpc40087_1	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40087	1							
EventNpc40087_2	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40087	1							
EventNpc10170	EventNpc	刷怪点	npc\worldnpc140	47	4	3	212	1	10170	1	1						
EventNpc10252	EventNpc	任务完成	npc\worldnpc140	47	4	15		2	10252	1	1						
EventNpc27560	EventNpc	何沧海	npc\worldnpc140	47	4	15	951	4	2902	1							
EventNpc27561	EventNpc	单无量	npc\worldnpc140	47	4	20	952	4	2921	1							
																	
EventNpc40098_1	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40098	1							
EventNpc40098_2	EventNpc	巡逻点	npc\worldnpc140	47	4	2		2	40098	1							
EventNpc40100	EventNpc	得救点	npc\worldnpc140	47	4	2		2	40100	1							
EventNpc40111	EventNpc	成都遭袭点	npc\worldnpc140	47	4	2		2	40111	1							
EventNpc40122	EventNpc	禁军	npc\worldnpc140	47	4	2		2	40122	1							
EventNpc40135	EventNpc	埋伏点	npc\worldnpc140	47	4	2		2	40135	1							
EventNpc40136	EventNpc	首领点	npc\worldnpc140	47	4	2		2	40136	1							
																	
EventNpc40277_1	EventNpc	书楼触发点1	npc\worldnpc140	47	4	1		2	40277	1							
EventNpc40277_2	EventNpc	书楼触发点2	npc\worldnpc140	47	4	1		2	40277	1							
																	
EventNpc40433	EventNpc	树林花丛	npc\worldnpc140	47	4	2		2	40433	1	1						
EventNpc40448	EventNpc	衙役触发点	npc\worldnpc140	47	4	2		2	40448	1	1						
EventNpc40460	EventNpc	财产之地	npc\worldnpc140	47	4	2		2	40460	1	1						
EventNpc40463	EventNpc	盗贼聚集之处	npc\worldnpc140	47	4	2		2	40463	1	1						
EventNpc40470	EventNpc	梅花盗处	npc\worldnpc140	47	4	2		5	40470	1							
EventNpc40474	EventNpc	梅花盗处	npc\worldnpc140	47	4	2		2	40474	1	1						
EventNpc40482	EventNpc	搜魂村触发点	npc\worldnpc140	47	4	2		2	40482	1	1						
EventNpc40493	EventNpc	藏书阁触发点	npc\worldnpc140	47	4	2		2	40493	1	1						
EventNpc40500	EventNpc	兵器库触发点	npc\worldnpc140	47	4	2		2	40500	1	1						
EventNpc40502	EventNpc	锦衣卫山下触发点	npc\worldnpc140	47	4	2		2	40502	1	1						
EventNpc40506	EventNpc	逃犯触发点	npc\worldnpc140	47	4	2		2	40506	1	1						
EventNpc40510	EventNpc	抛尸谷触发点	npc\worldnpc140	47	4	2		2	40510	1	1						
																	
EventNpc50001_2	EventNpc	50002黑幕触发点	npc\worldnpc140	47	4	2	5017	4	50001	1	1						
EventNpc50380	EventNpc	汲水点	npc\worldnpc140	47	4	20		5	50380	1							
EventNpc50376	EventNpc	门外	npc\worldnpc140	47	4	5		5	50376	1							
EventNpc50094	EventNpc	监狱	npc\worldnpc140	47	4	2	5016	4	50094	1	4						
																	
EventNpc50342	EventNpc	隐藏1	npc\worldnpc140	47	4	8	0	2	50342	1	1						
EventNpc50475_1	EventNpc	触发点1	npc\worldnpc140	47	4	8	0	2	50475	1	2						
EventNpc50475_2	EventNpc	触发点2	npc\worldnpc140	47	4	8	0	2	50475	1	3						
																	
EventNpc50131	EventNpc	石灯柱上的缝隙	npc\worldnpc140	47	4	8			50131	1							
																	
EventNpc10311	EventNpc	瀑布下	npc\worldnpc140	47	4	10		5	10311	1							
EventNpc10312	EventNpc	瀑布上参悟点	npc\worldnpc140	47	4	8		5	10312	1							
EventNpc10328	EventNpc	戒律院悔过处	npc\worldnpc140	47	4	5		5	10328	1							
EventNpc10306_1	EventNpc	寺院东边角落	npc\worldnpc140	47	4	15		2	10306	1	1						
EventNpc10306_2	EventNpc	寺院南边角落	npc\worldnpc140	47	4	15		2	10306	1	2						
EventNpc10306_3	EventNpc	寺院西边角落	npc\worldnpc140	47	4	15		2	10306	1	3						
EventNpc10306_4	EventNpc	寺院北边角落	npc\worldnpc140	47	4	15		2	10306	1	4						
EventNpc10333_1	EventNpc	梅花桩	npc\worldnpc140	47	4	1		2	10333	1	1						
EventNpc10333_2	EventNpc	梅花桩	npc\worldnpc140	47	4	1		2	10333	1	2						
EventNpc10333_3	EventNpc	梅花桩	npc\worldnpc140	47	4	1		2	10333	1	3						
