NPC编号	对象类型	名称	模型编号			NPC种类ID	响应范围	选择操作分类	脚本编号	采集范围	采集动作名	读条时间(ms)	一次性开启编号	掉落	无拾取物消失时间（s）	最大消失时间(s)	宝箱开启前特效	宝箱开启后特效	钥匙数量	钥匙id	NPC特效名称	鼠标形状	开启条件	AI编辑包	分配类型	存在时间
yhg_seekbox018	SeekBoxNpc	锻台上的盒子(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		67	yhg_seekboxdl018	3	500						28	103525			
yhg_seekbox019	SeekBoxNpc	置物格里的小坛子	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		68	yhg_seekboxdl019	3	500						28	103525			
yhg_seekbox020	SeekBoxNpc	置物柜(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		69	yhg_seekboxdl020	3	500						28	103525			
yhg_seekbox021	SeekBoxNpc	梳妆台上的香囊	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		70	yhg_seekboxdl021	3	500						28	103524			
yhg_seekbox022	SeekBoxNpc	闺床上的匣子	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		71	yhg_seekboxdl022	3	500						28	103524			
yhg_seekbox023	SeekBoxNpc	置物柜(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		72	yhg_seekboxdl023	3	500						28	103524			
yhg_seekbox024	SeekBoxNpc	置衣架上的布料	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		73	yhg_seekboxdl024	3	500						28	103524			
yhg_seekbox025	SeekBoxNpc	澡盆里的粉玫瑰花	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		74	yhg_seekboxdl025	3	500						28	103524			
yhg_seekbox026	SeekBoxNpc	置物架上的小酒坛	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		75	yhg_seekboxdl026	3	500						28	103524			
yhg_seekbox027	SeekBoxNpc	角落的中酒坛(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		76	yhg_seekboxdl027	3	500						28	103524			
yhg_seekbox028	SeekBoxNpc	大缸(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		77	yhg_seekboxdl028	3	500						28	103524			
yhg_seekbox029	SeekBoxNpc	蒸架上的一笼馒头	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		78	yhg_seekboxdl029	3	500						28	103524			
yhg_seekbox030	SeekBoxNpc	蒸架上的一笼包子	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		79	yhg_seekboxdl030	3	500						28	103524			
yhg_seekbox031	SeekBoxNpc	置物架上的苹果	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		80	yhg_seekboxdl031	3	500						28	103524			
yhg_seekbox032	SeekBoxNpc	案上的大白菜(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		81	yhg_seekboxdl032	3	500						28	103524			
yhg_seekbox033	SeekBoxNpc	酒坛	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		82	yhg_seekboxdl033	3	500						28	103524			
yhg_seekbox034	SeekBoxNpc	桌上一盘烩双丁(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		83	yhg_seekboxdl034	3	500						28	103524			
yhg_seekbox035	SeekBoxNpc	桌上一碗冰糖八宝粥	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		84	yhg_seekboxdl035	3	500						28	103524			
yhg_seekbox036	SeekBoxNpc	桌上一盘九转大肠(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		85	yhg_seekboxdl036	3	500						28	103524			
yhg_seekbox037	SeekBoxNpc	桌上一碟桂花栗粉糕(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		86	yhg_seekboxdl037	3	500						28	103525			
yhg_seekbox038	SeekBoxNpc	桌上一盘石锅萧山鸡(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		87	yhg_seekboxdl038	3	500						28	103525			
yhg_seekbox039	SeekBoxNpc	桌上一碗冰糖蒸酥酪	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		88	yhg_seekboxdl039	3	500						28	103525			
yhg_seekbox040	SeekBoxNpc	桌上一碟鲜花饼(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		89	yhg_seekboxdl040	3	500						28	103525			
yhg_seekbox041	SeekBoxNpc	桌上一壶曲米春(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		90	yhg_seekboxdl041	3	500						28	103525			
yhg_seekbox042	SeekBoxNpc	桌上一碗玫瑰樱桃粥	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		91	yhg_seekboxdl042	3	500						28	103525			
yhg_seekbox043	SeekBoxNpc	桌上一本书册(+药师心得)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		92	yhg_seekboxdl043	3	500						28	103526			
yhg_seekbox044	SeekBoxNpc	置物格上的红塞长瓷瓶(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		93	yhg_seekboxdl044	3	500						28	103526			
yhg_seekbox045	SeekBoxNpc	置物格上的包布瓷瓶(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		94	yhg_seekboxdl045	3	500						28	103526			
yhg_seekbox046	SeekBoxNpc	置物格上的细长瓷瓶(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		95	yhg_seekboxdl046	3	500						28	103526			
yhg_seekbox047	SeekBoxNpc	置物格上的红塞瓷瓶(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		96	yhg_seekboxdl047	3	500						28	103526			
yhg_seekbox048	SeekBoxNpc	置物格上的一个瓷罐(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		97	yhg_seekboxdl048	3	500						28	103526			
yhg_seekbox049	SeekBoxNpc	置物格上的一个陶罐(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		98	yhg_seekboxdl049	3	500						28	103526			
yhg_seekbox050	SeekBoxNpc	置物格上的细长瓷瓶(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		99	yhg_seekboxdl050	3	500						28	103526			
yhg_seekbox051	SeekBoxNpc	置物格上的白瓷瓶(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		100	yhg_seekboxdl051	3	500						28	103526			
yhg_seekbox052	SeekBoxNpc	置物格上的陶罐(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		101	yhg_seekboxdl052	3	500						28	103526			
yhg_seekbox053	SeekBoxNpc	置物格顶上的宝箱(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		102	yhg_seekboxdl053	3	500						28	103526			
yhg_seekbox054	SeekBoxNpc	置物格上的侠客令	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		103	yhg_seekboxdl054	3	500						28	103526			
yhg_seekbox055	SeekBoxNpc	书架上的羊皮残片	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		104	yhg_seekboxdl055	3	500						28	103526			
yhg_seekbox056	SeekBoxNpc	书架上的羊皮残片	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		105	yhg_seekboxdl056	3	500						28	103526			
yhg_seekbox057	SeekBoxNpc	箱子(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		106	yhg_seekboxdl057	3	500						28	103526			
yhg_seekbox058	SeekBoxNpc	置物柜顶的箱子(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		107	yhg_seekboxdl058	3	500						28	103526			
yhg_seekbox059	SeekBoxNpc	箱子(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		108	yhg_seekboxdl059	3	500						28	103526			
yhg_seekbox060	SeekBoxNpc	置物格上的红匣子(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		109	yhg_seekboxdl060	3	500						28	103525			
yhg_seekbox061	SeekBoxNpc	书架上的书(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		110	yhg_seekboxdl061	3	500						28	103525			
yhg_seekbox062	SeekBoxNpc	置物架上的青花瓷瓶(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		111	yhg_seekboxdl062	3	500						28	103525			
yhg_seekbox063	SeekBoxNpc	置物柜上的瓷瓶(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		112	yhg_seekboxdl063	3	500						28	103525			
yhg_seekbox064	SeekBoxNpc	置物柜上的竹盒(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		113	yhg_seekboxdl064	3	500						28	103525			
yhg_seekbox065	SeekBoxNpc	地上的箱子（拾取绑定）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		114	yhg_seekboxdl065	3	500						28	103524			
yhg_seekbox066	SeekBoxNpc	地上的箱子（拾取绑定）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		115	yhg_seekboxdl066	3	500						28	103524			
yhg_seekbox067	SeekBoxNpc	墨玉梅花树下（拾取绑定）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		116	yhg_seekboxdl067	3	500						28	103524			
yhg_seekbox068	SeekBoxNpc	墨玉梅花树下（拾取绑定）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		117	yhg_seekboxdl068	3	500						28	103524			
yhg_seekbox069	SeekBoxNpc	墨玉梅花树下（拾取绑定）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		118	yhg_seekboxdl069	3	500						28	103524			
yhg_seekbox070	SeekBoxNpc	2楼置物格上的宝箱(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		119	yhg_seekboxdl070	3	500						28	103527			
yhg_seekbox071	SeekBoxNpc	2楼置物格上的细长瓷瓶	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		120	yhg_seekboxdl071	3	500						28	103527			
yhg_seekbox072	SeekBoxNpc	2楼置物格上的木塞瓷瓶	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		121	yhg_seekboxdl072	3	500						28	103527			
yhg_seekbox073	SeekBoxNpc	2楼置物格上的匣子	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		122	yhg_seekboxdl073	3	500						28	103527			
yhg_seekbox074	SeekBoxNpc	梳妆台上的绣玉花囊	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		123	yhg_seekboxdl074	3	500						28	103527			
yhg_seekbox075	SeekBoxNpc	明玉功突破要诀	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		124	yhg_seekboxdl075	3	500						28	103527			
yhg_seekbox076	SeekBoxNpc	墨子悲丝尾曲	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		125	yhg_seekboxdl076	3	500						28	103527			
yhg_seekbox077	SeekBoxNpc	随机宝物	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		126	yhg_seekboxdl077	3	500						28	103527			
yhg_seekbox078	SeekBoxNpc	墨玉梅花	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		127	yhg_seekboxdl078	3	500						28	103527			
yhg_seekbox079	SeekBoxNpc	我也不知道	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		128	yhg_seekboxdl079	3	500						28	103526			
yhg_seekbox080	SeekBoxNpc	行脚令	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		129	yhg_seekboxdl080	3	500						28	103526			
yhg_seekbox081	SeekBoxNpc	绿萤石	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		130	yhg_seekboxdl081	3	500						28	103526			
yhg_seekbox082	SeekBoxNpc	狐皮	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		131	yhg_seekboxdl082	3	500						28	103526			
yhg_seekbox083	SeekBoxNpc	金元再生丹	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		132	yhg_seekboxdl083	3	500						28	103526			
yhg_seekbox084	SeekBoxNpc	百家衣碎片	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		133	yhg_seekboxdl084	3	500						28	103524			
yhg_seekbox085	SeekBoxNpc	菊花酒	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		134	yhg_seekboxdl085	3	500						28	103524			
yhg_seekbox086	SeekBoxNpc	鲍鱼	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		135	yhg_seekboxdl086	3	500						28	103524			
yhg_seekbox087	SeekBoxNpc	精致蔗糖	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		136	yhg_seekboxdl087	3	500						28	103524			
yhg_seekbox088	SeekBoxNpc	花神七式批注书	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		137	yhg_seekboxdl088	3	500						28	103526			
yhg_seekbox089	SeekBoxNpc	花神七式批注书	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		138	yhg_seekboxdl089	3	500						28	103527			
yhg_seekbox090	SeekBoxNpc	雪莲药膏	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		139	yhg_seekboxdl090	3	500						28	103527			
																										
thd_seekbox001	SeekBoxNpc	桃花枝	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		140	thd_seekboxdl055	3	500						28	103530			
thd_seekbox002	SeekBoxNpc	竹枝	npc\itemnpc539	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		141	thd_seekboxdl056	3	500						28	103530			
thd_seekbox003	SeekBoxNpc	食盒	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		142	thd_seekboxdl057	3	500						28	103529			
thd_seekbox004	SeekBoxNpc	正在锅上的蒸笼（米缸）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		143	thd_seekboxdl058	3	500						28	103528			
thd_seekbox005	SeekBoxNpc	桌上的菜肴	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		144	thd_seekboxdl059	3	500						28	103528			
thd_seekbox006	SeekBoxNpc	梳妆盒	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		145	thd_seekboxdl060	3	500						28	103529			
thd_seekbox007	SeekBoxNpc	案上的大白菜	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		146	thd_seekboxdl061	3	500						28	103528			
thd_seekbox008	SeekBoxNpc	屋内的木箱（罐子）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		147	thd_seekboxdl062	3	500						28	103528			
thd_seekbox009	SeekBoxNpc	屋外的柴堆（破车）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		148	thd_seekboxdl063	3	500						28	103528			
thd_seekbox010	SeekBoxNpc	案上的菜肴（碗）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		149	thd_seekboxdl064	3	500						28	103528			
thd_seekbox011	SeekBoxNpc	桌下的鱼篓	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		150	thd_seekboxdl065	3	500						28	103528			
thd_seekbox012	SeekBoxNpc	屋内的木盒（袋子）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		151	thd_seekboxdl066	3	500						28	103528			
thd_seekbox013	SeekBoxNpc	屋内的陶罐（簸箕）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		152	thd_seekboxdl067	3	500						28	103528			
thd_seekbox014	SeekBoxNpc	玉石桃花（灯台）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		153	thd_seekboxdl068	3	500						28	103531			
