NPC编号	对象类型	名称	模型编号	NPC种类ID	NPC类型	响应范围	传送门开关	脚本编号	传送包编号	AI编辑包	传送门通过的条件包ID
DoorNpc00072	Door	神水宫前往鸡鸣驿	npc\funcnpc019	4	41	8	0		2060		
											
DoorNpc00073	Door	华山前往洛阳	npc\funcnpc019	4	41	8	0		67		
											
DoorNpc00094	Door	蓬莱岛前往烟雨庄	npc\funcnpc019	4	41	8	0		2167		
DoorNpc00075	Door	烟雨庄前往蓬莱岛	npc\itemnpc057_wuqi	4	41	8	0		2075		
DoorNpc00076	Door	蓬莱岛前往烟雨庄	npc\funcnpc019	4	41	8	0		2076		112436
DoorNpc00077	Door	蓬莱岛前往侠客岛	npc\itemnpc057_xuanwo	4	41	8	0		2077		28051
DoorNpc00078	Door	蓬莱岛前往无极岛	npc\funcnpc019	4	41	8	0		2078		28051
DoorNpc00079	Door	侠客岛前往蓬莱岛	npc\itemnpc057_wuqi	4	41	8	0		2079		28051
DoorNpc00080	Door	侠客岛前往无极岛	npc\funcnpc019	4	41	8	0		2080		28051
DoorNpc00081	Door	无极岛前往蓬莱岛	npc\itemnpc057_wuqi	4	41	8	0		2081		28051
DoorNpc00082	Door	无极岛前往侠客岛	npc\itemnpc057_xuanwo	4	41	8	0		2082		28051
											
DoorNpc00083	Door	五仙教前往千灯镇	npc\funcnpc019	4	41	8	0		2085		
DoorNpc00084	Door	千灯镇前往五仙教	npc\funcnpc019	4	41	8	0		2086		113119
											
DoorNpc00085	Door	凌霄城前往千灯镇	npc\funcnpc019	4	41	8	0		2090		
											
DoorNpc00086	Door	达摩派前往塞外大漠	npc\funcnpc019	4	41	8	0		2096		
DoorNpc00087	Door	塞外大漠前往达摩派	npc\funcnpc019	4	41	8	0		2095		
											
	//副本场景传送门										
DoorNpcclone048	Door	武馆教学副本出口	npc\funcnpc019a	4	41	1	0	npc\DoorNpcclone048.lua			
DoorNpcclone048a	Door	武馆教学副本出口	npc\funcnpc019a	4	41	1	0	npc\DoorNpcclone048.lua			
DoorNpcclone048b	Door	武馆教学副本出口	npc\funcnpc019a	4	41	1	0	npc\DoorNpcclone048.lua			
DoorNpcclone048c	Door	武馆教学副本出口	npc\funcnpc019a	4	41	1	0	npc\DoorNpcclone048.lua			
DoorNpcclone048d	Door	武馆教学副本出口	npc\funcnpc019a	4	41	1	0	npc\DoorNpcclone048.lua			
											
											
DoorNpcwuguan01	Door	千灯1，2武馆入口	npc\funcnpc019a	4	231	1	0	npc\DoorNpcwuguan.lua			
DoorNpcwuguan02	Door	烟雨庄武馆入口	npc\funcnpc019a	4	231	1	0	npc\DoorNpcwuguan.lua			
DoorNpcwuguan03	Door	成都武馆入口	npc\funcnpc019a	4	231	1	0	npc\DoorNpcwuguan.lua			
DoorNpcwuguan04	Door	鸡鸣驿武馆入口	npc\funcnpc019a	4	231	1	0	npc\DoorNpcwuguan.lua			
DoorNpcwuguan05	Door	洛阳武馆入口	npc\funcnpc019a	4	231	1	0	npc\DoorNpcwuguan.lua			
											
Doorclone024a	Door	摘星阁前往千灯镇	npc\funcnpc019	4	41	3	0		1117		
											
	//场景内传送门										
DoorTest_01	Door	实验场景内传送门	npc\itemnpc057	4	43	5	0	npc\goto_door_npc.lua	2000		
											
	//分组场景传送门										
DoorNpcGroup001	Door	鱼市出口	npc\funcnpc019	4	42	3	0		1026		
DoorNpcshg_01	Door	神水宫主殿后前往水晶宫	npc\funcnpc019	4	43	1	0	npc\goto_door_npc.lua	2040		
DoorNpcshg_02	Door	水晶宫前往冰火殿	npc\funcnpc019	4	43	4	0	npc\goto_door_npc.lua	2041		
DoorNpcshg_03	Door	冰火殿前往神水宫主殿后	npc\funcnpc019	4	43	4	0	npc\goto_door_npc.lua	2042		
DoorNpcshg_04	Door	水晶宫前往神水宫主殿后	npc\funcnpc019	4	43	1	0	npc\goto_door_npc.lua	2043		
											
	//演武堂场景传送门										
Npc_yd_wg_cs_wd01	Door	武当演武堂入口	npc\funcnpc019d	4	231	1	0	npc\DoorNpcwuguan.lua			
Npc_yd_wg_cs_sl01	Door	少林演武堂入口	npc\funcnpc019d	4	231	1	0	npc\DoorNpcwuguan.lua			
Npc_yd_wg_cs_em01	Door	峨眉演武堂入口	npc\funcnpc019d	4	231	1	0	npc\DoorNpcwuguan.lua			
Npc_yd_wg_cs_gb01	Door	丐帮演武堂入口	npc\funcnpc019d	4	231	1	0	npc\DoorNpcwuguan.lua			
Npc_yd_wg_cs_tm01	Door	唐门演武堂入口	npc\funcnpc019d	4	231	1	0	npc\DoorNpcwuguan.lua			
Npc_yd_wg_cs_jz01	Door	君子堂演武堂入口	npc\funcnpc019d	4	231	1	0	npc\DoorNpcwuguan.lua			
Npc_yd_wg_cs_jy01	Door	锦衣卫演武堂入口	npc\funcnpc019d	4	231	1	0	npc\DoorNpcwuguan.lua			
Npc_yd_wg_cs_jl01	Door	极乐谷演武堂入口	npc\funcnpc019d	4	231	1	0	npc\DoorNpcwuguan.lua			
Npc_yd_wg_cs_mj01	Door	明教演武堂入口	npc\funcnpc019d	4	231	1	0	npc\DoorNpcwuguan.lua			115006
Npc_yd_wg_cs_ts01	Door	天山派演武堂入口	npc\funcnpc019d	4	231	1	0	npc\DoorNpcwuguan.lua			115006
											
Npc_yd_wg_cs_wd02	Door	武当演武堂出口	npc\funcnpc019d	4	41	1	0	npc\DoorNpcclone048.lua			
Npc_yd_wg_cs_sl02	Door	少林演武堂出口	npc\funcnpc019d	4	41	1	0	npc\DoorNpcclone048.lua			
Npc_yd_wg_cs_em02	Door	峨眉演武堂出口	npc\funcnpc019d	4	41	1	0	npc\DoorNpcclone048.lua			
Npc_yd_wg_cs_gb02	Door	丐帮演武堂出口	npc\funcnpc019d	4	41	1	0	npc\DoorNpcclone048.lua			
Npc_yd_wg_cs_tm02	Door	唐门演武堂出口	npc\funcnpc019d	4	41	1	0	npc\DoorNpcclone048.lua			
Npc_yd_wg_cs_jz02	Door	君子堂演武堂出口	npc\funcnpc019d	4	41	1	0	npc\DoorNpcclone048.lua			
Npc_yd_wg_cs_jy02	Door	锦衣卫演武堂出口	npc\funcnpc019d	4	41	1	0	npc\DoorNpcclone048.lua			
Npc_yd_wg_cs_jl02	Door	极乐谷演武堂出口	npc\funcnpc019d	4	41	1	0	npc\DoorNpcclone048.lua			
Npc_yd_wg_cs_mj02	Door	明教演武堂出口	npc\funcnpc019d	4	41	1	0				
Npc_yd_wg_cs_ts02	Door	天山派演武堂出口	npc\funcnpc019d	4	41	2	0				
											
city03war01_transport1	Door	前往正阳门	npc\funcnpc019	4	41	4	0				
											
	江湖测试										
DoorNpc_qdz001	Door	前往秘窟	npc\funcnpc019	4	41	4	0				
DoorNpc_fam001	Door	离开秘窟	npc\funcnpc019	4	41	4	0				
