NPC编号	对象类型	名称	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	脚本编号	缩放比例	AI编辑包	是否预载入
Block_yd_jmy01	BlockNpc	沙袋	npc\itemnpc165		167	4	0.1	0				
Block_yd_ly01	BlockNpc	沙袋	npc\itemnpc165		167	4	0.1	0				
												
	//擂台盖子											
Block_leitai01	BlockNpc	擂台盖子	npc\block_competition		172	4	0.1	0	npc\block_npc.lua			1
												
	//徐家庄应战玩法											
tiguan_dr1	BlockNpc	特效	npc\itemnpc057_tg1		52	4	0.1	0				
tiguan_dr1_1	BlockNpc	特效	npc\itemnpc057_tg1		52	4	0.1	0				
tiguan_dr1_2	BlockNpc	特效	npc\itemnpc057_tg1		52	4	0.1	0				
tiguan_dr2	BlockNpc	特效	npc\itemnpc057_tg2		52	4	0.1	0				
tiguan_dr2_1	BlockNpc	特效	npc\itemnpc057_tg2		52	4	0.1	0				
tiguan_dr2_2	BlockNpc	特效	npc\itemnpc057_tg2		52	4	0.1	0				
												
Block_jzsj_01	BlockNpc	金针沈家空气墙	scenenpc\airwall_square		172	4	0.1	0				
Block_jzsj_02	BlockNpc	金针沈家门	npc\itemnpc573		172	4	0.1	0				
Block_gmpwb_001	BlockNpc	古墓派迷宫探宝	scenenpc\airwall_square		172	4	0.1	0				1
												
Block_jiebai_001	BlockNpc	结拜封门	npc\fbmac004013		172	4	0.1	0		"3.112,1.0,1.0"		1
Block_outland	BlockNpc	恶人谷封门	scenenpc\airwall_square		172	4	0.1	0		"1.7,1.0,1.0"		
	//三盟争霸-空气墙											
Block_tianwei	BlockNpc	天威盟空气墙	scenenpc\airwall_square		172	4	0.1	0		"0.4,1.0,0.4"		1
Block_tianwu	BlockNpc	天武盟空气墙	scenenpc\airwall_square		172	4	0.1	0		"0.4,1.0,0.4"		1
Block_tianqi	BlockNpc	天启盟空气墙	scenenpc\airwall_square		172	4	0.1	0		"0.4,1.0,0.4"		1
												
												
	//武道大会-空气墙											
Block_wudaodahui_team1	BlockNpc	天威盟空气墙	scenenpc\airwall_square		172	4	0.1	0		"0.4,1.0,0.4"		1
Block_wudaodahui_team2	BlockNpc	天武盟空气墙	scenenpc\airwall_square		172	4	0.1	0		"0.4,1.0,0.4"		1
												
	//江湖乱斗空气墙											
Block_choswar_01	BlockNpc	江湖乱斗空气墙	scenenpc\airwall_square		172	4	0.1	0		"3.458,9.860,1.713"		1
Block_choswar_02	BlockNpc	江湖乱斗空气墙	scenenpc\airwall_square		172	4	0.1	0		"3.458,9.860,1.713"		1
												
	//明教门派战-空气墙											
BlockMj0001	BlockNpc	明教门派战空气墙	scenenpc\airwall_square		172	4	0.1	0				1
												
	//天山门派战-空气墙											
BlockTsp0001	BlockNpc	天山派门派战空气墙	scenenpc\airwall_square		172	4	0.1	0				1
												
	//帮会竞技空气墙											
Block_guildbattle_1	BlockNpc	帮会竞技空气墙	scenenpc\airwall_square		172	4	0.1	0		"0.8,2,0.8"		1
												
Block_gujxmg_001	BlockNpc	封门	npc\fbmac004013		172	4	0.1	0		"11.82,39.68,1.0"		1
Block_gujxmg_002	BlockNpc	封门	npc\fbmac004013		172	4	0.1	0		"8.855,40.16,1.0"		1
Block_gujxmg_003	BlockNpc	封门	npc\fbmac004013		172	4	0.1	0		"8.855,39.39,1.0"		1
Block_gujxmg_004	BlockNpc	封门	npc\fbmac004013		172	4	0.1	0		"11.745,39.36,1.0"		1
												
	//门派战-空气墙											
Block_gongji	BlockNpc	攻击方空气墙	scenenpc\airwall_square		172	4	0.1	0		"0.4,1.0,0.4"		1
Block_fangshou	BlockNpc	防守方空气墙	scenenpc\airwall_square		172	4	0.1	0		"0.4,1.0,0.4"		1
Block_gongji_01	BlockNpc	攻击方空气墙	scenenpc\airwall_square		172	4	0.1	0		"0.4,1.0,0.4"		1
Block_fangshou_01	BlockNpc	防守方空气墙	scenenpc\airwall_square		172	4	0.1	0		"0.4,1.0,0.4"		1
