NPC编号	对象类型	名称	模型编号	头像	类型	响应范围	选择操作分类	脚本编号	交互家具类型	交互动作	交互家具最大使用次数	持续时间(min)	开始buffer	开始buffer_正太萝莉	奖励buffer1	奖励buffer2	NPC种类ID	玩家角度偏移	玩家坐标偏移	回复房屋耐久	家具使用条件	光源Buff	增加华丽度	玩家使用cd buffer	最大同时使用人数	存在时间(毫秒)	风水值	检索范围	最多有效风水家具数量	家具关系	AI编辑包	家具CD	共用绑定点	共用类型	NPC优先显示	NPC交互一	NPC交互二	NPC多重交互	灯的状态	家具绿圈隐藏	出生状态	家具新冷却
home_xiulian_yanxi_002	InterFurnNpc	宴席-2	npc\itemnpc713		333	5	2		6	life_chi_01	8	1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_yanxi_02	buf_yanxi_02		0	1.1		27148			buf_jj_not_yx	4															1		625
home_xiulian_yanxi_003	InterFurnNpc	宴席-3	npc\itemnpc716		333	5	2		6	life_chi_01	8	1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_yanxi_03	buf_yanxi_03		0	1.1		27148			buf_jj_not_yx	4															1		625
home_xiulian_yanxi_yt	InterFurnNpc	团圆宴	npc\itemnpc716		333	5	2		6	life_chi_01	9999	1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_tyy	buf_jj_tyy		0	1.1		28426				4	1800000									1					1		
																																										
home_chuang_mu_001	InterFurnNpc	木床-1	npc\itemnpc927	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_001_bf	buf_jj_yt_001_1_bf		1.57			27148		5	buf_jj_not_bed	1		1	4	3	6		6								1		626
home_chuang_mu_002	InterFurnNpc	木床-2	npc\itemnpc928	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_002_bf	buf_jj_yt_002_1_bf		1.57			27148		20	buf_jj_not_bed	1		2	4	3	6		6								1		626
home_chuang_mu_003	InterFurnNpc	木床-3	npc\itemnpc929	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_003_bf	buf_jj_yt_003_1_bf		1.57			27148		40	buf_jj_not_bed	1		3	4	3	6		6								1		626
home_chuang_mu_004	InterFurnNpc	木床-4	npc\itemnpc930	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_004_bf	buf_jj_yt_004_1_bf		1.57			27148		70	buf_jj_not_bed	1		4	4	3	6		6								1		626
home_chuang_mu_005	InterFurnNpc	木床-5	npc\itemnpc932	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_005_bf	buf_jj_yt_005_1_bf		1.57			27148		120	buf_jj_not_bed	1		5	4	3	6		6								1		626
home_chuang_mu_006	InterFurnNpc	木床-6	npc\itemnpc933	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_006_bf	buf_jj_yt_006_1_bf		1.57			27148		200	buf_jj_not_bed	1		6	4	3	6		6								1		626
																																										
																																										
home_chuang_zhu_001	InterFurnNpc	竹床-1	npc\itemnpc934	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_001_bf	buf_jj_yt_001_1_bf		1.57			27148		5	buf_jj_not_bed	1		1	4	3	6		6								1		626
home_chuang_zhu_002	InterFurnNpc	竹床-2	npc\itemnpc935	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_002_bf	buf_jj_yt_002_1_bf		-1.57			27148		20	buf_jj_not_bed	1		2	4	3	6		6								1		626
home_chuang_zhu_003	InterFurnNpc	竹床-3	npc\itemnpc936	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_003_bf	buf_jj_yt_003_1_bf		-1.57			27148		40	buf_jj_not_bed	1		3	4	3	6		6								1		626
home_chuang_zhu_004	InterFurnNpc	竹床-4	npc\itemnpc937	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_004_bf	buf_jj_yt_004_1_bf		-1.57			27148		70	buf_jj_not_bed	1		4	4	3	6		6								1		626
home_chuang_zhu_005	InterFurnNpc	竹床-5	npc\itemnpc938	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_005_bf	buf_jj_yt_005_1_bf		-1.57			27148		120	buf_jj_not_bed	1		5	4	3	6		6								1		626
home_chuang_zhu_006	InterFurnNpc	竹床-6	npc\itemnpc939	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_006_bf	buf_jj_yt_006_1_bf		-1.57			27148		200	buf_jj_not_bed	1		6	4	3	6		6								1		626
																																										
																																										
home_chuang_shi_001	InterFurnNpc	石床-1	npc\itemnpc940	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_001_bf	buf_jj_yt_001_1_bf					27148		5	buf_jj_not_bed	1		1	4	3	6		6								1		626
home_chuang_shi_002	InterFurnNpc	石床-2	npc\itemnpc941	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_002_bf	buf_jj_yt_002_1_bf					27148		20	buf_jj_not_bed	1		2	4	3	6		6								1		626
home_chuang_shi_003	InterFurnNpc	石床-3	npc\itemnpc942	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_003_bf	buf_jj_yt_003_1_bf					27148		40	buf_jj_not_bed	1		3	4	3	6		6								1		626
home_chuang_shi_004	InterFurnNpc	石床-4	npc\itemnpc943	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_004_bf	buf_jj_yt_004_1_bf					27148		70	buf_jj_not_bed	1		4	4	3	6		6								1		626
home_chuang_shi_005	InterFurnNpc	石床-5	npc\itemnpc944	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_005_bf	buf_jj_yt_005_1_bf					27148		120	buf_jj_not_bed	1		5	4	3	6		6								1		626
home_chuang_shi_006	InterFurnNpc	石床-6	npc\itemnpc945	icon\funcnpc\cj_040001.png	333	5	2		2	interact472		1	buf_jj_using_bed	buf_jj_using_bed	buf_jj_yt_006_bf	buf_jj_yt_006_1_bf					27148		200	buf_jj_not_bed	1		6	4	3	6		6								1		626
																																										
																																										
home_light_mu_001	InterFurnNpc	照明木-1	npc\itemnpc960	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_mu_1	5		1		1	2	6	7										1		
home_light_mu_002	InterFurnNpc	照明木-2	npc\itemnpc961	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_mu_2	20		1		2	2	6	7										1		
home_light_mu_003	InterFurnNpc	照明木-3	npc\itemnpc962	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_mu_3	40		1		3	2	6	7										1		
home_light_mu_004	InterFurnNpc	照明木-4	npc\itemnpc963	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_mu_4	70		1		4	2	6	7										1		
home_light_mu_005	InterFurnNpc	照明木-5	npc\itemnpc964	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_mu_5	120		1		5	2	6	7										1		
																																										
																																										
home_light_zhu_001	InterFurnNpc	照明竹-1	npc\itemnpc972	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_zhu_1	5		1		1	2	6	7										1		
home_light_zhu_002	InterFurnNpc	照明竹-2	npc\itemnpc973	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_zhu_2	20		1		2	2	6	7										1		
home_light_zhu_003	InterFurnNpc	照明竹-3	npc\itemnpc974	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_zhu_3	40		1		3	2	6	7										1		
home_light_zhu_004	InterFurnNpc	照明竹-4	npc\itemnpc975	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_zhu_4	70		1		4	2	6	7										1		
home_light_zhu_005	InterFurnNpc	照明竹-5	npc\itemnpc976	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_zhu_5	120		1		5	2	6	7										1		
home_light_zhu_006	InterFurnNpc	照明竹-6	npc\itemnpc977	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_zhu_6	200		1		6	2	6	7										1		
																																										
																																										
home_light_shi_001	InterFurnNpc	照明石-1	npc\itemnpc967	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_shi_2	5		1		2	2	6	7										1		
home_light_shi_002	InterFurnNpc	照明石-2	npc\itemnpc968	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_shi_3	20		1		3	2	6	7										1		
home_light_shi_003	InterFurnNpc	照明石-3	npc\itemnpc969	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_shi_4	40		1		4	2	6	7										1		
home_light_shi_004	InterFurnNpc	照明石-4	npc\itemnpc970	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_shi_5	70		1		5	2	6	7										1		
home_light_shi_005	InterFurnNpc	照明石-5	npc\itemnpc971	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_shi_6	120		1		6	2	6	7										1		
																																										
																																										
home_clean_saoba_001	InterFurnNpc	扫把-1	npc\itemnpc978	icon\funcnpc\cj_040001.png	333	5	2		4	life_ys_01		1	buf_jj_tongyong	buf_jj_tongyong						1	27148				1															1		
home_clean_saoba_002	InterFurnNpc	扫把-2	npc\itemnpc979	icon\funcnpc\cj_040001.png	333	5	2		4	life_ys_01		1	buf_jj_tongyong	buf_jj_tongyong						1	27148				1															1		
home_clean_saoba_003	InterFurnNpc	扫把-3	npc\itemnpc980	icon\funcnpc\cj_040001.png	333	5	2		4	life_ys_01		1	buf_jj_tongyong	buf_jj_tongyong						1	27148				1															1		
home_clean_saoba_004	InterFurnNpc	扫把-4	npc\itemnpc981	icon\funcnpc\cj_040001.png	333	5	2		4	life_ys_01		1	buf_jj_tongyong	buf_jj_tongyong						1	27148				1															1		
home_clean_saoba_005	InterFurnNpc	扫把-5	npc\itemnpc982	icon\funcnpc\cj_040001.png	333	5	2		4	life_ys_01		1	buf_jj_tongyong	buf_jj_tongyong						1	27148				1															1		
home_clean_saoba_006	InterFurnNpc	扫把-6	npc\itemnpc983	icon\funcnpc\cj_040001.png	333	5	2		4	life_ys_01		1	buf_jj_tongyong	buf_jj_tongyong						1	27148				1															1		
																																										
																																										
home_yi_mu_001	InterFurnNpc	椅木-1	npc\itemnpc1184	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_001	buf_jj_chair_001_1			0		27148		5	buf_jj_not_chair	1		1	2	6	13		6								1		627
home_yi_mu_002	InterFurnNpc	椅木-2	npc\itemnpc1186	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_002	buf_jj_chair_002_1			0		27148		20	buf_jj_not_chair	1		2	2	6	13		6								1		627
home_yi_mu_003	InterFurnNpc	椅木-3	npc\itemnpc1187	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_003	buf_jj_chair_003_1			0		27148		40	buf_jj_not_chair	1		3	2	6	13		6								1		627
home_yi_mu_004	InterFurnNpc	椅木-4	npc\itemnpc1188	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_004	buf_jj_chair_004_1		3.14	0		27148		70	buf_jj_not_chair	1		4	2	6	13		6								1		627
home_yi_mu_005	InterFurnNpc	椅木-5	npc\itemnpc1190	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_005	buf_jj_chair_005_1			0		27148		120	buf_jj_not_chair	1		5	2	6	13		6								1		627
home_yi_mu_006	InterFurnNpc	椅木-6	npc\itemnpc1191	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair_mu6	buf_jj_ty_chair_mu6_new	buf_jj_chair_006	buf_jj_chair_006_1			0		27148		200	buf_jj_not_chair	1		6	2	6	13		6								1		627
																																										
home_yi_zhu_001	InterFurnNpc	椅竹-1	npc\itemnpc1192	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_001	buf_jj_chair_001_1			0.1		27148		5	buf_jj_not_chair	1		1	2	6	13		6								1		627
home_yi_zhu_002	InterFurnNpc	椅竹-2	npc\itemnpc1193	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_002	buf_jj_chair_002_1			0		27148		20	buf_jj_not_chair	1		2	2	6	13		6								1		627
home_yi_zhu_003	InterFurnNpc	椅竹-3	npc\itemnpc1194	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_003	buf_jj_chair_003_1			0.1		27148		40	buf_jj_not_chair	1		3	2	6	13		6								1		627
home_yi_zhu_004	InterFurnNpc	椅竹-4	npc\itemnpc1195	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_004	buf_jj_chair_004_1			0.1		27148		70	buf_jj_not_chair	1		4	2	6	13		6								1		627
																																										
home_yi_shi_001	InterFurnNpc	椅石-1	npc\itemnpc1197	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_001	buf_jj_chair_001_1			0		27148		5	buf_jj_not_chair	1		1	2	6	13		6								1		627
home_yi_shi_002	InterFurnNpc	椅石-2	npc\itemnpc1198	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_002	buf_jj_chair_002_1			0		27148		20	buf_jj_not_chair	1		2	2	6	13		6								1		627
																																										
//圣诞家具																																										
home_chuang_sd_001	ShareFurnitureNpc	雪橇床	npc\npcitem907	icon\funcnpc\cj_040001.png	333	5	2		7			1			buf_jj_yt_006_bf	buf_jj_yt_006_1_bf					27148		200	buf_jj_not_bed	1		6	4	4	6		6	"1,Point01,interact546,buf_jj_using_bed,,interact546;2,Point02,interact547,buf_jj_using_bed,,interact546;"	2						1		626
home_light_sd_001	InterFurnNpc	麋鹿灯	npc\npcitem908	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_sd_1	200		1		5	2	7	7										1		
home_light_sd_002	InterFurnNpc	南瓜灯	npc\npcitem909	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_sd_2	200		1		5	2	7	7										1		
home_xiulian_yuchi_sd_001	ShareFurnitureNpc	浴桶	npc\npcitem911	icon\funcnpc\cj_040001.png	333	5	2		8			1									27148		200	buf_jj_not_yt	1		6	4	4	5	3149	1	"1,Point01,interact550,buf_jj_using_yt,,interact550;2,Point02,interact545,buf_jj_using_yt_fs,,interact545;"							1		
home_yi_sd_001	InterFurnNpc	椅子	npc\npcitem915	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_006	buf_jj_chair_006_1			0		27148		200	buf_jj_not_chair	1		6	4	7	13		6								1		627
home_yi_sd_002	InterFurnNpc	椅子	npc\npcitem919	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_006	buf_jj_chair_006_1			0		27148		200	buf_jj_not_chair	1		6	4	7	13		6								1		627
home_yi_sd_003	InterFurnNpc	椅子	npc\npcitem920	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair_mu6	buf_jj_ty_chair_mu6_new	buf_jj_chair_006	buf_jj_chair_006_1			0.2		27148		200	buf_jj_not_chair	1		6	4	7	13		6								1		627
home_xiulian_putuan_sd_001	InterFurnNpc	蒲团	npc\npcitem923	icon\funcnpc\cj_040001.png	333	5	2		0	ng_state_1		1	buf_jj_tongyong	buf_jj_tongyong	buf_jj_pt_006_bf	buf_jj_pt_006_1_bf					27148		200	buf_jj_not_pt	1		6	2	7	4		6								1		624
home_chuang_sd_002	ShareFurnitureNpc	双人塌	npc\npcitem924	icon\funcnpc\cj_040001.png	333	5	2		9			1			buf_jj_yt_006_bf	buf_jj_yt_006_1_bf					27148		200	buf_jj_not_bed	1		6	4	4	6		6	"1,Point01,interact548,buf_jj_using_bed,,interact548;2,Point02,interact549,buf_jj_using_bed,,interact549;"	1						1		626
																																										
//15年圣诞																																										
home_chuang_sd_003	ShareFurnitureNpc	朱纱紫熏榻	npc\home_chuang_sd_03	icon\funcnpc\cj_040001.png	333	5	2		7			1			buf_jj_yt_006_bf	buf_jj_yt_006_1_bf					27148		200	buf_jj_not_bed	1		6	4	4	6		6	"1,Point01,interact546,buf_jj_using_bed,,interact546;2,Point02,interact547,buf_jj_using_bed,,interact547;"	2						1		626
home_chuang_sd_004	ShareFurnitureNpc	白玉冰凌椅	npc\home_chuang_sd_04	icon\funcnpc\cj_040001.png	333	5	2		9			1			buf_jj_yt_006_bf	buf_jj_yt_006_1_bf					27148		200	buf_jj_not_bed	1		6	4	4	6		6	"1,Point02,interact548,buf_jj_using_bed,,interact548;2,Point01,interact549,buf_jj_using_bed,,interact549;"	1						1		626
home_xiulian_yuchi_sd_002	ShareFurnitureNpc	卧龙浴池	npc\home_xiulian_yuchi_sd_02	icon\funcnpc\cj_040001.png	333	5	2		8			1									27148		200	buf_jj_not_yt	1		6	4	4	5	4389		"1,Point01,interact550_yc,buf_jj_using_yt,,interact550_yc;Point01,interact550_yc,buf_jj_using_yt,,interact550_yc;2,Point02,interact550_yc,buf_jj_using_yt_fs,,interact550_yc;Point02,interact550_yc,buf_jj_using_yt_fs,,interact550_yc;"	2						1		
home_light_sd_004	InterFurnNpc	鹤灯	npc\home_light_sd_04	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_sd_3	200		1		5	2	7	7										1		
home_yi_sd_005	ShareFurnitureNpc	金帛楠木榻	npc\home_yi_sd_05	icon\funcnpc\cj_040001.png	333	5	2		9			1			buf_jj_chair_006	buf_jj_chair_006_1					27148		200	buf_jj_not_chair	1		6	4	4	13		6	"1,Point01,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;2,Point02,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;"	2						1		627
home_light_sd_003	InterFurnNpc	半月灯	npc\home_light_sd_03	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_sd_3	200		1		5	2	7	7										1		
																																										
//庭院座椅																																										
home_yi_out_001	InterFurnNpc	椅子	npc\npcitem1051	icon\funcnpc\cj_040001.png	333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_006	buf_jj_chair_006_1			0		27148		20	buf_jj_not_chair	1		6	4	7	13		6								1		627
home_yi_out_002	ShareFurnitureNpc	双人长凳	npc\npcitem1054	icon\funcnpc\cj_040001.png	333	5	2		23			1			buf_jj_chair_005	buf_jj_chair_005_1					27148		60	buf_jj_not_chair	1		6	4	4	6		6	"1,Point01,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;2,Point02,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;"	2						1		627
home_table_out_001	ShareFurnitureNpc	石桌椅组合	npc\npcitem1052	icon\funcnpc\cj_040001.png	333	5	2		23			1			buf_jj_chair_005	buf_jj_chair_005_1					27148		100	buf_jj_not_chair	1		6	4	4	6		6	"1,Point01,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;2,Point02,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;3,Point03,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;4,Point04,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;"	2						1		627
home_yi_out_003	ShareFurnitureNpc	椅子	npc\npcitem1053	icon\funcnpc\cj_040001.png	333	5	2		23			1			buf_jj_chair_005	buf_jj_chair_005_1					27148		100	buf_jj_not_chair	1		6	4	4	6		6	"1,Point01,interact590,buf_jj_ty_chair,,interact590;"	1						1		627
home_yi_tree_001	ShareFurnitureNpc	秋千树（双人）	npc\npcitem1085_1	icon\funcnpc\cj_040001.png	333	5	2		23			1			buf_jj_chair_005	buf_jj_chair_005_1					27148		200	buf_jj_not_chair	1		6	4	4	6		6	"1,Point01,interact595_2,buf_jj_ty_chair,,interact595_4;2,Point02,interact595_1,buf_jj_ty_chair,,interact595_3;"	2						1	action	627
