NPC±àºÅ	¶ÔÏóÀàÐÍ	Ãû³Æ	Ä£ÐÍ±àºÅ			NPCÖÖÀàID	ÏìÓ¦·¶Î§	Ñ¡Ôñ²Ù×÷·ÖÀà	½Å±¾±àºÅ	²É¼¯·¶Î§	²É¼¯¶¯×÷Ãû	¶ÁÌõÊ±¼ä(ms)	µôÂä	ÎÞÊ°È¡ÎïÏûÊ§Ê±¼ä£¨s£©	×î´óÏûÊ§Ê±¼ä(s)	±¦Ïä¿ªÆôÇ°ÌØÐ§	±¦Ïä¿ªÆôºóÌØÐ§	Ô¿³×ÊýÁ¿	Ô¿³×id	NPCÌØÐ§Ãû³Æ	Êó±êÐÎ×´	¿ªÆôÌõ¼þ	Ëõ·Å	·ÖÅäÀàÐÍ	´æÔÚÊ±¼ä	´óÌÓÉ±×¨ÓÃ	ÍÅ¶ÓÏÔÊ¾µÀ¾ß																
BoxNpc10073	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox06005	3	900						28																						
BoxNpc10074	BoxNpc	¾«ÖÂµÄºÐ×Ó	npc\fbmac003020	icon\funcnpc\fbmac003020.png	161		3	9		2	interact041	5000	NormalBox01004	3	900						28																						
BoxNpc10075	BoxNpc	¾«ÖÂµÄºÐ×Ó	npc\fbmac003020	icon\funcnpc\fbmac003020.png	161		3	9		2	interact041	5000	NormalBox02004	3	900						28																						
BoxNpc10076	BoxNpc	¾«ÖÂµÄºÐ×Ó	npc\fbmac003020	icon\funcnpc\fbmac003020.png	161		3	9		2	interact041	5000	NormalBox03004	3	900						28																						
BoxNpc10077	BoxNpc	¾«ÖÂµÄºÐ×Ó	npc\fbmac003020	icon\funcnpc\fbmac003020.png	161		3	9		2	interact041	5000	NormalBox04004	3	900						28																						
BoxNpc10078	BoxNpc	¾«ÖÂµÄºÐ×Ó	npc\fbmac003020	icon\funcnpc\fbmac003020.png	161		3	9		2	interact041	5000	NormalBox05004	3	900						28																						
BoxNpc10079	BoxNpc	³Â¾ÉµÄÄ¾Ïä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox03003	3	900						28																						
BoxNpc10080	BoxNpc	¾«ÖÂµÄÏä×Ó	npc\itemboxnpc002	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	5000	NormalBox06004	3	900						28																						
BoxNpc10081	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox01005	3	900						28																						
BoxNpc10082	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox02005	3	900						28																						
BoxNpc10083	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox03005	3	900						28																						
BoxNpc10084	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox04005	3	900						28																						
BoxNpc10085	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox05005	3	900						28																						
BoxNpc10086	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox06005	3	900						28																						
BoxNpc10087	BoxNpc	¾«ÖÂµÄºÐ×Ó	npc\fbmac003020	icon\funcnpc\fbmac003020.png	161		3	9		2	interact041	5000	NormalBox02004	3	900						28																						
BoxNpc10088	BoxNpc	¾«ÖÂµÄºÐ×Ó	npc\fbmac003020	icon\funcnpc\fbmac003020.png	161		3	9		2	interact041	5000	NormalBox03004	3	900						28																						
BoxNpc10089	BoxNpc	¾«ÖÂµÄºÐ×Ó	npc\fbmac003020	icon\funcnpc\fbmac003020.png	161		3	9		2	interact041	5000	NormalBox04004	3	900						28																						
BoxNpc10090	BoxNpc	¾«ÖÂµÄºÐ×Ó	npc\fbmac003020	icon\funcnpc\fbmac003020.png	161		3	9		2	interact041	5000	NormalBox05004	3	900						28																						
BoxNpc10091	BoxNpc	¾«ÖÂµÄºÐ×Ó	npc\fbmac003020	icon\funcnpc\fbmac003020.png	161		3	9		2	interact041	5000	NormalBox06004	3	900						28																						
BoxNpc_CJshow_10092	BoxNpc	³Â¾ÉÌúÏä	npc\fbmac003020	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	3000	Enchou_Hexin_1805		120000			1	key_cjshow_tuzhi01		9																						
BoxNpc_CJshow_10093	BoxNpc	³Â¾ÉÌúÏä	npc\fbmac003020	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	3000	Enchou_Hexin_2006		120000			1	key_cjshow_tuzhi02		9																						
BoxNpc10092	BoxNpc	¾ÆÌ³	npc\itemnpc001	icon\funcnpc\	161		3	9		3	interact041	0	NormalBox01006	1	120000						28																						
BoxNpc10093	BoxNpc	Ò©	npc\itemnpc041	icon\funcnpc\	161		3	9		3	interact041	0	NormalBox01007	1	120000						28																						
BoxNpc10094	BoxNpc	¶¾Ò©Æ¿	npc\itemnpc666	icon\funcnpc\	161		3	9		3	interact041	0	NormalBox01008	1	120000						28																						
BoxNpc10095	BoxNpc	Ê×ÊÎºÐ	npc\fbmac003020	icon\funcnpc\itemnpc005.png	161		3	9		3	interact041	0	NormalBox01005	1	120000						28																						
BoxNpc10096	BoxNpc	Ç®´ü	npc\itemnpc439	icon\funcnpc\	161		3	9		3	interact041	0	NormalBox01009	1	120000						28																						
BoxNpc10097	BoxNpc	ÒÂ¹ñ	npc\fbmac003024	icon\funcnpc\	161		3	9		3	interact041	0	NormalBox01000	1	120000						28																						
BoxNpc10098	BoxNpc	ÍÁ¶Ñ	npc\cj_106028c	icon\funcnpc\	161		3	9		3	interact041	0	NormalBox01009	1	120000						28																						
																																											
																																											
																																											
		ºÐ×Ó20000~21000																																									
BoxNpc20000	BoxNpc	ÉñÃØºÐ×Ó1	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10001																														
BoxNpc20001	BoxNpc	ÉñÃØºÐ×Ó2	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10002																														
BoxNpc20002	BoxNpc	ÉñÃØºÐ×Ó3	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10003																														
BoxNpc20003	BoxNpc	ÉñÃØºÐ×Ó4	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10004																														
BoxNpc20004	BoxNpc	ÉñÃØºÐ×Ó5	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10005																														
BoxNpc20005	BoxNpc	ÉñÃØºÐ×Ó6	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10006																														
BoxNpc20006	BoxNpc	ÉñÃØºÐ×Ó7	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10007																														
BoxNpc20007	BoxNpc	ÉñÃØºÐ×Ó8	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10008																														
BoxNpc20008	BoxNpc	ÉñÃØºÐ×Ó9	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10009																														
BoxNpc20009	BoxNpc	ÉñÃØºÐ×Ó10	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10010																														
BoxNpc20010	BoxNpc	ÉñÃØºÐ×Ó11	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10011																														
BoxNpc20011	BoxNpc	ÉñÃØºÐ×Ó12	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10012																														
BoxNpc20012	BoxNpc	ÉñÃØºÐ×Ó13	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10013																														
BoxNpc20013	BoxNpc	ÉñÃØºÐ×Ó14	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10014																														
BoxNpc20014	BoxNpc	ÉñÃØºÐ×Ó15	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10015																														
BoxNpc20015	BoxNpc	ÉñÃØºÐ×Ó16	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10016																														
BoxNpc20016	BoxNpc	ÉñÃØºÐ×Ó17	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10017																														
BoxNpc20017	BoxNpc	ÉñÃØºÐ×Ó18	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10018																														
BoxNpc20018	BoxNpc	ÉñÃØºÐ×Ó19	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10019																														
BoxNpc20019	BoxNpc	ÉñÃØºÐ×Ó20	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	wizardbox10020																														
																																											
		//Ö§Ïß21000~22000																																									
BoxNpc21000	BoxNpc	ÌØÊâ²¶ÊÞ¼Ð	npc\npcitem339	icon\prop\prop289.png	161		3	9		2	interact041	3000	dmonrv04066								9	9832																					
																																											
		//ÔËïÚ22001~22100																																									
BoxNpc22001	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22002	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22003	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22004	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22005	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22006	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22007	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22008	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22009	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22010	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22011	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22012	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22013	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22014	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22015	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22016	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22017	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22018	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
