NPC±àºÅ	¶ÔÏóÀàÐÍ	Ãû³Æ	Ä£ÐÍ±àºÅ	NPCÀàÐÍ	ÏìÓ¦·¶Î§	Ñ¡Ôñ²Ù×÷·ÖÀà	ÐÔ±ð(0:ÄÐ 1:Å®)	½Å±¾±àºÅ	NPCËù¹Ò°óµãÊôÐÔ		Ö°ÒµID	AI±à¼­°ü	µÀ¾ßid	Ôö¼Ó»ªÀö¶È	·çË®Öµ	¼ìË÷·¶Î§	×î¶àÓÐÐ§·çË®¼Ò¾ßÊýÁ¿	¼Ò¾ßÀàÐÍ	¼Ò¾ßµµ´Î	¼Ò¾ßÂÌÈ¦Òþ²Ø
home_xiulian_muren_005	FurnitureNpc	Ä¾ÈË×®-5	npc\itemnpc919	333	5	2								120	5	2	6	14		1
home_xiulian_muren_006	FurnitureNpc	Ä¾ÈË×®-6	npc\itemnpc920	333	5	2								200	6	2	6	14		1
																				
																				
home_zhuang_mu_001	FurnitureNpc	Êá×±Ì¨Ä¾-1	npc\itemnpc946	333	5	2								5	1	3	4	15		1
home_zhuang_mu_002	FurnitureNpc	Êá×±Ì¨Ä¾-2	npc\itemnpc947	333	5	2								20	2	3	4	15		1
home_zhuang_mu_003	FurnitureNpc	Êá×±Ì¨Ä¾-3	npc\itemnpc948	333	5	2								40	3	3	4	15		1
home_zhuang_mu_004	FurnitureNpc	Êá×±Ì¨Ä¾-4	npc\itemnpc949	333	5	2								70	4	3	4	15		1
home_zhuang_mu_005	FurnitureNpc	Êá×±Ì¨Ä¾-5	npc\itemnpc950	333	5	2								120	5	3	4	15		1
home_zhuang_mu_006	FurnitureNpc	Êá×±Ì¨Ä¾-6	npc\itemnpc951	333	5	2								200	6	3	4	15		1
																				
home_zhuang_zhu_001	FurnitureNpc	Êá×±Ì¨Öñ-1	npc\itemnpc955	333	5	2								5	1	3	4	15		1
home_zhuang_zhu_002	FurnitureNpc	Êá×±Ì¨Öñ-2	npc\itemnpc956	333	5	2								20	2	3	4	15		1
home_zhuang_zhu_003	FurnitureNpc	Êá×±Ì¨Öñ-3	npc\itemnpc957	333	5	2								40	3	3	4	15		1
																				
home_zhuang_shi_001	FurnitureNpc	Êá×±Ì¨Ê¯-1	npc\itemnpc952	333	5	2								5	1	3	4	15		1
home_zhuang_shi_002	FurnitureNpc	Êá×±Ì¨Ê¯-2	npc\itemnpc953	333	5	2								20	2	3	4	15		1
home_zhuang_shi_003	FurnitureNpc	Êá×±Ì¨Ê¯-3	npc\itemnpc954	333	5	2								40	3	3	4	15		1
																				
																				
home_pingfeng_mu_001	FurnitureNpc	ÆÁ·çÄ¾-1	npc\itemnpc984	333	5	2								5	1	4	5	17		1
home_pingfeng_mu_002	FurnitureNpc	ÆÁ·çÄ¾-2	npc\itemnpc985	333	5	2								20	2	4	5	17		1
home_pingfeng_mu_003	FurnitureNpc	ÆÁ·çÄ¾-3	npc\itemnpc986	333	5	2								40	3	4	5	17		1
home_pingfeng_mu_004	FurnitureNpc	ÆÁ·çÄ¾-4	npc\itemnpc987	333	5	2								70	4	4	5	17		1
home_pingfeng_mu_005	FurnitureNpc	ÆÁ·çÄ¾-5	npc\itemnpc988	333	5	2								120	5	4	5	17		1
home_pingfeng_mu_006	FurnitureNpc	ÆÁ·çÄ¾-6	npc\itemnpc989	333	5	2								200	6	4	5	17		1
																				
home_pingfeng_zhu_001	FurnitureNpc	ÆÁ·çÖñ-1	npc\itemnpc998	333	5	2								5	1	4	5	17		1
home_pingfeng_zhu_002	FurnitureNpc	ÆÁ·çÖñ-2	npc\itemnpc999	333	5	2								20	2	4	5	17		1
home_pingfeng_zhu_003	FurnitureNpc	ÆÁ·çÖñ-3	npc\itemnpc1000	333	5	2								40	3	4	5	17		1
home_pingfeng_zhu_004	FurnitureNpc	ÆÁ·çÖñ-4	npc\itemnpc1001	333	5	2								70	4	4	5	17		1
home_pingfeng_zhu_005	FurnitureNpc	ÆÁ·çÖñ-5	npc\itemnpc1002	333	5	2								120	5	4	5	17		1
home_pingfeng_zhu_006	FurnitureNpc	ÆÁ·çÖñ-6	npc\itemnpc1003	333	5	2								200	6	4	5	17		1
																				
home_pingfeng_shi_001	FurnitureNpc	ÆÁ·çÊ¯-1	npc\itemnpc992	333	5	2								5	1	4	5	17		1
home_pingfeng_shi_002	FurnitureNpc	ÆÁ·çÊ¯-2	npc\itemnpc993	333	5	2								20	2	4	5	17		1
home_pingfeng_shi_003	FurnitureNpc	ÆÁ·çÊ¯-3	npc\itemnpc994	333	5	2								40	3	4	5	17		1
home_pingfeng_shi_004	FurnitureNpc	ÆÁ·çÊ¯-4	npc\itemnpc995	333	5	2								70	4	4	5	17		1
home_pingfeng_shi_005	FurnitureNpc	ÆÁ·çÊ¯-5	npc\itemnpc996	333	5	2								120	5	4	5	17		1
home_pingfeng_shi_006	FurnitureNpc	ÆÁ·çÊ¯-6	npc\itemnpc997	333	5	2								200	6	4	5	17		1
																				
																				
home_ditan_001	FurnitureNpc	µØÌº-1-1	npc\itemnpc1005	333	5	2												18		1
home_ditan_002	FurnitureNpc	µØÌº-1-1	npc\itemnpc1006	333	5	2												18		1
home_ditan_003	FurnitureNpc	µØÌº-2-1	npc\itemnpc1016	333	5	2												18		1
home_ditan_004	FurnitureNpc	µØÌº-2-1	npc\itemnpc1004	333	5	2												18		1
home_ditan_005	FurnitureNpc	µØÌº-3-1	npc\itemnpc1008	333	5	2												18		1
home_ditan_006	FurnitureNpc	µØÌº-3-1	npc\itemnpc1009	333	5	2												18		1
home_ditan_007	FurnitureNpc	µØÌº-4-1	npc\itemnpc1010	333	5	2												18		1
home_ditan_008	FurnitureNpc	µØÌº-4-1	npc\itemnpc1014	333	5	2												18		1
home_ditan_009	FurnitureNpc	µØÌº-5-1	npc\itemnpc1015	333	5	2												18		1
home_ditan_010	FurnitureNpc	µØÌº-6-1	npc\itemnpc1011	333	5	2												18		1
																				
																				
home_zihua_001	FurnitureNpc	×Ö»­	npc\itemnpc1017	333	5	2								5	1			19		1
home_zihua_002	FurnitureNpc	×Ö»­	npc\itemnpc1018	333	5	2								5	1			19		1
home_zihua_003	FurnitureNpc	×Ö»­	npc\itemnpc1019	333	5	2								5	1			19		1
home_zihua_004	FurnitureNpc	×Ö»­	npc\itemnpc1020	333	5	2								5	1			19		1
home_zihua_005	FurnitureNpc	×Ö»­	npc\itemnpc1021	333	5	2								5	1			19		1
home_zihua_006	FurnitureNpc	×Ö»­	npc\itemnpc1022	333	5	2								5	1			19		1
home_zihua_007	FurnitureNpc	×Ö»­	npc\itemnpc1023	333	5	2								5	1			19		1
home_zihua_008	FurnitureNpc	×Ö»­	npc\itemnpc1024	333	5	2								5	1			19		1
home_zihua_009	FurnitureNpc	×Ö»­	npc\itemnpc1025	333	5	2								5	1			19		1
home_zihua_010	FurnitureNpc	×Ö»­	npc\itemnpc1026	333	5	2								5	1			19		1
home_zihua_011	FurnitureNpc	×Ö»­	npc\itemnpc1027	333	5	2								5	1			19		1
home_zihua_012	FurnitureNpc	×Ö»­	npc\itemnpc1028	333	5	2								5	1			19		1
home_zihua_013	FurnitureNpc	×Ö»­	npc\itemnpc1029	333	5	2								5	1			19		1
home_zihua_014	FurnitureNpc	×Ö»­	npc\itemnpc1030	333	5	2								5	1			19		1
home_zihua_015	FurnitureNpc	×Ö»­	npc\itemnpc1031	333	5	2								5	1			19		1
home_zihua_016	FurnitureNpc	×Ö»­	npc\itemnpc1032	333	5	2								5	1			19		1
home_zihua_017	FurnitureNpc	×Ö»­	npc\itemnpc1033	333	5	2								5	1			19		1
home_zihua_018	FurnitureNpc	×Ö»­	npc\itemnpc1034	333	5	2								5	1			19		1
home_zihua_019	FurnitureNpc	×Ö»­	npc\itemnpc1035	333	5	2								5	1			19		1
home_zihua_020	FurnitureNpc	×Ö»­	npc\itemnpc1036	333	5	2								5	1			19		1
home_zihua_021	FurnitureNpc	×Ö»­	npc\itemnpc1037	333	5	2								5	1			19		1
home_zihua_022	FurnitureNpc	×Ö»­	npc\itemnpc1038	333	5	2								5	1			19		1
																				
																				
home_chuanlian_001	FurnitureNpc	´°Á±-1	npc\itemnpc1063	333	5	2														
home_chuanlian_002	FurnitureNpc	´°Á±-2	npc\itemnpc1064	333	5	2														
home_chuanlian_003	FurnitureNpc	´°Á±-3	npc\itemnpc1065	333	5	2														
home_chuanlian_004	FurnitureNpc	´°Á±-4	npc\itemnpc1066	333	5	2														
home_chuanlian_005	FurnitureNpc	´°Á±-5	npc\itemnpc1067	333	5	2														
home_chuanlian_006	FurnitureNpc	´°Á±-6	npc\itemnpc1068	333	5	2														
																				
																				
home_penzai_001	FurnitureNpc	ÅèÔÔ-1	npc\itemnpc1069	333	5	2												16		1
home_penzai_002	FurnitureNpc	ÅèÔÔ-1	npc\itemnpc1070	333	5	2												16		1
home_penzai_003	FurnitureNpc	ÅèÔÔ-2	npc\itemnpc1071	333	5	2								20				16		1
home_penzai_004	FurnitureNpc	ÅèÔÔ-2	npc\itemnpc1072	333	5	2												16		1
home_penzai_005	FurnitureNpc	ÅèÔÔ-3	npc\itemnpc1073	333	5	2												16		1
home_penzai_006	FurnitureNpc	ÅèÔÔ-3	npc\itemnpc1074	333	5	2												16		1
home_penzai_007	FurnitureNpc	ÅèÔÔ-4	npc\itemnpc1075	333	5	2												16		1
home_penzai_008	FurnitureNpc	ÅèÔÔ-4	npc\itemnpc1076	333	5	2												16		1
home_penzai_009	FurnitureNpc	ÅèÔÔ-5	npc\itemnpc1077	333	5	2												16		1
home_penzai_010	FurnitureNpc	ÅèÔÔ-6	npc\itemnpc1078	333	5	2												16		1
																				
																				
home_chugui_mu_001	FurnitureNpc	³÷¹ñÄ¾-1	npc\itemnpc1175	333	5	2								5	1	3	4	11		1
home_chugui_mu_002	FurnitureNpc	³÷¹ñÄ¾-2	npc\itemnpc1176	333	5	2								20	2	3	4	11		1
home_chugui_mu_003	FurnitureNpc	³÷¹ñÄ¾-3	npc\itemnpc1177	333	5	2								40	3	3	4	11		1
																				
home_chugui_zhu_001	FurnitureNpc	³÷¹ñÖñ-1	npc\itemnpc1179	333	5	2								5	1	3	4	11		1
home_chugui_zhu_002	FurnitureNpc	³÷¹ñÖñ-2	npc\itemnpc1180	333	5	2								20	2	3	4	11		1
home_chugui_zhu_003	FurnitureNpc	³÷¹ñÖñ-3	npc\itemnpc1181	333	5	2								40	3	3	4	11		1
																				
																				
home_xiangzi_001	FurnitureNpc	Ïä×ÓÄ¾	npc\itemnpc1174	333	5	2								5	1	2	6	10		1
home_xiangzi_002	FurnitureNpc	Ïä×ÓÖñ	npc\itemnpc1178	333	5	2								20	2	2	6	10		1
home_xiangzi_003	FurnitureNpc	Ïä×Ó-1	npc\itemnpc1182	333	5	2								40	3	2	6	10		1
home_xiangzi_004	FurnitureNpc	Ïä×Ó-2	npc\itemnpc1183	333	5	2								70	4	2	6	10		1
																				
																				
home_zhuo_mu_001	SaveFurnNpc	Ä¾×À-1	npc\itemnpc1199	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					5	1	4	4	12		1
home_zhuo_mu_002	SaveFurnNpc	Ä¾×À-2	npc\itemnpc1200	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					20	2	4	4	12		1
home_zhuo_mu_003	SaveFurnNpc	Ä¾×À-3	npc\itemnpc1201	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					40	3	4	4	12		1
home_zhuo_mu_004	SaveFurnNpc	Ä¾×À-4	npc\itemnpc1202	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					70	4	4	4	12		1
home_zhuo_mu_005	SaveFurnNpc	Ä¾×À-5	npc\itemnpc1203	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					120	5	4	4	12		1
																				
home_zhuo_mt_001	FurnitureNpc	Ä¾Ìõ×À-1	npc\itemnpc1204	333	5	2								5	1	4	4	12		1
home_zhuo_mt_002	FurnitureNpc	Ä¾Ìõ×À-2	npc\itemnpc1207	333	5	2								20	2	4	4	12		1
home_zhuo_mt_003	FurnitureNpc	Ä¾Ìõ×À-3	npc\itemnpc1206	333	5	2								40	3	4	4	12		1
home_zhuo_mt_004	FurnitureNpc	Ä¾Ìõ×À-4	npc\itemnpc1205	333	5	2								70	4	4	4	12		1
																				
home_zhuo_zhu_001	SaveFurnNpc	Öñ×À-1	npc\itemnpc1208	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					5	1	4	4	12		1
home_zhuo_zhu_002	SaveFurnNpc	Öñ×À-2	npc\itemnpc1209	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					20	2	4	4	12		1
home_zhuo_zhu_003	SaveFurnNpc	Öñ×À-3	npc\itemnpc1210	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					40	3	4	4	12		1
																				
home_zhuo_shi_001	SaveFurnNpc	Ê¯×À-1	npc\itemnpc1213	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					5	1	4	4	12		1
home_zhuo_shi_002	SaveFurnNpc	Ê¯×À-2	npc\itemnpc1214	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					20	2	4	4	12		1
home_zhuo_shi_003	SaveFurnNpc	Ê¯×À-3	npc\itemnpc1215	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					40	3	4	4	12		1
																				
home_huajia_mu_001	SaveFurnNpc	»¨¼ÜÄ¾-1	npc\itemnpc1079	333	5	2			"6,Home_Point_1,,;"					5	1	2	6	20		1
home_huajia_mu_002	SaveFurnNpc	»¨¼ÜÄ¾-3	npc\itemnpc1080	333	5	2			"6,Home_Point_1,,;"					20	2	2	6	20		1
home_huajia_mu_003	SaveFurnNpc	»¨¼ÜÄ¾-6	npc\itemnpc1081	333	5	2			"6,Home_Point_1,,;"					40	3	2	6	20		1
																				
home_huajia_zhu_001	SaveFurnNpc	»¨¼ÜÖñ-1	npc\itemnpc1085	333	5	2			"6,Home_Point_1,,;"					5	1	2	6	20		1
home_huajia_zhu_002	SaveFurnNpc	»¨¼ÜÖñ-3	npc\itemnpc1086	333	5	2			"6,Home_Point_1,,;"					20	2	2	6	20		1
home_huajia_zhu_003	SaveFurnNpc	»¨¼ÜÖñ-6	npc\itemnpc1087	333	5	2			"6,Home_Point_1,,;"					40	3	2	6	20		1
																				
home_huajia_shi_001	SaveFurnNpc	»¨¼ÜÊ¯-1	npc\itemnpc1082	333	5	2			"6,Home_Point_1,,;"					5	1	2	6	20		1
home_huajia_shi_002	SaveFurnNpc	»¨¼ÜÊ¯-3	npc\itemnpc1083	333	5	2			"6,Home_Point_1,,;"					20	2	2	6	20		1
home_huajia_shi_003	SaveFurnNpc	»¨¼ÜÊ¯-6	npc\itemnpc1084	333	5	2			"6,Home_Point_1,,;"					40	3	2	6	20		1
																				
																				
home_guizi_mu_001	SaveFurnNpc	¹ñ×ÓÄ¾-1	npc\itemnpc1045	333	5	2			"1,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;1,Home_Point_6,,;1,Home_Point_7,,;1,Home_Point_8,,;"					5	1	4	6	9		1
home_guizi_mu_002	SaveFurnNpc	¹ñ×ÓÄ¾-2	npc\itemnpc1046	333	5	2			"2,Home_Point_1,,;2,Home_Point_2,,;2,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;1,Home_Point_6,,;1,Home_Point_7,,;2,Home_Point_8,,;2,Home_Point_9,,;2,Home_Point_10,,;"					20	2	4	6	9		1
home_guizi_mu_003	SaveFurnNpc	¹ñ×ÓÄ¾-3	npc\itemnpc1047	333	5	2			"3,Home_Point_1,,;2,Home_Point_2,,;2,Home_Point_3,,;2,Home_Point_4,,;2,Home_Point_5,,;2,Home_Point_6,,;2,Home_Point_7,,;1,Home_Point_8,,;1,Home_Point_9,,;"					40	3	4	6	9		1
home_guizi_mu_004	SaveFurnNpc	¹ñ×ÓÄ¾-4	npc\itemnpc1048	333	5	2			"2,Home_Point_1,,;3,Home_Point_2,,;2,Home_Point_3,,;2,Home_Point_4,,;2,Home_Point_5,,;3,Home_Point_6,,;2,Home_Point_7,,;4,Home_Point_8,,;1,Home_Point_9,,;1,Home_Point_10,,;"					70	4	4	6	9		1
home_guizi_mu_005	SaveFurnNpc	¹ñ×ÓÄ¾-5	npc\itemnpc1049	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;3,Home_Point_3,,;1,Home_Point_4,,;5,Home_Point_5,,;4,Home_Point_6,,;"					120	5	4	6	9		1
home_guizi_mu_006	SaveFurnNpc	¹ñ×ÓÄ¾-6	npc\itemnpc1050	333	5	2			"2,Home_Point_1,,;2,Home_Point_2,,;2,Home_Point_3,,;2,Home_Point_4,,;3,Home_Point_5,,;2,Home_Point_6,,;2,Home_Point_7,,;6,Home_Point_8,,;"					200	6	4	6	9		1
																				
home_guizi_shi_001	SaveFurnNpc	¹ñ×ÓÊ¯-1	npc\itemnpc1051	333	5	2			"1,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;1,Home_Point_6,,;1,Home_Point_7,,;1,Home_Point_8,,;1,Home_Point_9,,;1,Home_Point_10,,;"					5	1	4	6	9		1
home_guizi_shi_002	SaveFurnNpc	¹ñ×ÓÊ¯-2	npc\itemnpc1052	333	5	2			"1,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;1,Home_Point_6,,;2,Home_Point_7,,;2,Home_Point_8,,;"					20	2	4	6	9		1
home_guizi_shi_003	SaveFurnNpc	¹ñ×ÓÊ¯-3	npc\itemnpc1053	333	5	2			"1,Home_Point_1,,;3,Home_Point_2,,;2,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;1,Home_Point_6,,;"					40	3	4	6	9		1
home_guizi_shi_004	SaveFurnNpc	¹ñ×ÓÊ¯-4	npc\itemnpc1054	333	5	2			"2,Home_Point_1,,;4,Home_Point_2,,;2,Home_Point_3,,;2,Home_Point_4,,;2,Home_Point_5,,;2,Home_Point_6,,;2,Home_Point_7,,;"					70	4	4	6	9		1
home_guizi_shi_005	SaveFurnNpc	¹ñ×ÓÊ¯-5	npc\itemnpc1055	333	5	2			"1,Home_Point_1,,;3,Home_Point_2,,;1,Home_Point_3,,;5,Home_Point_4,,;2,Home_Point_5,,;2,Home_Point_6,,;5,Home_Point_7,,;"					120	5	4	6	9		1
home_guizi_shi_006	SaveFurnNpc	¹ñ×ÓÊ¯-6	npc\itemnpc1056	333	5	2			"3,Home_Point_1,,;4,Home_Point_2,,;3,Home_Point_3,,;2,Home_Point_4,,;1,Home_Point_5,,;1,Home_Point_6,,;6,Home_Point_7,,;"					200	6	4	6	9		1
																				
home_guizi_zhu_001	SaveFurnNpc	¹ñ×ÓÖñ-1	npc\itemnpc1057	333	5	2			"1,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;1,Home_Point_6,,;1,Home_Point_7,,;1,Home_Point_8,,;1,Home_Point_9,,;1,Home_Point_10,,;"					5	1	4	6	9		1
home_guizi_zhu_002	SaveFurnNpc	¹ñ×ÓÖñ-2	npc\itemnpc1058	333	5	2			"2,Home_Point_1,,;2,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;2,Home_Point_6,,;2,Home_Point_7,,;1,Home_Point_8,,;1,Home_Point_9,,;1,Home_Point_10,,;"					20	2	4	6	9		1
home_guizi_zhu_003	SaveFurnNpc	¹ñ×ÓÖñ-3	npc\itemnpc1059	333	5	2			"1,Home_Point_1,,;3,Home_Point_2,,;1,Home_Point_3,,;3,Home_Point_4,,;2,Home_Point_5,,;3,Home_Point_6,,;2,Home_Point_7,,;"					40	3	4	6	9		1
home_guizi_zhu_004	SaveFurnNpc	¹ñ×ÓÖñ-4	npc\itemnpc1060	333	5	2			"1,Home_Point_1,,;1,Home_Point_2,,;2,Home_Point_3,,;2,Home_Point_4,,;2,Home_Point_5,,;1,Home_Point_6,,;3,Home_Point_7,,;4,Home_Point_8,,;"					70	4	4	6	9		1
home_guizi_zhu_005	SaveFurnNpc	¹ñ×ÓÖñ-5	npc\itemnpc1061	333	5	2			"1,Home_Point_1,,;1,Home_Point_2,,;4,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;1,Home_Point_6,,;5,Home_Point_7,,;1,Home_Point_8,,;"					120	5	4	6	9		1
home_guizi_zhu_006	SaveFurnNpc	¹ñ×ÓÖñ-6	npc\itemnpc1062	333	5	2			"1,Home_Point_1,,;1,Home_Point_2,,;2,Home_Point_3,,;2,Home_Point_4,,;5,Home_Point_5,,;3,Home_Point_6,,;"					200	6	4	6	9		1
																				
home_chongwu_gou1_npc	HomePetNpc	ÖÐ»ªÌïÔ°È®	npc\petm_110301	333	5	2							pet_new_gou1_line							1
home_chongwu_gou2_npc	HomePetNpc	ºÚ±³	npc\petm_110302	333	5	2							pet_new_gou2_line							1
home_chongwu_gou3_npc	HomePetNpc	²Øéá	npc\petm_110303	333	5	2							pet_new_gou3_line							1
home_chongwu_ying1_npc	HomePetNpc	°×µñ	npc\petm_100301	333	5	2							pet_new_ying1_line							1
home_chongwu_ying2_npc	HomePetNpc	Ã¨Í·Ó¥	npc\petm_100302	333	5	2							pet_new_ying2_line							1
home_chongwu_ying3_npc	HomePetNpc	½ðµñ	npc\petm_100303	333	5	2							pet_new_ying3_line							1
home_chongwu_hou1_npc	HomePetNpc	â¨ºï	npc\petm_090301	333	5	2							pet_new_hou1_line							1
home_chongwu_hou2_npc	HomePetNpc	Ô³ºï	npc\petm_090302	333	5	2							pet_new_hou2_line							1
home_chongwu_hou3_npc	HomePetNpc	½ðË¿ºï	npc\petm_090303	333	5	2							pet_new_hou3_line							1
home_chongwu_diao1_npc	HomePetNpc	ÖÓÁéõõ	npc\petm_120301	333	5	2							pet_new_diao1_line							1
home_chongwu_diao2_npc	HomePetNpc	ÉÁµçõõ	npc\petm_120302	333	5	2							pet_new_diao2_line							1
home_chongwu_diao3_npc	HomePetNpc	ÐÜÃ¨õõ	npc\petm_120303	333	5	2							pet_new_diao3_line							1
home_chongwu_huli_npc	HomePetNpc	°¢Àê	npc\petm_130302	333	5	2							pet_new_huli_line							1
																				
home_xn	HomeToolBoxNpc	ÐÐÄÒ¼Ü	npc\itemnpc1352	333	5	2					home_toolbox	2894								1
home_wuxuexl_001_npc	HomeWuXueNpc	ÎäÑ§Êé¼Ü	npc\npcitem776	333	5	2														1
home_wuxuexl_002_npc	HomeWuXueNpc	ÎäÑ§Êé¼Ü	npc\npcitem776	333	5	2														1
																				
home_aizhuo_mu_001	FurnitureNpc	°«×À-1	npc\itemnpc1461	333	5	2								5						1
home_aizhuo_mu_002	FurnitureNpc	°«×À-2	npc\itemnpc1462	333	5	2								20						1
home_aizhuo_mu_003	FurnitureNpc	°«×À-3	npc\itemnpc1463	333	5	2								40						1
																				
home_xilianjia_mu_001	FurnitureNpc	Ï´Á³¼Ü-1	npc\itemnpc1467	333	5	2								5						1
home_xilianjia_mu_002	FurnitureNpc	Ï´Á³¼Ü-2	npc\itemnpc1468	333	5	2								20						1
home_xilianjia_mu_003	FurnitureNpc	Ï´Á³¼Ü-3	npc\itemnpc1469	333	5	2								40						1
																				
home_yichu_001	ClothespressNpc	ÒÂ³÷-1	npc\itemnpc1177	333	5	2								40	1	3	4	11	6	1
home_yichu_002	ClothespressNpc	ÒÂ³÷-2	npc\itemnpc1176	333	5	2								70	2	3	4	11	12	1
home_yichu_003	ClothespressNpc	ÒÂ³÷-3	npc\itemnpc1177	333	5	2								120	3	3	4	11	18	1
																				
//Ê¥µ®¼Ò¾ß																				
home_ditan_sd_001	FurnitureNpc	Å¯¶¬µØÌº	npc\npcitem910	333	5	2												18		1
home_zhuangshi_sd_001	FurnitureNpc	Ñ©ÈËÏÀÊ¿	npc\npcitem912	333	5	2								70				19		1
home_zhuangshi_sd_002	FurnitureNpc	»ðÊ÷Òø»¨	npc\npcitem913	333	5	2								70				19		1
