NPC编号	对象类型	名称	模型编号	脚本编号	AI编号	巡逻模式	寻路是是否转向	走路速度	跑步速度	路径编号	NPC类型	NPC种类ID	响应范围	是否可见	是否可被攻击	是否需要判断高度	Y轴上多近的距离才算触发	是否需要判断矩形触发范围	矩形的边长	矩形的边宽	AI编辑包	存在时间
yhgtaofa_huoyan1	TriggerNpc	火焰1	npc\guildeffect003								52	4	0	0	1			0			2419	
yhgtaofa_huoyan2	TriggerNpc	火焰2	npc\guildeffect008								52	4	0	0	1			0			2419	
yhgtaofa_huoyan3	TriggerNpc	火焰3	npc\guildeffect002								52	4	0	0	1			0			2419	
yhgtaofa_huoyan4	TriggerNpc	火焰4	npc\guildeffect001								52	4	0	0	1			0			2419	
																						
																						
		//无根门																				
Trigger_wgm_001	TriggerNpc	宝箱刷新点	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_002	TriggerNpc	修罗道怪物1刷新点	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_003	TriggerNpc	修罗道怪物2刷新点	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_004	TriggerNpc	信号弹使用地点1	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_005	TriggerNpc	信号弹使用地点2	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_006	TriggerNpc	信号弹使用地点3	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_007	TriggerNpc	进入徐家庄分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_008	TriggerNpc	进入金针沈家分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_009	TriggerNpc	进入万兽山庄分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_010	TriggerNpc	离开徐家庄分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_011	TriggerNpc	离开金针沈家分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_012	TriggerNpc	离开万兽山庄分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_013	TriggerNpc	进入巡逻分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_014	TriggerNpc	离开巡逻分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_015	TriggerNpc	进入金陵分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_016	TriggerNpc	离开金陵分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_017	TriggerNpc	进入无根门分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_wgm_018	TriggerNpc	离开无根门分组场景NPC	npc\itemnpc057								202	4	20	1	1			0				
																						
		//快活岛																				
Trigger_khd_001	TriggerNpc	夺宝周期触发NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_khd_002	TriggerNpc	范围检测NPC	npc\itemnpc057								202	4	150	1	1			0				
Trigger_khd_003	TriggerNpc	迷宫修罗道检测NPC	npc\itemnpc057								202	4	20	1	1			0				
Trigger_khd_004	TriggerNpc	花球位置	npc\itemnpc057								202	4	20	1	1			0				
																						
		//移花宫势力BOSS																				
yhgslboss001	TriggerNpc	回复类1	npc\itemnpc057_yhg05								202	4	2	0	1			0			2634	
yhgslboss002	TriggerNpc	回复类2	npc\itemnpc057_yhg05								202	4	2	0	1			0			2635	
yhgslboss003	TriggerNpc	回复类3	npc\itemnpc057_yhg05								202	4	2	0	1			0			2636	
yhgslboss004	TriggerNpc	属性增益类1	npc\itemnpc057_yhg06								202	4	2	0	1			0			2703	
yhgslboss005	TriggerNpc	移花宫势力BOSS使用5	npc\itemnpc057								202	4	5	0	1			0			2704	
yhgslboss006	TriggerNpc	属性增益类2	npc\itemnpc057_yhg06								202	4	2	0	1			0			2696	
yhgslboss007	TriggerNpc	属性增益类3	npc\itemnpc057_yhg06								202	4	2	0	1			0			2697	
yhgslboss008	TriggerNpc	属性增益类4	npc\itemnpc057_yhg06								202	4	2	0	1			0			2698	
yhgslboss009	TriggerNpc	免疫类1	npc\itemnpc057_yhg07								202	4	2	0	1			0			2699	
yhgslboss010	TriggerNpc	免疫类2	npc\itemnpc057_yhg07								202	4	2	0	1			0			2700	
yhgslboss011	TriggerNpc	免疫类3	npc\itemnpc057_yhg07								202	4	2	0	1			0			2701	
yhgslboss012	TriggerNpc	免疫类3	npc\itemnpc057_yhg07								202	4	2	0	1			0			2702	
yhgslboss013	TriggerNpc	传送门显示	npc\itemnpc057_yhg08								202	4	2	0	1			0				
newworld_event_xiake_209	TriggerNpc	玄	npc\xktxd_005								52	4	0	0	1			0				
newworld_event_xiake_210	TriggerNpc	赤	npc\xktxd_006								52	4	0	0	1			0				
newworld_event_xiake_211	TriggerNpc	毒	npc\xktxd_007								52	4	0	0	1			0				
newworld_event_xiake_213	TriggerNpc	剑	npc\xktxd_001								52	4	0	0	1			0				
newworld_event_xiake_214	TriggerNpc	星河	npc\xktxd_002								52	4	0	0	1			0				
newworld_event_xiake_215	TriggerNpc	火焰	npc\xktxd_003								52	4	0	0	1			0				2000
newworld_event_xiake_216	TriggerNpc	黑洞	npc\xktxd_004								52	4	0	0	1			0				
