NPC编号	对象类型	名称	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	脚本编号	模型列表	采集动作名	刷新间隔时间(hour)	单次采集次数	最大单次采集次数	最大采集次数	掉落ID	偷窃掉落ID	成熟效果	风水值	检索范围	家具关系
home_caiji_qs020	HomeGatherNpc	采集家具	npc\itemnpc1089		333	4	5	2		npc\itemnpc1089;npc\itemnpc1133	life_ys_01	1		2	10	home_caiji_kuanggong004	home_caiji_kg004				
home_caiji_qs021	HomeGatherNpc	采集家具	npc\itemnpc1090		333	4	5	2		npc\itemnpc1090;npc\itemnpc1134	life_ys_01	1		3	15	home_caiji_kuanggong004	home_caiji_kg004				
home_caiji_qs022	HomeGatherNpc	采集家具	npc\itemnpc1091		333	4	5	2		npc\itemnpc1091;npc\itemnpc1135	life_ys_01	1		4	20	home_caiji_kuanggong004	home_caiji_kg004				
home_caiji_qs023	HomeGatherNpc	采集家具	npc\itemnpc1092		333	4	5	2		npc\itemnpc1092;npc\itemnpc1136	life_ys_01	1		5	25	home_caiji_kuanggong004	home_caiji_kg004				
home_caiji_qs024	HomeGatherNpc	采集家具	npc\itemnpc1093		333	4	5	2		npc\itemnpc1093;npc\itemnpc1137	life_ys_01	1		6	30	home_caiji_kuanggong004	home_caiji_kg004				
home_caiji_qs025	HomeGatherNpc	采集家具	npc\itemnpc1088		333	4	5	2		npc\itemnpc1088;npc\itemnpc1132	life_ys_01	1		1	5	home_caiji_kuanggong005	home_caiji_kg005				
home_caiji_qs026	HomeGatherNpc	采集家具	npc\itemnpc1089		333	4	5	2		npc\itemnpc1089;npc\itemnpc1133	life_ys_01	1		2	10	home_caiji_kuanggong005	home_caiji_kg005				
home_caiji_qs027	HomeGatherNpc	采集家具	npc\itemnpc1090		333	4	5	2		npc\itemnpc1090;npc\itemnpc1134	life_ys_01	1		3	15	home_caiji_kuanggong005	home_caiji_kg005				
home_caiji_qs028	HomeGatherNpc	采集家具	npc\itemnpc1091		333	4	5	2		npc\itemnpc1091;npc\itemnpc1135	life_ys_01	1		4	20	home_caiji_kuanggong005	home_caiji_kg005				
home_caiji_qs029	HomeGatherNpc	采集家具	npc\itemnpc1092		333	4	5	2		npc\itemnpc1092;npc\itemnpc1136	life_ys_01	1		5	25	home_caiji_kuanggong005	home_caiji_kg005				
home_caiji_qs030	HomeGatherNpc	采集家具	npc\itemnpc1093		333	4	5	2		npc\itemnpc1093;npc\itemnpc1137	life_ys_01	1		6	30	home_caiji_kuanggong005	home_caiji_kg005				
																					
																					
home_caiji_yg001	HomeGatherNpc	采集家具	npc\itemnpc1094		333	4	5	2		npc\itemnpc1094;npc\itemnpc1138	life_ys_01	1		1	5	home_caiji_yufu001	home_caiji_yf001				
home_caiji_yg002	HomeGatherNpc	采集家具	npc\itemnpc1095		333	4	5	2		npc\itemnpc1095;npc\itemnpc1139	life_ys_01	1		2	10	home_caiji_yufu001	home_caiji_yf001				
home_caiji_yg003	HomeGatherNpc	采集家具	npc\itemnpc1096		333	4	5	2		npc\itemnpc1096;npc\itemnpc1140	life_ys_01	1		3	15	home_caiji_yufu001	home_caiji_yf001				
home_caiji_yg004	HomeGatherNpc	采集家具	npc\itemnpc1097		333	4	5	2		npc\itemnpc1097;npc\itemnpc1141	life_ys_01	1		4	20	home_caiji_yufu001	home_caiji_yf001				
home_caiji_yg005	HomeGatherNpc	采集家具	npc\itemnpc1098		333	4	5	2		npc\itemnpc1098;npc\itemnpc1142	life_ys_01	1		5	25	home_caiji_yufu001	home_caiji_yf001				
home_caiji_yg006	HomeGatherNpc	采集家具	npc\itemnpc1099		333	4	5	2		npc\itemnpc1099;npc\itemnpc1143	life_ys_01	1		6	30	home_caiji_yufu001	home_caiji_yf001				
home_caiji_yg007	HomeGatherNpc	采集家具	npc\itemnpc1094		333	4	5	2		npc\itemnpc1094;npc\itemnpc1138	life_ys_01	1		1	5	home_caiji_yufu002	home_caiji_yf002				
home_caiji_yg008	HomeGatherNpc	采集家具	npc\itemnpc1095		333	4	5	2		npc\itemnpc1095;npc\itemnpc1139	life_ys_01	1		2	10	home_caiji_yufu002	home_caiji_yf002				
home_caiji_yg009	HomeGatherNpc	采集家具	npc\itemnpc1096		333	4	5	2		npc\itemnpc1096;npc\itemnpc1140	life_ys_01	1		3	15	home_caiji_yufu002	home_caiji_yf002				
home_caiji_yg010	HomeGatherNpc	采集家具	npc\itemnpc1097		333	4	5	2		npc\itemnpc1097;npc\itemnpc1141	life_ys_01	1		4	20	home_caiji_yufu002	home_caiji_yf002				
home_caiji_yg011	HomeGatherNpc	采集家具	npc\itemnpc1098		333	4	5	2		npc\itemnpc1098;npc\itemnpc1142	life_ys_01	1		5	25	home_caiji_yufu002	home_caiji_yf002				
home_caiji_yg012	HomeGatherNpc	采集家具	npc\itemnpc1099		333	4	5	2		npc\itemnpc1099;npc\itemnpc1143	life_ys_01	1		6	30	home_caiji_yufu002	home_caiji_yf002				
home_caiji_yg013	HomeGatherNpc	采集家具	npc\itemnpc1094		333	4	5	2		npc\itemnpc1094;npc\itemnpc1138	life_ys_01	1		1	5	home_caiji_yufu003	home_caiji_yf003				
home_caiji_yg014	HomeGatherNpc	采集家具	npc\itemnpc1095		333	4	5	2		npc\itemnpc1095;npc\itemnpc1139	life_ys_01	1		2	10	home_caiji_yufu003	home_caiji_yf003				
home_caiji_yg015	HomeGatherNpc	采集家具	npc\itemnpc1096		333	4	5	2		npc\itemnpc1096;npc\itemnpc1140	life_ys_01	1		3	15	home_caiji_yufu003	home_caiji_yf003				
home_caiji_yg016	HomeGatherNpc	采集家具	npc\itemnpc1097		333	4	5	2		npc\itemnpc1097;npc\itemnpc1141	life_ys_01	1		4	20	home_caiji_yufu003	home_caiji_yf003				
home_caiji_yg017	HomeGatherNpc	采集家具	npc\itemnpc1098		333	4	5	2		npc\itemnpc1098;npc\itemnpc1142	life_ys_01	1		5	25	home_caiji_yufu003	home_caiji_yf003				
home_caiji_yg018	HomeGatherNpc	采集家具	npc\itemnpc1099		333	4	5	2		npc\itemnpc1099;npc\itemnpc1143	life_ys_01	1		6	30	home_caiji_yufu003	home_caiji_yf003				
home_caiji_yg019	HomeGatherNpc	采集家具	npc\itemnpc1094		333	4	5	2		npc\itemnpc1094;npc\itemnpc1138	life_ys_01	1		1	5	home_caiji_yufu004	home_caiji_yf004				
home_caiji_yg020	HomeGatherNpc	采集家具	npc\itemnpc1095		333	4	5	2		npc\itemnpc1095;npc\itemnpc1139	life_ys_01	1		2	10	home_caiji_yufu004	home_caiji_yf004				
home_caiji_yg021	HomeGatherNpc	采集家具	npc\itemnpc1096		333	4	5	2		npc\itemnpc1096;npc\itemnpc1140	life_ys_01	1		3	15	home_caiji_yufu004	home_caiji_yf004				
home_caiji_yg022	HomeGatherNpc	采集家具	npc\itemnpc1097		333	4	5	2		npc\itemnpc1097;npc\itemnpc1141	life_ys_01	1		4	20	home_caiji_yufu004	home_caiji_yf004				
home_caiji_yg023	HomeGatherNpc	采集家具	npc\itemnpc1098		333	4	5	2		npc\itemnpc1098;npc\itemnpc1142	life_ys_01	1		5	25	home_caiji_yufu004	home_caiji_yf004				
home_caiji_yg024	HomeGatherNpc	采集家具	npc\itemnpc1099		333	4	5	2		npc\itemnpc1099;npc\itemnpc1143	life_ys_01	1		6	30	home_caiji_yufu004	home_caiji_yf004				
home_caiji_yg025	HomeGatherNpc	采集家具	npc\itemnpc1094		333	4	5	2		npc\itemnpc1094;npc\itemnpc1138	life_ys_01	1		1	5	home_caiji_yufu005	home_caiji_yf005				
home_caiji_yg026	HomeGatherNpc	采集家具	npc\itemnpc1095		333	4	5	2		npc\itemnpc1095;npc\itemnpc1139	life_ys_01	1		2	10	home_caiji_yufu005	home_caiji_yf005				
home_caiji_yg027	HomeGatherNpc	采集家具	npc\itemnpc1096		333	4	5	2		npc\itemnpc1096;npc\itemnpc1140	life_ys_01	1		3	15	home_caiji_yufu005	home_caiji_yf005				
home_caiji_yg028	HomeGatherNpc	采集家具	npc\itemnpc1097		333	4	5	2		npc\itemnpc1097;npc\itemnpc1141	life_ys_01	1		4	20	home_caiji_yufu005	home_caiji_yf005				
home_caiji_yg029	HomeGatherNpc	采集家具	npc\itemnpc1098		333	4	5	2		npc\itemnpc1098;npc\itemnpc1142	life_ys_01	1		5	25	home_caiji_yufu005	home_caiji_yf005				
home_caiji_yg030	HomeGatherNpc	采集家具	npc\itemnpc1099		333	4	5	2		npc\itemnpc1099;npc\itemnpc1143	life_ys_01	1		6	30	home_caiji_yufu005	home_caiji_yf005				
																					
																					
home_caiji_sl001	HomeGatherNpc	采集家具	npc\itemnpc1100		333	4	5	2		npc\itemnpc1100;npc\itemnpc1144	life_ys_01	1		1	5	home_caiji_liehu001	home_caiji_lh001				
home_caiji_sl002	HomeGatherNpc	采集家具	npc\itemnpc1101		333	4	5	2		npc\itemnpc1101;npc\itemnpc1145	life_ys_01	1		2	10	home_caiji_liehu001	home_caiji_lh001				
home_caiji_sl003	HomeGatherNpc	采集家具	npc\itemnpc1102		333	4	5	2		npc\itemnpc1102;npc\itemnpc1146	life_ys_01	1		3	15	home_caiji_liehu001	home_caiji_lh001				
home_caiji_sl004	HomeGatherNpc	采集家具	npc\itemnpc1103		333	4	5	2		npc\itemnpc1103;npc\itemnpc1147	life_ys_01	1		4	20	home_caiji_liehu001	home_caiji_lh001				
home_caiji_sl005	HomeGatherNpc	采集家具	npc\itemnpc1104		333	4	5	2		npc\itemnpc1104;npc\itemnpc1148	life_ys_01	1		5	25	home_caiji_liehu001	home_caiji_lh001				
home_caiji_sl006	HomeGatherNpc	采集家具	npc\itemnpc1105		333	4	5	2		npc\itemnpc1105;npc\itemnpc1149	life_ys_01	1		6	30	home_caiji_liehu001	home_caiji_lh001				
home_caiji_sl007	HomeGatherNpc	采集家具	npc\itemnpc1100		333	4	5	2		npc\itemnpc1100;npc\itemnpc1144	life_ys_01	1		1	5	home_caiji_liehu002	home_caiji_lh002				
home_caiji_sl008	HomeGatherNpc	采集家具	npc\itemnpc1101		333	4	5	2		npc\itemnpc1101;npc\itemnpc1145	life_ys_01	1		2	10	home_caiji_liehu002	home_caiji_lh002				
home_caiji_sl009	HomeGatherNpc	采集家具	npc\itemnpc1102		333	4	5	2		npc\itemnpc1102;npc\itemnpc1146	life_ys_01	1		3	15	home_caiji_liehu002	home_caiji_lh002				
home_caiji_sl010	HomeGatherNpc	采集家具	npc\itemnpc1103		333	4	5	2		npc\itemnpc1103;npc\itemnpc1147	life_ys_01	1		4	20	home_caiji_liehu002	home_caiji_lh002				
home_caiji_sl011	HomeGatherNpc	采集家具	npc\itemnpc1104		333	4	5	2		npc\itemnpc1104;npc\itemnpc1148	life_ys_01	1		5	25	home_caiji_liehu002	home_caiji_lh002				
home_caiji_sl012	HomeGatherNpc	采集家具	npc\itemnpc1105		333	4	5	2		npc\itemnpc1105;npc\itemnpc1149	life_ys_01	1		6	30	home_caiji_liehu002	home_caiji_lh002				
home_caiji_sl013	HomeGatherNpc	采集家具	npc\itemnpc1100		333	4	5	2		npc\itemnpc1100;npc\itemnpc1144	life_ys_01	1		1	5	home_caiji_liehu003	home_caiji_lh003				
home_caiji_sl014	HomeGatherNpc	采集家具	npc\itemnpc1101		333	4	5	2		npc\itemnpc1101;npc\itemnpc1145	life_ys_01	1		2	10	home_caiji_liehu003	home_caiji_lh003				
home_caiji_sl015	HomeGatherNpc	采集家具	npc\itemnpc1102		333	4	5	2		npc\itemnpc1102;npc\itemnpc1146	life_ys_01	1		3	15	home_caiji_liehu003	home_caiji_lh003				
home_caiji_sl016	HomeGatherNpc	采集家具	npc\itemnpc1103		333	4	5	2		npc\itemnpc1103;npc\itemnpc1147	life_ys_01	1		4	20	home_caiji_liehu003	home_caiji_lh003				
home_caiji_sl017	HomeGatherNpc	采集家具	npc\itemnpc1104		333	4	5	2		npc\itemnpc1104;npc\itemnpc1148	life_ys_01	1		5	25	home_caiji_liehu003	home_caiji_lh003				
home_caiji_sl018	HomeGatherNpc	采集家具	npc\itemnpc1105		333	4	5	2		npc\itemnpc1105;npc\itemnpc1149	life_ys_01	1		6	30	home_caiji_liehu003	home_caiji_lh003				
home_caiji_sl019	HomeGatherNpc	采集家具	npc\itemnpc1100		333	4	5	2		npc\itemnpc1100;npc\itemnpc1144	life_ys_01	1		1	5	home_caiji_liehu004	home_caiji_lh004				
home_caiji_sl020	HomeGatherNpc	采集家具	npc\itemnpc1101		333	4	5	2		npc\itemnpc1101;npc\itemnpc1145	life_ys_01	1		2	10	home_caiji_liehu004	home_caiji_lh004				
home_caiji_sl021	HomeGatherNpc	采集家具	npc\itemnpc1102		333	4	5	2		npc\itemnpc1102;npc\itemnpc1146	life_ys_01	1		3	15	home_caiji_liehu004	home_caiji_lh004				
home_caiji_sl022	HomeGatherNpc	采集家具	npc\itemnpc1103		333	4	5	2		npc\itemnpc1103;npc\itemnpc1147	life_ys_01	1		4	20	home_caiji_liehu004	home_caiji_lh004				
home_caiji_sl023	HomeGatherNpc	采集家具	npc\itemnpc1104		333	4	5	2		npc\itemnpc1104;npc\itemnpc1148	life_ys_01	1		5	25	home_caiji_liehu004	home_caiji_lh004				
home_caiji_sl024	HomeGatherNpc	采集家具	npc\itemnpc1105		333	4	5	2		npc\itemnpc1105;npc\itemnpc1149	life_ys_01	1		6	30	home_caiji_liehu004	home_caiji_lh004				
home_caiji_sl025	HomeGatherNpc	采集家具	npc\itemnpc1100		333	4	5	2		npc\itemnpc1100;npc\itemnpc1144	life_ys_01	1		1	5	home_caiji_liehu005	home_caiji_lh005				
home_caiji_sl026	HomeGatherNpc	采集家具	npc\itemnpc1101		333	4	5	2		npc\itemnpc1101;npc\itemnpc1145	life_ys_01	1		2	10	home_caiji_liehu005	home_caiji_lh005				
home_caiji_sl027	HomeGatherNpc	采集家具	npc\itemnpc1102		333	4	5	2		npc\itemnpc1102;npc\itemnpc1146	life_ys_01	1		3	15	home_caiji_liehu005	home_caiji_lh005				
home_caiji_sl028	HomeGatherNpc	采集家具	npc\itemnpc1103		333	4	5	2		npc\itemnpc1103;npc\itemnpc1147	life_ys_01	1		4	20	home_caiji_liehu005	home_caiji_lh005				
home_caiji_sl029	HomeGatherNpc	采集家具	npc\itemnpc1104		333	4	5	2		npc\itemnpc1104;npc\itemnpc1148	life_ys_01	1		5	25	home_caiji_liehu005	home_caiji_lh005				
home_caiji_sl030	HomeGatherNpc	采集家具	npc\itemnpc1105		333	4	5	2		npc\itemnpc1105;npc\itemnpc1149	life_ys_01	1		6	30	home_caiji_liehu005	home_caiji_lh005				
																					
																					
home_caiji_nf001	HomeGatherNpc	采集家具	npc\itemnpc1106		333	4	5	2		npc\itemnpc1106;npc\itemnpc1150	life_ys_01	1		1	5	home_caiji_nongfu001	home_caiji_nf001				
home_caiji_nf002	HomeGatherNpc	采集家具	npc\itemnpc1107		333	4	5	2		npc\itemnpc1107;npc\itemnpc1151	life_ys_01	1		2	10	home_caiji_nongfu001	home_caiji_nf001				
home_caiji_nf003	HomeGatherNpc	采集家具	npc\itemnpc1108		333	4	5	2		npc\itemnpc1108;npc\itemnpc1152	life_ys_01	1		3	15	home_caiji_nongfu001	home_caiji_nf001				
home_caiji_nf004	HomeGatherNpc	采集家具	npc\itemnpc1109		333	4	5	2		npc\itemnpc1109;npc\itemnpc1153	life_ys_01	1		4	20	home_caiji_nongfu001	home_caiji_nf001				
home_caiji_nf005	HomeGatherNpc	采集家具	npc\itemnpc1110		333	4	5	2		npc\itemnpc1110;npc\itemnpc1154	life_ys_01	1		5	25	home_caiji_nongfu001	home_caiji_nf001				
home_caiji_nf006	HomeGatherNpc	采集家具	npc\itemnpc1111		333	4	5	2		npc\itemnpc1111;npc\itemnpc1155	life_ys_01	1		6	30	home_caiji_nongfu001	home_caiji_nf001				
home_caiji_nf007	HomeGatherNpc	采集家具	npc\itemnpc1106		333	4	5	2		npc\itemnpc1106;npc\itemnpc1150	life_ys_01	1		1	5	home_caiji_nongfu002	home_caiji_nf002				
home_caiji_nf008	HomeGatherNpc	采集家具	npc\itemnpc1107		333	4	5	2		npc\itemnpc1107;npc\itemnpc1151	life_ys_01	1		2	10	home_caiji_nongfu002	home_caiji_nf002				
home_caiji_nf009	HomeGatherNpc	采集家具	npc\itemnpc1108		333	4	5	2		npc\itemnpc1108;npc\itemnpc1152	life_ys_01	1		3	15	home_caiji_nongfu002	home_caiji_nf002				
home_caiji_nf010	HomeGatherNpc	采集家具	npc\itemnpc1109		333	4	5	2		npc\itemnpc1109;npc\itemnpc1153	life_ys_01	1		4	20	home_caiji_nongfu002	home_caiji_nf002				
home_caiji_nf011	HomeGatherNpc	采集家具	npc\itemnpc1110		333	4	5	2		npc\itemnpc1110;npc\itemnpc1154	life_ys_01	1		5	25	home_caiji_nongfu002	home_caiji_nf002				
home_caiji_nf012	HomeGatherNpc	采集家具	npc\itemnpc1111		333	4	5	2		npc\itemnpc1111;npc\itemnpc1155	life_ys_01	1		6	30	home_caiji_nongfu002	home_caiji_nf002				
home_caiji_nf013	HomeGatherNpc	采集家具	npc\itemnpc1106		333	4	5	2		npc\itemnpc1106;npc\itemnpc1150	life_ys_01	1		1	5	home_caiji_nongfu003	home_caiji_nf003				
home_caiji_nf014	HomeGatherNpc	采集家具	npc\itemnpc1107		333	4	5	2		npc\itemnpc1107;npc\itemnpc1151	life_ys_01	1		2	10	home_caiji_nongfu003	home_caiji_nf003				
home_caiji_nf015	HomeGatherNpc	采集家具	npc\itemnpc1108		333	4	5	2		npc\itemnpc1108;npc\itemnpc1152	life_ys_01	1		3	15	home_caiji_nongfu003	home_caiji_nf003				
home_caiji_nf016	HomeGatherNpc	采集家具	npc\itemnpc1109		333	4	5	2		npc\itemnpc1109;npc\itemnpc1153	life_ys_01	1		4	20	home_caiji_nongfu003	home_caiji_nf003				
home_caiji_nf017	HomeGatherNpc	采集家具	npc\itemnpc1110		333	4	5	2		npc\itemnpc1110;npc\itemnpc1154	life_ys_01	1		5	25	home_caiji_nongfu003	home_caiji_nf003				
home_caiji_nf018	HomeGatherNpc	采集家具	npc\itemnpc1111		333	4	5	2		npc\itemnpc1111;npc\itemnpc1155	life_ys_01	1		6	30	home_caiji_nongfu003	home_caiji_nf003				
home_caiji_nf019	HomeGatherNpc	采集家具	npc\itemnpc1106		333	4	5	2		npc\itemnpc1106;npc\itemnpc1150	life_ys_01	1		1	5	home_caiji_nongfu004	home_caiji_nf004				
home_caiji_nf020	HomeGatherNpc	采集家具	npc\itemnpc1107		333	4	5	2		npc\itemnpc1107;npc\itemnpc1151	life_ys_01	1		2	10	home_caiji_nongfu004	home_caiji_nf004				
home_caiji_nf021	HomeGatherNpc	采集家具	npc\itemnpc1108		333	4	5	2		npc\itemnpc1108;npc\itemnpc1152	life_ys_01	1		3	15	home_caiji_nongfu004	home_caiji_nf004				
home_caiji_nf022	HomeGatherNpc	采集家具	npc\itemnpc1109		333	4	5	2		npc\itemnpc1109;npc\itemnpc1153	life_ys_01	1		4	20	home_caiji_nongfu004	home_caiji_nf004				
home_caiji_nf023	HomeGatherNpc	采集家具	npc\itemnpc1110		333	4	5	2		npc\itemnpc1110;npc\itemnpc1154	life_ys_01	1		5	25	home_caiji_nongfu004	home_caiji_nf004				
home_caiji_nf024	HomeGatherNpc	采集家具	npc\itemnpc1111		333	4	5	2		npc\itemnpc1111;npc\itemnpc1155	life_ys_01	1		6	30	home_caiji_nongfu004	home_caiji_nf004				
home_caiji_nf025	HomeGatherNpc	采集家具	npc\itemnpc1106		333	4	5	2		npc\itemnpc1106;npc\itemnpc1150	life_ys_01	1		1	5	home_caiji_nongfu005	home_caiji_nf005				
home_caiji_nf026	HomeGatherNpc	采集家具	npc\itemnpc1107		333	4	5	2		npc\itemnpc1107;npc\itemnpc1151	life_ys_01	1		2	10	home_caiji_nongfu005	home_caiji_nf005				
home_caiji_nf027	HomeGatherNpc	采集家具	npc\itemnpc1108		333	4	5	2		npc\itemnpc1108;npc\itemnpc1152	life_ys_01	1		3	15	home_caiji_nongfu005	home_caiji_nf005				
home_caiji_nf028	HomeGatherNpc	采集家具	npc\itemnpc1109		333	4	5	2		npc\itemnpc1109;npc\itemnpc1153	life_ys_01	1		4	20	home_caiji_nongfu005	home_caiji_nf005				
home_caiji_nf029	HomeGatherNpc	采集家具	npc\itemnpc1110		333	4	5	2		npc\itemnpc1110;npc\itemnpc1154	life_ys_01	1		5	25	home_caiji_nongfu005	home_caiji_nf005				
home_caiji_nf030	HomeGatherNpc	采集家具	npc\itemnpc1111		333	4	5	2		npc\itemnpc1111;npc\itemnpc1155	life_ys_01	1		6	30	home_caiji_nongfu005	home_caiji_nf005				
																					
																					
home_caiji_qf001	HomeGatherNpc	采集家具	npc\itemnpc1112		333	4	5	2		npc\itemnpc1112;npc\itemnpc1156	life_ys_01	1		1	5	home_caiji_qiaofu001	home_caiji_qf001				
home_caiji_qf002	HomeGatherNpc	采集家具	npc\itemnpc1113		333	4	5	2		npc\itemnpc1113;npc\itemnpc1157	life_ys_01	1		2	10	home_caiji_qiaofu001	home_caiji_qf001				
home_caiji_qf003	HomeGatherNpc	采集家具	npc\itemnpc1114		333	4	5	2		npc\itemnpc1114;npc\itemnpc1158	life_ys_01	1		3	15	home_caiji_qiaofu001	home_caiji_qf001				
home_caiji_qf004	HomeGatherNpc	采集家具	npc\itemnpc1115		333	4	5	2		npc\itemnpc1115;npc\itemnpc1159	life_ys_01	1		4	20	home_caiji_qiaofu001	home_caiji_qf001				
home_caiji_qf005	HomeGatherNpc	采集家具	npc\itemnpc1116		333	4	5	2		npc\itemnpc1116;npc\itemnpc1160	life_ys_01	1		5	25	home_caiji_qiaofu001	home_caiji_qf001				
home_caiji_qf006	HomeGatherNpc	采集家具	npc\itemnpc1117		333	4	5	2		npc\itemnpc1117;npc\itemnpc1161	life_ys_01	1		6	30	home_caiji_qiaofu001	home_caiji_qf001				
home_caiji_qf007	HomeGatherNpc	采集家具	npc\itemnpc1112		333	4	5	2		npc\itemnpc1112;npc\itemnpc1156	life_ys_01	1		1	5	home_caiji_qiaofu002	home_caiji_qf002				
home_caiji_qf008	HomeGatherNpc	采集家具	npc\itemnpc1113		333	4	5	2		npc\itemnpc1113;npc\itemnpc1157	life_ys_01	1		2	10	home_caiji_qiaofu002	home_caiji_qf002				
home_caiji_qf009	HomeGatherNpc	采集家具	npc\itemnpc1114		333	4	5	2		npc\itemnpc1114;npc\itemnpc1158	life_ys_01	1		3	15	home_caiji_qiaofu002	home_caiji_qf002				
home_caiji_qf010	HomeGatherNpc	采集家具	npc\itemnpc1115		333	4	5	2		npc\itemnpc1115;npc\itemnpc1159	life_ys_01	1		4	20	home_caiji_qiaofu002	home_caiji_qf002				
home_caiji_qf011	HomeGatherNpc	采集家具	npc\itemnpc1116		333	4	5	2		npc\itemnpc1116;npc\itemnpc1160	life_ys_01	1		5	25	home_caiji_qiaofu002	home_caiji_qf002				
