STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
550	矿工日常任务		25										0	shouzha_6	1							4	1000			
551	矿工日常任务		25										0	shouzha_7	1							4	1000			
552	矿工日常任务		25										0	shouzha_8	1							4	1000			
553	铁匠日常任务		25										0	shouzha_81	1							4	1000			
554	铁匠日常任务		25										0	shouzha_82	1							4	1000			
555	铁匠日常任务		25										0	shouzha_83	1							4	1000			
556	铁匠日常任务		25										0	shouzha_84	1							4	1000			
557	铁匠日常任务		25										0	shouzha_85	1							4	1000			
558	铁匠日常任务		25										0	shouzha_86	1							4	1000			
559	铁匠日常任务		25										0	shouzha_87	1							4	1000			
560	铁匠日常任务		25										0	shouzha_88	1							4	1000			
561	渔夫日常任务		25										0	shouzha_17	1							4	1000			
562	渔夫日常任务		25										0	shouzha_18	1							4	1000			
563	渔夫日常任务		25										0	shouzha_19	1							4	1000			
564	渔夫日常任务		25										0	shouzha_20	1							4	1000			
565	渔夫日常任务		25										0	shouzha_21	1							4	1000			
566	渔夫日常任务		25										0	shouzha_22	1							4	1000			
567	渔夫日常任务		25										0	shouzha_23	1							4	1000			
568	渔夫日常任务		25										0	shouzha_24	1							4	1000			
569	樵夫日常任务		25										0	shouzha_9	1							4	1000			
570	樵夫日常任务		25										0	shouzha_10	1							4	1000			
571	樵夫日常任务		25										0	shouzha_11	1							4	1000			
572	樵夫日常任务		25										0	shouzha_12	1							4	1000			
573	樵夫日常任务		25										0	shouzha_13	1							4	1000			
574	樵夫日常任务		25										0	shouzha_14	1							4	1000			
575	樵夫日常任务		25										0	shouzha_15	1							4	1000			
576	樵夫日常任务		25										0	shouzha_16	1							4	1000			
577	农夫日常任务		25										0	shouzha_25	1							4	1000			
578	农夫日常任务		25										0	shouzha_26	1							4	1000			
579	农夫日常任务		25										0	shouzha_27	1							4	1000			
580	农夫日常任务		25										0	shouzha_28	1							4	1000			
581	农夫日常任务		25										0	shouzha_29	1							4	1000			
582	农夫日常任务		25										0	shouzha_30	1							4	1000			
583	农夫日常任务		25										0	shouzha_31	1							4	1000			
584	农夫日常任务		25										0	shouzha_32	1							4	1000			
585	猎户日常任务		25										0	shouzha_33	1							4	1000			
586	猎户日常任务		25										0	shouzha_34	1							4	1000			
587	猎户日常任务		25										0	shouzha_35	1							4	1000			
588	猎户日常任务		25										0	shouzha_36	1							4	1000			
589	猎户日常任务		25										0	shouzha_37	1							4	1000			
590	猎户日常任务		25										0	shouzha_38	1							4	1000			
591	猎户日常任务		25										0	shouzha_39	1							4	1000			
592	猎户日常任务		25										0	shouzha_40	1							4	1000			
593	裁缝日常任务		25										0	shouzha_65	1							4	1000			
594	裁缝日常任务		25										0	shouzha_66	1							4	1000			
595	裁缝日常任务		25										0	shouzha_67	1							4	1000			
596	裁缝日常任务		25										0	shouzha_68	1							4	1000			
597	裁缝日常任务		25										0	shouzha_69	1							4	1000			
598	裁缝日常任务		25										0	shouzha_70	1							4	1000			
599	裁缝日常任务		25										0	shouzha_71	1							4	1000			
600	裁缝日常任务		25										0	shouzha_72	1							4	1000			
601	巧匠日常任务		25										0	shouzha_73	1							4	1000			
602	巧匠日常任务		25										0	shouzha_74	1							4	1000			
603	巧匠日常任务		25										0	shouzha_75	1							4	1000			
604	巧匠日常任务		25										0	shouzha_76	1							4	1000			
605	巧匠日常任务		25										0	shouzha_77	1							4	1000			
606	巧匠日常任务		25										0	shouzha_78	1							4	1000			
607	巧匠日常任务		25										0	shouzha_79	1							4	1000			
608	巧匠日常任务		25										0	shouzha_80	1							4	1000			
609	药师日常任务		25										0	shouzha_41	1							4	1000			
610	药师日常任务		25										0	shouzha_42	1							4	1000			
611	药师日常任务		25										0	shouzha_43	1							4	1000			
612	药师日常任务		25										0	shouzha_44	1							4	1000			
613	药师日常任务		25										0	shouzha_45	1							4	1000			
614	药师日常任务		25										0	shouzha_46	1							4	1000			
615	药师日常任务		25										0	shouzha_47	1							4	1000			
616	药师日常任务		25										0	shouzha_48	1							4	1000			
617	毒师日常任务		25										0	shouzha_49	1							4	1000			
618	毒师日常任务		25										0	shouzha_50	1							4	1000			
619	毒师日常任务		25										0	shouzha_51	1							4	1000			
620	毒师日常任务		25										0	shouzha_52	1							4	1000			
621	毒师日常任务		25										0	shouzha_53	1							4	1000			
622	毒师日常任务		25										0	shouzha_54	1							4	1000			
623	毒师日常任务		25										0	shouzha_55	1							4	1000			
624	毒师日常任务		25										0	shouzha_56	1							4	1000			
625	厨师日常任务		25										0	shouzha_57	1							4	1000			
626	厨师日常任务		25										0	shouzha_58	1							4	1000			
627	厨师日常任务		25										0	shouzha_59	1							4	1000			
628	厨师日常任务		25										0	shouzha_60	1							4	1000			
629	厨师日常任务		25										0	shouzha_61	1							4	1000			
630	厨师日常任务		25										0	shouzha_62	1							4	1000			
631	厨师日常任务		25										0	shouzha_63	1							4	1000			
632	厨师日常任务		25										0	shouzha_64	1							4	1000			
634	琴师日常任务		25										0	shouzha_89	1							4	1000			
635	琴师日常任务		25										0	shouzha_90	1							4	1000			
636	琴师日常任务		25										0	shouzha_91	1							4	1000			
637	琴师日常任务		25										0	shouzha_92	1							4	1000			
638	琴师日常任务		25										0	shouzha_93	1							4	1000			
639	琴师日常任务		25										0	shouzha_94	1							4	1000			
640	琴师日常任务		25										0	shouzha_95	1							4	1000			
641	琴师日常任务		25										0	shouzha_96	1							4	1000			
643	棋士日常任务		25										0	shouzha_97	1							4	1000			
644	棋士日常任务		25										0	shouzha_98	1							4	1000			
645	棋士日常任务		25										0	shouzha_99	1							4	1000			
646	棋士日常任务		25										0	shouzha_100	1							4	1000			
647	棋士日常任务		25										0	shouzha_101	1							4	1000			
648	棋士日常任务		25										0	shouzha_102	1							4	1000			
649	棋士日常任务		25										0	shouzha_103	1							4	1000			
650	棋士日常任务		25										0	shouzha_104	1							4	1000			
652	书生日常任务		25										0	shouzha_105	1							4	1000			
653	书生日常任务		25										0	shouzha_106	1							4	1000			
654	书生日常任务		25										0	shouzha_107	1							4	1000			
655	书生日常任务		25										0	shouzha_108	1							4	1000			
656	书生日常任务		25										0	shouzha_109	1							4	1000			
657	书生日常任务		25										0	shouzha_110	1							4	1000			
658	书生日常任务		25										0	shouzha_111	1							4	1000			
659	书生日常任务		25										0	shouzha_112	1							4	1000			
661	画师日常任务		25										0	shouzha_113	1							4	1000			
662	画师日常任务		25										0	shouzha_114	1							4	1000			
663	画师日常任务		25										0	shouzha_115	1							4	1000			
664	画师日常任务		25										0	shouzha_116	1							4	1000			
665	画师日常任务		25										0	shouzha_117	1							4	1000			
666	画师日常任务		25										0	shouzha_118	1							4	1000			
667	画师日常任务		25										0	shouzha_119	1							4	1000			
668	画师日常任务		25										0	shouzha_120	1							4	1000			
670	乞丐日常任务		25										0	shouzha_121	1							4	1000			
671	乞丐日常任务		25										0	shouzha_122	1							4	1000			
672	乞丐日常任务		25										0	shouzha_123	1							4	1000			
673	乞丐日常任务		25										0	shouzha_124	1							4	1000			
674	乞丐日常任务		25										0	shouzha_125	1							4	1000			
675	乞丐日常任务		25										0	shouzha_126	1							4	1000			
676	乞丐日常任务		25										0	shouzha_127	1							4	1000			
677	乞丐日常任务		25										0	shouzha_128	1							4	1000			
802	农夫任务（一）												0	nongyao10001	1											
803	农夫任务（二）												0	nongyao10002	1	nongyao10003	1									
805	农夫任务（一）												0	nongyao10001	1											
806	农夫任务（二）												0	nongyao10002	1	nongyao10003	1									
808	农夫任务（一）												0	nongyao10001	1											
809	农夫任务（二）												0	nongyao10002	1	nongyao10003	1									
811	农夫任务（一）												0	nongyao10001	1											
812	农夫任务（二）												0	nongyao10002	1	nongyao10003	1									
814	农夫任务（一）												0	nongyao10001	1											
815	农夫任务（二）												0	nongyao10002	1	nongyao10003	1									
817	农夫任务（一）												0	nongyao10001	1											
818	农夫任务（二）												0	nongyao10001	1	nongyao10003	1									
804	农夫任务（三）		25										0	sh_vip_10004	1							4	1000			
807	农夫任务（三）		25										0	sh_vip_10004	1							4	1000			
810	农夫任务（三）		25										0	sh_vip_10004	1							4	1000			
813	农夫任务（三）		25										0	sh_vip_10004	1							4	1000			
816	农夫任务（三）		25										0	sh_vip_10004	1							4	1000			
819	农夫任务（三）		25										0	sh_vip_10004	1							4	1000			
507	裁缝任务		25																			4	1000			
508	巧匠任务		25																			4	1000			
509	铁匠任务		25																			4	1000			
510	厨师任务		25																			4	1000			
519	乞丐任务		25																			4	1000			
520	卦师任务		25																			4	1000			
708	裁缝任务		25																			4	1000			
709	巧匠任务		25																			4	1000			
710	铁匠任务		25																			4	1000			
711	厨师任务		25																			4	1000			
716	书生任务		25																			4	1000			
717	画师任务		25																			4	1000			
718	棋士任务		25																			4	1000			
719	琴师任务		25																			4	1000			
720	乞丐任务		25																			4	1000			
721	卦师任务		25																			4	1000			
728	裁缝任务		25																			4	1000			
729	巧匠任务		25																			4	1000			
730	铁匠任务		25																			4	1000			
731	厨师任务		25																			4	1000			
736	书生任务		25																			4	1000			
737	画师任务		25																			4	1000			
738	棋士任务		25																			4	1000			
739	琴师任务		25																			4	1000			
740	乞丐任务		25																			4	1000			
741	卦师任务		25																			4	1000			
748	裁缝任务		25																			4	1000			
749	巧匠任务		25																			4	1000			
750	铁匠任务		25																			4	1000			
751	厨师任务		25																			4	1000			
756	书生任务		25																			4	1000			
757	画师任务		25																			4	1000			
758	棋士任务		25																			4	1000			
759	琴师任务		25																			4	1000			
760	乞丐任务		25																			4	1000			
761	卦师任务		25																			4	1000			
768	裁缝任务		25																			4	1000			
769	巧匠任务		25																			4	1000			
770	铁匠任务		25																			4	1000			
771	厨师任务		25																			4	1000			
776	书生任务		25																			4	1000			
777	画师任务		25																			4	1000			
778	棋士任务		25																			4	1000			
779	琴师任务		25																			4	1000			
780	乞丐任务		25																			4	1000			
781	卦师任务		25																			4	1000			
788	裁缝任务		25																			4	1000			
789	巧匠任务		25																			4	1000			
790	铁匠任务		25																			4	1000			
791	厨师任务		25																			4	1000			
796	书生任务		25																			4	1000			
797	画师任务		25																			4	1000			
798	棋士任务		25																			4	1000			
799	琴师任务		25																			4	1000			
800	乞丐任务		25																			4	1000			
801	卦师任务		25																			4	1000			
900	矿工指引		25																			4	1000			
901	铁匠指引		25																			4	1000			
902	渔夫指引		25																			4	1000			
903	樵夫指引		25																			4	1000			
904	农夫指引		25																			4	1000			
905	猎户指引		25																			4	1000			
906	裁缝指引		25																			4	1000			
907	巧匠指引		25																			4	1000			
908	药师指引		25																			4	1000			
909	毒师指引		25																			4	1000			
910	厨师指引		25																			4	1000			
911	七日生活典籍大全												0	dianji	1											
912	赛马迎佳节												0	saima_10001	1											
913	琴师指引		25																			4	1000			
914	棋士指引		25																			4	1000			
915	书生指引		25																			4	1000			
916	画师指引		25																			4	1000			
917	乞丐指引		25																			4	1000			
918	卦师指引		25																			4	1000			
920	千灯狼患		10000			repute_jianghu	100															5	10000			
921	定情信物		10000			repute_jianghu	100															5	10000			
922	定情信物		10000			repute_jianghu	100															5	10000			
923	红尘留迹		10000			repute_jianghu	100															5	10000			
924	红尘留迹		10000			repute_jianghu	100															5	10000			
925	落花有意		10000			repute_jianghu	100															5	10000			
926	流水无情		10000			repute_jianghu	100															5	10000			
931	红尘共舞													mlyqdh_01	1											
960	眉来眼去剑法高阶篇（一）													book_cs_jh_cljf06_2nd	1	book_cs_jh_cljf07_2nd	1									
961	眉来眼去剑法高阶篇（二）													book_cs_jh_cljf04_2nd	1	book_cs_jh_cljf05_2nd	1									
962	眉来眼去剑法高阶篇（三）													book_cs_jh_cljf01_2nd	1	book_cs_jh_cljf02_2nd	1									
963	眉来眼去剑法高阶篇（四）													book_cs_jh_cljf03_2nd	1											
932	矿工指引		25																			4	1000			
933	铁匠指引		25																			4	1000			
934	渔夫指引		25																			4	1000			
935	樵夫指引		25																			4	1000			
936	农夫指引		25																			4	1000			
937	猎户指引		25																			4	1000			
938	裁缝指引		25																			4	1000			
939	巧匠指引		25																			4	1000			
940	药师指引		25																			4	1000			
941	毒师指引		25																			4	1000			
942	厨师指引		25																			4	1000			
943	琴师指引		25																			4	1000			
944	棋士指引		25																			4	1000			
945	书生指引		25																			4	1000			
946	画师指引		25																			4	1000			
947	乞丐指引		25																			4	1000			
948	卦师指引		25																			4	1000			
964	矿工指引		25																			4	1000			
965	铁匠指引		25																			4	1000			
966	渔夫指引		25																			4	1000			
967	樵夫指引		25																			4	1000			
968	农夫指引		25																			4	1000			
969	猎户指引		25																			4	1000			
970	裁缝指引		25																			4	1000			
971	巧匠指引		25																			4	1000			
972	药师指引		25																			4	1000			
973	毒师指引		25																			4	1000			
974	厨师指引		25																			4	1000			
975	琴师指引		25																			4	1000			
976	棋士指引		25																			4	1000			
977	书生指引		25																			4	1000			
978	画师指引		25																			4	1000			
979	乞丐指引		25																			4	1000			
980	卦师指引		25																			4	1000			
981	矿工指引		25																			4	1000			
982	铁匠指引		25																			4	1000			
983	渔夫指引		25																			4	1000			
984	樵夫指引		25																			4	1000			
985	农夫指引		25																			4	1000			
986	猎户指引		25																			4	1000			
987	裁缝指引		25																			4	1000			
988	巧匠指引		25																			4	1000			
989	药师指引		25																			4	1000			
990	毒师指引		25																			4	1000			
991	厨师指引		25																			4	1000			
992	琴师指引		25																			4	1000			
993	棋士指引		25																			4	1000			
994	书生指引		25																			4	1000			
995	画师指引		25																			4	1000			
996	乞丐指引		25																			4	1000			
997	卦师指引		25																			4	1000			
883	矿工指引		25																			4	1000			
884	铁匠指引		25																			4	1000			
885	渔夫指引		25																			4	1000			
886	樵夫指引		25																			4	1000			
887	农夫指引		25																			4	1000			
888	猎户指引		25																			4	1000			
889	裁缝指引		25																			4	1000			
890	巧匠指引		25																			4	1000			
891	药师指引		25																			4	1000			
892	毒师指引		25																			4	1000			
893	厨师指引		25																			4	1000			
894	琴师指引		25																			4	1000			
895	棋士指引		25																			4	1000			
896	书生指引		25																			4	1000			
897	画师指引		25																			4	1000			
898	乞丐指引		25																			4	1000			
899	卦师指引		25																			4	1000			
27502	饥肠辘辘（二）					repute_jianghu	20															5	10000			
27504	饥肠辘辘（二）					repute_jianghu	20															5	10000			
27506	饥肠辘辘（二）					repute_jianghu	20															5	10000			
27508	饥肠辘辘（二）					repute_jianghu	20															5	10000			
27510	饥肠辘辘（二）					repute_jianghu	20															5	10000			
27511	学习更多生活职业					repute_jianghu	10															5	5000			
27512	学习更多生活职业					repute_jianghu	10															5	5000			
27513	学习更多生活职业					repute_jianghu	10															5	5000			
27514	学习更多生活职业					repute_jianghu	10															5	5000			
27520	夜会佳人													item_khd_002	5											
27540	七情花蝶													box_qrj_01	1											
27541	碧桃初绽娇满园													fqrwdj_1009	16											
27542	七情花蝶													box_qrj_01	1											
27543	碧桃初绽娇满园													fqrwdj_1009	16											
27555	荷舞藏渊													box_lxc_hhd_mxm02	1											
27568	凌霄城													box_lxc_hhd_mxm03	1											
