STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
24031	神秘女子	s010103		2500		33	repute_jianghu	120															5	4000		
24035	拙手灵药	s010103		2500		33	repute_jianghu	100						0	wrist_jh_10101	1	caiyao20007	5	caiyao20007	5			5	4000		
24034	仗义相救	s010103		2500		33	repute_jianghu	120															5	4000		
24036	仗义相救	s010103		2500		33	repute_jianghu	100				60153	1	0	amulet_jh_10101	1	TASKBAG_002_a	1					5	4000		
24037	暗渡陈仓	s010104		3500		33	repute_jianghu	120				60154	0										5	4000		
24039	暗渡陈仓	s010104		3500		71	repute_jianghu	100															5	5000		
24040	暗渡陈仓	s010104		3500		71	repute_jianghu	120						0	ear_jh_10101	1							5	5000		
24041	追向茶林	s010104		3500		71	repute_jianghu	100															5	5000		
24044	捣毁窝点	s010104		3500		72	repute_jianghu	120						1	wrist_jh_20101	1	helmet_jh_20103	1	pants_jh_20103	1			5	5000		
24046	捣毁窝点	s010104		3500		80	repute_jianghu	100															5	5000		
24048	被迫离乡	s010104		3500		80	repute_jianghu	120				60154	1	0	ring_jh_10101	1							5	5000		
24049		s010201		12000			repute_jianghu	5000				60155	0		renwu_box_009	1							5	12000		
24050		s010201		12000			repute_jianghu	5000															5	12000		
24051		s010201		12000			repute_jianghu	5000															5	12000		
24052		s010201		12000			repute_jianghu	5000							renwu_box_010	1							5	12000		
24053		s010201		12000			repute_jianghu	5000				60155	1	1	renwu_box_001	1	renwu_box_005	1					5	12000		
24054		s010201		12000			repute_jianghu	5000															5	12000		
24055		s010201		12000			repute_jianghu	5000															5	12000		
24056		s010201		12000			repute_jianghu	5000															5	12000		
24057		s010201		12000			repute_jianghu	5000															5	12000		
24058		s010201		12000			repute_jianghu	5000															5	12000		
24059		s010201		12000			repute_jianghu	5000															5	12000		
24060		s010201		12000			repute_jianghu	5000															5	12000		
24061		s010202		12000			repute_jianghu	5000				60156	0										5	12000		
24062		s010202		22000			repute_jianghu	5000				60156	1	1	renwu_box_002	1	renwu_box_006	1					5	22000		
24063		s010202		12000			repute_jianghu	5000															5	12000		
24064		s010202		12000			repute_jianghu	5000															5	12000		
24065		s010202		12000			repute_jianghu	5000															5	12000		
24066		s010202		12000			repute_jianghu	5000															5	12000		
24067		s010202		12000			repute_jianghu	5000															5	12000		
24068		s010202		12000			repute_jianghu	5000															5	12000		
24072		s010202		12000			repute_jianghu	5000															5	12000		
24073		s010203		12000			repute_jianghu	5000				60157	0										5	12000		
24074		s010203		12000			repute_jianghu	5000							renwu_box_012	1							5	12000		
24075		s010203		22000			repute_jianghu	5000				60157	1	1	renwu_box_003	1	renwu_box_007	1					5	22000		
24076		s010203		12000			repute_jianghu	5000															5	12000		
24077		s010203		12000			repute_jianghu	5000															5	12000		
24078		s010203		12000			repute_jianghu	5000															5	12000		
24079		s010203		12000			repute_jianghu	5000															5	12000		
24080		s010203		12000			repute_jianghu	5000															5	12000		
24081		s010203		12000			repute_jianghu	5000															5	12000		
24085		s010204		12000			repute_jianghu	5000				60158	0		renwu_box_011	1							5	12000		
24086		s010204		12000			repute_jianghu	5000							renwu_box_013	1							5	12000		
24087		s010204		24000			repute_jianghu	10000				60158	1	1	renwu_box_004	1	renwu_box_008	1					5	24000		
24088		s010204		12000			repute_jianghu	5000															5	12000		
24089		s010204		12000			repute_jianghu	5000															5	12000		
24090		s010204		12000			repute_jianghu	5000															5	12000		
24091		s010204		12000			repute_jianghu	5000															5	12000		
24092		s010204		12000			repute_jianghu	5000															5	12000		
24093		s010204		12000			repute_jianghu	5000															5	12000		
24097		s010302													box_task_zx3_01	1										
24099		s010302													box_task_zx3_02	1	box_task_zx3_03	1								
24100		s010303												1	box_task_zx3_04	1	box_task_zx3_05	1	box_task_zx3_06	1	box_task_zx3_07	1				
24101		s010303												1	box_task_zx3_08	1	box_task_zx3_09	1	box_task_zx3_10	1	box_task_zx3_11	1				
24102		s010304												1	box_task_zx3_12	1	box_task_zx3_13	1	box_task_zx3_14	1						
24104		s010304												1	box_task_zx3_15	1	box_task_zx3_16	1	box_task_zx3_17	1						
