STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
10083	清除隐患	500																				
10084	收集药渣	700																				
10085	惩治凶手	750																				
10086	清理场地	500																				
10087	疏通道路	500																				
10088	收集证据	500																				
10089	铲除帮凶	500																				
10090	惩恶扬善	500																				
10091	惩治主谋	900																				
10092	一路扶持	400																				
10093	传递消息	450																				
10094	搜寻药方	500																				
10095	探讨医术	400																				
10096	审问结果	450																				
10097	护送富商	450																				
10098	收集材料	500																				
10099	木偶工具	500																				
10100	制作木偶	700																				
10101	护送木偶	500																				
10102	润色木偶	700																				
10103	助人为乐	500																				
10104	运送货物	450																				
10105	收集材料	500																				
10106	疏通道路	500																				
10107	逝者安息	500																				
10108	木偶知识	400																				
10109	助人为乐	400																				
10110	收集材料	500																				
10111	防患未然	750																				
10112	助人为乐	700																				
10113	准备材料	500																				
10114	品茶论道	400																				
10115	收集材料	500																				
10116	消肿祛痛	500																				
10117	惩奸除恶	750																				
10118	收集材料	500																				
10119	收集材料	500																				
10120	助人为乐	400																				
10121	收集材料	500																				
10122	传递情谊	450																				
10123	疗伤	500																				
10124	惩奸除恶	500																				
10125	取回家当	500																				
10126	主持公道	450																				
10127	收集材料	500																				
10128	收集材料	500																				
10129	爱美之心	500																				
10130	穿衣之道	400																				
10131	助人为乐	500																				
10132	疏通道路	500																				
10133	助人为乐	400																				
10134	惩奸除恶	500																				
10135	收集材料	500																				
10136	收集材料	500																				
10137	助人为乐	450																				
10138	收集材料	500																				
10139	收集材料	500																				
10140	寻回宝藏	500																				
10141	清理毒蛇	500																				
10142	授之于鱼	500																				
10143	助人为乐	500																				
10144	评书知识	400																				
10145	疏通道路	500																				
10146	助人为乐	400																				
10147	善有善报	400																				
10148	善有善报	400																				
10149	善有善报	400																				
10150	善有善报	400																				
10151	善有善报	1500																				
10152	善有善报	1500									1	0	sword_30603	1								
10153	保驾护航	1500																				
10154	收集材料	1500																				
10155	收集材料	1350																				
10156	收集材料	1350																				
10157	收集材料	2800																				
10158	报仇雪恨	2800																				
10159	为民狩猎	1500																				
10160	为民狩猎	1500																				
10161	为民狩猎	1500																				
10162	惩奸除恶	1500																				
10163	助人为乐	750																				
10164	助人为乐	750																				
10165	收集材料	800																				
10166	传递消息	650																				
10167	冤冤相报	3000																				
10168	冤冤相报	1350																				
10169	冤冤相报	700																				
10170	冤冤相报	600																				
10171	冤冤相报	800																				
10172	冤冤相报	750																				
10173	冤冤相报	800																				
10174	冤冤相报	650																				
10175	冤冤相报	800																				
10176	冤冤相报	750																				
10177	百姓之福	800																				
10178	百姓之福	650																				
10179	百姓之福	800																				
10180	百姓之福	750																				
10181	百姓之福	750																				
10182	百姓之福	650																				
10183	百姓之福	800																				
10184	百姓之福	750																				
10185	百姓之福	800																				
10186	百姓之福	650																				
10187	清理毒蛇	800																				
10188	收集材料	750																				
10189	收集配方	750																				
10190	传递消息	650																				
10191	收集材料	750																				
10192	收集材料	750																				
10193	为民除害	800																				
10194	title_10194	650																				
10195	为民除害	800																				
10196	助人为乐	750																				
10197	惩奸除恶	800																				
10198	助人为乐	750																				
10199	惩奸除恶	800																				
10200	收集材料	750																				
10201	收集材料	800																				
10202	传递消息	650																				
10203	幸福守护	1350																				
10204	幸福守护	1350																				
10205	幸福守护	1350																				
10206	幸福守护	1350																				
10207	幸福守护	650																				
10208	幸福守护	800																				
10209	幸福守护	800																				
10210	为民狩猎	800																				
10211	惩奸除恶	1350																				
10212	为民狩猎	1350																				
10213	助人为乐	650																				
10214	收集武器	2800																				
10215	收集装备	1350																				
10216	切磋武艺	1500																				
10217	收取货物	800																				
10218	惩奸除恶	3000																				
10219	收集材料	1500																				
10220	搜集证据	1350																				
10221	寻找宝藏	1940																				
10222	寻回兵器	1500																				
10223	切磋武艺	3000																				
10224	制药疗伤	1350																				
10225	采集石料	510																				
10226	收集布料	1350																				
10227	宴请学徒	545																				
10228	稀有鱼类	1940																				
10229	奇珍异石	1940																				
10230	奇花异草	1940																				
10231	夺回锦旗	1680																				
10250	教训地痞	300								62504	0											
10251	糖画	300																				
10252	姐姐	300																				
10253	找到消息	300																				
10254	营救	300																				
10255	护送回家	300																				
10256	感谢	300																				
10257	半本秘籍	300																				
10258	遗失的包裹	300								62504	1											
10259	锦旗遗失	200								62505	0											
10260	面具	200																				
10261	考验	200																				
10262	获得消息	200																				
10263	破口费	200																				
10264	武力解决	200																				
10265	寻找贼人	200																				
10266	贼人身世	200								62505	1											
10268	蝴蝶彩画	700																				
10269	熨平宣纸	750																				
10270	剪纸工具	700																				
10271	煤油灯具	750																				
10272	取回宣纸	700																				
