NPC编号	ini注释名称	对象类型	NPC类型	实力包编号	级别	修为经验	怪物强度	掉落	掉落数量	走路速度	跑步速度	武器持握方式	是否转身	模型编号	模型半径	图片	npc声音	材质类型	脚本编号	技能表	AI类型	主动被动	响应范围	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	刷新时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻击防御比重	防御概率	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤类型	召唤ID	召唤半径	表演概率	表演时间	"追击范围,米"	只关心距离脱离战斗	附加随机能力编号	普通攻击	势力归属	势力关系表	AI编辑包	直接触发	NPC可战斗设置	动作集	存在时间	缩放尺寸	格挡类型
																																																																																
																																																																																
																																																																																
																																																																																
	//丐帮BOSS-school02																																																																			50							1					
bosssw_final_gb	最终BOSS（萧天放）	BossNpc	4	98	42		4			1.25	5	hand1_1		npc\worldnpc032	0.905	icon\funcnpc\worldnpc032.png			npc\clone\schoolwar6\bosssw_final_gb.lua	"sw_gb_0101,1,30;sw_gb_0102,1,30;sw_gb_0103,1,30;sw_gb_0104,1,30"	7			1	2	8	60	40	-1									1																						1000	1	1000	0					50	1			1111	"1110,0"	1866	1	1				
bosssw_zhenfa_gb01	焦无究	BossNpc	3	96	42		3			1.25	5	lstuff1_1		npc\fbboss00201	0.915	icon\funcnpc\worldnpc493.png			npc\clone\schoolwar6\bosssw_zhenfa_gb01.lua	"sw_gb_0201,1,25;sw_gb_0202,1,25;sw_gb_0203,1,25"	7			1	2	8	60	40	-1						lst_r_870			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_zhenfa_gb02	莲花落阵法BOSS（石净之）	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\worldnpc059	0.92	icon\funcnpc\worldnpc492.png			npc\clone\schoolwar6\bosssw_zhenfa_gb02.lua	"sw_gb_0701,1,25;sw_gb_0702,1,25;sw_gb_0703,1,25"	7			1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
																																																																																
bosssw_judian_gb01	BUFF据点BOSS（白松奚）	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\fbboss00205	0.915	icon\funcnpc\worldnpc493.png				"sw_gb_0501,1,25;sw_gb_0502,1,25;sw_gb_0503,1,25"	7			1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_gb02	刷兵据点BOSS（谢一鸣）	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\worldnpc059	0.875	icon\funcnpc\worldnpc059.png				"sw_gb_0601,1,25;sw_gb_0602,1,25;sw_gb_0603,1,25"	7			1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_gb03	白松奚	BossNpc	3	96	42		3			1.25	5	lstuff1_1		npc\fbboss00205	0.919563	icon\funcnpc\worldnpc353.png			npc\clone\schoolwar6\bosssw_judian_gb03.lua	"sw_gb_0301,1,25;sw_gb_0302,1,25;sw_gb_0303,1,25"	7			1	2	8	60	40	-1						lst_r_820			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_gb04	鲁方术	BossNpc	3	96	42		3			1.25	5	lstuff1_1		npc\fbfunnpc00221	0.919118	icon\funcnpc\worldnpc077.png				"sw_gb_0401,1,25;sw_gb_0402,1,25;sw_gb_0403,1,25"	7			1	2	8	60	40	-1						lst_r_810			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
	//君子堂BOSS-school03																																																																			50							1					
																																																																				50							1					
bosssw_final_jzt	最终BOSS(萧别情）	BossNpc	4	98	42		4			1.25	5	sword3_1		npc\worldnpc1114	1.030654	icon\monster\worldnpc248.png			npc\clone\schoolwar7\bosssw_final_jz.lua	"sw_jz_0101,1,30;sw_jz_0102,1,30;sw_jz_0103,1,30"	7			1	2	8	60	40	-1						s_r_npcitem087			1																						1000	1	1000	0					50	1			1111	"1110,0"	1866	1	1				
bosssw_judian_jzt01	东方陵少(琴)	BossNpc	3	96	42		3			1.25	5	dsword3_1		npc\worldnpc753	1.030654	icon\funcnpc\worldnpc753.png			npc\clone\schoolwar7\bosssw_judian_jzt01.lua	"sw_jz_0701,1,30;sw_jz_0702,1,30;sw_jz_0703,1,30"	7			1	2	8	60	40	-1						ds_rl_npcitem324			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_jzt02	戴语书(棋)	BossNpc	3	96	42		3			1.25	5	sword2_2		npc\worldnpc240	1.030654	icon\funcnpc\worldnpc240.png			npc\clone\schoolwar7\bosssw_judian_jzt02.lua	"sw_jz_0201,1,30;sw_jz_0202,1,30;sw_jz_0203,1,30;"	7			1	2	8	60	40	-1						s_r_npcitem204			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_jzt03	秦轩齐(书)	BossNpc	3	94	42		3			1.25	5	hand1_1		npc\worldnpc520	1.030654	icon\funcnpc\worldnpc520.png			npc\clone\schoolwar7\bosssw_judian_jzt03.lua	"sw_jz_0401,1,30;sw_jz_0402,1,30;sw_jz_0403,1,30;"	7			1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_jzt04	程遗墨(画)	BossNpc	3	96	42		3			1.25	5	sword1_2		npc\worldnpc065	1.030654	icon\funcnpc\worldnpc065.png			npc\clone\schoolwar7\bosssw_judian_jzt04.lua	"sw_jz_0501,1,30;sw_jz_0502,1,30;sw_jz_0503,1,30"	7			1	2	8	60	40	-1						s_r_264			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_jzt05	复活点BOSS(夏烟湖)	BossNpc	3	94	42		3			1.25	5	sword1_2		npc\monster327	1.030654	icon\funcnpc\npc\monster327.png			npc\clone\schoolwar7\bosssw_judian_jzt05.lua	"sw_jz_0801,1,30;sw_jz_0802,1,30;sw_jz_0803,1,30"	7			1	2	8	60	40	-1						s_r_264			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_jzt06	复活点BOSS(云想衣)	BossNpc	3	94	42		3			1.25	5	hand1_1		npc\worldnpc749	1.030654	icon\monster\worldnpc749.png					7			1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_jzt07	程遗墨(画)	CommonNpc	2	59	42		3			1.25	5	hand1_2		npc\worldnpc065	1.030654	icon\funcnpc\worldnpc065.png			npc\clone\schoolwar7\bosssw_judian_jzt07.lua	"sw_jz_0301,1,30;sw_jz_0302,1,30;sw_jz_0303,1,30"	7			1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	3224	1	1				
																																																																				50							1					
																																																																				50							1					
	//极乐谷BOSS-school04																																																																			50							1					
bosssw_final_jlg	最终BOSS(单天冥）	BossNpc	4	98	42		4			1.25	5	dsword1_1		npc\worldnpc1115	0.94	icon\funcnpc\worldnpc035.png			npc\clone\schoolwar8\bosssw_final_jlg.lua	"sw_jl_011,1,0;sw_jl_012,1,0;sw_jl_013,1,0;sw_jl_014,1,0;sw_jl_015,1,0;sw_jl_016,1,0"	7			1	2	8	60	40	-1						b_r_96			1																						1000	1	1000	0					50	1			1111	"1110,0"	1866	1	1				
bosssw_judian_jlg01	攻方复活据点BOSS（单天邪）	BossNpc	3	94	42		3			1.25	5	sword2_1		npc\worldnpc546	0.939861	icon\funcnpc\worldnpc546.png			npc\clone\schoolwar8\bosssw_judian_jlg01.lua	"sw_jl_021,1,0;sw_jl_022,1,0;sw_jl_023,1,0;sw_jl_024,1,0;sw_jl_025,1,0"	7			1	2	8	60	40	-1						s_r_264			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_jlg02	守方复活点BOSS（孙月玮）	BossNpc	3	96	42		3			1.25	5	dknife1_2		npc\worldnpc776	0.970371	icon\monster\monster143.png			npc\clone\schoolwar8\bosssw_judian_jlg02.lua	"sw_jl_031,1,0;sw_jl_032,1,0;sw_jl_033,1,0;sw_jl_034,1,0;sw_jl_035,1,0"	7			1	2	8	60	40	-1						dk_r_707			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_zhenfa_jlg01	五魔裂狱阵阵法BOSS（雾狐）	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\fbfunnpc00222	0.939206	icon\monster\fbfunnpc00222.png			npc\clone\schoolwar8\bosssw_zhenfa_jlg01.lua	"sw_jl_041,1,0;sw_jl_042,1,0;sw_jl_043,1,0;sw_jl_044,1,0;sw_jl_045,1,0"	7			1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_zhenfa_jlg02	锁剑阵阵法BOSS（桀昂）	BossNpc	3	96	42		3			1.25	5	dsword1_1		npc\worldnpc779	0.887166	icon\funcnpc\worldnpc544.png			npc\clone\schoolwar8\bosssw_zhenfa_jlg02.lua	"sw_jl_051,1,0;sw_jl_052,1,0;sw_jl_053,1,0;sw_jl_054,1,0;sw_jl_055,1,0"	7			1	2	8	60	40	-1						db_rl_npcitem201			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_zhenfa_jlg03	五魔裂狱阵蛊使（马查兰）	BossNpc	2	59	42		3			1.25	5	hand1_2		npc\monster047	2.911459	icon\monster\monster047.png			npc\clone\schoolwar8\bosssw_zhenfa_jlg03.lua	"sw_jl_061,1,0;sw_jl_062,1,0;sw_jl_063,1,0;sw_jl_065,1,0"	7			1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	3224	1	1				
bosssw_zhenfa_jlg04	五魔裂狱阵尸使（瑶见）	BossNpc	2	59	42		3			1.25	5	dsword1_2		npc\worldnpc246	0.939206	icon\funcnpc\worldnpc246.png			npc\clone\schoolwar8\bosssw_zhenfa_jlg04.lua	"sw_jl_071,1,0;sw_jl_072,1,0;sw_jl_073,1,0;sw_jl_074,1,0;sw_jl_075,0"	7			1	2	8	60	40	-1						dk_rl_npcitem415			1																						1500	1	1000	0					50	1			1111	"1110,0"	3224	1	1				
bosssw_zhenfa_jlg05	五魔裂狱阵鬼使（隐风）	BossNpc	2	59	42		3			1.25	5	blade1_1		npc\worldnpc543	0.896633	icon\funcnpc\worldnpc543.png			npc\clone\schoolwar8\bosssw_zhenfa_jlg05.lua	"sw_jl_081,1,0;sw_jl_082,1,0;sw_jl_083,1,0;sw_jl_084,1,0;sw_jl_085,1,0"	7			1	2	8	60	40	-1						b_r_npcitem328			1																						1500	1	1000	0					50	1			1111	"1110,0"	3224	1	1				
bosssw_zhenfa_jlg06	五魔裂狱阵毒使（燕楚楚）	BossNpc	2	59	42		3			1.25	5	dsword1_2		npc\monster143	1.911459	icon\monster\monster143.png			npc\clone\schoolwar8\bosssw_zhenfa_jlg06.lua	"sw_jl_091,1,0;sw_jl_092,1,0;sw_jl_093,1,0;sw_jl_094,1,0;sw_jl_095,1,0"	7			1	2	8	60	40	-1						ds_rl_npcitem322			1																						1500	1	1000	0					50	1			1111	"1110,0"	3224	1	1				
schoolwar_jlg_07	巨剑一	CommonNpc	76	52	70		3							npc\itemnpc628					npc\clone\schoolwar8\schoolwar_jlg_07.lua				5	1	2				-1																																							50	1			1111		3224	1	1				
schoolwar_jlg_08	巨剑二	CommonNpc	76	52	70		3							npc\itemnpc629					npc\clone\schoolwar8\schoolwar_jlg_08.lua				5	1	2				-1																																							50	1			1111		3224	1	1				
schoolwar_jlg_09	巨剑三	CommonNpc	76	52	70		3							npc\itemnpc630					npc\clone\schoolwar8\schoolwar_jlg_09.lua				5	1	2				-1																																							50	1			1111		3224	1	1				
schoolwar_jlg_10	巨剑四	CommonNpc	76	52	70		3							npc\itemnpc631					npc\clone\schoolwar8\schoolwar_jlg_10.lua				5	1	2				-1																																							50	1			1111		3224	1	1				
																																																																				50							1					
																																																																				50							1					
																																																																				50							1					
	//唐门BOSS-school05																																																																			50							1					
bosssw_final_tm	最终BOSS（唐天行）	BossNpc	4	98	42		4			1.25	5	blade2_1		npc\fbboss003004_1	0.9	icon\funcnpc\worldnpc067.png			npc\clone\schoolwar9\bosssw_final_tm.lua	"sw_tm_0101,1,50;sw_tm_0102,1,50;sw_tm_0103,1,50;sw_tm_0104,1,10;sw_tm_0105,1,30;sw_tm_0106,1,10  "	7			1	2	8	60	40	-1						b_r_5			1																					15	500	1	1000	0					50	1		Npc_tm_mhb01a	1111	"1110,0"	1866	1	1				
bosssw_judian_tm01	BUFF据点BOSS（唐勃）	BossNpc	3	94	42		3			1.25	5	blade2_1		npc\monster261	0.912081	icon\monster\monster261.png			npc\clone\schoolwar9\bosssw_judian_tm01.lua	"sw_tm_0201,1,50;sw_tm_0202,1,50;sw_tm_0203,1,50;sw_tm_0204,1,0;sw_tm_0205,1,0;sw_tm_0206,1,0  "	7			1	2	8	60	40	-1						b_r_5			1																					15	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_tm02	暗器房据点BOSS（唐梁）	BossNpc	3	94	42		3			1.25	5	knife1_1		npc\worldnpc534	0.925	icon\funcnpc\worldnpc534.png			npc\clone\schoolwar9\bosssw_judian_tm02.lua	"sw_tm_0301,1,50;sw_tm_0302,1,50;sw_tm_0303,1,50;sw_tm_0304,1,0;sw_tm_0305,1,0;sw_tm_0306,1,0  "	7			1	2	8	60	40	-1						k_r_503			1																					15	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_tm03	练毒室据点BOSS（唐御风）	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\worldnpc313	0.922925	icon\funcnpc\worldnpc313.png			npc\clone\schoolwar9\bosssw_judian_tm03.lua	"sw_tm_0401,1,50;sw_tm_0402,1,50;sw_tm_0403,1,50;sw_tm_0404,1,0;sw_tm_0405,1,0;sw_tm_0406,1,0  "	7			1	2	8	60	40	-1									1																					15	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_tm04	药房据点BOSS（唐如海）	BossNpc	3	94	42		3			1.25	5	blade4_1		npc\worldnpc564	0.956225	icon\funcnpc\worldnpc564.png			npc\clone\schoolwar9\bosssw_judian_tm04.lua	"sw_tm_0501,1,50;sw_tm_0502,1,50;sw_tm_0503,1,50;sw_tm_0504,1,0;sw_tm_0505,1,0;sw_tm_0506,1,0  "	7			1	2	8	60	40	-1						b_r_93			1																					15	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_tm05	复活据点BOSS（唐秋）	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\worldnpc519	0.922625	icon\funcnpc\worldnpc519.png			npc\clone\schoolwar9\bosssw_judian_tm05.lua	"sw_tm_0601,1,50;sw_tm_0602,1,50;sw_tm_0603,1,50;sw_tm_0604,1,0;sw_tm_0605,1,0;sw_tm_0606,1,0  "	7			1	2	8	60	40	-1									1																					15	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_tm06	刷兵据点BOSS（唐不同）	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\worldnpc312	0.953979	icon\funcnpc\worldnpc312.png			npc\clone\schoolwar9\bosssw_judian_tm06.lua	"sw_tm_0701,1,50;sw_tm_0702,1,50;sw_tm_0703,1,50;sw_tm_0704,1,0;sw_tm_0705,1,0;sw_tm_0706,1,0  "	7			1	2	8	60	40	-1									1																					15	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_zhenfa_tm02	阵法BOSS（唐四公）	BossNpc	3	94	42		3			1.25	5	blade6_1		npc\worldnpc245	0.897269	icon\funcnpc\worldnpc245.png			npc\clone\schoolwar9\bosssw_zhenfa_tm02.lua	"sw_tm_0801,1,50;sw_tm_0802,1,50;sw_tm_0803,1,50;sw_tm_0804,1,0;sw_tm_0805,1,0;sw_tm_0806,1,0  "	7			1	2	8	60	40	-1						b_r_89			1																					15	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_zhanshu_tm01	战术BOSS（唐少昂）	BossNpc	3	94	42		3			1.25	5	hand1_1		npc\worldnpc725	0.905	icon\monster\monster258.png			npc\clone\schoolwar9\bosssw_zhanshu_tm01.lua	"sw_tm_0901,1,50;sw_tm_0902,1,50;sw_tm_0903,1,50;sw_tm_0904,1,0;sw_tm_0905,1,0;sw_tm_0906,1,0  "	7			1	2	8	60	40	-1									1																					15	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_zhanshu_tm02	战术BOSS（唐解语）	BossNpc	3	94	42		3			1.25	5	dknife2_2		npc\worldnpc377	0.853696	icon\funcnpc\worldnpc377.png			npc\clone\schoolwar9\bosssw_zhanshu_tm02.lua	"sw_tm_1001,1,50;sw_tm_1002,1,50;sw_tm_1003,1,50;sw_tm_1004,1,0;sw_tm_1005,1,0;sw_tm_1006,1,0  "	7			1	2	8	60	40	-1						dk_r_610			1																					15	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
																																																																				50							1					
																																																																				50							1					
																																																																				50							1					
	//峨眉BOSS-school06																																																																			50							1					
bosssw_final_em	最终BOSS(绝尘师太)	BossNpc	4	98	42		4			1.25	5	hand1_2		npc\worldnpc1113	0.908137	icon\monster\fbboss00161.png			npc\clone\schoolwar10\bosssw_final_em.lua	"sw_em_0101,1,25;sw_em_0102,1,25;sw_em_0103,1,25;sw_em_0104,1,25;sw_em_0105,1,30;sw_em_0106,1,30"	7			1	2	8	60	40	-1							2		1																						1500	1	1000	0					50	1		Npc_em_jdmz01a	1111	"1110,0"	1866	1	1				
bosssw_zhenfa_em01	风陵大阵BOSS(沐蝶音）	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\worldnpc745	0.955	icon\funcnpc\worldnpc529.png			npc\clone\schoolwar10\bosssw_zhenfa_em01.lua	"sw_em_0201,1,25;sw_em_0202,1,25;sw_em_0202,1,25;sw_em_0204,1,30;sw_em_0205,1,30"	7		25	1	2	8	60	40	-1							0		1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_zhenfa_em02	梅花大阵BOSS(水净师太)	BossNpc	3	94	42		3			1.25	5	dknife1_2		npc\monster602	0.955	icon\monster\monster602.png				"sw_em_0301,1,25;sw_em_0302,1,25;sw_em_0303,1,25;sw_em_0304,1,30;sw_em_0305,1,30"	7		25	1	2	8	60	40	-1						dk_rl_npcitem479	13		1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_em01	BUFF据点BOSS(华真絮)	BossNpc	3	96	42		3			1.25	5	dknife1_2		npc\worldnpc382	0.865	icon\funcnpc\worldnpc382.png			npc\clone\schoolwar10\bosssw_judian_em01.lua	"sw_em_0401,1,30;sw_em_0402,1,30;sw_em_0403,1,30;sw_em_0404,1,30"	7		25	1	2	8	60	40	-1						dk_rl_npcitem300	13		1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_em02	刷兵据点BOSS(崔益鸾)	BossNpc	3	94	42		3			1.25	5	dknife1_2		npc\worldnpc502	0.955	icon\funcnpc\worldnpc502.png				"sw_em_0501,1,30;sw_em_0502,1,30;sw_em_0503,1,30;sw_em_0504,1,30"	7			1	2	8	60	40	-1						dk_rl_npcitem392	13		1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_em04	复活据点BOSS(衣若熏)	BossNpc	3	96	42		3			1.25	5	hand1_2		npc\worldnpc055	0.955	icon\funcnpc\worldnpc528.png			npc\clone\schoolwar10\bosssw_judian_em04.lua	"sw_em_0601,1,30;sw_em_0602,1,30;sw_em_0603,1,30;sw_em_0604,1,30"	7			1	2	8	60	40	-1							0		1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_em05	道具据点BOSS(绝音师太)	BossNpc	3	94	42		3			1.25	5	hand1_1		npc\worldnpc009	0.955	icon\funcnpc\worldnpc009.png				"sw_em_0701,1,30;sw_em_0702,1,30;sw_em_0703,1,30;sw_em_0704,1,30"	7			1	2	8	60	40	-1							0		1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_em06	复活据点BOSS(慕容荻云)	BossNpc	3	94	42		3			1.25	5	hand1_1		npc\worldnpc055	0.955	icon\funcnpc\worldnpc055.png				"sw_em_0801,1,30;sw_em_0802,1,30;sw_em_0803,1,30;sw_em_0804,1,30"	7			1	2	8	60	40	-1							0		1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
																																																																				50							1					
																																																																				50							1					
																																																																				50							1					
																																																																				50							1					
																																																																				50							1					
	//武当BOSS-school07																																																																			50							1					
bosssw_final_wd	最终BOSS（紫阳真人）	BossNpc	4	98	42		4			1.25	5	sword1_1		npc\worldnpc1116	0.94	icon\funcnpc\worldnpc030.png			npc\clone\schoolwar11\bosssw_final_wd.lua	"sw_wd_011,1,30;sw_wd_012,1,10;sw_wd_013,1,0;sw_wd_014,1,0;sw_wd_015,1,0;sw_wd_016,1,0;sw_wd_017,1,0;sw_wd_018,1,0;sw_wd_019,1,0;sw_wd_0110,1,0;sw_wd_0111,1,0;sw_wd_0112,1,0;sw_wd_0113,1,0"	7			1	2	8	60	40	-1						s_r_230			1																					10	1500	1	1000	0					50	1			1111	"1110,0"	1866	1	1				
bosssw_zhenfa_wd01	天罡北斗阵BOSS（天机子）	BossNpc	3	96	42		3			1.25	5	sword1_1		npc\worldnpc225	0.939206	icon\funcnpc\worldnpc197.png			npc\clone\schoolwar11\bosssw_zhenfa_wd01.lua	"sw_wd_091,1,0;sw_wd_092,1,0;sw_wd_093,1,0;sw_wd_094,1,0;sw_wd_095,1,0;sw_wd_096,1,0;sw_wd_097,1,0;sw_wd_098,1,0;sw_wd_099,1,0;sw_wd_001,1,0"	7		25	1	2	8	60	40	-1						s_r_229			1																					10	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_zhenfa_wd02	阴阳八卦阵BOSS1（九鹤道长）	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\worldnpc051	0.896633	icon\funcnpc\worldnpc051.png			npc\clone\schoolwar11\bosssw_zhenfa_wd02.lua	"sw_wd_041,1,0;sw_wd_042,1,0;sw_wd_043,1,0;sw_wd_044,1,0;sw_wd_045,1,0;sw_wd_046,1,0;sw_wd_047,1,0;sw_wd_048,1,0;sw_wd_049,1,0;sw_wd_002,1,0"	7		25	1	2	8	1	40	-1									1																					10	1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
