NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数00000000'01	身份参数2	身份参数3	对话规则	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	AI条件执行编码表	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	是否可见	缩放比例	刷新时间	直接触发	防御概率属性	是否预载入	缩放比例	据点属性
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
	//丐帮-school02																																																																																																													
switem_gb_buff_01	CommonNpc	水缸			81	2	2			0	0		npc\itemnpc060		icon\funcnpc\itemnpc060.png									0	0			10																																																																																		
switem_gb_01	CommonNpc	捕兽夹			81	2	2			0	0		npc\itemnpc619		icon\funcnpc\itemnpc619.png						npc\clone\schoolwar6\switem_gb_01.lua			0	0			1																																																																											1							
swnpc_infonpc	CommonNpc	宁鹰飞			81	2	2			0	0		npc\worldnpc207		icon\funcnpc\worldnpc207.png									0	0			10																																																																																		
swnpc_gbksnpc	CommonNpc	投石机看守弟子			81	2	2			0	0		npc\worldnpc561		icon\funcnpc\worldnpc561.png									0	0			10																																																																																		
switem_gb_itembox	CommonNpc	道具宝箱			81	2	2			0	0		npc\itemboxnpc002		icon\funcnpc\itemboxnpc002.png						npc\clone\schoolwar6\switem_gb_itembox.lua			0	0			10																																																																																		
switem_gb_door	CommonNpc	防守石门			76	2	2			0	0		npc\fbmac002011		icon\funcnpc\fbmac002011.png						npc\clone\schoolwar6\switem_gb_door.lua			0	0			10																						97	18		1			1		1																						1111																									-1					
switem_gb_relive01	CommonNpc	佛塔洞公共复活点特效1			202					0	0		npc\itemnpc057u		icon\funcnpc\npc\itemnpc057u.png									0	0			10																																																																																		
switem_gb_relive02	CommonNpc	蚂蚁岭公共复活点特效2			202					0	0		npc\itemnpc057u		icon\funcnpc\npc\itemnpc057u.png									0	0			10																																																																																		
switem_gb_relive03	CommonNpc	驿站公共复活点特效3			202					0	0		npc\itemnpc057u		icon\funcnpc\npc\itemnpc057u.png									0	0			10																																																																																		
switem_gb_relive04	CommonNpc	宗义祠公共复活点特效4			202					0	0		npc\itemnpc057u		icon\funcnpc\npc\itemnpc057u.png									0	0			10																																																																																		
schoolwar_guildnpc_gb01	CommonNpc	断云崖（丐帮东北区域）		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar6\schoolwar_guildnpc_gb01.lua							20				1																																																																														
schoolwar_guildnpc_gb02	CommonNpc	回雁峰（丐帮西南区域）		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar6\schoolwar_guildnpc_gb02.lua							20				1																																																																														
schoolwar_guildnpc_gb03	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_guildnpc_gb04	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
switem_gb_flagnpc01	CommonNpc	守方战旗发放NPC			81	2	2			0	0	hand1_1	npc\worldnpc292		icon\funcnpc\worldnpc292.png						npc\clone\schoolwar6\switem_gb_flagnpc01.lua			0	0			10																																																																																		
switem_gb_flagnpc02	CommonNpc	攻方战旗发放NPC			81	2	2			0	0	hand1_1	npc\worldnpc214		icon\funcnpc\worldnpc214.png						npc\clone\schoolwar6\switem_gb_flagnpc02.lua			0	0			10																																																																																		
sweff_lhz01	CommonNpc	莲花落阵特效			202					0	0		npc\itemnpc057_gb01		icon\funcnpc\itemnpc057_gb01.png									0	0			10																																																																																		
sweff_lhz02	CommonNpc	莲花落阵特效			202					0	0		npc\itemnpc057_gb01		icon\funcnpc\itemnpc057_gb01.png									0	0			10																																																																																		
sweff_lhz03	CommonNpc	莲花落阵特效			202					0	0		npc\itemnpc057_gb01		icon\funcnpc\itemnpc057_gb01.png									0	0			10																																																																																		
sweff_lhz04	CommonNpc	莲花落阵特效			202					0	0		npc\itemnpc057_gb01		icon\funcnpc\itemnpc057_gb01.png									0	0			10																																																																																		
sweff_lhz05	CommonNpc	莲花落阵特效			202					0	0		npc\itemnpc057_gb01		icon\funcnpc\itemnpc057_gb01.png									0	0			10																																																																																		
																																																																																																														
sweff_zf01	CommonNpc	阵法大圈1			202					0	0		npc\itemnpc057_gb02		icon\funcnpc\itemnpc057_gb02.png									0	0			10																																																																																		
sweff_zf02	CommonNpc	阵法大圈2			202					0	0		npc\itemnpc057_gb03		icon\funcnpc\itemnpc057_gb03.png									0	0			10																																																																																		
																																																																																																														
	//君子堂-school03																																																																																																													
schoolwar_item_jz06	CommonNpc	大字“定”			172					0	0		npc\itemnpc623		icon\funcnpc\itemnpc623.png									0	0			20																																																																																		
schoolwar_item_jz07	CommonNpc	大字“惑”			172					0	0		npc\itemnpc622		icon\funcnpc\itemnpc622.png									0	0			20																																																																																		
schoolwar_item_jz08	CommonNpc	悬挂的画			172					0	0		npc\itemnpc039		icon\funcnpc\itemnpc039.png									0	0			20																																																																																		
schoolwar_item_jz09	CommonNpc	焚烟的香炉			172					0	0		npc\fbmac005017		icon\monster\Fbmac005017.png									0	0			20																																																																																		
schoolwar_item_jz10	CommonNpc	大字“群”			172					0	0		npc\itemnpc624		icon\funcnpc\itemnpc624.png									0	0			20																																																																																		
schoolwar_item_jz11	CommonNpc	大字“气”			172					0	0		npc\itemnpc625		icon\funcnpc\itemnpc625.png									0	0			20																																																																																		
schoolwar_item_jz12	CommonNpc	大字“控”			172					0	0		npc\itemnpc626		icon\funcnpc\itemnpc626.png									0	0			20																																																																																		
schoolwar_item_jz13	CommonNpc	棋子触发NPC			172					0	0		npc\itemnpc620		icon\funcnpc\itemnpc626.png									0	0			20																																																																																		
schoolwar_item_jz14	CommonNpc	墨池眯眼特效一			172								npc\itemnpc057_em01		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar7\schoolwar_special_jz01.lua																																																																																									
schoolwar_item_jz15	CommonNpc	墨池眯眼特效二			172								npc\itemnpc057_em02		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar7\schoolwar_special_jz01.lua																																																																																									
																																																																																																														
																																																																																																														
																																																																																																														
	//极乐谷-school04																																																																																																													
schoolwar_jlg_01	CommonNpc	毒使毒气			172					0	0		npc\itemnpc057_jlg01								npc\clone\schoolwar8\schoolwar_jlg_01.lua			0	0			20																																																																																		
schoolwar_jlg_02	CommonNpc	尸使毒气			172					0	0		npc\itemnpc057_jlg02								npc\clone\schoolwar8\schoolwar_jlg_02.lua			0	0			20																																																																																		
schoolwar_jlg_03	CommonNpc	狮子火焰			172					0	0		npc\itemnpc057_jlg03											0	0			5																																																																																		
schoolwar_jlg_04	CommonNpc	蛇口火焰			172					0	0		npc\itemnpc057_jlg04											0	0			5																																																																																		
schoolwar_jlg_05	CommonNpc	极乐地刺			172					0	0		npc\fbmac00537								npc\clone\schoolwar8\schoolwar_jlg_05.lua			0	0			6																																																																																		
schoolwar_jlg_06	CommonNpc	迷云			172					0	0		npc\itemnpc057_jlg06								npc\clone\schoolwar8\schoolwar_jlg_06.lua			0	0			15																																																																																		
schoolwar_jlg_11	CommonNpc	滚石区域			172					0	0		npc\itemnpc011											0	0			5																																																																																		
schoolwar_jlg_12	CommonNpc	滚石			172					0	0		npc\itemnpc627											0	0			10																																																																																		
schoolwar_jlg_13	CommonNpc	水中区域			172					0	0		npc\itemnpc011								npc\clone\schoolwar8\schoolwar_jlg_13.lua			0	0			5																																																																																		
schoolwar_jlg_15	CommonNpc	毒液NPC			172					0	0		npc\itemnpc162								npc\clone\schoolwar8\schoolwar_jlg_15.lua			0	0			5																																																																																		
schoolwar_jlg_16	CommonNpc	黑色烟雾			172					0	0		npc\itemnpc057_jlg16								npc\clone\schoolwar8\schoolwar_jlg_16.lua			0	0			20																																																																																		
schoolwar_jlg_17	CommonNpc	机关石			172	2	2			0	0		npc\itemnpc070								npc\clone\schoolwar8\schoolwar_jlg_17.lua			0	0			10																						116	5		3			1			1																					1111																														
schoolwar_jlg_18	CommonNpc	狮子口盆			172					0	0		npc\guildeffect003								npc\clone\schoolwar8\schoolwar_jlg_18.lua			0	0			3																																																																																		
schoolwar_jlg_19	CommonNpc	蛇口地面			172					0	0		npc\itemnpc011								npc\clone\schoolwar8\schoolwar_jlg_19.lua			0	0			10																																																																																		
SWKG_jlg_01	CommonNpc	控制杆			81	2	2			0	0		npc\Fbmac00036								npc\clone\schoolwar8\SWKG_jlg_01.lua			0	0			10																						1	2		1			1			1																																																			
SWKG_jlg_02	CommonNpc	控制杆			81	2	2			0	0		npc\Fbmac00036								npc\clone\schoolwar8\SWKG_jlg_02.lua			0	0			10																						1	2		1			1			1																																																			
schoolwar_jlg_20	CommonNpc	火焰空模型			172					0	0		npc\itemnpc057											0	0			25																																																				1111																						1489								
																																																																																1111																														
																																																																																1111																														
																																																																																																														
																																																																																																														
	//唐门-school05																																																																																																													
SWJG_tm_01	CommonNpc	机关（复活点）			81	2	2			0	0		npc\itemnpc570		icon\funcnpc\itemnpc570.png									0	0			10																																																																																		
SWJG_tm_02	CommonNpc	机关（复活点）			81	2	2			0	0		npc\itemnpc570		icon\funcnpc\itemnpc570.png									0	0			10																																																																																		
SWJG_tm_03	CommonNpc	机关（复活点）			81	2	2			0	0		npc\itemnpc570		icon\funcnpc\itemnpc570.png									0	0			10																																																																																		
SWJG_tm_04	CommonNpc	机关（石碑）			172	2	2			0	0		npc\itemnpc070		icon\funcnpc\itemnpc070.png						npc\clone\schoolwar9\SWKG_tm_04.lua			0	0			10																						116	7		3			1			1																					1111																														
SWJG_tm_05	CommonNpc	机关（石碑）			172	2	2			0	0		npc\itemnpc070		icon\funcnpc\itemnpc070.png						npc\clone\schoolwar9\SWKG_tm_05.lua			0	0			10																						116	7		3			1			1																					1111																														
SWJG_tm_06_1	CommonNpc	九毒鼎			81	2	2			0	0		npc\itemnpc605		icon\funcnpc\itemnpc605.png						npc\clone\schoolwar9\SWJG_tm_06.lua			0	0			10																																																																																		
SWJG_tm_06_2	CommonNpc	九毒鼎			81	2	2			0	0		npc\itemnpc605		icon\funcnpc\itemnpc605.png						npc\clone\schoolwar9\SWJG_tm_06.lua			0	0			10																																																																																		
SWJG_tm_06_3	CommonNpc	九毒鼎			81	2	2			0	0		npc\itemnpc605		icon\funcnpc\itemnpc605.png						npc\clone\schoolwar9\SWJG_tm_06.lua			0	0			10																																																																																		
SWJG_tm_06_4	CommonNpc	九毒鼎			81	2	2			0	0		npc\itemnpc605		icon\funcnpc\itemnpc605.png						npc\clone\schoolwar9\SWJG_tm_06.lua			0	0			10																																																																																		
SWJG_tm_07	CommonNpc	机关(蜘蛛刺1）			81	2	2			0	0		npc\itemnpc604		icon\funcnpc\itemnpc604.png									0	0			10																																																																																		
SWKG_tm_07	CommonNpc	开关(蜘蛛刺1）			81	2	2			0	0		npc\Fbmac00036		icon\monster\Fbmac00036.png									0	0			10																																																																																		
SWJG_tm_08	CommonNpc	机关(蜘蛛刺2）			81	2	2			0	0		npc\itemnpc604		icon\funcnpc\itemnpc604.png									0	0			10																																																																																		
SWKG_tm_08	CommonNpc	开关(蜘蛛刺2）			81	2	2			0	0		npc\Fbmac00036		icon\monster\Fbmac00036.png									0	0			10																																																																																		
SWJG_tm_09	CommonNpc	机关(蜘蛛刺3）			81	2	2			0	0		npc\itemnpc604		icon\funcnpc\itemnpc604.png									0	0			10																																																																																		
SWKG_tm_09	CommonNpc	开关(蜘蛛刺3）			81	2	2			0	0		npc\Fbmac00036		icon\monster\Fbmac00036.png									0	0			10																																																																																		
SWJG_tm_10	CommonNpc	机关(蜘蛛刺4）			81	2	2			0	0		npc\itemnpc604		icon\funcnpc\itemnpc604.png									0	0			10																																																																																		
SWKG_tm_10	CommonNpc	开关(蜘蛛刺4）			81	2	2			0	0		npc\Fbmac00036		icon\monster\Fbmac00036.png									0	0			10																																																																																		
schoolwar_tm_02	CommonNpc	突刺			81					0	0		npc\fbmac00537		icon\monster\fbmac00537.png													30																																																																																		
																																																																																																														
	//峨眉-school06																																																																																																													
SWKG_em_01	CommonNpc	开关壹			81	2	2			0	0		npc\Fbmac009007		icon\monster\Fbmac009007.png						npc\clone\schoolwar10\SWKG_em.lua			0	0			10																																																																																		
SWKG_em_02	CommonNpc	开关贰			81	2	2			0	0		npc\Fbmac009007		icon\monster\Fbmac009007.png						npc\clone\schoolwar10\SWKG_em.lua			0	0			10																																																																																		
SWKG_em_03	CommonNpc	开关叁			81	2	2			0	0		npc\Fbmac009007		icon\monster\Fbmac009007.png						npc\clone\schoolwar10\SWKG_em.lua			0	0			10																																																																																		
SWKG_em_04	CommonNpc	开关肆			81	2	2			0	0		npc\Fbmac009007		icon\monster\Fbmac009007.png						npc\clone\schoolwar10\SWKG_em.lua			0	0			10																																																																																		
SWKG_em_05	CommonNpc	佛光普照开关			81	2	2			0	0		npc\itemnpc050		icon\funcnpc\itemnpc050.png						npc\clone\schoolwar10\SWKG_em_05.lua		3	0	0			10																																																																																		
SWKG_em_06	CommonNpc	佛光普照 开关			81	2	2			0	0		npc\itemnpc050		icon\funcnpc\itemnpc050.png								3	0	0			10																																																																																		
schoolwar_item_em01	CommonNpc	桃花雾障机关			81	2	2			0	0		npc\itemnpc057		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar10\itemnpc_em.lua			0	0			10																																																																																		
schoolwar_item_em02	CommonNpc	佛光普照机关			81	2	2			0	0		npc\itemnpc057		icon\funcnpc\itemnpc057.png									0	0			10																																																																																		
schoolwar_special_em01	CommonNpc	风陵大阵			81								npc\itemnpc088		icon\funcnpc\itemnpc088.png																																																																																															
schoolwar_special_em02	CommonNpc	梅花大阵			81								npc\itemnpc088		icon\funcnpc\itemnpc088.png																																																																																															
itemnpc_em01	CommonNpc	桃花雾障特效NPC一			202								npc\itemnpc057_em01		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar10\itemnpc_em.lua																																																																																									
itemnpc_em02	CommonNpc	桃花雾障特效NPC二			202								npc\itemnpc057_em01		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar10\itemnpc_em.lua																																																																																									
itemnpc_em03	CommonNpc	桃花雾障特效NPC三			202								npc\itemnpc057_em01		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar10\itemnpc_em.lua																																																																																									
itemnpc_em04	CommonNpc	桃花雾障特效NPC四			202								npc\itemnpc057_em01		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar10\itemnpc_em.lua																																																																																									
itemnpc_em05	CommonNpc	桃花雾障特效NPC五			202								npc\itemnpc057_em02		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar10\itemnpc_em.lua																																																																																									
itemnpc_em06	CommonNpc	桃花雾障特效NPC六			202								npc\itemnpc057_em02		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar10\itemnpc_em.lua																																																																																									
itemnpc_em07	CommonNpc	桃花雾障特效NPC七			202								npc\itemnpc057_em02		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar10\itemnpc_em.lua																																																																																									
itemnpc_em08	CommonNpc	桃花雾障特效NPC八			202								npc\itemnpc057_em02		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar10\itemnpc_em.lua																																																																																									
itemnpc_em09	CommonNpc	佛光普照机关特效			172								npc\itemnpc057_em03		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar10\itemnpc_em09.lua			0	0			80																																																																																		
																																																																																																														
	//武当-school07																																																																																																													
SWKG_wd_01	CommonNpc	开关			81	2	2			0	0		npc\itemnpc488		icon\funcnpc\itemnpc488.png						npc\clone\schoolwar11\SWKG_wd_0.lua			0	0			10																						1	2		1			1													1											1111																														
SWJG_wd_01	CommonNpc	机关			81	2	2			0	0		npc\itemnpc225		icon\funcnpc\itemnpc225.png						npc\clone\schoolwar11\SWJG_wd_01.lua			0	0			10																						1	1		1			1													1											1111																														
SWJG_wd_02	CommonNpc	机关			81	2	2			0	0		npc\itemnpc225		icon\funcnpc\itemnpc225.png						npc\clone\schoolwar11\SWJG_wd_01.lua			0	0			10																						1	1		1			1													1											1111																														
SWJG_wd_03	CommonNpc	机关			81	2	2			0	0		npc\itemnpc225		icon\funcnpc\itemnpc225.png						npc\clone\schoolwar11\SWJG_wd_01.lua			0	0			10																						1	1		1			1													1											1111																														
SWJG_wd_04	CommonNpc	机关			81	2	2			0	0		npc\itemnpc225		icon\funcnpc\itemnpc225.png						npc\clone\schoolwar11\SWJG_wd_01.lua			0	0			10																						1	1		1			1													1											1111																														
SWJG_wd_05	CommonNpc	机关			81	2	2			0	0		npc\itemnpc225		icon\funcnpc\itemnpc225.png						npc\clone\schoolwar11\SWJG_wd_01.lua			0	0			10																						1	1		1			1													1											1111																														
SWJG_wd_06	CommonNpc	机关			81	2	2			0	0		npc\itemnpc225		icon\funcnpc\itemnpc225.png						npc\clone\schoolwar11\SWJG_wd_01.lua			0	0			10																						1	1		1			1													1											1111																														
SWJG_wd_07	CommonNpc	机关			81	2	2			0	0		npc\itemnpc225		icon\funcnpc\itemnpc225.png						npc\clone\schoolwar11\SWJG_wd_01.lua			0	0			10																						1	1		1			1													1											1111																														
SWJG_wd_08	CommonNpc	机关			81	2	2			0	0		npc\itemnpc225		icon\funcnpc\itemnpc225.png						npc\clone\schoolwar11\SWJG_wd_01.lua			0	0			10																						1	1		1			1													1											1111																														
SWJG_wd_09	CommonNpc	机关			81	2	2			0	0		npc\itemnpc225		icon\funcnpc\itemnpc225.png						npc\clone\schoolwar11\SWJG_wd_01.lua			0	0			10																						1	1		1			1													1											1111																														
SWJG_wd_10	CommonNpc	机关			81	2	2			0	0		npc\itemnpc225		icon\funcnpc\itemnpc225.png						npc\clone\schoolwar11\SWJG_wd_01.lua			0	0			10																						1	1		1			1													1											1111																														
switem_wd_relive01	CommonNpc	虎啸山庄复活点特效1			202					0	0		npc\itemnpc057u		icon\funcnpc\npc\itemnpc057u.png									0	0			10																																																																																		
switem_wd_relive02	CommonNpc	辎重营复活点特效2			202					0	0		npc\itemnpc057u		icon\funcnpc\npc\itemnpc057u.png									0	0			10																																																																																		
switem_wd_flagnpc02	CommonNpc	攻方战旗发放NPC			81	2	2			0	0	hand1_1	npc\worldnpc214		icon\funcnpc\worldnpc214.png						npc\clone\schoolwar6\switem_gb_flagnpc02.lua			0	0			10																																																																																		
itemnpcscenewd01	CommonNpc				172								npc\fbmac005014																																																																																																	
																																																																																																														
																																																																																																														
																																																																																																														
	//少林-school08																																																																																																													
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
SchoolWarNPC_01	CommonNpc	攻方		8	81	2	2			1.25	4	hand1_1	npc\funcnpc001		icon\funcnpc\funcnpc001.png					0	npc\clone\schoolwar11\SchoolWarNPC_01.lua		3	0	0			20				1																																																																														
SchoolWarNPC_02	CommonNpc	守方		8	81	2	2			1.25	4	hand1_1	npc\funcnpc001		icon\funcnpc\funcnpc001.png					0	npc\clone\schoolwar11\SchoolWarNPC_02.lua		3	0	0			20				1																																																																														
																																																																																																														
																																																																																																														
	门派至宝																																																																																																													
ShangFangBaoJian	FuncItem	尚方宝剑			172	2	2						npc\itemnpc568		icon\prop\prop673.png																																																																																															
DaGouGun	FuncItem	打狗棍			172	2	2						npc\itemnpc566		icon\prop\prop671.png																																																																																															
LanTingXu	FuncItem	兰亭序			172	2	2						npc\itemnpc567		icon\prop\prop672.png																																																																																															
ShenMuWangDing	FuncItem	神木王鼎			172	2	2						npc\itemnpc569		icon\prop\prop674.png																																																																																															
KongQueLing	FuncItem	孔雀翎			172	2	2						npc\itemnpc581		icon\prop\prop676.png																																																																																															
YiTianJian	FuncItem	倚天剑			172	2	2						npc\itemnpc580		icon\prop\prop675.png																																																																																															
TaiJiTu	FuncItem	太极图			172	2	2						npc\itemnpc565		icon\prop\prop670.png																																																																																															
DaMoSheLi	FuncItem	达摩舍利			172	2	2						npc\itemnpc564		icon\prop\prop669.png																																																																																															
schoolwar_table	FuncItem	供桌			172								npc\itemnpc582																																																																																																	
PoLuYin	FuncItem	破虏印			172	2	2						npc\itemnpc1584		icon\prop\prop669.png																																																																																															
YouXianZhen	FuncItem	游梦仙枕			172	2	2						npc\itemnpc1652		icon\prop\prop669.png																																																																																															
																																																																																																														
	据点宝箱NPC																																																																																																													
schoolwarbox_buff_wd01	CommonNpc	获取BUFF		8	81	2	2						npc\itemnpc005a							0	npc\clone\schoolwar11\schoolwarbox_buff_wd01.lua							20				1																																																																														
schoolwarbox_item_wd01	CommonNpc	获取道具		8	81	2	2						npc\itemnpc005a							0	npc\clone\schoolwar11\schoolwarbox_item_wd01.lua							20				1																																																																														
schoolwarbox_buff_sl01	CommonNpc	获取BUFF		8	81	2	2						npc\itemnpc005a							0	npc\clone\schoolwar12\schoolwarbox_buff_sl01.lua							20				1																																																																														
schoolwarbox_item_sl01	CommonNpc	获取道具		8	81	2	2						npc\itemnpc005a							0	npc\clone\schoolwar12\schoolwarbox_item_sl01.lua							20				1																																																																														
schoolwarbox_buff_tm01	CommonNpc	获取BUFF		8	81	2	2						npc\itemnpc005a							0								20				1																																																																														
schoolwarbox_item_tm01	CommonNpc	获取道具（药房）		8	81	2	2						npc\itemnpc005a							0								20				1																																																																														
schoolwarbox_item_tm02	CommonNpc	获取道具（练毒室）		8	81	2	2						npc\itemnpc005a							0	npc\clone\schoolwar9\schoolwarbox_item_tm02.lua							20				1																																																																														
schoolwarbox_buff_em01	CommonNpc	获取BUFF		8	81	2	2						npc\itemnpc005a							0	npc\clone\schoolwar10\schoolwarbox_buff_em01.lua							20				1																																																																														
schoolwarbox_item_em01	CommonNpc	获取道具		8	81	2	2						npc\itemnpc005a							0	npc\clone\schoolwar10\schoolwarbox_item_em01.lua							20				1																																																																														
schoolwarbox_item_jyw01	CommonNpc	获取道具		8	81	2	2						npc\itemnpc005a							0	npc\clone\schoolwar5\schoolwarbox_item_jyw01.lua							20				1																																																																														
																																																																																																														
	特殊NPC																																																																																																													
