NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	NPC对话类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	模型半径	图片	出生状态	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	恩怨响应包编号			建筑耐久	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	驿站	对话规则	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	是否有帮派仓库	AI条件执行编码表	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	主功能类型	主功能类型	是否是门牌	公会功能类型	相关属性包	对应等级	所属帮会地块编号	AI编辑包	直接触发	npc功能分类	NPC优先显示	随机商店ID
GuildBuildingNPC007	GuildBuildingNpc	机关房门牌		8	72		2	2			1.25	5		npc\fbfunnpc00121		icon\funcnpc\fbfunnpc00121.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				4	0	1				1701					
GuildBuildingNPC008	GuildBuildingNpc	机关房建筑		8	76		0	0			0	0		npc\1701_jiguanfang						0			0	0	0			100																5000																																																				4	0	0				1701					
GuildBuildingNPC009	GuildBuildingNpc	藏书远门牌		8	72		2	2			1.25	5		npc\worldnpc447		icon\funcnpc\worldnpc447.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	5	1				1701					
GuildBuildingNPC010	GuildBuildingNpc	藏书远建筑		8	76		0	0			0	0		npc\1701_cangshuyuan						0			0	0	0			100																5000																																																				1	5	0				1701					
GuildBuildingNPC011	GuildBuildingNpc	梅花桩门牌		8	72		2	2			1.25	5		npc\worldnpc050		icon\funcnpc\worldnpc050.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	4	1				1701					
GuildBuildingNPC012	GuildBuildingNpc	梅花桩建筑		8	76		0	0			0	0		npc\1701_meihuazhuang						0			0	0	0			100																5000																																																				1	4	0				1701					
GuildBuildingNPC013	GuildBuildingNpc	木人桩门牌		8	72		2	2			1.25	5		npc\worldnpc292		icon\funcnpc\worldnpc292.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	1	1				1701					
GuildBuildingNPC014	GuildBuildingNpc	木人桩建筑		8	76		0	0			0	0		npc\1701_murenzhuang						0			0	0	0			100																5000																																																				1	1	0				1701					
GuildBuildingNPC015	GuildBuildingNpc	静思室门牌		8	72		2	2			1.25	5		npc\fbboss00127		icon\funcnpc\fbboss00127.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	3	1				1701					
GuildBuildingNPC016	GuildBuildingNpc	静思室建筑		8	76		0	0			0	0		npc\1701_jingsishi						0			0	0	0			100																5000																																																				1	3	0				1701					
GuildBuildingNPC017	GuildBuildingNpc	正厅门牌		8	72		2	2			1.25	5		npc\worldnpc234		icon\funcnpc\worldnpc234.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				5	0	1				1701					
GuildBuildingNPC018	GuildBuildingNpc	正厅建筑		8	76		0	0			0	0		npc\1701_zhengti						0			0	0	0			100																5000																																																				5	0	0				1701					
GuildBuildingNPC019	GuildBuildingNpc	仓库门牌		8	72		2	2			1.25	5		npc\worldnpc214		icon\funcnpc\worldnpc214.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				6	0	1				1701					
GuildBuildingNPC020	GuildBuildingNpc	仓库建筑		8	76		0	0			0	0		npc\1701_cangku						0			0	0	0			100																5000																																																				6	0	0				1701					
GuildBuildingNPC021	GuildBuildingNpc	牌匾		8	76		0	0			0	0		npc\1701_paibian1						0			0	0	0			100																5000																																																				13	0	0				1701					
GuildBuildingNPC022	GuildBuildingNpc	牌坊		8	76		0	0			0	0		npc\1701_paibian2						0			0	0	0			100																5000																																																				7	0	0				1701					
GuildBuildingNPC023	GuildBuildingNpc	聚宝房		8	76		0	0			0	0		npc\1701_jubaoafang						0			0	0	0			100																5000																																																				9	0	0				1701					
GuildBuildingNPC024	GuildBuildingNpc	大门		8	76		0	0			0	0		npc\1701_damen						0			0	0	0			100																5000																																																				8	0	0				1701					
GuildBuildingNPC025	GuildBuildingNpc	大门门牌		8	72		2	2			1.25	5		npc\worldnpc239		icon\funcnpc\worldnpc239.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				8	0	1				1701					
GuildBuildingNPC026	GuildBuildingNpc	聚宝房门牌		8	72		2	2			1.25	5		npc\worldnpc451		icon\funcnpc\worldnpc451.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				9	0	1				1701					
GuildBuildingNPC027	GuildBuildingNpc	藏书院2门牌		8	72		2	2			1.25	5		npc\worldnpc447		icon\funcnpc\worldnpc447.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	8	1				1701					
GuildBuildingNPC028	GuildBuildingNpc	藏书院2建筑		8	76		0	0			0	0		npc\1701_cangshuyuan2									0	0	0			100																5000																																																				1	8	0				1701					
GuildBuildingNPC029	GuildBuildingNpc	金库门牌		8	72		2	2			1.25	5		npc\funcnpc001		icon\funcnpc\funcnpc001.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				11	0	1				1701					
GuildBuildingNPC030	GuildBuildingNpc	金库建筑		8	76		0	0			0	0		npc\1701_jinku									0	0	0			100																5000																																																				11	0	0				1701					
GuildBuildingNPC031	GuildBuildingNpc	演武堂门牌		8	72		2	2			1.25	5		npc\funcnpc010		icon\funcnpc\funcnpc010.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				10	0	1				1701					
GuildBuildingNPC032	GuildBuildingNpc	演武堂建筑		8	76		0	0			0	0		npc\1701_yanwutang									0	0	0			100																5000																																																				10	0	0				1701					
GuildBuildingNPC033	GuildBuildingNpc	旗帜大		8	76		0	0			0	0		npc\1701_qizhi_da									0	0	0			100																																																																															
GuildBuildingNPC034	GuildBuildingNpc	旗帜中		8	76		0	0			0	0		npc\1701_qizhi_zhong									0	0	0			100																																																																															
GuildBuildingNPC035	GuildBuildingNpc	旗帜小		8	76		0	0			0	0		npc\1701_qizhi_xiao									0	0	0			100																																																																															
GuildBuildingNPC036	GuildFuncNpc	帮派护卫		8	98		2	2			1.25	5	hand1_1	npc\monster114		icon\monster\monster114.png				0	npc\guild_npc_with_fire.lua 		3	0	0			10				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC037	GuildFuncNpc	帮派丫鬟		8	98		2	2			1.25	5	hand1_2	npc\worldnpc370		icon\funcnpc\worldnpc370.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC038	GuildFuncNpc	帮派见习弟子		8	98		2	2			1.25	5	hand1_1	npc\worldnpc292		icon\funcnpc\worldnpc522.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC039	GuildFuncNpc	帮派客卿		8	98		2	2			1.25	5	hand1_1	npc\worldnpc536		icon\funcnpc\worldnpc292.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC040	GuildFuncNpc	帮派长老		8	98		2	2			1.25	5	hand1_1	npc\worldnpc564		icon\funcnpc\worldnpc564.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC041	GuildFuncNpc	马		8	98		2	2			0	0	#N/A	npc\ride_horse_0404		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC042	GuildFuncNpc	马		8	98		2	2			0	0	#N/A	npc\ride_horse_0301		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC043	GuildFuncNpc	马		8	98		2	2			0	0	#N/A	npc\ride_horse_0302		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC044	GuildFuncNpc	马		8	98		2	2			0	0	#N/A	npc\ride_horse_0202		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildFireNPC001	BurnPointNpc	放火点		8	176		0	0			0	0		npc\itemnpc057						0			0	0	0			100																																																																															
GuildFireNPC002	BurnPointNpc	放火点		8	177		0	0			0	0		npc\itemnpc057						0			0	0	0			100																																																																															
GuildFireNPC003	BurnPointNpc	放火点		8	178		0	0			0	0		npc\itemnpc057						0			0	0	0			100																																																																															
GuildEffectNPC001	CommonNpc	特效npc		8	212		0	0			0	0		npc\guildeffect001						0	npc\npc_fire_effect.lua		0	0	0			3																																																																															
GuildEffectNPC002	CommonNpc	特效npc		8	212		0	0			0	0		npc\guildeffect002						0	npc\npc_fire_effect.lua		0	0	0			3																																																																															
GuildEffectNPC003	CommonNpc	特效npc		8	212		0	0			0	0		npc\guildeffect003						0	npc\npc_fire_effect.lua		0	0	0			3																																																																															
GuildEffectNPC004	CommonNpc	特效npc		8	212		0	0			0	0		npc\guildeffect004						0	npc\npc_fire_effect.lua		0	0	0			3																																																																															
GuildEffectNPC005	CommonNpc	特效npc		8	212		0	0			0	0		npc\guildeffect005						0	npc\npc_fire_effect.lua		0	0	0			3																																																																															
GuildEffectNPC006	CommonNpc	特效npc		8	212		0	0			0	0		npc\guildeffect006						0	npc\npc_fire_effect.lua		0	0	0			3																																																																															
GuildEffectNPC007	CommonNpc	特效npc		8	212		0	0			0	0		npc\guildeffect007						0	npc\npc_fire_effect.lua		0	0	0			3																																																																															
GuildEffectNPC008	CommonNpc	特效npc		8	212		0	0			0	0		npc\guildeffect008						0	npc\npc_fire_effect.lua		0	0	0			3																																																																															
GuildEffectNPC009	CommonNpc	特效npc		8	212		0	0			0	0		npc\guildeffect009						0	npc\npc_fire_effect.lua		0	0	0			3																																																																															
GuildEffectNPC010	CommonNpc	特效npc		8	212		0	0			0	0		npc\guildeffect010						0	npc\npc_fire_effect.lua		0	0	0			3																																																																															
fanghuocity01	BurnTaskNpc	朱宜		8	233		2	2			0	0	hand1_1	npc\worldnpc178		icon\funcnpc\worldnpc178.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity02	BurnTaskNpc	管琪浩		8	233		2	2			0	0	hand1_1	npc\worldnpc360		icon\funcnpc\worldnpc360.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity03	BurnTaskNpc	卫娅		8	233		2	2			0	0	hand1_2	npc\worldnpc037		icon\funcnpc\worldnpc037.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity04	BurnTaskNpc	金悦		8	233		2	2			0	0	hand1_0	npc\worldnpc226a		icon\funcnpc\worldnpc226.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity05	BurnTaskNpc	严仪翠		8	233		2	2			0	0	hand1_2	npc\worldnpc055		icon\funcnpc\worldnpc055.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoborn01	BurnTaskNpc	梁学杰		8	233		2	2			0	0	hand1_1	npc\worldnpc035		icon\funcnpc\worldnpc035.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoborn02	BurnTaskNpc	轩辕须		8	233		2	2			0	0	hand1_1	npc\worldnpc513		icon\funcnpc\worldnpc513.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoborn03	BurnTaskNpc	钟永茂		8	233		2	2			0	0	hand1_1	npc\worldnpc185		icon\funcnpc\worldnpc185.png				0			0	0	0			100																	Shop_fanghuo					1314;	1314;																																																								
fanghuoborn04	BurnTaskNpc	越织嘉		8	233		2	2			0	0	hand1_2	npc\worldnpc055		icon\funcnpc\worldnpc055.png				0			0	0	0			100																	Shop_fanghuo					1309;	1309;																																																								
fanghuoschool01	BurnTaskNpc	史盛		8	233		2	2			0	0	hand1_1	npc\worldnpc178		icon\funcnpc\worldnpc178.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool02	BurnTaskNpc	苗博		8	233		2	2			0	0	hand1_1	npc\worldnpc112		icon\funcnpc\worldnpc112.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool03	BurnTaskNpc	缪志		8	233		2	2			0	0	hand1_1	npc\worldnpc360		icon\funcnpc\worldnpc360.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool04	BurnTaskNpc	宇文姬纨		8	233		2	2			0	0	hand1_1	npc\worldnpc035		icon\funcnpc\worldnpc035.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool05	BurnTaskNpc	樊谨裕		8	233		2	2			0	0	hand1_2	npc\worldnpc037		icon\funcnpc\worldnpc037.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool06	BurnTaskNpc	昝环丹		8	233		2	2			0	0	hand1_1	npc\worldnpc513		icon\funcnpc\worldnpc513.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool07	BurnTaskNpc	公孙任		8	233		2	2			0	0	hand1_1	npc\worldnpc112		icon\funcnpc\worldnpc112.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool08	BurnTaskNpc	文纱伦		8	233		2	2			0	0	hand1_1	npc\worldnpc360		icon\funcnpc\worldnpc360.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity01a	BurnTaskNpc	连子文		8	233		2	2			0	0	hand1_1	npc\worldnpc178		icon\funcnpc\worldnpc178.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity02a	BurnTaskNpc	宇盛豪		8	233		2	2			0	0	hand1_1	npc\worldnpc360		icon\funcnpc\worldnpc360.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity04a	BurnTaskNpc	小夜		8	233		2	2			0	0	hand1_0	npc\worldnpc226a		icon\funcnpc\worldnpc226.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity05a	BurnTaskNpc	尹娅		8	233		2	2			0	0	hand1_2	npc\worldnpc055		icon\funcnpc\worldnpc055.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoborn01a	BurnTaskNpc	厉青		8	233		2	2			0	0	hand1_1	npc\worldnpc035		icon\funcnpc\worldnpc035.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoborn02a	BurnTaskNpc	燕绛悠		8	233		2	2			0	0	hand1_1	npc\worldnpc513		icon\funcnpc\worldnpc513.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoborn03a	BurnTaskNpc	司徒安		8	233		2	2			0	0	hand1_1	npc\worldnpc185		icon\funcnpc\worldnpc185.png				0			0	0	0			100																	Shop_fanghuo					1314;	1314;																																																								
fanghuoborn04a	BurnTaskNpc	曹尹杰		8	233		2	2			0	0	hand1_2	npc\worldnpc055		icon\funcnpc\worldnpc055.png				0			0	0	0			100																	Shop_fanghuo					1309;	1309;																																																								
fanghuoschool01a	BurnTaskNpc	靳晨		8	233		2	2			0	0	hand1_1	npc\worldnpc178		icon\funcnpc\worldnpc178.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool02a	BurnTaskNpc	焦腾		8	233		2	2			0	0	hand1_1	npc\worldnpc112		icon\funcnpc\worldnpc112.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool03a	BurnTaskNpc	拓跋锋		8	233		2	2			0	0	hand1_1	npc\worldnpc360		icon\funcnpc\worldnpc360.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool04a	BurnTaskNpc	师铮		8	233		2	2			0	0	hand1_1	npc\worldnpc035		icon\funcnpc\worldnpc035.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool05a	BurnTaskNpc	山仁		8	233		2	2			0	0	hand1_2	npc\worldnpc037		icon\funcnpc\worldnpc037.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool06a	BurnTaskNpc	河汉		8	233		2	2			0	0	hand1_1	npc\worldnpc513		icon\funcnpc\worldnpc513.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool07a	BurnTaskNpc	张弛宇		8	233		2	2			0	0	hand1_1	npc\worldnpc112		icon\funcnpc\worldnpc112.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool08a	BurnTaskNpc	若云		8	233		2	2			0	0	hand1_1	npc\worldnpc360		icon\funcnpc\worldnpc360.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity01b	BurnTaskNpc	尤镇元		8	233		2	2			0	0	hand1_1	npc\worldnpc178		icon\funcnpc\worldnpc178.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity02b	BurnTaskNpc	侯超		8	233		2	2			0	0	hand1_1	npc\worldnpc360		icon\funcnpc\worldnpc360.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity04b	BurnTaskNpc	忘忧		8	233		2	2			0	0	hand1_0	npc\worldnpc226a		icon\funcnpc\worldnpc226.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuocity05b	BurnTaskNpc	明妃		8	233		2	2			0	0	hand1_2	npc\worldnpc055		icon\funcnpc\worldnpc055.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoborn01b	BurnTaskNpc	城炎		8	233		2	2			0	0	hand1_1	npc\worldnpc035		icon\funcnpc\worldnpc035.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoborn02b	BurnTaskNpc	胡云天		8	233		2	2			0	0	hand1_1	npc\worldnpc513		icon\funcnpc\worldnpc513.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoborn03b	BurnTaskNpc	北唐宇		8	233		2	2			0	0	hand1_1	npc\worldnpc185		icon\funcnpc\worldnpc185.png				0			0	0	0			100																	Shop_fanghuo					1314;	1314;																																																								
fanghuoborn04b	BurnTaskNpc	云瑾		8	233		2	2			0	0	hand1_2	npc\worldnpc055		icon\funcnpc\worldnpc055.png				0			0	0	0			100																	Shop_fanghuo					1309;	1309;																																																								
fanghuoschool01b	BurnTaskNpc	贾致远		8	233		2	2			0	0	hand1_1	npc\worldnpc178		icon\funcnpc\worldnpc178.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool02b	BurnTaskNpc	独孤文		8	233		2	2			0	0	hand1_1	npc\worldnpc112		icon\funcnpc\worldnpc112.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool03b	BurnTaskNpc	甄舞阳		8	233		2	2			0	0	hand1_1	npc\worldnpc360		icon\funcnpc\worldnpc360.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool04b	BurnTaskNpc	凌阳		8	233		2	2			0	0	hand1_1	npc\worldnpc035		icon\funcnpc\worldnpc035.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool05b	BurnTaskNpc	司空贤		8	233		2	2			0	0	hand1_2	npc\worldnpc037		icon\funcnpc\worldnpc037.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool06b	BurnTaskNpc	卫无名		8	233		2	2			0	0	hand1_1	npc\worldnpc513		icon\funcnpc\worldnpc513.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool07b	BurnTaskNpc	南宫安		8	233		2	2			0	0	hand1_1	npc\worldnpc112		icon\funcnpc\worldnpc112.png				0			0	0	0			100																	Shop_fanghuo																																																														
fanghuoschool08b	BurnTaskNpc	楼飞		8	233		2	2			0	0	hand1_1	npc\worldnpc360		icon\funcnpc\worldnpc360.png				0			0	0	0			100																	Shop_fanghuo																																																														
jiuhuocity01_1	WaterTaskNpc	闵燕		8	234		2	2			0	0	hand1_2	npc\worldnpc013		icon\funcnpc\worldnpc013.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuocity02_1	WaterTaskNpc	蔺强		8	234		2	2			0	0	hand1_1	npc\worldnpc362		icon\funcnpc\worldnpc362.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuocity03_1	WaterTaskNpc	樊食婉		8	234		2	2			0	0		npc\worldnpc057		icon\funcnpc\worldnpc057.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuocity04_1	WaterTaskNpc	曲凝		8	234		2	2			0	0	hand1_0	npc\worldnpc031		icon\funcnpc\worldnpc031.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuocity05_1	WaterTaskNpc	衡雁		8	234		2	2			0	0	hand1_2	npc\worldnpc188		icon\funcnpc\worldnpc188.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuoborn01_1	WaterTaskNpc	邓友		8	234		2	2			0	0	hand1_1	npc\worldnpc362		icon\funcnpc\worldnpc362.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuoborn02_1	WaterTaskNpc	訾銮珊		8	234		2	2			0	0	hand1_0	npc\worldnpc235		icon\funcnpc\worldnpc235.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuoborn03_1	WaterTaskNpc	汤蓉美		8	234		2	2			0	0	hand1_2	npc\worldnpc013		icon\funcnpc\worldnpc013.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuoborn04_1	WaterTaskNpc	柏祥		8	234		2	2			0	0	hand1_1	npc\worldnpc367		icon\funcnpc\worldnpc367.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuoschool01_1	WaterTaskNpc	杨客美		8	234		2	2			0	0	hand1_0	npc\worldnpc235		icon\funcnpc\worldnpc235.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuoschool02_1	WaterTaskNpc	满晓晶		8	234		2	2			0	0	hand1_2	npc\worldnpc013		icon\funcnpc\worldnpc013.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuoschool03_1	WaterTaskNpc	权晃环		8	234		2	2			0	0	hand1_1	npc\worldnpc052		icon\funcnpc\worldnpc052.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuoschool04_1	WaterTaskNpc	傅珠瑶		8	234		2	2			0	0	hand1_0	npc\worldnpc031		icon\funcnpc\worldnpc031.png				0			0	0	0			100																	Shop_jiuhuo																																																														
jiuhuoschool05_1	WaterTaskNpc	傅普		8	234		2	2			0	0	hand1_1	npc\worldnpc514		icon\funcnpc\worldnpc514.png				0			0	0	0			100																	Shop_jiuhuo																																																														
