NPC±àºÅ	¶ÔÏóÀàĞÍ	Ãû³Æ	Ä£ĞÍ±àºÅ	Í·Ïñ	NPCÀàĞÍ	NPCÖÖÀàID	ÏìÓ¦·¶Î§	Ñ¡Ôñ²Ù×÷·ÖÀà	Êó±êĞÎ×´	½Å±¾±àºÅ	²É¼¯·¶Î§	²É¼¯Ê±ÌØĞ§Ãû	²É¼¯ºóÌØĞ§Ãû	²É¼¯ºóÌØĞ§³ÖĞøÊ±¼ä£¨ºÁÃë£©	²É¼¯¶¯×÷Ãû	Ë¢ĞÂÊ±¼ä£¨ms£©	¶ÁÌõÊ±¼ä(ms)	²É¼¯ÀàĞÍ	²ÎÊı1	²ÎÊı2	»ØÊÕ	µôÂä	²É¼¯µØµã	×î¶à¿É²É¼¯´ÎÊı	ÌåÁ¦	¹¤¾ßÏŞÖÆID£¨²»ÌîĞ´±íÊ¾Ã»ÓĞÏŞÖÆ£©	¶àÈËÍ¬Ê±²É¼¯£¨Ìî1ÔÊĞí£©	AI±à¼­°ü	´æÔÚÊ±¼ä
GatherNpc00189	MineNpc	·ÅÔÚ´²ÉÏµÄ±»Èì	npc\funcnpc010	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	658	0		taskitem_295		1					
GatherNpc00190	MineNpc	ÆĞÌáÊ÷	npc\cj_030100	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	0	3000	1	38081	0		taskitem_329		100					
GatherNpc00191	MineNpc	µÆ	npc\itemnpc006	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	10063;8112	1	taskitem_301-1			1					
GatherNpc00192	MineNpc	³ËÂú¾ÆµÄ³Ø×Ó	npc\funcnpc010	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	0		1	8107	0		taskitem_337		1					
GatherNpc00193	MineNpc	µ±¹é	npc\cj_150100	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	0		1	8102	0		taskitem_336		1					
GatherNpc00194	MineNpc	ÂÒ·Ø¶Ñ	npc\cj_030100	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	0		1	8108	0		taskitem_339		1					
GatherNpc00195	MineNpc	ÂÒ·Ø¶Ñ	npc\cj_030100	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	0		1	8108	0		taskitem_340		1					
GatherNpc00196	MineNpc	ÂÒ·Ø¶Ñ	npc\cj_030100	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	0		1	8108	0		taskitem_341		1					
GatherNpc00197	MineNpc	Âí²İ	npc\itemnpc064	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1		0		taskitem_343		1					
GatherNpc00198	MineNpc	Ê¯±®	npc\itemnpc070	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	0		1		0				1					
GatherNpc00199	MineNpc	Ò©ØÒ	npc\npcitem028	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	0		1	1009	0		taskitem_355		1					
GatherNpc00201	MineNpc	¸æÊ¾ÅÆ	npc\itemnpc006	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	8112	0				1					
GatherNpc00202	MineNpc	ÓñÅå	npc\itemnpc170	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	0		1	1026	0		taskitem_356		1					
GatherNpc00203	MineNpc	Ææ¹ÖµÄºĞ×Ó	npc\itemnpc005	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	0	3000	1	38004	0		taskitem_361		99999			1		
GatherNpc00205	MineNpc	·Å¾­ÊéµÄºĞ×Ó	npc\itemnpc005	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	0	3000	1	38034	0		taskitem_368		99999			1		
GatherNpc00208	MineNpc	Ê÷¶´	npc\itemnpc207	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	0	5000	1	38375	0		taskitem_418		1					
									28																				
									28																				
									28																				
									28																				
									28																				
									28																				
									28																				
									28																				
									28																				
Gather00002a	MineNpc	Á¸Ê³´ü	npc\itemnpc165	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	0	5000	1	38184	0		taskitem_283		1					
									28									1											
Gather00004a	MineNpc	Ïä×Ó	npc\itemnpc005	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	0	5000	1	38199	0		taskitem_391		1					
									28									1											
									28									1											
Gather00005a	MineNpc	Å¿µØ»¢	npc\itemnpc054	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000	5000	1	24305	0		taskitem_4a		1					
Gather00006a	MineNpc	Á¸²İ´ü	npc\itemnpc165	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000	5000	1	24309			taskitem_5a		1					
Gather00007a	MineNpc	³àòÔ°ïÃØÒ©Ïä	npc\itemnpc005	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000	5000	1	24317	0		taskitem_7a		1					
Gather00008a	MineNpc	ÓĞ¼ÇºÅµÄ²İ¶Ñ	npc\itemnpc087	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000	5000	1	24320	0		taskitem_8a		100000000					
Gather00009a	MineNpc	¹Ä	npc\itemnpc017	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact088	0	5000	1	24298	1				100000000					
Gather00010a	MineNpc	Á¸²Ö´óÃÅ	npc\fbmac002004	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact088	5000	5000	1	24323	1				1					
					153	3	20	2	28	npc\gather_npc.lua	3						5000	1						1					
Gather00011a	MineNpc	ÑàÎ²µû	npc\itemnpc228	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000	5000	1	24434	0		taskitem_11a		100000000					
Gather00012a	MineNpc	µØÉÏµÄÄ¾¹÷	npc\itemnpc038	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000	5000	1	24449	0		taskitem_15a		1					
Gather00013a	MineNpc	³àŞº	npc\itemnpc226	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000	5000	1	24451	0		taskitem_21a		1					
Gather00014a	MineNpc	Ç£Å£»¨	npc\cj_160150	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000	5000	1	24465	0		taskitem_16a		1					
