NPC编号	对象类型	名称	模型编号	头像	NPC类型	NPC种类ID	响应范围	选择操作分类	鼠标形状	脚本编号	采集范围	采集动作名	刷新时间（ms）	读条时间(ms)	采集类型	参数1	参数2	钓鱼难度	回收	掉落	掉落物品	采集地点	最多可采集次数	体力	消耗工具耐久	排行榜积分	影响时间	运营管理读取类别	运营管理读取名称	分解技能等级	身份掉落包	生活掉落包	生活心得	工具限制ID（不填写表示没有限制）	选中是否有绿色光圈	非vip采集次数	等同最多可采集次数	无拾取物消失时间	最大消失时间	AI编辑包	模型路径	限制包	NPC优先显示	是否求助	呼叫半径	采集成功添加BUFF
fishnpc10008	MineNpc	高背鲫群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	280	15		fishnpc10008	"fish_10191,fish_10198"	塞外草原	4	9	100	40	1000	13	13			908	45	207		2	4		2							
fishnpc10009	MineNpc	鳙鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	250	12		fishnpc10009	"fish_10169,fish_10177"	塞外大漠	6	8	60	24	1000	13	13			909	45	207		3	6		3							
fishnpc10010	MineNpc	白鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	260	13		fishnpc10010	"fish_10170,fish_10185"	塞外大漠	6	8	80	32	1000	13	13			910	45	207		3	6		3							
fishnpc10011	MineNpc	赤梢鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	270	14		fishnpc10011	"fish_10187,fish_10196"	塞外大漠	6	8	80	32	1000	13	13			911	45	207		3	6		3							
fishnpc10012	MineNpc	黑鲫群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	290	15		fishnpc10012	"fish_10192,fish_10199"	塞外大漠	4	9	100	40	1000	13	13			912	45	207		2	4		2							
fishnpc10013	MineNpc	鳟鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	1	1		fishnpc10013	"fish_10004,fish_10008"	千灯镇	6	1	1	0	1000	13	13			913	45	207		3	6		3							
fishnpc10014	MineNpc	岩原鲤群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	30	1		fishnpc10014	"fish_10012,fish_10014"	千灯镇	6	1	2	0	1000	13	13			914	45	207		3	6		3							
fishnpc10015	MineNpc	大肚鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	40	1		fishnpc10015	"fish_10018,fish_10022"	千灯镇	6	2	2	0	1000	13	13			915	45	207		3	6		3							
fishnpc10016	MineNpc	春鲤群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	70	2		fishnpc10016	"fish_10026,fish_10046"	千灯镇	4	3	5	2	1000	13	13			916	45	207		2	4		2							
fishnpc10017	MineNpc	青竹鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	80	3		fishnpc10017	"fish_10033,fish_10045"	唐门	6	3	7	2	1000	13	13			917	45	207		3	6		3							
fishnpc10018	MineNpc	大头鲤群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	100	4		fishnpc10018	"fish_10050,fish_10061"	唐门	6	3	7	2	1000	13	13			918	45	207		3	6		3							
fishnpc10019	MineNpc	尖鳍鲤群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	150	7		fishnpc10019	"fish_10077,fish_10092"	唐门	6	5	15	6	1000	13	13			919	45	207		3	6		3							
fishnpc10020	MineNpc	泉水鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10020	"fish_10109,fish_10135"	唐门	4	6	30	12	1000	13	13			920	45	207		2	4		2							
fishnpc10021	MineNpc	石首鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	80	3		fishnpc10021	"fish_10034,fish_10039"	峨眉	6	3	7	2	1000	13	13			921	45	207		3	6		3							
fishnpc10022	MineNpc	龙虾群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	110	4		fishnpc10022	"fish_10054,fish_10057"	峨眉	6	4	10	4	1000	13	13			922	45	207		3	6		3							
fishnpc10023	MineNpc	刺鳑鲏群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	140	7		fishnpc10023	"fish_10072,fish_10086"	峨眉	6	5	15	6	1000	13	13			923	45	207		3	6		3							
fishnpc10024	MineNpc	香榄鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10024	"fish_10111,fish_10132"	峨眉	4	6	30	12	1000	13	13			924	45	207		2	4		2							
fishnpc10025	MineNpc	胡鲶群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	120	5		fishnpc10025	"fish_10059,fish_10067"	念罗坝	6	4	10	4	1000	13	13			925	45	207		3	6		3							
fishnpc10026	MineNpc	半边鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	130	6		fishnpc10026	"fish_10068,fish_10073"	念罗坝	6	4	15	6	1000	13	13			926	45	207		3	6		3							
fishnpc10027	MineNpc	金线鲃群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	170	8		fishnpc10027	"fish_10090,fish_10100"	念罗坝	6	5	20	8	1000	13	13			927	45	207		3	6		3							
fishnpc10028	MineNpc	月光鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10028	"fish_10115,fish_10120"	念罗坝	4	6	30	12	1000	13	13			928	45	207		2	4		2							
fishnpc10029	MineNpc	石鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	160	7		fishnpc10029	"fish_10080,fish_10087"	成都	6	5	20	8	1000	13	13			929	45	207		3	6		3							
fishnpc10030	MineNpc	长臀鮠群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10030	"fish_10102,fish_10133"	成都	6	6	30	12	1000	13	13			930	45	207		3	6		3							
fishnpc10031	MineNpc	燕鳐鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	230	10		fishnpc10031	"fish_10147,fish_10154"	成都	6	7	60	24	1000	13	13			931	45	207		3	6		3							
fishnpc10032	MineNpc	黄金斑群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	240	12		fishnpc10032	"fish_10162,fish_10173"	成都	4	8	60	24	1000	13	13			932	45	207		2	4		2							
fishnpc10033	MineNpc	直口鲮群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	200	9		fishnpc10033	"fish_10116,fish_10126"	向阳坡	6	6	30	12	1000	13	13			933	45	207		3	6		3							
fishnpc10034	MineNpc	月鳢群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	210	10		fishnpc10034	"fish_10139,fish_10148"	向阳坡	6	7	45	18	1000	13	13			934	45	207		3	6		3							
fishnpc10035	MineNpc	长体鳜群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	240	11		fishnpc10035	"fish_10151,fish_10158"	向阳坡	6	8	60	24	1000	13	13			935	45	207		3	6		3							
fishnpc10036	MineNpc	乌塘鳢群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	240	12		fishnpc10036	"fish_10165,fish_10171"	向阳坡	4	8	60	24	1000	13	13			936	45	207		2	4		2							
fishnpc10037	MineNpc	白头鳜群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	240	12		fishnpc10037	"fish_10159,fish_10174"	凌霄城	6	8	60	24	1000	13	13			937	45	207		3	6		3							
fishnpc10038	MineNpc	墨头鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	260	13		fishnpc10038	"fish_10179,fish_10189"	凌霄城	6	8	80	32	1000	13	13			938	45	207		3	6		3							
fishnpc10039	MineNpc	暗鳜群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	270	14		fishnpc10039	"fish_10184,fish_10194"	凌霄城	6	8	80	32	1000	13	13			939	45	207		3	6		3							
fishnpc10040	MineNpc	抗浪鱼群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	290	15		fishnpc10040	"fish_10193,fish_10200"	凌霄城	4	9	100	40	1000	13	13			940	45	207		2	4		2							
fishnpc10041	MineNpc	对虾群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	60	3		fishnpc10041	"fish_10027,fish_10040"	少林	6	2	5	2	1000	13	13			941	45	207		3	6		3							
fishnpc10042	MineNpc	鲤鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	110	4		fishnpc10042	"fish_10053,fish_10062"	少林	6	4	10	4	1000	13	13			942	45	207		3	6		3							
fishnpc10043	MineNpc	黄尾鲴群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	150	7		fishnpc10043	"fish_10076,fish_10094"	少林	6	5	15	6	1000	13	13			943	45	207		3	6		3							
fishnpc10044	MineNpc	平鳍鳅群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10044	"fish_10108,fish_10129"	少林	4	6	30	12	1000	13	13			944	45	207		2	4		2							
fishnpc10045	MineNpc	鳓鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	70	3		fishnpc10045	"fish_10030,fish_10042"	武当	6	3	5	2	1000	13	13			945	45	207		3	6		3							
fishnpc10046	MineNpc	黄颡鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	100	4		fishnpc10046	"fish_10052,fish_10065"	武当	6	3	7	2	1000	13	13			946	45	207		3	6		3							
fishnpc10047	MineNpc	鲌鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	170	7		fishnpc10047	"fish_10084,fish_10096"	武当	6	5	20	8	1000	13	13			947	45	207		3	6		3							
fishnpc10048	MineNpc	铜鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10048	"fish_10110,fish_10121"	武当	4	6	30	12	1000	13	13			948	45	207		2	4		2							
fishnpc10049	MineNpc	黑鲈群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	140	7		fishnpc10049	"fish_10074,fish_10091"	洛阳	6	5	15	6	1000	13	13			949	45	207		3	6		3							
fishnpc10050	MineNpc	刀鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	190	9		fishnpc10050	"fish_10104,fish_10131"	洛阳	6	6	30	12	1000	13	13			950	45	207		3	6		3							
fishnpc10051	MineNpc	大眼鳜群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	220	10		fishnpc10051	"fish_10141,fish_10156"	洛阳	6	7	45	18	1000	13	13			951	45	207		3	6		3							
fishnpc10052	MineNpc	火鲤群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	240	12		fishnpc10052	"fish_10163,fish_10178"	洛阳	4	8	60	24	1000	13	13			952	45	207		2	4		2							
fishnpc10053	MineNpc	大白鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	1	1		fishnpc10053	"fish_10002,fish_10006"	漠河镇	6	1	1	0	1000	13	13			953	45	207		3	6		3							
fishnpc10054	MineNpc	狗鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	10	1		fishnpc10054	"fish_10009,fish_10013"	漠河镇	6	1	1	0	1000	13	13			954	45	207		3	6		3							
fishnpc10055	MineNpc	鲱鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	50	1		fishnpc10055	"fish_10019,fish_10021"	漠河镇	6	2	2	0	1000	13	13			955	45	207		3	6		3							
fishnpc10056	MineNpc	马头鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	70	2		fishnpc10056	"fish_10031,fish_10043"	漠河镇	4	3	5	2	1000	13	13			956	45	207		2	4		2							
fishnpc10057	MineNpc	燕鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	80	3		fishnpc10057	"fish_10036,fish_10044"	丐帮	6	3	7	2	1000	13	13			957	45	207		3	6		3							
fishnpc10058	MineNpc	鲅鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	90	4		fishnpc10058	"fish_10048,fish_10058"	丐帮	6	3	7	2	1000	13	13			958	45	207		3	6		3							
fishnpc10059	MineNpc	塘角鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	170	7		fishnpc10059	"fish_10083,fish_10098"	丐帮	6	5	20	8	1000	13	13			959	45	207		3	6		3							
fishnpc10060	MineNpc	香鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10060	"fish_10112,fish_10122"	丐帮	4	6	30	12	1000	13	13			960	45	207		2	4		2							
fishnpc10061	MineNpc	白鲦群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	140	7		fishnpc10061	"fish_10071,fish_10095"	燕京	6	5	15	6	1000	13	13			961	45	207		3	6		3							
fishnpc10062	MineNpc	灯笼鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	190	9		fishnpc10062	"fish_10105,fish_10130"	燕京	6	6	30	12	1000	13	13			962	45	207		3	6		3							
fishnpc10063	MineNpc	雪鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	230	10		fishnpc10063	"fish_10146,fish_10155"	燕京	6	7	60	24	1000	13	13			963	45	207		3	6		3							
fishnpc10064	MineNpc	花鱼群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	240	12		fishnpc10064	"fish_10161,fish_10183"	燕京	4	8	60	24	1000	13	13			964	45	207		2	4		2							
fishnpc10065	MineNpc	竹夹鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	200	9		fishnpc10065	"fish_10117,fish_10119"	泛黄平原	6	6	30	12	1000	13	13			965	45	207		3	6		3							
fishnpc10066	MineNpc	鮰鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	210	10		fishnpc10066	"fish_10137,fish_10140"	泛黄平原	6	7	45	18	1000	13	13			966	45	207		3	6		3							
fishnpc10067	MineNpc	鲢鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	220	10		fishnpc10067	"fish_10143,fish_10152"	泛黄平原	6	7	45	18	1000	13	13			967	45	207		3	6		3							
fishnpc10068	MineNpc	细鳞鱼群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	240	12		fishnpc10068	"fish_10166,fish_10180"	泛黄平原	4	8	60	24	1000	13	13			968	45	207		2	4		2							
fishnpc10069	MineNpc	银鲫群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	200	9		fishnpc10069	"fish_10114,fish_10125"	蓬莱	6	6	30	12	1000	13	13			969	45	207		3	6		3							
fishnpc10070	MineNpc	青花鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	210	10		fishnpc10070	"fish_10138,fish_10142"	蓬莱	6	7	45	18	1000	13	13			970	45	207		3	6		3							
fishnpc10071	MineNpc	白鲳群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	240	11		fishnpc10071	"fish_10149,fish_10157"	蓬莱	6	8	60	24	1000	13	13			971	45	207		3	6		3							
fishnpc10072	MineNpc	胭脂鱼群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	240	12		fishnpc10072	"fish_10168,fish_10175"	蓬莱	4	8	60	24	1000	13	13			972	45	207		2	4		2							
fishnpc10073	MineNpc	赤鳞鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	250	12		fishnpc10073	"fish_10160,fish_10176"	幽云十八洲	6	8	60	24	1000	13	13			973	45	207		3	6		3							
fishnpc10074	MineNpc	红鲷鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	260	13		fishnpc10074	"fish_10172,fish_10186"	幽云十八洲	6	8	80	32	1000	13	13			974	45	207		3	6		3							
fishnpc10075	MineNpc	大银鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	270	14		fishnpc10075	"fish_10188,fish_10195"	幽云十八洲	6	8	80	32	1000	13	13			975	45	207		3	6		3							
fishnpc10076	MineNpc	白鲟群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	280	15		fishnpc10076	"fish_10190,fish_10197"	幽云十八洲	4	9	100	40	1000	13	13			976	45	207		2	4		2							
fishnpc10077	MineNpc	鳊鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	1	1		fishnpc10077	"fish_10001,fish_10007"	烟雨庄	6	1	1	0	1000	13	13			977	45	207		3	6		3							
fishnpc10078	MineNpc	青鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	20	1		fishnpc10078	"fish_10010,fish_10016"	烟雨庄	6	1	1	0	1000	13	13			978	45	207		3	6		3							
fishnpc10079	MineNpc	鲳鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	40	1		fishnpc10079	"fish_10017,fish_10023"	烟雨庄	6	2	2	0	1000	13	13			979	45	207		3	6		3							
fishnpc10080	MineNpc	小黄鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	70	2		fishnpc10080	"fish_10035,fish_10041"	烟雨庄	4	3	5	2	1000	13	13			980	45	207		2	4		2							
fishnpc10081	MineNpc	螃蟹群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	70	3		fishnpc10081	"fish_10032,fish_10047"	君子堂	6	3	5	2	1000	13	13			981	45	207		3	6		3							
fishnpc10082	MineNpc	青蟹群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	110	4		fishnpc10082	"fish_10055,fish_10064"	君子堂	6	4	10	4	1000	13	13			982	45	207		3	6		3							
fishnpc10083	MineNpc	花泥鳅群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	150	7		fishnpc10083	"fish_10075,fish_10089"	君子堂	6	5	15	6	1000	13	13			983	45	207		3	6		3							
fishnpc10084	MineNpc	紫薄鳅群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10084	"fish_10118,fish_10134"	君子堂	4	6	30	12	1000	13	13			984	45	207		2	4		2							
fishnpc10085	MineNpc	黄菇鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	60	3		fishnpc10085	"fish_10028,fish_10038"	极乐谷	6	2	5	2	1000	13	13			985	45	207		3	6		3							
fishnpc10086	MineNpc	黄骨鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	100	4		fishnpc10086	"fish_10051,fish_10060"	极乐谷	6	3	7	2	1000	13	13			986	45	207		3	6		3							
fishnpc10087	MineNpc	鲥鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	160	7		fishnpc10087	"fish_10081,fish_10088"	极乐谷	6	5	20	8	1000	13	13			987	45	207		3	6		3							
fishnpc10088	MineNpc	金线鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10088	"fish_10107,fish_10127"	极乐谷	4	6	30	12	1000	13	13			988	45	207		2	4		2							
fishnpc10089	MineNpc	卷口鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	70	3		fishnpc10089	"fish_10029,fish_10037"	锦衣卫	6	3	5	2	1000	13	13			989	45	207		3	6		3							
fishnpc10090	MineNpc	白鳞鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	90	4		fishnpc10090	"fish_10049,fish_10063"	锦衣卫	6	3	7	2	1000	13	13			990	45	207		3	6		3							
fishnpc10091	MineNpc	白花鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	130	7		fishnpc10091	"fish_10070,fish_10085"	锦衣卫	6	4	15	6	1000	13	13			991	45	207		3	6		3							
fishnpc10092	MineNpc	银鼓鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10092	"fish_10113,fish_10136"	锦衣卫	4	6	30	12	1000	13	13			992	45	207		2	4		2							
fishnpc10093	MineNpc	昂丝鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	120	5		fishnpc10093	"fish_10056,fish_10066"	梅花岭	6	4	10	4	1000	13	13			993	45	207		3	6		3							
