NPC编号	对象类型	名称	模型编号	头像	采集数量	NPC类型	NPC种类ID	回收时间	响应范围	选择操作分类	鼠标	脚本编号	采集范围	除虫度	干燥度	杂草度	模型路径	采集范围	采集动作名	刷新时间（ms）	读条时间(ms)	采集类型	参数1	参数2	钓鱼难度	回收	掉落	掉落物品	采集地点	最多可采集次数	体力	消耗工具耐久	运营管理读取类别	运营管理读取名称	钓鱼难度	分解技能等级	生活掉落包	生活心得	工具限制ID（不填写表示没有限制）	种植类型	最大HP	当前HP	HP百分比	AI编辑包	是否可以偷取
croppernpc10028	CropNpc	青蒜	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	73	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_040040;3,npc\cj_ty0002a;3,npc\cj_041120a"	3	life_ys_01	20000	5000	2	sh_nf	180			croppernpc10028	"cropper_40048,cropper_40037"		1			13	13			1928	15		1	100	100	100		0
croppernpc10029	CropNpc	瓜子仁	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	89	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_040037;3,npc\cj_040038"	3	life_ys_01	20000	5000	2	sh_nf	220			croppernpc10029	cropper_40077		1			13	13			1929	15		1	100	100	100		0
croppernpc10030	CropNpc	大葱	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	93	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_040040;3,npc\cj_ty0002a;3,npc\cj_041120a"	3	life_ys_01	20000	5000	2	sh_nf	230			croppernpc10030	cropper_40056		1			13	13			1930	15		1	100	100	100		0
croppernpc10031	CropNpc	小葱	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	25	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_040040;2,npc\cj_ty0002a;2,npc\cj_041120a"	3	life_ys_01	20000	5000	2	sh_nf	60			croppernpc10031	cropper_40009		1			13	13			1931	15		1	100	100	100		0
croppernpc10032	CropNpc	花椒	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	49	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0004c;2,npc\cj_ty0001a;2,npc\cj_ty0001b"	3	life_ys_01	20000	5000	2	sh_nf	120			croppernpc10032	cropper_40024		1			13	13			1932	15		1	100	100	100		0
croppernpc10033	CropNpc	荸荠	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	69	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0001c;2,npc\cj_040017;2,npc\cj_040018"	3	life_ys_01	20000	5000	2	sh_nf	170			croppernpc10033	cropper_40030		1			13	13			1933	15		1	100	100	100		0
croppernpc10034	CropNpc	杏树	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	101	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_040042;3,npc\cj_040034;3,npc\cj_040039"	3	life_ys_01	20000	5000	2	sh_nf	250			croppernpc10034	cropper_40080		1			13	13			1934	15		1	100	100	100		0
croppernpc10035	CropNpc	平菇	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	29	20	7	7	npc\gather_npc.lua	20	10		10	"4,npc\cj_ty0002c;2,npc\cj_ty0004a;2,npc\cj_ty0004b"	3	life_ys_01	20000	5000	2	sh_nf	70			croppernpc10035	cropper_40017		1			13	13			1935	15		1	100	100	100		0
croppernpc10036	CropNpc	蚕豆	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	65	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0003c;2,npc\cj_040007;2,npc\cj_040008"	3	life_ys_01	20000	5000	2	sh_nf	160			croppernpc10036	cropper_40049		1			13	13			1936	15		1	100	100	100		0
croppernpc10037	CropNpc	茼蒿	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	69	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0003c;2,npc\cj_ty0003a;2,npc\cj_ty0003b"	3	life_ys_01	20000	5000	2	sh_nf	170			croppernpc10037	cropper_40035		1			13	13			1937	15		1	100	100	100		0
croppernpc10038	CropNpc	芦笋	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	29	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0003c;2,npc\cj_040021;2,npc\cj_040022"	3	life_ys_01	20000	5000	2	sh_nf	70			croppernpc10038	cropper_40047		1			13	13			1938	15		1	100	100	100		0
croppernpc10039	CropNpc	肉桂	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	77	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_040042;3,npc\cj_040043;3,npc\cj_040016"	3	life_ys_01	20000	5000	2	sh_nf	190			croppernpc10039	cropper_40040		1			13	13			1939	15		1	100	100	100		0
croppernpc10040	CropNpc	莴笋	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	5	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0003c;1,npc\cj_040001;1,npc\cj_040002"	3	life_ys_01	20000	5000	2	sh_nf	10			croppernpc10040	cropper_40005		1			13	13			1940	15		1	100	100	100		0
croppernpc10041	CropNpc	青菜	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	37	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0003a;2,npc\cj_ty0003b;2,npc\cj_041210a"	3	life_ys_01	20000	5000	2	sh_nf	90			croppernpc10041	cropper_40014		1			13	13			1941	15		1	100	100	100		0
croppernpc10042	CropNpc	百合	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	93	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_040046;3,npc\cj_040047;3,npc\cj_040048"	3	life_ys_01	20000	5000	2	sh_nf	230			croppernpc10042	cropper_40054		1			13	13			1942	15		1	100	100	100		0
croppernpc10043	CropNpc	苎麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	5	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0004c;1,npc\cj_040200;1,npc\cj_040201"	3	life_ys_01	20000	5000	2	sh_nf	1			croppernpc10043	cropper_10001		1			13	13			1943	15		1	100	100	100		0
croppernpc10044	CropNpc	火麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	5	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0004c;1,npc\cj_040200;1,npc\cj_040201"	3	life_ys_01	20000	5000	2	sh_nf	1			croppernpc10044	cropper_10002		1			13	13			1944	15		1	100	100	100		0
croppernpc10045	CropNpc	罗布麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	9	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0004c;1,npc\cj_040200;1,npc\cj_040201"	3	life_ys_01	20000	5000	2	sh_nf	20			croppernpc10045	cropper_10003		1			13	13			1945	15		1	100	100	100		0
croppernpc10046	CropNpc	红麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	13	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0004c;1,npc\cj_040200;1,npc\cj_040201"	3	life_ys_01	20000	5000	2	sh_nf	30			croppernpc10046	cropper_10004		1			13	13			1946	15		1	100	100	100		0
croppernpc10047	CropNpc	剑麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	13	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0004c;1,npc\cj_040200;1,npc\cj_040201"	3	life_ys_01	20000	5000	2	sh_nf	30			croppernpc10047	cropper_10005		1			13	13			1947	15		1	100	100	100		0
croppernpc10048	CropNpc	槿麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	17	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0004c;1,npc\cj_040200;1,npc\cj_040201"	3	life_ys_01	20000	5000	2	sh_nf	40			croppernpc10048	cropper_10006		1			13	13			1948	15		1	100	100	100		0
croppernpc10049	CropNpc	黄麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	49	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0004c;2,npc\cj_040200;2,npc\cj_040201"	3	life_ys_01	20000	5000	2	sh_nf	120			croppernpc10049	cropper_10007		1			13	13			1949	15		1	100	100	100		0
croppernpc10050	CropNpc	青麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	49	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0004c;2,npc\cj_040200;2,npc\cj_040201"	3	life_ys_01	20000	5000	2	sh_nf	120			croppernpc10050	cropper_10008		1			13	13			1950	15		1	100	100	100		0
croppernpc10051	CropNpc	茼麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	49	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0004c;2,npc\cj_040200;2,npc\cj_040201"	3	life_ys_01	20000	5000	2	sh_nf	120			croppernpc10051	cropper_10009		1			13	13			1951	15		1	100	100	100		0
croppernpc10052	CropNpc	亚麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	73	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_040200;3,npc\cj_040201"	3	life_ys_01	20000	5000	2	sh_nf	180			croppernpc10052	cropper_10010		1			13	13			1952	15		1	100	100	100		0
croppernpc10053	CropNpc	粗绒棉花	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	73	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_ty0001b;3,npc\cj_040049"	3	life_ys_01	20000	5000	2	sh_nf	180			croppernpc10053	cropper_10011		1			13	13			1953	15		1	100	100	100		0
croppernpc10054	CropNpc	白棉花	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	73	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_ty0001b;3,npc\cj_040049"	3	life_ys_01	20000	5000	2	sh_nf	180			croppernpc10054	cropper_10012		1			13	13			1954	15		1	100	100	100		0
croppernpc10055	CropNpc	红棉花	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	73	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_ty0001b;3,npc\cj_040049"	3	life_ys_01	20000	5000	2	sh_nf	180			croppernpc10055	cropper_10013		1			13	13			1955	15		1	100	100	100		0
croppernpc10056	CropNpc	草棉花	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	73	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_ty0001b;3,npc\cj_040049"	3	life_ys_01	20000	5000	2	sh_nf	180			croppernpc10056	cropper_10014		1			13	13			1956	15		1	100	100	100		0
croppernpc10057	CropNpc	木棉花	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	93	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_ty0001b;3,npc\cj_040049"	3	life_ys_01	20000	5000	2	sh_nf	230			croppernpc10057	cropper_10015		1			13	13			1957	15		1	100	100	100		0
croppernpc10058	CropNpc	长绒棉花	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	97	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_ty0001b;3,npc\cj_040049"	3	life_ys_01	20000	5000	2	sh_nf	240			croppernpc10058	cropper_10016		1			13	13			1958	15		1	100	100	100		0
croppernpc10059	CropNpc	细绒棉	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	97	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_ty0001b;3,npc\cj_040049"	3	life_ys_01	20000	5000	2	sh_nf	240			croppernpc10059	cropper_10017		1			13	13			1959	15		1	100	100	100		0
croppernpc10060	CropNpc	绒棉花	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	93	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_ty0001b;3,npc\cj_040049"	3	life_ys_01	20000	5000	2	sh_nf	230			croppernpc10060	cropper_10018		1			13	13			1960	15		1	100	100	100		0
croppernpc10061	CropNpc	云棉花	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	97	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_ty0001b;3,npc\cj_040049"	3	life_ys_01	20000	5000	2	sh_nf	240			croppernpc10061	cropper_10019		1			13	13			1961	15		1	100	100	100		0
croppernpc10062	CropNpc	彩棉花	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	97	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0004c;3,npc\cj_ty0001b;3,npc\cj_040049"	3	life_ys_01	20000	5000	2	sh_nf	240			croppernpc10062	cropper_10020		1			13	13			1962	15		1	100	100	100		0
																																													
croppernpc30001	CropNpc	玫瑰花	npc\cj_040101	icon\funcnpc\cj_040001.png	1	204	9	60	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\itemnpc816;2,npc\itemnpc817;2,npc\itemnpc818"	3	life_ys_01	20000	5000	2					croppernpc20053	"cropper_50001,cropper_50002,cropper_50003"		1			13	13			2025			3	100	100	100		1
																																													
croppernpc30002	CropNpc	南瓜	npc\cj_040101	icon\funcnpc\cj_040001.png	1	204	9	60	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0003c;2,npc\npcitem879;2,npc\npcitem880"	3	life_ys_01	20000	5000	2					croppernpc20054	item_nangua_01		1			13	13			2031			3	100	100	100		1
																																													
croppernpc10042_1	CropNpc	百合	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	60	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_040046;2,npc\cj_040047;2,npc\cj_040048"	3	life_ys_01	20000	5000	2	sh_nf	230			croppernpc10042_1	cropper_40054_a		1			13	13			2032	1		1	100	100	100		1
croppernpc10042_2	CropNpc	情人玫瑰	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	60	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\itemnpc816;2,npc\itemnpc817;2,npc\itemnpc818"	3	life_ys_01	20000	5000	2	sh_nf	230			croppernpc10042_2	cropper_40054_b		1			13	13			2033	1		1	100	100	100		1
croppernpc10042_3	CropNpc	牡丹	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	60	20	7	7	npc\gather_npc.lua	20				"1,npc\itemnpc816;2,npc\itemnpc817;2,npc\itemnpc873"	3	life_ys_01	20000	5000	2	sh_nf	230			croppernpc10042_3	cropper_40054_c		1			13	13			2037	1		1	100	100	100		1
																																													
croppernpc20001	CropNpc	蚁蚕	npc\cj_040102	icon\funcnpc\cj_040002.png	1	201	9	3	20	7	7	npc\gather_npc.lua	20	20		20	"1,npc\cj_040202;1,npc\cj_040203;1,npc\cj_040204"	3	life_jq_01	20000	5000	2	sh_nf	90			croppernpc20001	cropper_20001		1			13	13			1963	15		2	100	100	100		0
croppernpc20002	CropNpc	沙蚕	npc\cj_040102	icon\funcnpc\cj_040002.png	1	201	9	3	20	7	7	npc\gather_npc.lua	20	20		20	"1,npc\cj_040202;1,npc\cj_040203;1,npc\cj_040204"	3	life_jq_01	20000	5000	2	sh_nf	100			croppernpc20002	cropper_20002		1			13	13			1964	15		2	100	100	100		0
croppernpc20003	CropNpc	樟蚕	npc\cj_040102	icon\funcnpc\cj_040002.png	1	201	9	3	20	7	7	npc\gather_npc.lua	20	20		20	"1,npc\cj_040202;1,npc\cj_040203;1,npc\cj_040204"	3	life_jq_01	20000	5000	2	sh_nf	120			croppernpc20003	cropper_20003		1			13	13			1965	15		2	100	100	100		0
croppernpc20004	CropNpc	蓖麻蚕	npc\cj_040102	icon\funcnpc\cj_040002.png	1	201	9	45	20	7	7	npc\gather_npc.lua	20	20		20	"1,npc\cj_040202;1,npc\cj_040203;1,npc\cj_040204"	3	life_jq_01	20000	5000	2	sh_nf	110			croppernpc20004	cropper_20004		1			13	13			1966	15		2	100	100	100		0
croppernpc20005	CropNpc	桑蚕	npc\cj_040102	icon\funcnpc\cj_040002.png	1	201	9	57	20	7	7	npc\gather_npc.lua	20	20		20	"1,npc\cj_040202;1,npc\cj_040203;1,npc\cj_040204"	3	life_jq_01	20000	5000	2	sh_nf	140			croppernpc20005	cropper_20005		1			13	13			1967	15		2	100	100	100		0
