NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	禁播受击动作	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	NPC交互停留时间	门派职权	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	善恶参数	直接触发	对话类型	地位评分	世界触发器相关	报复等级	报复手段	是否可结婚	格挡方式(-1表示不格挡)	模型缩放	存在时间	退出发声对话	是否预载入模型	是否可被捕捉	捕捉道具	桃花岛骑鱼QTE	天气包	只关心距离脱离战斗	优先显示	动作集
sl183	CommonNpc	少林弟子		8	93	2	2			1.25	4	hand1_1	npc\monster516	1		icon\monster\monster516.png					0				3	0	0			20	prop_ZhengPaiMenPai_1			0			1	8					1				296;297;298;299;300					1	22		1											1						1			2000	15		2000								0	10			shop_panshi_sl																			581																				
tm090	CommonNpc	唐门弟子		8	90	2	2		0	1.25	4	hand1_1	npc\worldnpc732	1		icon\funcnpc\worldnpc732.png					0				3	0	0			20				0			1	5					1				296;297;298;299;300					15	40		2											1						1			2000	15		2000								0	10			shop_panshi_tm																																							
em910	CommonNpc	峨眉小师妹		8	91	2	2			1.25	4	hand1_2	npc\worldnpc378	2		icon\funcnpc\worldnpc348.png					0				3	0	0			20				0			1	6		talkrule060103							167;169;182;191;196					1	2		1											1						1			2000	15		2000								0	10			shop_panshi_em																				1																			
gb391	CommonNpc	迟叶惠		8	87	2	2			1.25	4	hand1_1	npc\monster164	1		icon\monster\monster164.png					0				3	0	0			20				1			1	2		talkrule010203			1				159;169;179;191;192					1	160		2											0						1			2000	15		2000								0	10			shop_panshi_gb																				1																			
JZTNPC151	CommonNpc	谢羽天		8	88	2	2		1	1.25	4	hand1_1	npc\worldnpc253	1		icon\funcnpc\worldnpc253.png					0				3	0	0			20							1	3														1	20		1											1						1			2000	15		2000								0	10			shop_panshi_jz																																							
jlg094	CommonNpc	游客		8	89	2	2		0	1.25	4	hand1_1	npc\worldnpc784	1		icon\funcnpc\worldnpc784.png					0				3	0	0			20							1	4														1	2		1											1						1			2000	15		2000												shop_panshi_jl																																							
jyw049	CommonNpc	刑昭君		8	86	2	2			1.25	4	hand1_1	npc\monster382	2		icon\monster\monster382.png					0				3	0	0			20				1			1	1		talkrule010103												1	70		1											1						1			2000	15		2000								0	10			shop_panshi_jy																				2																			
wd180	CommonNpc	昌问重		8	92	2	2			0.5	4	hand1_1	npc\worldnpc053	1		icon\funcnpc\worldnpc053.png					0				3	0	0			20				0			1	7		talkrule060101			1				296;297;298;299;300					1	15		3											1						1			2000	15		2000								0	10			shop_panshi_wd																				1			5		5	19													
toushi_npc_01	CommonNpc	昌问重		8	92	2	2			0.5	4	hand1_1	npc\worldnpc081	1		icon\funcnpc\worldnpc053.png					0				3	0	0			20				0			1						1									1	15		3											1						1			2000	15		2000								0	10																							1			5		5	19					wd165_end								
FuncNpc00715	CommonNpc	清行	4	8	93	2	2			1.25	4	hand1_1	npc\worldnpc153			icon\funcnpc\worldnpc152.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211												1	2		1											1						1			2000	15		2000								0	10			Shop_weapon_00402																				1			2		2	22													
FuncNpc00716	CommonNpc	清受	3	8	93	2	2			1.25	4	hand1_1	npc\worldnpc153			icon\funcnpc\worldnpc154.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211												1	2		1											1						1			2000	15		2000								0	10			Shop_equip_00502																				1			2																
FuncNpc00717	CommonNpc	清复	3	8	93	2	2	10		1.25	4	hand1_1	npc\worldnpc094			icon\monster\monster527.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211												1	2		1											1						1			2000	15		2000								0	10			Shop_yaopin_00102					38059;38074;	38058;38060;														1			2																
FuncNpc00718	CommonNpc	清法	1	8	482	2	2	10		1.25	4	hand1_1	npc\worldnpc478			icon\funcnpc\worldnpc478.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211												1	2		1											1						1			2000	15		2000								0	10					1			38004;	38003;														1			2																
FuncNpc00719	CommonNpc	吕晖		8	62	2	2			1.25	4	hand1_1	npc\monster100			icon\monster\monster100.png					0				3	0	0			20	prop_QiTaMenPai_2		Home_134	1			7	2	11	talkrule070211												1	2		1											1						1			2000	15		2000								0	10			Shop_weapon_00402																				1			2																
FuncNpc00720	CommonNpc	宫轶奇		8	63	2	2			1.25	4	hand1_1	npc\monster446			icon\monster\monster446.png					0				3	0	0			20	prop_QiTaMenPai_3		Home_135	1			7	2	11	talkrule070211												1	2		1											1						1			2000	15		2000								0	10			Shop_equip_00502																				1			2																
FuncNpc00721	CommonNpc	赵然		8	66	2	2			1.25	4	hand1_1	npc\monster341			icon\monster\monster341.png					0				3	0	0			20	prop_QiTaMenPai_4		Home_136	1			7	2	11	talkrule070211												1	2		1											1						1			2000	15		2000								0	10			Shop_yaopin_00102																				1			2																
FuncNpc00728	CommonNpc	少林门派指引人		8	229	2	2			0.7	4	hand1_1	npc\worldnpc094			icon\funcnpc\worldnpc094.png					0	npc\introducer_npc.lua			3	0	0			20	prop_QiTaMenPai_1		Home_133	1			1	8	3	talkrule010803			1				296;297;298;299;300					1	2		1											1						1			2000	15		2000						1		0	10								51;51622															1			5																
																																																																																							10																																										
																																																																																							10																																										
FuncNpc00729	CommonNpc	洪百方	1	8	114	2	2	10		1.25	4	hand1_1	npc\worldnpc233			icon\funcnpc\worldnpc233.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211							159;175;179;186;192					1	2		1											1						1			2000	15		2000								0	10			Shop_zuoqi_00112																				1			2		2	22													
WorldNpc00201	CommonNpc	丁禅玉		8	93	2	2	10		1.3	4.8	hand1_2	npc\worldnpc113			icon\funcnpc\worldnpc113.png	b_stand_1				0				3	0	0			20	prop_QiTaMenPai_1		Home_1	1			1	8	1	talkrule010801			1				159;169;179;191;192					1	12		1											1						1			2000	15		2000						1		0	10								38099;38105;38108;38109;38121;85500;	38098;38104;38107;38108;38120;85500;														1			6																
WorldNpc00202	CommonNpc	祖明禅师		8	220	2	2			1.25	4	hand1_1	npc\worldnpc152			icon\funcnpc\worldnpc152.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_2	0			1	8	56	tg010856		zhuanyong_326					296;297;298;299;300					1	160		1											1						1			2000	15		2000								0	10								38006;18880;85501;45502;1250;1251;1252;1253;45924;	38004;18880;85501;1250;1251;1252;1253;1325;45501;45923;														1			7																
WorldNpc00203	CommonNpc	祖通		8	93	2	2			1.25	4	hand1_1	npc\worldnpc048			icon\funcnpc\worldnpc048.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_3	0			1	8	3	talkrule010803							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10			Shop_pro_ng_sl_01					85502;	85502;														1			5																
WorldNpc00204	CommonNpc	清色		8	93	2	2			0.7	4	hand1_1	npc\worldnpc094			icon\funcnpc\worldnpc094.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_4	0			1	8	4	talkrule010804							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								38248;38254;38278;38279;85503;	38247;38253;38277;38278;85503;														1			5																
WorldNpc00205	CommonNpc	清玄		8	93	2	2			1.25	4	hand1_1	npc\worldnpc048			icon\funcnpc\worldnpc048.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_5	0			1	8	4	talkrule010804							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								85504;	85504;														1			5																
WorldNpc00206	CommonNpc	清善		8	93	2	2			1.25	4	hand1_1	npc\monster126			icon\monster\monster126.png					0	npc\npc_qiecuo_change.lua			3	0	0			20	prop_ZhengPaiMenPai_1		Home_6	0			1	8	57	tg010857		zhuanyong_327	1									1	160		1											1						1			2000	15		2000						1		0	10								38148;38149;38150;38151;38170;38171;38172;38192;85505;28723;28724;28734;28735;28736;28739;26146;26147;	38147;38148;38149;38150;38169;38170;38171;38191;85505;28722;28723;28733;28734;28735;28738;26145;26146;														1			5																
WorldNpc00207	CommonNpc	清闻		8	93	2	2			1.25	4	hand1_1	npc\worldnpc046			icon\funcnpc\worldnpc046.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_7	0			1	8	4	talkrule010804							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								85506;	85506;														1			5																
WorldNpc00208	CommonNpc	清慧		8	93	2	2			1.25	4	hand1_1	npc\monster145			icon\monster\monster145.png	stand				0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_8	0			1	8	59	tg010859		zhuanyong_329	1				296;297;298;299;300					2	160		1											1						1			2000	15		2000						1		0	10								38145;38152;38153;38154;38157;85507;	38151;38152;38153;38154;38794;85507;														1			5																
WorldNpc00209	CommonNpc	清智		8	93	2	2			1.8	4	hand1_1	npc\worldnpc050			icon\funcnpc\worldnpc050.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_9	0			1	8	4	talkrule010804							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								38030;85508;	38028;85508;														1			5																
WorldNpc00210	CommonNpc	祖镜禅师		8	220	2	2			1.25	4	hand1_1	npc\worldnpc152			icon\funcnpc\worldnpc152.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_10	0			1	8	55	tg010855		zhuanyong_325					296;297;298;299;300					1	160		1											1						1			2000	15		2000								0	10								38169;38241;18882;85509;1409;1410;1411;1412;1295;1222;1802;1294;1581;1731;	38166;38820;18882;85509;1409;1410;1411;1412;1294;1222;1665;														1			7																
WorldNpc00211	CommonNpc	祖澄禅师		8	220	2	2			1.25	4	hand1_1	npc\worldnpc152			icon\funcnpc\worldnpc152.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_14	0			1	8	54	tg010854		zhuanyong_324					296;297;298;299;300					1	160		1											1						1			2000	15		2000								0	10								38076;38079;38433;38445;38447;18813;18814;18815;18816;18817;85510;1246;1247;1248;1249;1393;1773;	38076;38081;38444;38446;38480;38854;18812;18813;18814;18815;18816;85510;1246;1247;1248;1249;1393;1295;														1			7																
WorldNpc00212	CommonNpc	玄怀大师		8	228	2	2			1.25	4	hand1_1	npc\worldnpc1117			icon\funcnpc\worldnpc1117.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_12	0			1	8	50	tg010850		zhuanyong_321					296;297;298;299;300					1	160		1											1						1			2000	15		2000								0	10			Shop_sjdz_12001					5412;2177;2178;2181;2184;2213;2215;2218;3069;52008;48435;48439;38001;38009;38034;38036;38049;38056;38081;38083;38061;38097;38112;38118;38122;38130;38132;38133;38136;38147;38158;38161;38164;38165;38166;38191;38193;38194;38197;38240;38247;38249;38250;38253;38255;38264;38272;38273;71669;38274;38277;38280;38289;38292;38337;38385;38392;38396;38399;38400;38409;38410;38421;38422;38425;38432;38446;38482;38529;38530;18802;18803;18810;85511;86721;86722;86723;41;1140;1121;1122;34251;28722;28740;26153;26156;26160;26163;26164;26193;30167;30168;482;493;494;495;496;357;55038;55039;55020;45503;39759;51630;45923;45925;1499;43889;21710;21802;45551;45559;71686;73902;73904;73905;73906;	71669;5411;5412;2177;2180;2183;2185;2191;2212;2214;2229;2218;52008;48434;48438;38008;38018;38029;38032;38034;38036;38054;38074;38079;38084;38095;38111;38116;38121;38129;38131;38132;38133;38144;38146;38157;38160;38163;38164;38165;38190;38192;38193;38196;38239;38246;38248;38249;38250;38254;38261;38271;38272;38273;38276;38279;38288;38291;38336;38384;38391;38395;38397;38399;38408;38409;38420;38421;38424;38430;38445;38481;38528;38529;18801;18802;18809;18883;18884;18885;18886;18887;18888;18889;18890;18891;18892;18893;18894;18895;18896;18897;18898;18899;18900;85511;86700;86701;86702;86703;86704;86705;86706;86707;86708;86709;86710;86711;86712;86713;86714;86715;86716;86717;86718;86719;86720;86721;86722;86723;41;51;442;464;1151;1140;1121;1122;34250;28721;28739;26152;26155;26159;26162;26163;26168;30166;30167;482;493;494;495;496;357;55020;55038;55040;45502;45503;45538;45902;39758;39759;51622;51630;45924;45925;45947;1555;1499;21801;45551;45559;73901;73903;73904;73905;	school_shaolin													1			8																
WorldNpc00213	CommonNpc	净真		8	93	2	2			1.25	4	hand1_1	npc\worldnpc096			icon\funcnpc\worldnpc096.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_13	0			1	8	5	talkrule010805							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																							1			3																
WorldNpc00214	CommonNpc	净初		8	93	2	2			1.25	4	hand1_1	npc\worldnpc096			icon\funcnpc\worldnpc096.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_14	0			1	8	60	tg010860							296;297;298;299;300					1	160		1											1						1			2000	15		2000								0	10								85513;	85513;														1			3																
WorldNpc00215	CommonNpc	净缘		8	93	2	2			1.25	4	hand1_1	npc\monster140			icon\monster\monster140.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_15	0			1	8	5	talkrule010805							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								38239;38820;85514;45902;	38238;38240;85514;45900;														1			3																
WorldNpc00216	CommonNpc	胡广傅		8	93	2	2			1.25	4	hand1_1	npc\worldnpc103			icon\funcnpc\worldnpc103.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_16	1			8	3	1	talkrule080301							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10								85515;	85515;														1			8																
WorldNpc00217	CommonNpc	柳红绡		8	93	2	2			1.3	4.8	hand1_2	npc\worldnpc109			icon\funcnpc\worldnpc109.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_17	1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10								85516;	85516;														1			2																
WorldNpc00218	CommonNpc	阿平		8	93	2	2			1.25	4	hand1_1	npc\worldnpc110			icon\funcnpc\worldnpc110.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_18	1			7	5	3	talkrule070503							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10								85517;	85517;														1			1																
WorldNpc00219	CommonNpc	阿贵		8	93	2	2			1.25	4	hand1_1	npc\worldnpc110			icon\funcnpc\worldnpc110.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_19	1			7	5	3	talkrule070503							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10								85518;	85518;														1			1																
WorldNpc00220	CommonNpc	苗大鹏		8	93	2	2			1.25	4	hand1_1	npc\worldnpc118			icon\funcnpc\worldnpc118.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_20	1			7	2	3	talkrule070203							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								85519;	85519;														1			2																
WorldNpc00221	CommonNpc	汪氏		8	93	2	2			1.3	4.8	hand1_2	npc\worldnpc127			icon\funcnpc\worldnpc127.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_21	1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10								85520;	85520;														1			2																
WorldNpc00222	CommonNpc	吴胜海		8	93	2	2	10		1.25	4	hand1_1	npc\worldnpc128			icon\funcnpc\worldnpc128.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_22	1			7	2	3	talkrule070203							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								85521;	85521;														1			2																
WorldNpc00223	CommonNpc	清念		8	93	2	2			1	4	hand1_1	npc\worldnpc093			icon\funcnpc\worldnpc093.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_23	0			1	8	4	talkrule010804							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								85522;	85522;														1			5																
WorldNpc00224	CommonNpc	清悔		8	93	2	2			1	4	hand1_1	npc\worldnpc093			icon\funcnpc\worldnpc093.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_24	0			1	8	4	talkrule010804							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								38106;38107;38162;38163;18801;18804;18874;85523;28737;28738;	38105;38106;38161;38162;18803;18810;18876;85523;28736;28737;														1			5																
WorldNpc00225	CommonNpc	邱广昀		8	93	2	2			1.25	4	hand1_1	npc\worldnpc102			icon\funcnpc\worldnpc102.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_25	1			7	1	14	talkrule070114							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10									85524;														1			3																
WorldNpc00226	CommonNpc	老吴		8	93	2	2			1.25	4	hand1_1	npc\worldnpc119			icon\funcnpc\worldnpc119.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_26	1			7	2	1	talkrule070201							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10									85525;														1			2																
WorldNpc00227	CommonNpc	祖净		8	93	2	2	10		1	1.2	hand_0	npc\worldnpc098			icon\funcnpc\worldnpc098.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_27	0			1	8	3	talkrule010803							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								85526;	85526;														1			5																
WorldNpc00228	CommonNpc	祖嗔		8	93	2	2	10		0.7	4	hand1_1	npc\worldnpc094			icon\funcnpc\worldnpc094.png					0				3	0	0			20	prop_ZhengPaiMenPai_1		Home_28	0			1	8	3	talkrule010803							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10								85527;	85527;														1			5																
