NPC编号	对象类型	ini注释名称	NPC乞讨信息	AI编辑包	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器名称	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	锁定位移攻击	禁播受击动作	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	修理时间	修理动作	修理范围	普通攻击	技能表	无拾取物消失时间	AI编辑包	NPC交互停留时间	直接触发	脱战回血	镖车寻路	世界触发器相关	存在时间	捐献类型	使用轻功	天气包	缩放尺寸	跟随距离	跟随位置	是否镖道扬威镖车	镖车能否修复	镖车能否控制	移动状态	优先显示	不进入战斗
																																																																																																																																			
ItemNpc00002	CommonNpc	脚印			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc130			icon\funcnpc\itemnpc130.png					3			3					20																																																																																																				
ItemNpc00003	CommonNpc	丝帕			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc160			icon\funcnpc\itemnpc160.png					3			3					20																																																																																																				
ItemNpc00004	CommonNpc	茶壶			8	109	2	2			#N/A	#N/A		#N/A	npc\itemnpc161			icon\funcnpc\itemnpc161.png					3			3					20																																																																																																				
ItemNpc00005	CommonNpc	破旧墓碑			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc006			icon\funcnpc\itemnpc006.png					3			3					20																																																																																																				
ItemNpc00006	CommonNpc	一滩血迹			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc162			icon\funcnpc\itemnpc162.png					3			3					20																																																																																																				
ItemNpc00006cj	CommonNpc	一滩血迹			8	109	2	2						hand_0	npc\itemnpc162			icon\funcnpc\itemnpc162.png					3			3					20																																																																																																				
ItemNpc00007	CommonNpc	动物脚印			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc163			icon\funcnpc\itemnpc163.png					3			3					20																																																																																																				
ItemNpc00008	CommonNpc	燃灯上人的坟头			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc006			icon\funcnpc\itemnpc006.png					3			3					20																													50211;	50209;																																																																						
ItemNpc00009	CommonNpc	紧锁的箱子			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc005			icon\funcnpc\itemnpc005.png					3			3					20																																																																																																				
ItemNpc00010	CommonNpc	鸳鸯剑侠之墓			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc134			icon\funcnpc\itemnpc134.png					3			3					20																																																																																																				
ItemNpc00011	CommonNpc	一箱武器			8	109	2	2			#N/A	#N/A		hand_0	npc\itemboxnpc002			icon\funcnpc\itemboxnpc.png					3			3					20																																																																																																				
ItemNpc00012	CommonNpc	茶树			8	109	2	2			#N/A	#N/A		#N/A	npc\itemnpc210			icon\funcnpc\itemnpc210.png					3			3					20																																																																																																				
ItemNpc03214	CommonNpc	水缸			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc060			icon\funcnpc\itemnpc060.png					3			3					20																																																																																																				
ItemNpc00013	CommonNpc	装人的麻袋			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc560			icon\funcnpc\itemnpc560.png					3			3					20																																																																																																				
ItemNpc00015	CommonNpc	紫衣尸体			8	89	2	2			0	0		hand1_1	npc\worldnpc205			icon\funcnpc\worldnpc205.png					3			3					20																																																																																																				
WorldNpc00636	CommonNpc	脚印			8	84	2	2			#N/A	#N/A		hand_0	npc\itemnpc130			icon\funcnpc\itemnpc130.png					0			3	0	0			20	prop_QiTaMenPai_0			1																																																																																																
WorldNpc00637	CommonNpc	脚印			8	84	2	2			#N/A	#N/A		hand_0	npc\itemnpc130			icon\funcnpc\itemnpc130.png					0			3	0	0			20	prop_QiTaMenPai_1			1																																																																																																
qy_muse_huoyan	CommonNpc	火焰			8	109	2	2			#N/A	#N/A		#N/A	npc\itemnpc002			icon\funcnpc\itemnpc002.png					0			3					20																																																																																																				
qyjysmhy	CommonNpc	火焰			8	109	2	2			#N/A	#N/A		#N/A	npc\itemnpc002			icon\funcnpc\itemnpc002.png					0			3					20																																																																																																				
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
ItemNpc09201	CommonNpc	血手印			8	83	2	2			#N/A	#N/A		hand_0	npc\itemnpc162			icon\funcnpc\itemnpc162.png					3			3	0	0			20				1																																																																																																
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
ItemNpc12001	CommonNpc	墓碑			8	109	2	2			#N/A	#N/A		#N/A	npc\itemnpc181			icon\funcnpc\itemnpc181.png					3			3					20																																																																																																				
ItemNpc12002	CommonNpc	女子尸体			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc180			icon\funcnpc\task.png					3			3					20																																																																																																				
ItemNpc12003	CommonNpc	布袋子			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc165			icon\funcnpc\itemnpc165.png					3			3					20																																																																																																				
ItemNpc12004	CommonNpc	归笑天之墓			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc134			icon\funcnpc\itemnpc134.png					3			3					20																													36169;	36168;																																																																						
ItemNpc12005	CommonNpc	插旗处			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc004			icon\funcnpc\itemnpc004.png					3			3					20																																																																																																				
ItemNpc12006	CommonNpc	浣花剑派弟子尸体			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc230			icon\monster\fbboss00124.png					3			3					20																																																																																																				
ItemNpc12007	CommonNpc	小洞			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc057			icon\funcnpc\itemnpc057.png					3			3					20																																																																																																				
ItemNpc12008	CommonNpc	灵药浣花			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc005a			icon\funcnpc\itemnpc005.png					3			3					20																																																																																																				
ItemNpc12009	CommonNpc	小香炉			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc035			icon\funcnpc\itemnpc035.png					3			3					20																																																																																																				
ItemNpc12010	CommonNpc	丹霞草			8	109	2	2			#N/A	#N/A		#N/A	npc\itemnpc220			icon\funcnpc\itemnpc220.png					3			3					20																																																																																																				
ItemNpc12011	CommonNpc	草丛			8	109	2	2			#N/A	#N/A		#N/A	npc\itemnpc211			icon\funcnpc\itemnpc211.png					3			3					20																																																																																																				
ItemNpc12012	CommonNpc	霓裳宫武学-基础			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc016			icon\funcnpc\itemnpc016.png					3			3					20																																																																																																				
ItemNpc12013	CommonNpc	四侠之墓			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc134			icon\funcnpc\itemnpc134.png					3			3					20																																																																																																				
																																																																																																																																			
																																																																																																																																			
WorldNpc01459	CommonNpc	包裹			8	109	2	2			#N/A	#N/A		#N/A	npc\itemnpc058			icon\funcnpc\itemnpc058.png					3			3					20																																																																																																				
WorldNpc91001	CommonNpc	《周易》			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc021			icon\funcnpc\itemnpc021.png					3			3					20																																																																																																				
WorldNpc91002	CommonNpc	民居上的八卦镜			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc022			icon\funcnpc\itemnpc022.png					3			3					20																																																																																																				
WorldNpc91003	CommonNpc	发光的地面			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc023			icon\funcnpc\itemnpc023.png					3			3					20																																																																																																				
WorldNpc91005	CommonNpc	民居上的剪刀			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc025			icon\funcnpc\itemnpc025.png					3			3					20																																																																																																				
WorldNpc91006	CommonNpc	《名琴百学》			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc021			icon\funcnpc\itemnpc021.png					3			3					20																																																																																																				
WorldNpc91020	CommonNpc	《上观残局图》			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc026			icon\funcnpc\itemnpc026.png					3			3					20																																																																																																				
WorldNpc91024	CommonNpc	井底之物			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc023			icon\funcnpc\itemnpc023.png					3			3					20																																																																																																				
WorldNpc91025	CommonNpc				8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc057			icon\funcnpc\itemnpc057.png					3			3					20																																																																																																				
WorldNpc91026	CommonNpc				8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc057			icon\funcnpc\itemnpc057.png					3			3					20																																																																																																				
ItemNpc00801	CommonNpc	奇怪的符号			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc074			icon\funcnpc\itemnpc074.png					3			3					20																																																																																																				
ItemNpc00802	CommonNpc	慕容山庄隐藏触发点			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc074			icon\funcnpc\itemnpc074.png					3			3					20																																																																																																				
ItemNpc00803	CommonNpc	隐风父亲之墓			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc006			icon\funcnpc\itemnpc006.png					3			3					20																																																																																																				
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
WorldNpc01401	CommonNpc	装满酒的杯子			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc003			icon\funcnpc\itemnpc003.png					3			3					20																																																																																																				
WorldNpc01402	CommonNpc	开始腐烂的尸体			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc230			icon\funcnpc\itemnpc230.png					3			3					20																																																																																																				
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
ItemNpc01601	CommonNpc	巨石			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc075			icon\funcnpc\itemnpc075.png					3			3					20																																																																																																				
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
WorldNpc00446	CommonNpc	令牌			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc129			icon\funcnpc\itemnpc129.png					0			3	0	0			20	prop_ZhengPaiMenPai_1		Home_12	1																									85594;	85594;																																																																						
																																																																																																																																			
																																																																																																																																			
WorldNpc13501	CommonNpc	汪二雷的尸体			8	109	2	2			1.25	4		hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					3			3					20																																																																																																				
WorldNpc13502	CommonNpc	残渣			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc033			icon\funcnpc\itemnpc033.png					3			3					20																																																																																																				
WorldNpc13503	CommonNpc	埋酒地			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc057			icon\funcnpc\itemnpc057.png					3			3					20																																																																																																				
WorldNpc13504	CommonNpc	搅衣服之地			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc057			icon\funcnpc\itemnpc057.png					3			3					20																																																																																																				
WorldNpc13505	CommonNpc	草地			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc057			icon\funcnpc\itemnpc057.png					3			3					20																																																																																																				
WorldNpc13506	CommonNpc	古碑			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc006			icon\funcnpc\itemnpc006.png					3			3					20																																																																																																				
WorldNpc13507	CommonNpc	香炉			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc035			icon\funcnpc\itemnpc035.png					3			3					20																																																																																																				
WorldNpc13508	CommonNpc	石碑			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc006			icon\funcnpc\itemnpc006.png					3			3					20																																																																																																				
WorldNpc13509	CommonNpc	灯			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc006			icon\funcnpc\itemnpc006.png					3			3					20																																																																																																				
WorldNpc13510	CommonNpc	打水地点			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc057			icon\funcnpc\itemnpc057.png					3			3					20																																																																																																				
WorldNpc13511	CommonNpc	水缸			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc060			icon\funcnpc\itemnpc060.png					3			3					20																																																																																																				
																																																																																																																																			
WorldNpc90201	CommonNpc	《楞伽经》			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc047			icon\funcnpc\itemnpc047.png					3			3					20																																																																																																				
WorldNpc90207	CommonNpc	广场			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc023			icon\funcnpc\itemnpc023.png					3			3					20																																																																																																				
ItemNpc01801	CommonNpc	受伤的兔子			8	112	2	2			3	-1		hand_0	npc\monster118			icon\monster\monster118.png					3			3					20																																																																																																				
ItemNpc01802	CommonNpc	墙上的小洞			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc132			icon\funcnpc\itemnpc132.png					3			3					20																																																																																																				
ItemNpc01803	CommonNpc	揉制面团的木盆			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc060			icon\funcnpc\itemnpc060.png					3			3					20																																																																																																				
ItemNpc01804	CommonNpc	水缸			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc060			icon\funcnpc\itemnpc060.png					3			3					20																																																																																																				
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
WorldNpc02486	CommonNpc	奇怪的蛋			8	90	2	2			#N/A	#N/A		#N/A	npc\itemnpc217			icon\funcnpc\itemnpc217.png					0			3	0	0			20				1																									22591;	22590;																																																																						
																																																																																																																																			
WorldNpc02513	CommonNpc	奇怪的尸体			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc230			icon\funcnpc\itemnpc230.png					0			3	0	0			20				2																									38498;	38497;																																																																						
																																																																																																																																			
ItemNpc02001	CommonNpc	五毒教旗帜			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc232			icon\funcnpc\itemnpc232.png					3			3					20																													38520;	38519;																																																																						
ItemNpc02002	CommonNpc	车轮的痕迹			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc231			icon\funcnpc\itemnpc231.png					3			3					20																																																																																																				
ItemNpc02003	CommonNpc	发黄的枯萎树叶			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc087			icon\funcnpc\itemnpc087.png					3			3					20																																																																																																				
ItemNpc02004	CommonNpc	不明的液体			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc226			icon\funcnpc\itemnpc226.png					3			3					20																														50002;																																																																						
ItemNpc02005	CommonNpc	已经断气的村民			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc230			icon\funcnpc\itemnpc230.png					3			3					20																																																																																																				
ItemNpc02006	CommonNpc	坟墓			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc006			icon\funcnpc\itemnpc006.png					3			3					20																																																																																																				
ItemNpc02007	CommonNpc	挂在衣架上的衣服			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc073			icon\funcnpc\itemnpc073.png					3			3					20																																																																																																				
ItemNpc02008	CommonNpc	测试木桩			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc004			icon\funcnpc\itemnpc004.png					3			3					20																																																																																																				
ItemNpc02009	CommonNpc	被毁的机关			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc004			icon\funcnpc\itemnpc004.png					3			3					20																																																																																																				
ItemNpc02010	CommonNpc	锦盒			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc201			icon\funcnpc\itemnpc201.png					3			3					20																																																																																																				
ItemNpc02011	CommonNpc	嗜毒兰			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc228			icon\funcnpc\itemnpc228.png					3			3					20																																																																																																				
ItemNpc02012	CommonNpc	泡着冷魂丹的水碗			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc002			icon\funcnpc\itemnpc002.png					3			3					20																																																																																																				
ItemNpc02013	CommonNpc	存油桶			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc001			icon\funcnpc\itemnpc001.png					3			3					20																																																																																																				
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
WorldNpc02700	CommonNpc	死去村民的尸体			8	109	2	2			1.25	4		hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0			3	0	0			20				0																																																																																																
WorldNpc02701	CommonNpc	死去村民的尸体			8	109	2	2			1.25	4		hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0			3	0	0			20				0																																																																																																
WorldNpc02702	CommonNpc	死去村民的尸体			8	109	2	2			1.25	4		hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0			3	0	0			20				0																																																																																																
																																																																																																																																			
ItemNpc02201	CommonNpc	一滩血迹			8	91	2	2			#N/A	#N/A		hand_0	npc\itemnpc162			icon\funcnpc\itemnpc162.png					3			3					20																																																																																																				
ItemNpc02202	CommonNpc	倚天剑盒			8	91	2	2			#N/A	#N/A		hand_0	npc\itemnpc042			icon\funcnpc\itemnpc042.png					3			3					20																																																																																																				
ItemNpc02203	CommonNpc	俞雅写的信			8	91	2	2			#N/A	#N/A		hand_0	npc\itemnpc203			icon\funcnpc\itemnpc203.png					3			3					20																													40253;	40246;																																																																						
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
WorldNpc03129	CommonNpc	尸体			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc230			icon\funcnpc\task.png					0			3	0	0			20				1																																																																																																
																																																																																																																																			
ItemNpc02401	CommonNpc	尸体			8	109	2	2			#N/A	#N/A		#N/A	npc\itemnpc408			icon\funcnpc\itemnpc408.png					0			3	0	0			20				1																																																																																																
ItemNpc02402	CommonNpc	脚印			8	109	2	2			1.25	4		hand1_1	npc\worldnpc488			icon\funcnpc\worldnpc488.png					0			3	0	0			20				1																																																																																																
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
ItemNpc02801	CommonNpc	焚烧过的痕迹			8	109	2	2			#N/A	#N/A		#N/A	npc\CJ_101001								0			3	0	0			20				1																																																																																																
ItemNpc02802	CommonNpc	疏松的土堆			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc087			icon\funcnpc\itemnpc087.png					0			3	0	0			20				1																																																																																																
ItemNpc02803	CommonNpc	厚实的土堆			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc207			icon\funcnpc\itemnpc207.png					0			3	0	0			20				1																																																																																																
ItemNpc02804	CommonNpc	血迹			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc162			icon\funcnpc\itemnpc162.png					0			3	0	0			20				1																																																																																																
ItemNpc02805	CommonNpc	水桶			8	109	2	2			#N/A	#N/A		#N/A	npc\itemnpc175			icon\funcnpc\itemnpc175.png					0			3	0	0			20				1																																																																																																
ItemNpc02806	CommonNpc	埋藏银子的地方			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc033			icon\funcnpc\itemnpc033.png					0			3	0	0			20				1																																																																																																
ItemNpc02807	CommonNpc	泰山派弟子尸体			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc230			icon\funcnpc\task.png					0			3	0	0			20				1																																																																																																
ItemNpc02808	CommonNpc	桀傲的尸体			8	109	2	2			1.25	4		hand1_1	npc\monster455			icon\funcnpc\task.png					0			3	0	0			20				1																																																																																																
ItemNpc02809	CommonNpc	极乐谷弟子的尸体			8	109	2	2			1.3	4.8		hand1_2	npc\monster143			icon\funcnpc\task.png					0			3	0	0			20				1																																																																																																
ItemNpc02810	CommonNpc	毒药			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc207			icon\funcnpc\itemnpc207.png					0			3	0	0			20				1																																																																																																
ItemNpc02811	CommonNpc	茶壶			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc171			icon\funcnpc\itemnpc171.png					0			3	0	0			20				1																																																																																																
ItemNpc02812	CommonNpc	野猪尸体			8	109	2	2			0.9	2.7		hand_0	npc\monster106			icon\monster\monster106.png					0			3	0	0			20				1																																																																																																
ItemNpc02813	CommonNpc	劫匪的尸体			8	109	2	2			1.25	4		hand1_1	npc\worldnpc157			icon\funcnpc\task.png					0			3	0	0			20				1																																																																																																
ItemNpc02814	CommonNpc	极乐谷宝箱			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc005			icon\funcnpc\itemnpc005.png					3			3	0	0			20				1																																																																																																
ItemNpc02815	CommonNpc	源头的树			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc169			icon\funcnpc\itemnpc169.png					3			3	0	0			20				1																																																																																																
ItemNpc02816	CommonNpc	毒蛙			8	109	2	2			#N/A	#N/A		#N/A	npc\petm_c_0300								0			3	0	0			20				1																																																																																																
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
WorldNpc04230	CommonNpc	小芳尸体			8	109	2	2			1.3	4.8		hand1_2	npc\worldnpc195			icon\funcnpc\worldnpc195.png					0			3	0	0			20				1																									40511;	40510;																																																																						
																																																																																																																																			
itemnpc03001	CommonNpc	长乐门物资			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc005			icon\funcnpc\itemnpc005.png					3								20				1																																																																																																
itemnpc03002	CommonNpc	比武台			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc001			icon\funcnpc\itemnpc001.png					3								20				1																																																																																																
itemnpc03003	CommonNpc	弯弯的树			8	109	2	2			#N/A	#N/A		hand_0	npc\itemnpc169			icon\funcnpc\itemnpc169.png					3								20				1																																																																																																
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
