NPC编号	ini注释名称	对象类型	Npc类型	级别	实力包编号	修为经验	怪物强度	掉落	走路速度	跑步速度	武器持握方式	是否转身	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	连招表	AI类型	主动被动	响应范围	锁定位移攻击	禁播受击动作	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	刷新时间	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	势力归属	势力关系表	剥皮范围	剥皮动作	读条时间	技能编号	技能等级	最大剥皮次数	剩余剥皮次数	是否在剥皮中	生活工具限制包ID	消耗体力	消耗工具耐久	排行榜积分	显示掉落	生活掉落包ID	生活心得	敌人NPC编号表	队友编号	不能被杀死	攻击防御比重	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	AI编辑包	直接触发	使用轻功	格挡模式	破防几率	破防技能	动作集	生存时间	进入战斗对话	超过距离就脱战	脱战回血	无视玩家	仇恨
monv010301	女真人士兵	AttackNpc	14	4	34		1	NormalMon00401	1.25	4	hand1_1		npc\monster104		0.925	icon\monster\monster104.png				"guozubuqian_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			706												
monv010302	驻扎地首领	AttackNpc	1	5	34		1	NormalMon00501	1.25	4	hand1_1		npc\monster075		0.935	icon\monster\monster075.png				"tianhualuanzhui_nan,1,50;canglanzhen_nan,1,50;jili,1,0"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monv010400	劫匪喽啰	AttackNpc	14	5	34		1	NormalMon00501	1.25	4	hand1_1		npc\monster239		0.96	icon\monster\monster239.png				"jidianshi_nan,1,30"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			700												
monv010401	劫匪巡守	AttackNpc	14	5	34		1	NormalMon00501	1.25	4	hand1_1		npc\monster460		0.91	icon\monster\monster460.png				"jidianshi_nan,1,50;wuleihongding_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			700												
monv010402	葬魂劫匪	AttackNpc	14	6	35		1	NormalMon00601	1.25	4	hand1_1		npc\monster458		0.925	icon\monster\monster458.png				"yunyansiqi_nan,1,30;canglanzhen_nan,1,30"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			700												
monv010403	劫匪头目	AttackNpc	1	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\monster065		0.925	icon\monster\monster065.png				"ruyansandie_nan,1,50;yunyansiqi_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monv010500	流窜小偷	AttackNpc	14	5	35		1	NormalMon00501	1.3	4.8	hand1_2		npc\monster058		0.857726	icon\monster\monster058.png				"wudizirong_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			701												
monv010501	逃兵侍卫	AttackNpc	14	8	35		1	NormalMon00801	1.25	4	hand1_1		npc\monster483		0.99	icon\monster\monster483.png				"jidianshi_nan,1,50;jingtianshi_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			702												
monv010502	逃兵队长	AttackNpc	14	9	35		1	NormalMon00901	1.25	4	hand1_1		npc\monster105		0.99	icon\monster\monster105.png				"jidianshi_nan,1,50;zhuifengshi_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			703												
monv010503	逃兵首领	AttackNpc	14	9	35		1	NormalMon00901	1.25	4	hand1_1		npc\monster069		0.985	icon\monster\monster069.png				"zhuifengshi_nan,1,50;angshoutuxin_nan,1,50;jili,1,0"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			703												
monv010600	异族女剑客	AttackNpc	14	9	35		1	NormalMon00901	1.5	3.7	hand_0		npc\monster567		0.84	icon\monster\monster567.png	npc_female					1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			704			-1									
monv010601	煤矿看护	AttackNpc	14	8	35		1	NormalMon00801	1.25	4	hand1_1		npc\monster459		0.935	icon\monster\monster459.png				"huaizhongbaoyue_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			704												
monv010602	矿工	AttackNpc	14	8	35		1	NormalMon00801	1.25	4	hand1_1		npc\worldnpc468		0.91	icon\funcnpc\worldnpc468.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			704												
monv010603	煤矿看护队长	AttackNpc	14	9	35		1	NormalMon00901	1.25	4	hand1_1		npc\worldnpc180		0.911586	icon\funcnpc\worldnpc180.png				"huaizhongbaoyue_nan,1,50;tianhualuanzhui_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			704												
monv010700	流亡罪犯	AttackNpc	14	9	35		1	NormalMon00901	1.25	4	hand1_1		npc\monster072		0.863286	icon\monster\monster072.png				"wudizirong_nan,1,50"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			704												
	"//1,长青岭"																																																																																												
monv011100	山岭野人	AttackNpc	14	12	36		1	NormalMon01201	1.25	4	hand1_1		npc\monster310		0.980152	icon\monster\monster310.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			713												
monv011101	山岭野人首领	AttackNpc	14	13	36		1	NormalMon04001	1.25	4	hand1_1		npc\monster310		0.980152	icon\monster\monster310.png				"jili,1,0"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			713												
monv011200	野狼	SkinableNpc	7	1	34		1	AnimalMon00108	1.2	5	hand_0		npc\petm_c_1500		1.5							1	1				2	15	10	60	npc_foundplayer		3						-1	1	0										5	life_lh_02	5000	sh_lh	25	1	1		212	1	1			1777	45					2000		2000						30						-1									
monv011300	饿虎岗密探	AttackNpc	14	1	34		1	NormalMon01101	1.25	4	hand1_1		npc\monster445		0.975	icon\monster\monster445.png				"canglanzhen_nan,1,40;angshoutuxin_nan,1,40"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			714												
monv011301	棕狼	AttackNpc	7	1	34		1	AnimalMon00108	1.2	5	hand_0		npc\petm_c_1500		1.5							1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv011302	棕狼王	AttackNpc	7	1	34		1	AnimalMon00108	1.2	5	hand_0		npc\petm_c_1502		1.5							1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv011303	麋鹿	AttackNpc	7	1	34		1	AnimalMon00107	1.2	5	hand_0		npc\monster008		0.811813	icon\monster\monster008.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv011400	疯狂的捕猎人	AttackNpc	14	10	35		1	NormalMon01001	1.25	4	hand1_1		npc\worldnpc514		0.905	icon\funcnpc\worldnpc514.png				"mengji_nan,1,50;guozubuqian_nan,1,50;dianxueshou,1,0"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30		"chuanyunsheri_nan,1,0"	715												
monv011401	长白派门人	AttackNpc	1	30	39		1	NormalMon03001	1.2	3.5	hand_0		npc\monster043		0.928146	icon\monster\monster043.png				"tanshi_nan,1,50;boshi_nan,1,50"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv011500	虎皮贩子	AttackNpc	14	12	36		1	NormalMon01201	1.25	4	hand1_1		npc\worldnpc513		0.94	icon\funcnpc\worldnpc513.png				"guozubuqian_nan,1,50"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			716												
monv011501	邪教护卫	AttackNpc	14	12	36		1	NormalMon01201	1.25	4	hand1_1		npc\monster074		0.905	icon\monster\monster074.png				"mengguikoumen_nan,1,50"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			716												
monv011502	邪教精英	AttackNpc	14	13	36		1	NormalMon01301	1.25	4	hand1_1		npc\monster258		0.905	icon\monster\monster258.png				"mengguikoumen_nan,1,50"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			716												
monv011600	捕猎者	AttackNpc	14	11	36		1	NormalMon01101	1.25	4	hand1_1		npc\worldnpc513		0.94	icon\funcnpc\worldnpc513.png				"guozubuqian_nan,1,50;mengji_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			717												
monv011601	黑熊	AttackNpc	7	10	35		1	AnimalMon00102	1.5	4	hand_0		npc\petm_c_1202		1.582473	icon\monster\monster002.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv011602	黑熊王	AttackNpc	7	11	36		1	AnimalMon00102	1.5	4	hand_0		npc\petm_c_1202		1.582473	icon\monster\monster002.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
																																																																																													
																																																																																													
																																																																																													
	"//2,饿虎岗"																																																																																												
monv012201	熊家打手	AttackNpc	14	1	34		1	NormalMon01301	1	4	hand1_1		npc\monster249		1.645					"tanshi_nan,1,50;huaizhongbaoyue_nan,1,50"		1	0				2	15	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			720												
monv012202	熊家护院	AttackNpc	14	1	34		1	NormalMon01101	1	4	blade1_1		npc\worldnpc562		1.645					"xuanshajue_nan,1,50"		1	0				2	15	10	60	npc_foundplayer					b_r_npcitem389			-1	1	0																													2000		2000						30			720												
monv012300	饿虎	SkinableNpc	7	15	36		1	AnimalMon00116	1.25	4	hand_0		npc\monster003		1.645	icon\monster\monster003.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0										5	life_lh_02	5000	sh_lh	25	1	1		212	1	1			1767	45					2000		2000						30						-1									
montg27001	恶虎山寨哨兵	AttackNpc	8	8	113		1	NormalMon01302	1.25	4	hand1_1		npc\monster115		0.915409	icon\monster\monster115.png				"jn_ehz_1,1,40"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																									monv012704;monv012705	montg27001;montg27002;montg27003;montg27004;montg27005;montg27006;montg27007			2000		2000						30			99	1		2									
montg27002	恶虎山寨守卫	AttackNpc	8	8	113		1	NormalMon01302	1.25	4	hand1_1		npc\monster114		0.930587	icon\monster\monster114.png				"jn_ehz_2,1,30;jn_AI_02,1,30;jn_AI_01,1,30"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																									monv012704;monv012705	montg27001;montg27002;montg27003;montg27004;montg27005;montg27006;montg27007			2000		2000						30			100	1		2									
montg27003	恶虎山寨杀手	AttackNpc	8	8	114		1	NormalMon01302	1.25	4	hand1_1		npc\monster109		0.96	icon\monster\monster109.png				"jn_ehz_3,1,30;jn_AI_02,1,30;jn_AI_01,1,30"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																									monv012704;monv012705	montg27001;montg27002;montg27003;montg27004;montg27005;montg27006;montg27007			2000		2000						30			100	1		2									
montg27004	恶虎山寨女杀手	AttackNpc	8	8	114		1	NormalMon01302	1.25	4	blade1_2		npc\monster177		0.855	icon\monster\monster177.png				"jn_ehz_4,1,30;jn_ehz_5,1,30"		1	0				2	15	10	60	npc_foundplayer		3			b_r_10			-1	1	0																									monv012704;monv012705	montg27001;montg27002;montg27003;montg27004;montg27005;montg27006;montg27007			2000		2000						30			97	1		2									
montg27005	恶虎山寨精英	AttackNpc	8	8	114		1	NormalMon01302	1.25	4	hand1_1		npc\monster152		0.92	icon\monster\monster152.png				"jn_AI_dingshen,1,30;jn_ehz_8,1,30;jn_ehz_6,1,30"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																									monv012704;monv012705	montg27001;montg27002;montg27003;montg27004;montg27005;montg27006;montg27007			2000		2000						30		jn_mon_hand_021	98	1		2									
montg27006	熊霸天亲兵	AttackNpc	8	8	114		1	NormalMon01302	1.25	4	hand1_1		npc\monster518		0.905	icon\monster\monster518.png				"qiankunwuding_nan,1,30;mengji_nan,1,30"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																									monv012704;monv012705	montg27001;montg27002;montg27003;montg27004;montg27005;montg27006;montg27007			2000		2000						30				1		2									
montg27007	熊霸天嫡系护卫	AttackNpc	8	8	112		2	NormalMon01302	1.25	4	hand1_1		npc\monster601		0.905	icon\monster\monster601.png				"tianhualuanzhui_nan,1,30;wuleihongding_nan,1,30;jn_ehz_7,1,30"		1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																									monv012704;monv012705	montg27001;montg27002;montg27003;montg27004;montg27005;montg27006;montg27007			2000		2000						30			97	1		2									
montg27008		AttackNpc	8	8	51		1	NormalMon00801	1.25	4	hand1_1		npc\monster601		0.905	icon\monster\monster601.png						1					2	15	10	60	npc_foundplayer		3						-1	1																														2000		2000						30				1		2									
montg27009		AttackNpc	8	8	51		1	NormalMon00801	1.25	4	hand1_1		npc\monster601		0.905	icon\monster\monster601.png						1					2	15	10	60	npc_foundplayer		3						-1	1																														2000		2000						30				1		2									
montg27010		AttackNpc	8	8	51		1	NormalMon00801	1.25	4	hand1_1		npc\monster601		0.905	icon\monster\monster601.png						1					2	15	10	60	npc_foundplayer		3						-1	1																														2000		2000						30				1		2									
	"//3,碧华谷"																																																																																												
monv013100	白衣侠女	AttackNpc	14	30	39		1	NormalMon03001	1.4	3	hand_0		npc\monster329		0.875	icon\monster\monster329.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			706			-1									
monv013101	高丽族探子 	AttackNpc	14	28	39		1	NormalMon02800	1.25	4	hand1_1		npc\monster072		0.863286	icon\monster\monster072.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			707												
monv013102	高丽族士兵 	AttackNpc	14	28	39		1	NormalMon02800	1.25	4	hand1_1		npc\monster479		1.065	icon\monster\monster479.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			707												
monv013103	高丽族军官 	AttackNpc	14	29	39		1	NormalMon02901	1.25	4	hand1_1		npc\monster480		1.065	icon\monster\monster480.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			707												
monv013200	长白派高手	AttackNpc	14	32	40		1	NormalMon03201	1.25	4	hand1_1		npc\monster455		0.9	icon\monster\monster455.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			708												
monv013201	长白派精英	AttackNpc	14	33	40		1	NormalMon03301	1.25	4	hand1_1		npc\monster454		0.92	icon\monster\monster454.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			708												
monv013202	长白派护法	AttackNpc	14	33	40		1	NormalMon03301	1.25	4	hand1_1		npc\worldnpc051		0.896633	icon\funcnpc\worldnpc051.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			708												
monv013300	翠羽黄衫	AttackNpc	14	31	40		1	NormalMon03101	1.3	4.8	hand1_2		npc\monster554		0.865	icon\monster\monster554.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			708												
monv013400	雪山白狐	AttackNpc	7	30	39		1	AnimalMon00120	1.5	4	hand_0		npc\petm_c_0900		1.5	icon\monster\monster009.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv013401	雪山棕狐	AttackNpc	7	31	40		1	AnimalMon00120	1.5	4	hand_0		npc\petm_c_0903		1.5	icon\monster\monster009.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv013500	凶残恶匪	AttackNpc	14	28	39		1	NormalMon02801	1.25	4	hand1_1		npc\monster036		1.030654	icon\monster\monster036.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			710												
monv013501	拦路劫匪探子	AttackNpc	14	6	35		1	NormalMon00601	1.25	4	hand1_1		npc\monster189		0.938074	icon\monster\monster189.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			705												
monv013502	拦路劫匪	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\monster500		0.915	icon\monster\monster500.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			705												
monv013503	拦路劫匪首领	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\worldnpc565		0.905	icon\funcnpc\worldnpc565.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			705												
monv013600	长白山巨猿	SkinableNpc	7	28	39		1	AnimalMon00121	1.2	4	hand_0		npc\petm_c_1001		1.5							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1768	45					2000		2000						30						-1									
monv013601	长白山巨猿猿王	AttackNpc	7	29	39		1	AnimalMon00121	1.2	4	hand_0		npc\petm_c_1002		1.5							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv013700	独眼猎手	AttackNpc	14	30	39		1	NormalMon03001	1.25	4	hand1_1		npc\monster480		1.065	icon\monster\monster480.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			709												
monv013701	蒙古族探子	AttackNpc	14	32	40		1	NormalMon03200	1.25	4	hand1_1		npc\monster477		1.095	icon\monster\monster477.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			711												
monv013702	蒙古族士兵	AttackNpc	14	32	40		1	NormalMon03200	1.25	4	hand1_1		npc\monster478		1.095	icon\monster\monster478.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			712												
monv013703	蒙古族军官	AttackNpc	14	33	40		1	NormalMon03301	1.25	4	hand1_1		npc\monster479		1.065	icon\monster\monster479.png						1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			712												
	"//v02,恶人谷B青海省"																																																																																												
	"//0,恶人谷"																																																																																												
monv020100	山谷恶人	AttackNpc	14	4	34		1	NormalMon00401	1.25	4	hand1_1		npc\monster103		0.901124	icon\monster\monster103.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			645												
monv020101	谷口恶人	AttackNpc	14	1	34		1	NormalMon00101	1.25	4	hand1_1		npc\worldnpc552		0.91	icon\funcnpc\worldnpc552.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			645												
monv020102	黄牙无赖	AttackNpc	14	2	34		1	NormalMon00201	1.25	4	hand1_1		npc\worldnpc190		0.919566	icon\funcnpc\worldnpc190.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			645												
monv020103	醉酒恶棍	AttackNpc	14	3	34		1	NormalMon00301	1.25	4	hand1_1		npc\worldnpc550		0.925	icon\funcnpc\worldnpc550.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			645												
monv020104	外谷毒蝎	AttackNpc	7	5	34		1	AnimalMon00119	1	4	hand_0		npc\monster013		0.225	icon\monster\monster013.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv020200	奸商	AttackNpc	14	6	35		1	NormalMon00601	1.25	4	hand1_1		npc\monster039		0.8839	icon\monster\monster039.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			645												
																																																																																													
monv020202	劫道路匪	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\monster051		1.035	icon\monster\monster051.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			647												
monv020203	潜伏路霸	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\monster040		0.92	icon\monster\monster040.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			647												
monv020300	老虎	SkinableNpc	7	3	34		1	AnimalMon00116	1	4	hand_0		npc\monster003		1.645	icon\monster\monster003.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0										5	life_lh_02	5000	sh_lh	1	1	1		212	1	1			1772	45					2000		2000						30						-1									
monv020301	出谷恶棍	AttackNpc	1	8	35		1	NormalMon00801	1.25	4	hand1_1		npc\monster312		0.86698	icon\monster\monster312.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monv020302	血手人厨	AttackNpc	14	8	35		1	NormalMon00801	1.25	4	hand1_1		npc\worldnpc231		0.895501	icon\funcnpc\worldnpc231.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			648												
monv020303	水龙蜥	AttackNpc	7	8	35		1	AnimalMon00118	1	4	hand_0		npc\worldnpc1106		0.915	icon\funcnpc\worldnpc1106.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv020304	焚林刀匠	AttackNpc	14	9	35		1	NormalMon00901	0.82	5	blade1_1		npc\monster447		0.97	icon\monster\monster447.png						1	1				2	15	10	60	npc_foundplayer		3			b_r_npcitem024			-1	1	0																													2000		2000						30			650												
monv020305	精火铸铁师	AttackNpc	14	9	35		1	NormalMon00901	1.25	4	hand1_1		npc\monster132		0.907274	icon\monster\monster132.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			651												
monv020401	桃林媚妇	AttackNpc	14	10	35		1	NormalMon01001	1.3	4.8	hand1_2		npc\worldnpc411		0.819394	icon\funcnpc\worldnpc411.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			653												
monv020402	白眉蒙面人	AttackNpc	14	10	35		1	NormalMon01001	1.25	4	hand1_1		npc\monster247		0.92	icon\monster\monster247.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			653												
monv020403	染病疯狗	AttackNpc	7	10	35		1	AnimalMon00117	1.2	5	hand_0		npc\petm_c_1503		1.5							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monv020404	霸泉恶匪	AttackNpc	14	10	35		1	NormalMon01001	1.25	4	hand1_1		npc\worldnpc190		0.919566	icon\funcnpc\worldnpc190.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			649												
monv020405	梅林剑卫	AttackNpc	14	11	36		1	NormalMon01101	1.2	3.5	hand1_1		npc\monster043		0.928146	icon\monster\monster043.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			653			-1									
monv020501	血剑客	AttackNpc	14	11	36		1	NormalMon01101	1.1	3.2	hand_0		npc\monster177		0.855	icon\monster\monster177.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			654			-1									
