NPC±àºÅ	¶ÔÏóÀàÐÍ	ini×¢ÊÍÃû³Æ	NPCÆòÌÖÐÅÏ¢	±íÏÖAI°ü±àºÅ	NPCÀàÐÍ	Ñ¡Ôñ²Ù×÷	Êó±êÐÎ×´	ÊÇ·ñ×ªÉí	×ßÂ·ËÙ¶È	ÅÜ²½ËÙ¶È	ÎäÆ÷³ÖÎÕ·½Ê½	Ä£ÐÍ±àºÅ	ÐÔ±ð	Ä£ÐÍ°ë¾¶	Í¼Æ¬	³öÉú×´Ì¬	npcÉùÒô	×é³É²ÄÁÏ	ÎäÆ÷Ãû³Æ	NPCÖÖÀàID	½Å±¾±àºÅ	ÊÇ·ñÄÜ½ÓïÚ	´¥·¢ÌØÐ§	AIÀàÐÍ	Ñ²ÂßÄ£Ê½	Ñ²Âß°ë¾¶	Â·¾¶ID	ÊÇ·ñËæ»ú³öÏÖ	ÏìÓ¦·¶Î§	ÃÅÅÉ	³ÆºÅ	¼®¹á	ÕóÓª	Ãû×Ö±íÐòºÅ	ÉúÆ½±íÐòºÅ	Éí·Ý²ÎÊý01	Éí·Ý²ÎÊý2	Éí·Ý²ÎÊý3	¶Ô»°¹æÔò	Ìß¹Ý×¨ÓÃ¹ØÁªNPC	ÉúÆ½	ÄÜ·ñÇÐ´è	Ëæ»ú¶Ô»°	ÏÂÆåÍæ¼ÒµÄ×îÐ¡µÈ¼¶	NPCÉíÉÏ¹ÒµÄÆåÆ×°ü	NPCÊÂ¼þ°ü±àºÅ	½øÈëÇÐ´èÇ°¶Ô»°	½áÊøÇÐ´èºó¶Ô»°	¿ÕÏÐ×´Ì¬¶Ô»°	Åö×²Ê±¶Ô»°	ÊµÁ¦°ü±àºÅ	¼¶±ð	ÐÞÎª¾­Ñé	¹ÖÎïÇ¿¶È	µôÂä	ÎäÆ÷ÀàÐÍ	Ëø¶¨Î»ÒÆ¹¥»÷	½û²¥ÊÜ»÷¶¯×÷	Ê°È¡È¨ÏÞÇå¿ÕÊ±¼ä	ÎÞÊ°È¡ÎïÏûÊ§Ê±¼ä	×î´óÏûÊ§Ê±¼ä	¸½¼ÓËæ»úÄÜÁ¦±àºÅ	ÆÕÍ¨¹¥»÷	¼¼ÄÜ±í	±»¶¯	¹Ì¶¨NPCÖØÉúÊ±¼ä	µÐÈËNPC±àºÅ±í	¶ÓÓÑ±àºÅ	ÄÜ·ñ¹¥»÷	ÄÜ²»ÄÜ±»¹¥»÷	²»ÄÜ±»É±ËÀ	¹¥·À±ÈÖØ	·ÀÓù¸ÅÂÊ	"Õ½¶·ÆµÂÊ,ºÁÃë"	"×·»÷·¶Î§,Ã×"	ÎÞ·¨±»Ó²Ö±	Ëø¶¨¼¼ÄÜ¼ä¸ô	ÕÙ»½ID	ÕÙ»½°ë¾¶	ÕÙ»½ÀàÐÍ	±íÑÝ¸ÅÂÊ	±íÑÝÊ±¼ä	ÊÆÁ¦¹éÊô	ÊÆÁ¦¹ØÏµ±í	Õ½¶·¿ªÊ¼µÄÕÙ»½ID	NPC½»»¥Í£ÁôÊ±¼ä	È¨ÖØ	³õÊ¼¶¯×÷¹Ì¶¨Ö¡²¥·Å	Åö×²¶Ô»°¹æÔò	ÉÌµêID	Ï´ºìÃû¹¦ÄÜ	²Ö¿âID	Ö°ÒµID	±¦Ê¯ÓÎÏ·NPC ID	½ÓÈÎÎñ±í	½»ÈÎÎñ±í	¿ÉÒÔ¼ÓÈëµÄÃÅÅÉ±í	¿É»ñµÃµÄÉí·Ý±í	¸´»îµã	Âä½Åµã	æäÕ¾	ÊäÈë¹ØÏµ°ü±àºÅ	ÊÇ·ñÓÐ¹«»á¹¦ÄÜ	°ïÅÉµØ¿é¹ºÂò	ÊÇ·ñÓÐÃÅÅÉÕ½¹¦ÄÜ	ÔËïÚ±àºÅ	ÊÇ·ñÓÐ°ïÅÉ²Ö¿â	ËùÊô°ï»áµØ¿é±àºÅ	AI±à¼­°ü	ÉÆ¶ñ²ÎÊý	Ö±½Ó´¥·¢	´æÔÚÊ±¼ä	µØÎ»ÆÀ·Ö	ÊÀ½çÊÂ¼þÏà¹Ø	±¨¸´µÈ¼¶	±¨¸´ÊÖ¶Î	ÊÇ·ñ¿É½á»é	ÍË³ö·¢Éù¶Ô»°	ÌìÆø°ü	NPCÓÅÏÈÏÔÊ¾	Ê¹ÓÃÇá¹¦	Ê±¼äÖá	Ëõ·Å	²»ÄÜÒÆ¶¯	²»ÄÜ·´»÷
FuncNpc00606	CommonNpc	ë~Ã÷½Ü	1	8	65	2	2		1.25	4	hand1_1	npc\funcnpc005			icon\funcnpc\funcnpc005.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10				Shop_zahuo_00100					12234;	12233;														1			3												
FuncNpc00607	CommonNpc	Â¬°ºÁÖ	2	8	98	2	2		1.25	4	hand1_1	npc\funcnpc006			icon\funcnpc\funcnpc006.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10				Shop_jiu_00100																				1			3												
FuncNpc00608	CommonNpc	»ªÈý	1	8	67	2	2		1.25	4	hand1_1	npc\funcnpc007			icon\funcnpc\funcnpc007.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10						1																		1			3												
FuncNpc00609	CommonNpc	ÐÜµÂ±ë	4	8	61	2	2		1.25	4	hand1_1	npc\funcnpc010			icon\funcnpc\funcnpc010.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	18	talkrule070218		zhuanyong_522	1									1	2		1											1						1			2000	15		2000						1		0	10				Shop_jn_jh_00100					50;	66;67;1060;1072;1078;1010;1011;														1			4												
FuncNpc00611	CommonNpc	Ü÷ÈÕ»ª	4	8	98	2	2		1.5	6	hand1_1	npc\worldnpc211			icon\funcnpc\worldnpc211.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133				8	5	2	talkrule080502												98	100		4						120			rn_b_hand_01		0	180			0	0	0			1200	120		2000						999		0	10																								1			3												
FuncNpc00612	CommonNpc	Ü÷Çé	4	8	98	2	2		1.5	6	hand1_1	npc\worldnpc210			icon\funcnpc\worldnpc210.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133				8	5	2	talkrule080502												98	100		4						120			rn_b_hand_01		0	180			0	0	0			1200	120		2000						999		0	10																								1			3												
FuncNpc00613	CommonNpc	ÎâÈÕ·É	2	8	98	2	2		1.5	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133				8	4	1	talkrule080401												98	100		4						120			rn_b_hand_01		0	180			0	0	0			1200	120		2000						999		0	10									82050;	82050;														1			6		6	25									
FuncNpc00614	CommonNpc	ÁõËÕ°²	4	8	98	2	2		1.5	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133				8	4	2	talkrule080402												98	100		4						120			rn_b_hand_01		0	180			0	0	0			1200	120		2000						999		0	10									82052;	82052;														1			3		3	25									
FuncNpc00615	CommonNpc	Ëï°¢´ï	1	8	98	2	2		1.25	4	hand1_1	npc\worldnpc105			icon\funcnpc\worldnpc105.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10				Shop_zahuo_00103					24722;24723;	11913;24721;24722;														1			3												
FuncNpc00616	CommonNpc	Ñ¦¸»¹ó	2	8	98	2	2		1.25	4	hand1_1	npc\worldnpc178			icon\funcnpc\worldnpc178.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	3	talkrule070203												1	2		1											1						1			2000	15		2000								0	10									82062;82073;	82073;														1			2												
FuncNpc00617	CommonNpc	ÖÜÒã	1	8	98	2	2		1.25	4	hand1_1	npc\funcnpc011			icon\funcnpc\funcnpc010.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	3	talkrule070203												1	2		1											1						1			2000	15		2000								0	10									82057;	82057;														1			2												
																																																																																						10																																							
FuncNpc00630	CommonNpc	çÑÏÉ	1	8	98	2	2		1.25	4	hand1_1	npc\worldnpc164			icon\funcnpc\worldnpc164.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10																								1			3												
FuncNpc00631	CommonNpc	Â½¼ºÏã	1	8	98	2	2		1.25	4	hand1_1	npc\worldnpc118			icon\funcnpc\worldnpc118.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10																								1			3												
FuncNpc00632	CommonNpc	ôà¸è	2	8	98	2	2		1.25	4	hand1_1	npc\monster391			icon\monster\monster391.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10																								1			3												
FuncNpc00633	CommonNpc	ÇïÜç	4	8	98	2	2		1.25	4	hand1_1	npc\worldnpc162			icon\funcnpc\worldnpc162.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10																								1			3												
					98	2	2																																																																															10																																							
FuncNpc00635	CommonNpc	×ÞèµÏ£	1	8	98	2	2		1.25	4	hand1_1	npc\funcnpc001			icon\funcnpc\funcnpc001.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10																								1			3												
					98	2	2																																																																															10																																							
FuncNpc00637	CommonNpc	¹ÈÈô	1	8	98	2	2		1.2	4.8	hand1_2	npc\worldnpc182			icon\funcnpc\worldnpc182.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10																								1			3												
FuncNpc00638	CommonNpc	·ö³µ	1	8	98	2	2		1.25	4	hand1_1	npc\funcnpc001			icon\funcnpc\funcnpc001.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10																								1			3												
FuncNpc00639	CommonNpc	êËÊç	4	8	98	2	2		1.25	4	hand1_1	npc\WorldNpc231			icon\funcnpc\WorldNpc231.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10									48153;48154;	48152;48153;														1			3												
FuncNpc00640	CommonNpc	ÐÒ»Ý	5	8	98	2	2		1.25	4	hand_0	npc\funcnpc002			icon\funcnpc\funcnpc002.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10																								1			3												
FuncNpc00644	CommonNpc	ºé°Ù·½	1	8	114	2	2		1.25	4	hand1_1	npc\worldnpc233			icon\funcnpc\worldnpc233.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211				20031-20033								1	2		1											1						1			2000	15		2000								0	10				Shop_zuoqi_00116																				1			2												
FuncNpc00645	CommonNpc	ÒøÆ±¶Ò»»ÕÆ¹ñ	1	8	216	2	2		1.25	4	hand1_1	npc\funcnpc006			icon\funcnpc\funcnpc006.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211				20031-20033								1	2		1											1						1			2000	15		2000								0	10				Shop_yinpiao_00100																				1			2												
FuncNpc00646	CommonNpc	´òÔìÌ¨¶Ò»»ÕÆ¹ñ	1	8	311	2	2		1.25	4	hand1_1	npc\funcnpc006			icon\funcnpc\funcnpc006.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211				20031-20033								1	2		1											1						1			2000	15		2000								0	10				Shop_yinpiao_00101																				1			2												
FuncNpc00647	CommonNpc	´òÔìÌ¨ºÚÊÐÉÌÈË	1	8	312	2	2		1.25	4	hand1_1	npc\worldnpc566		1	icon\funcnpc\worldnpc566.png					0				3	0	0			20				1			7	2	9	talkrule070209												1	2		1											1						1			2000	15		2000								0	10				Shop_yinpiao_00102																				1															
																																																																																						10																																							
WorldNpc09601	CommonNpc	ÓÚ³¤Çà		8	235	2	2	1	1.25	4	hand1_1	npc\monster373			icon\monster\monster373.png					0	npc\arrest_police_npc.lua			3	0	0			20				1			8	5	1	talkrule080501			1									1	14		1											1						1			2000	15		2000						1		0	10									40112;82125;82126;82151;82152;82153;24193;24226;24227;24234;24236;24240;24281;24282;12231;	40111;82125;82126;82151;82152;82153;24191;24224;24226;24232;24234;24239;24280;24281;12230;12231;12234;														1			6												
WorldNpc09602	CommonNpc	Ü÷Òµ		8	98	2	2	1	1.5	6	hand1_1	npc\worldnpc211			icon\funcnpc\worldnpc211.png					0				3	0	0			20							8	5	2	talkrule080502												98	100		4						120			rn_b_hand_01		0	180			0	0	0			1200	120		2000						999		0	10									48150;48152;48157;50188;24196;24215;24224;24239;24725;22183;22184;22194;	48149;48150;48156;50186;24193;24214;24221;24238;24724;22182;22183;22192;														1			3												
WorldNpc09603	CommonNpc	»Æ¹·Ê£	4	8	98	2	2	1	1.5	6	hand1_1	npc\monster556			icon\monster\monster556.png					0				3	0	0			20							8	5	2	talkrule080502												98	100		4						120			rn_b_hand_01		0	180			0	0	0			1200	120		2000						999		0	10									24724;	24723;														1			3												
WorldNpc09604	CommonNpc	À×±ë	2	8	98	2	2	1	1.5	6	hand1_1	npc\worldnpc211			icon\funcnpc\worldnpc211.png					0				3	0	0			20							8	5	2	talkrule080502												98	100		4						120			rn_b_hand_01		0	180			0	0	0			1200	120		2000						999		0	10									50190;50191;24214;	50188;50190;24213;														1			3												
WorldNpc09605	CommonNpc	Ü÷¸£		8	98	2	2	1	1.5	6	hand1_1	npc\monster069			icon\funcnpc\monster069.png					0				3	0	0			20							8	5	2	talkrule080502												98	100		4						120			rn_b_hand_01		0	180			0	0	0			1200	120		2000						999		0	10																								1			3												
WorldNpc09606	CommonNpc	¼ÖÈÊÂ»		8	236	2	2	1	1.25	4	hand1_1	npc\worldnpc209			icon\funcnpc\worldnpc209.png					0	npc\arrest_publish_npc.lua			3	0	0			20				1			8	5	2	talkrule080502												1	2		1											1						1			2000	15		2000								0	10									40113;	40112;														1			3												
WorldNpc09607	CommonNpc	Íõ´óÅô		8	98	2	2	1	1.25	4	hand1_1	npc\worldnpc454			icon\funcnpc\worldnpc454.png					0	npc\clone\CJ\npc_talk_minigame.lua			3	0	0			20				1			7	2	3	talkrule070203							163;171;182;188;192					1	2		1											1						1			2000	15		2000								0	10									82111;															1			2												
WorldNpc09608	CommonNpc	ËïÄÌÄÌ		8	98	2	2	1	1.3	4.8	hand1_2	npc\worldnpc009			icon\funcnpc\worldnpc009.png					0				3	0	0			20				1			7	2	2	talkrule070202							161;173;179;187;193					1	2		1											1						1			2000	15		2000								0	10									82115;24206;	82114;82115;24205;														1			2												
WorldNpc09609	CommonNpc	ÉòÐ¡ÅÖ		8	98	2	2	1	1.25	4	hand1_1	npc\worldnpc424			icon\funcnpc\worldnpc424.png					0				3	0	0			20				1			7	2	7	talkrule070207												1	2		1											1						1			2000	15		2000								0	10									24205;	24201;														1			1												
WorldNpc09610	CommonNpc	¾²»Û		8	98	2	2	1	1	1.5	hand_0	npc\monster602			icon\funcnpc\monster602.png					0				3	0	0			20				1			7	7	2	talkrule070702							160;175;176;183;194					1	2		1											1						1			2000	15		2000								0	10									82113;82114;24207;24208;24213;	82113;24206;24207;24210;														1			4												
WorldNpc09611	CommonNpc	³É±Ì¾ý		8	98	2	2	1	1.3	4.8	hand1_2	npc\monster047			icon\monster\monster047.png					0				3	0	0			20				1			5	21	2	talkrule052102			1				167;172;178;184;196					1	15		3											1						1			2000	15		2000						1		0	10									24238;	24236;														1			3												
WorldNpc09612	CommonNpc	Ü÷Òµ		8	98	2	2	1	1.5	6	hand1_1	npc\worldnpc211			icon\funcnpc\worldnpc211.png					0				3	0	0			20							8	5	2	talkrule080502							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		2000						999		0	10									82112;24198;24199;	82111;82112;24196;24198;														1			3												
WorldNpc09613	CommonNpc	Éò±ëÆæ	2	8	98	2	2	1	1.5	6	hand1_1	npc\worldnpc211			icon\funcnpc\worldnpc211.png					0				3	0	0			20							8	5	2	talkrule080502												98	100		4									rn_b_hand_01		0				0	0	0			1200	120		2000						999		0	10									24279;24280;	24277;24279;														1			3												
WorldNpc09614	CommonNpc	Áõ°Í	2	8	98	2	2	1	1.5	6	hand1_1	npc\worldnpc211			icon\funcnpc\worldnpc211.png					0				3	0	0			20							8	5	2	talkrule080502												98	100		4									rn_b_hand_01		0				0	0	0			1200	120		2000						999		0	10																								1			3												
WorldNpc09615	CommonNpc	·¶Íò´º	2	8	98	2	2	1	1.5	6	hand1_1	npc\worldnpc211			icon\funcnpc\worldnpc211.png					0				3	0	0			20							8	5	2	talkrule080502												98	100		4									rn_b_hand_01		0				0	0	0			1200	120		2000						999		0	10																								1			3												
WorldNpc09616	CommonNpc	À¶ÌïÆ½		8	98	2	2	1	1.25	4	hand1_1	npc\boss042_03			icon\monster\boss042_03.png					0				3	0	0			20				1			9	1	1	talkrule090101			1				158;169;176;183;192					1	17		1											1						1			2000	15		2000						1		0	10																								1			2												
WorldNpc09617	CommonNpc	ÖÜÇÉÊÖ		8	98	2	2		1	4.8	hand1_2	npc\worldnpc366			icon\funcnpc\worldnpc366.png					0				3	0	0			20				1			7	1	7	talkrule070107							159;170;177;184;193					1	2		1											1						1			2000	15		2000								0	10									50157;50170;34139;	50156;50169;34001;														1			3												
WorldNpc09618	CommonNpc	·¿´óÓÐ		8	98	2	2		1.25	4	hand1_1	npc\monster103			icon\monster\monster103.png					0				3	0	0			20				1			6	1	1	talkrule060101			1				160;171;178;185;194					1	14		1											0						1			2000	15		2000						1		0	10									50171;50174;50186;	50170;50171;50184;														1			5		5	14									
WorldNpc09619	CommonNpc	À×Áú		8	98	2	2		1.25	4	hand1_1	npc\monster190			icon\monster\monster190.png					0				3	0	0			20				1			6	1	1	talkrule060101			1				161;172;179;186;195					1	14		1											0						1			2000	15		2000						1		0	10																								1			5												
WorldNpc09620	CommonNpc	ÌÆÏþ»·	5	8	98	2	2		1.3	4.8	hand1_2	npc\worldnpc405			icon\funcnpc\worldnpc405.png					0				3	0	0			20				1			7	2	2	talkrule070202							162;173;180;187;196					1	2		1											1						1			2000	15		2000								0	10									50178;50179;50184;82100;82108;	50177;50178;50181;82100;82108;														1			2												
