NPC编号	对象类型	ini注释名称	脚本编号	Npc类型	实力包编号	级别	修为经验	怪物强度	掉落	表现AI包编号	AI类型	主动被动	响应范围	NPC种类ID	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	护送类型	护送目标场景编号	护送目标点X	护送目标点Z	能否攻击	能不能被攻击	不能被杀死	护送事件表	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	"追击范围,米"	路径ID	是否随机出现	武器持握方式	武器名称	武器类型	刷新时间	随机动作	出生状态	走路速度	跑步速度	能否移动	是否转身	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	进入切磋前对话	结束切磋后对话	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	战斗AI命令表	敌人NPC编号表	队友编号	攻击防御比重	"战斗频率,毫秒"	使用锁定技能概率	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	附加随机能力编号	普通攻击	是否停止AI	AI编辑包	生存时间	轻功	直接触发	缩放	格挡方式(-1表示不格挡)	破防几率	动作集	势力归属
Convoy00565	ConvoyNpc	清元		110	1	10		1			4	0	6	0	npc\worldnpc153		0.963921	icon\funcnpc\worldnpc153.png					2	12	774	775	0	0				2	40	20	60		0	0	0			hand_0			-1			1.2	1.7						0																3500																			
Convoy00568	ConvoyNpc	清元		110	1	10		1			4	0	6	0	npc\worldnpc153		0.963921	icon\funcnpc\worldnpc153.png					1	12	674	860	0	0				2	40	20	60		0	0	0			hand_0			-1			1.2	1.7						0																3500																			
Convoy00604	ConvoyNpc	清一		110	1	20		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					2	12	905.04	385.79	0	0				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy00619	ConvoyNpc	祖明禅师		110	1	20		1			4	0	6	0	npc\worldnpc152		0.887865	icon\monster\monster126.png					1	12	820.2	361.49	1	1				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy00647	ConvoyNpc	清惠		110	1	20		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					2	12	926.13	445.72	0	0				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy00657	ConvoyNpc	祖禅		110	1	20		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					2	12	576.47	309.45	1	1				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy00670	ConvoyNpc	极乐谷弟子 卢元方		110	1	20		1			4	0	6	0	npc\monster115		0.915409	icon\monster\monster115.png					2	14	1115.26	320	1	1				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						2																3500																			
Convoy02009	ConvoyNpc	曹老汉		110	1	20		1			4	0	10	0	npc\monster132		0.907274	icon\monster\monster132.png					2	12	822	360	1	1				2	40	20	60		0	0	5			hand1_1			-1			1.25	4						1																1500																			
Convoy02806	ConvoyNpc	张继武		110	1	50		1			4	0	6	0	npc\fbboss00321		0.975	icon\funcnpc\fbboss00321.png					1	5	643	65	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4.5						1																																			
Convoy11947	ConvoyNpc	卢夏		110	1	50		1			4	1	6	0	npc\worldnpc183		0.975	icon\funcnpc\worldnpc183.png			npc\npc_convoy.lua		1	3	479.8	911.3	1	1				2	40	20	60		0	0	50			hand1_1			-1			2.5	4.5						1																																			
Convoy11954	ConvoyNpc	李妙玉		110	1	50		1			4	0	6	0	npc\worldnpc617		0.975	icon\funcnpc\worldnpc121.png					1	414	449.5	460.8	0	1				2	40	20	60		0	0	50			hand1_1			-1			2.5	4.5						1																																			
Convoy18007	ConvoyNpc	雾狐		110	1	50		1			4	0	6	0	npc\worldnpc392		1	icon\monster\fbfunnpc00222.png					1	8	639	60	1	1				2	40	20	60		0	0	50			hand1_1			-1			3	#N/A						1																																			
Convoy02810	ConvoyNpc	沈洪烈		110	1	50		1			4	0	6	0	npc\fbboss00323		1.04	icon\funcnpc\fbboss00323.png					1	43	647	238	0	0				2	40	20	60		0	0	50			hand_0			-1			3	4.5						1																3500																			
Convoy02812	ConvoyNpc	岳志鹏		110	1	50		1			4	0	6	0	npc\worldnpc355		0.919563	icon\funcnpc\worldnpc355.png					1	43	100	100	0	0				2	40	20	60		0	0	50			hand1_1			-1			1.25	4						1																																			
convoy3010	ConvoyNpc	旗帜		110	1	50		1			4	0	6	0	npc\itemnpc422a		#N/A	icon\funcnpc\task.png					3	48			1	0	0	"60,0"		2	40	20	60		0	0	50			#N/A			-1			3	#N/A						1																																			
convoy11912	ConvoyNpc	黄古萧		110	1	50		1			4	0	6	0	npc\worldnpc312		0.953979	icon\funcnpc\worldnpc312.png					3	14			1	0	0	"60,0"		2	40	20	60		0	0	50			hand1_1			-1			3	4						1																																			
Convoy07021	ConvoyNpc	清虹		110	1	20		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					1	12	900	341	1	1				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy07025	ConvoyNpc	布施任务的师兄弟		110	1	20		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					1	12	494	746	1	1				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy07032	ConvoyNpc	监院		110	1	20		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					2	12	796.34	426.29	1	1				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy07035	ConvoyNpc	结阵的师兄		110	1	20		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					2	12	887.19	429.14	0	0				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy08105	ConvoyNpc	钱庄掌柜		110	1	20		1			4	0	6	0	npc\monster133		0.918037	icon\monster\monster133.png					3	3			1	0		"30,0"		2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																																			
Convoy08114	ConvoyNpc	犯人		110	1	10		1			4	0	10	0	npc\monster126		0.887865	icon\monster\monster126.png					1	14	499	261	1	1				2	40	20	60		0	0	50			hand1_1			-1			1.25	4						1																																			
Convoy09008	ConvoyNpc	大师兄		110	1	99		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					2	14	391	377	0	1				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						1																3500																			
Convoy09020	ConvoyNpc	老叫化		110	1	99		1			4	0	6	0	npc\monster012		#N/A	#N/A					2	14	534	364	0	1				2	40	20	60		0	0	0			#N/A			-1			#N/A	#N/A						1																3500																			
Convoy09021	ConvoyNpc	老叫化		110	1	99		1			4	0	6	0	npc\monster012		#N/A	#N/A					2	14	647	423	0	1				2	40	20	60		0	0	0			#N/A			-1			#N/A	#N/A						1																3500																			
Convoy09035	ConvoyNpc	假道士		110	1	20		1			4	0	6	0	npc\monster006		0.143695	icon\monster\monster006.png					1	14	424	598	0	1				2	40	20	60		0	0	0			hand_0			-1			0.4	1.2						1																3500																			
Convoy09045	ConvoyNpc	严府管家		110	1	20		1			4	0	6	0	npc\monster006		0.143695	icon\monster\monster006.png					1	14	606	465	0	1				2	40	20	60		0	0	0			hand_0			-1			0.4	1.2						1																3500																			
Convoy09051	ConvoyNpc	青楼打手 桂三		110	1	20		1			4	0	6	0	npc\monster006		0.143695	icon\monster\monster006.png					2	14	617	477	0	1				2	40	20	60		0	0	0			hand_0			-1			0.4	1.2						1																3500																			
Convoy09065	ConvoyNpc	琴师 何向蝶		110	1	20		1			4	0	6	0	npc\monster006		0.143695	icon\monster\monster006.png					2	14	522	647	0	1				2	40	20	60		0	0	0			hand_0			-1			0.4	1.2						1																3500																			
Convoy09075	ConvoyNpc	官兵		110	1	20		1			4	0	6	0	npc\monster006		0.143695	icon\monster\monster006.png					1	14	602	598	0	1				2	40	20	60		0	0	0			hand_0			-1			0.4	1.2						1																3500																			
Convoy09076	ConvoyNpc	犯戒的同门		110	1	20		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					1	14			1	1				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						1																3500																			
Convoy24001	ConvoyNpc	黑衣人		110	1	10		1			4	0	50	0	npc\worldnpc756		0.85	icon\funcnpc\worldnpc756.png					2	1	867.6	592.42	1	1				2	40	20	60		0	0	0			#N/A			-1			#N/A	#N/A						0																																			
Convoy24019	ConvoyNpc	舒婉仪		110	1	10		1			4	1	10	0	npc\worldnpc182		0.855227	icon\funcnpc\worldnpc182.png			npc\npc_convoy.lua		2	1	389	985	0	0				2	40	20	60		0	0	0			hand1_2			-1			4	4.5						1																																			
Convoy24044	ConvoyNpc	花玉莹		110	1	10		1			4	1	10	0	npc\monster560		0.845	icon\monster\monster560.png					2	1	309	1072	1	1				2	40	20	60		0	0	0			hand_0			-1			4	4						1																3500																			
Convoy24064	ConvoyNpc	李蒙		110	1	10		1			4	1	10	0	npc\monster242		0.845	icon\monster\monster560.png			npc\npc_convoy.lua		2	1	890	555	1	1				2	40	20	60		0	0	0			hand1_1			-1			8	8						1																3500																			
Convoy24070	ConvoyNpc	受惊的猴子		110	1	10		1			4	1	10	0	npc\petm_c_1000		#N/A	#N/A					2	1	992.7	1106.4	1	1				2	40	20	60		0	0	0			#N/A			-1			4	4						1																																			
convoy24073	ConvoyNpc	扣儿		110	1	10		1			4	1	10	0	npc\worldnpc432			icon\funcnpc\worldnpc432.png			npc\npc_convoy.lua		1	10	431	546	1	1				2	40	20	60		0	0	0			hand1_2			-1			4	4						1																3500																			
Convoy24081	ConvoyNpc	谢韵芷的宠物		110	1	10		1			4	1	6	0	npc\monster118		0.261745	icon\monster\monster118.png					2	10	489.162	156.82	1	1				2		20			0	0	0			hand_0			-1			2	4						1																																			
Convoy24087	ConvoyNpc	小女孩		110	1	10		1			4	1	6	0	npc\worldnpc432		0.55	icon\funcnpc\worldnpc432.png					2	10	471.445	532.381	1	1				2	40	20	60		0	0	0			hand1_2			-1			4	4.5						1																3500																			
Convoy24098	ConvoyNpc	藏族老婆婆		110	1	10		1			4	1	10	0	npc\worldnpc009		0.892664	icon\funcnpc\worldnpc009.png					1	21	174.6	446.9	1	1				2	40	20	60		0	0	0			hand1_2			-1			4	4.5						1																3500																			
Convoy24106	ConvoyNpc	卓玛		110	1	10		1			4	1	10	0	npc\worldnpc274		0.86	icon\funcnpc\worldnpc274.png					1	21	113.501	446.307	1	1				2	40	20	60		0	0	0			hand1_2			-1			4	4.5						1																3500																			
Convoy24125	ConvoyNpc	扎百		110	1	10		1			4	1	10	0	npc\worldnpc425		0.655926	icon\funcnpc\worldnpc425.png					1	21	319.84	253.117	1	1				2	40	20	60		0	0	0			hand1_1			-1			4	4						1																3500																			
Convoy24135	ConvoyNpc	多嘎·尼车班姿		110	1	10		1			4	1	10	0	npc\monster039		0.8839	icon\monster\monster039.png					1	21	383	320	1	1				2	40	20	60		0	0	0			hand1_1			-1			4	4						1																3500																			
Convoy24148	ConvoyNpc	尔玛依娜		110	1	10		1			4	1	6	0	npc\monster279		0.945	icon\monster\monster279.png					1	22	1459.432	1919.956	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																																			
Convoy24161	ConvoyNpc	尚香芸		110	1	10		1			4	1	6	0	npc\monster180		#N/A	#N/A					2	22	1696.593	1101.84	1	1				2	40	20	60		0	0	50			#N/A			-1			4	#N/A						1																																			
Convoy24167	ConvoyNpc	卞灵筠		110	1	10		1			4	1	6	0	npc\worldnpc006		0.87	icon\funcnpc\worldnpc006.png					2	22	1820	838.1	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																																			
Convoy24170	ConvoyNpc	猴子		110	1	10		1			4	1	6	0	npc\monster600		0.645	icon\monster\monster600.png					2	22	1981.439	925.668	1	1				2	40	20	60		0	0	50			hand_0			-1			4	3.2						1																																			
Convoy24174	ConvoyNpc	扎哥特尔		 	1	10		1			4	1	6	0	npc\worldnpc601		0.895	icon\funcnpc\worldnpc601.png					2	22	1951.1	1153.5	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
Convoy24197	ConvoyNpc	荀业		110	1	50		1			4	0	6	0	npc\worldnpc211		0.929564	icon\funcnpc\worldnpc211.png					2	17	1024.6	778	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						0																																			
Convoy24206	ConvoyNpc	沈小胖		110	1	50		1			4	0	6	0	npc\worldnpc426		0.654134	icon\funcnpc\worldnpc426.png					1	17	1185.2	979.7	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
Convoy24219	ConvoyNpc	李妃暄		110	1	50		1			4	0	6	0	npc\monster095		0.871958	icon\monster\monster095.png					2	17	1195.8	834	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																																			
Convoy24239	ConvoyNpc	成璧君		110	1	50		1			4	0	6	0	npc\monster047		0.906333	icon\monster\monster047.png					1	17	639	586	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						2																																			
Convoy24259	ConvoyNpc	画皮书生		110	1	50		1			4	0	6	0	npc\worldnpc101		0.972406	icon\funcnpc\worldnpc101.png					2	1	588	764	1	0				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																3500																			
Convoy24287	ConvoyNpc	画皮书生		110	1	50		1			4	0	6	0	npc\worldnpc101		0.972406	icon\funcnpc\worldnpc101.png					1	1	793	738	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																3500																			
Convoy24293	ConvoyNpc	金六		110	1	20		1			4	0	6	0	npc\monster043		0.928146	icon\monster\monster043.png					2	15	528.66	584.14	1	1				2	40	20	60		0	0	50			hand_0			-1			4	3.5						1																3500																			
Convoy24297	ConvoyNpc	郭发		110	1	50		1			4	0	6	0	npc\monster114		0.930587	icon\monster\monster114.png					1	13	294	385	0	0				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																3500																			
Convoy24315	ConvoyNpc	许谦		110	1	50		1			4	0	6	0	npc\worldnpc081		0.901731	icon\funcnpc\worldnpc081.png					2	20	670.873	1290.44	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																3500																			
Convoy24325	ConvoyNpc	关耳天		110	1	50		1			4	0	6	0	npc\worldnpc447		0.905	icon\funcnpc\worldnpc447.png					2	20	609	1111.68	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																3500																			
Convoy24335	ConvoyNpc	崔圆圆		110	1	50		1			4	0	6	0	npc\worldnpc113		0.874221	icon\funcnpc\worldnpc113.png					1	20	635.23	1033.86	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																3500																			
Convoy24377	ConvoyNpc	东方渐		110	1	50		1			4	0	6	0	npc\worldnpc534		0.925	icon\funcnpc\worldnpc534.png					2	13	253	1387	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																3500																			
Convoy24388	ConvoyNpc	季青山		110	1	50		1			4	0	6	0	npc\monster043		0.928146	icon\monster\monster043.png					2	10	762	407.4	1	1				2	40	20	60		0	0	50			hand_0			-1			4	3.5						1																																			
Convoy24402	ConvoyNpc	余穆柔		110	1	50		1			4	0	6	0	npc\worldnpc307		0.867439	icon\funcnpc\worldnpc307.png					2	10	1094.5	144.6	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																																			
Convoy24406	ConvoyNpc	绝尘师太 		110	1	50		1			4	0	6	0	npc\fbboss00161		0.89	icon\funcnpc\worldnpc031.png					2	10	332	107	1	1				2	40	20	60		0	0	50			hand_0			-1			4	1.2						1																3500																			
Convoy24424	ConvoyNpc	陈焉		110	1	50		1			4	0	6	0	npc\worldnpc395		0.881926	icon\funcnpc\worldnpc395.png					2	10	496	321	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																3500																			
Convoy24492	ConvoyNpc	庄青青		110	1	51		1			4	0	0	0	npc\itemnpc057		0.341685	icon\funcnpc\itemnpc057.png					3	22			1	1				2	40	20	60		0	0	50			hand_0			-1			4	#N/A						1																																			
Convoy24654	ConvoyNpc	苍云道人		110	1	52		1			4	0	0	0			#N/A	#N/A					3	11			1	1		"15,0"		2	40	20	60		0	0	50			#N/A			-1			4	#N/A						1																																			
Convoy24727	ConvoyNpc	告示牌		110	1	50		1			4	0	0	0			#N/A	#N/A					3	17			1	1		"6,0"		2	40	20	60		0	0	50			#N/A			-1			4	#N/A						1																																			
Convoy24736	ConvoyNpc	田思雨		110	1	50		1			4	0	6	0	npc\monster088		0.863949	icon\monster\monster088.png					2	10			1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																																			
Convoy48406	ConvoyNpc	瑶见		110	1	40		1			4	0	6	0	npc\worldnpc781		0.851619	icon\funcnpc\worldnpc246.png					1	8	265	83	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																																			
Convoy30703	ConvoyNpc	刘雅冰		110	1	40		1			4	0	6	0	npc\worldnpc449		0.885	icon\funcnpc\worldnpc449.png					2	21	592	927	0	0				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																																			
Convoy48415	ConvoyNpc	莲惜		110	1	40		1			4	0	6	0	npc\monster143		0.885	icon\monster\monster143.png					1	8	85	-25	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																																			
Convoy84676	ConvoyNpc	顾冰秋		110	1	40		1			4	0	6	0	npc\worldnpc531		0.885	icon\funcnpc\worldnpc531.png			npc\npc_convoy.lua		2	8	437	635	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																3500																			
	姜旭峰				1																																																																																					
Convoy24737	ConvoyNpc	米湘生		110	1	51		1			4	0	6	0	npc\worldnpc101		0.972406	icon\funcnpc\worldnpc101.png					3	12			0	1		10，220；30，220；60，0		2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
Convoy24738	ConvoyNpc	镖师赵天龙		110	1	52		2			4	0	6	0	npc\worldnpc159		0.920832	icon\funcnpc\worldnpc159.png					3	12			1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
Convoy30277	ConvoyNpc	猎狗		110	1	16		1			4	0	6	1	npc\petm_c_1503		#N/A	#N/A					2	8	298.67	781.53	1	1				2	40	20	60		0	0	50			#N/A			-1			4	4						1																																			
Convoy30255	ConvoyNpc			110	1	16		1			4	0	6	0	npc\worldnpc564		0.905	icon\funcnpc\worldnpc564.png					2	6	448.18	973.99	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
Convoy30269	ConvoyNpc	绝尘师太		110	1	16		1			4	0	6	0	npc\fbboss00161		0.89	icon\funcnpc\worldnpc031.png					2	8	400.01	792.7	1	1				2	40	20	60		0	0	50			hand_0			-1			4	4						1																																			
Convoy30272	ConvoyNpc	君子堂被捆弟子		110	1	16		1			4	0	6	0	npc\worldnpc032		0.905	icon\funcnpc\worldnpc032.png					2	8	550.52	855.29	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
Convoy30288	ConvoyNpc	黑旗旗主		110	1	16		1			4	0	6	0	npc\worldnpc390		0.930628	icon\funcnpc\worldnpc390.png					2	8	598.41	867.27	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
Convoy30493	ConvoyNpc	老妪		110	1	27		1			4	0	6	0	npc\worldnpc196		0.860659	icon\funcnpc\worldnpc196.png					1	24	95	474	1	1				2	40	20	60		0	0	50			hand1_2			-1			4	4.5						1																																			
Convoy30518	ConvoyNpc	武当山弟子 		110	1	28		1			4	0	6	0	npc\worldnpc229		0.948004	icon\funcnpc\worldnpc229.png					1	22	1223.452	1143.727	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
convoy26446	ConvoyNpc	君子堂被困弟子		110	1	28		1			4	0	6	0	npc\worldnpc191		0.916027	icon\funcnpc\worldnpc191.png					1	7	530	457	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
convoy26452	ConvoyNpc	小圣女		110	1	28		1			4	0	6	0	npc\worldnpc449		0.885	icon\funcnpc\worldnpc449.png					1	7	530	457	0	0				2	40	20	60		0	0	50			hand1_2			-1			4	4						1																																			
convoy26453	ConvoyNpc	东瀛武士		110	1	28		1			4	0	6	0	npc\worldnpc391		0.917008	icon\funcnpc\worldnpc391.png					3	3			0	0				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
convoy26454	ConvoyNpc	东瀛武士		110	1	28		1			4	0	6	0	npc\worldnpc391		0.917008	icon\funcnpc\worldnpc391.png					2	3			0	0				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
convoy26455	ConvoyNpc	敏捷的猴子		110	1	10		1			4	1	6	0	npc\monster600		0.645	icon\monster\monster600.png					1	1	834	522	1	1				2	40	20	60		0	0	50			hand_0			-1			4	3.2						1																																			
convoy26456	ConvoyNpc	郭人圭的猎狗		110	1	16		1			4	0	6	1	npc\petm_c_1504		0.625	icon\monster\monster017.png					1	1	1028	1046	1	1				2	40	20	60		0	0	50			hand_0			-1			4	4						1																																			
convoy80243	ConvoyNpc	黑衣人		110	16	60		1			4	0	15	0	npc\worldnpc756		0.9	icon\funcnpc\worldnpc756.png				"jn_testwuxb_02,1,50"	2	1			0	0				2	40	20	60		0	0	50			hand1_2			-1			4	4						1																1000																			
																																																																																										
	//君子传奇护送				1																																																																																					
Convoy34301	ConvoyNpc	带路 苍峻熙		110	1	18		1			4	0	6	0	npc\worldnpc416		0.836203	icon\funcnpc\worldnpc416.png					2	21	488	869	1	1				2	40	20	60		0	0	50			hand1_2			-1			4.5	4.5						1																																			
Convoy34307	ConvoyNpc	被带路  俞长风		110	1	18		1			4	0	6	0	npc\worldnpc519		0.94	icon\funcnpc\worldnpc519.png					1	21	332	467	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
Convoy34312	ConvoyNpc	带路  柯离		110	1	18		1			4	0	6	0	npc\monster246		0.72	icon\monster\monster246.png					2	2	-188	-175	1	1				2	40	20	60		0	0	50			hand1_1			-1			4	4						1																																			
					1																																																																																					
Convoy34029	ConvoyNpc	追击王逍		110	1	10		1			4	0	20	0	npc\worldnpc792			icon\monster\monster383.png			npc\npc_convoy.lua		2	17	536	1002	1	1				2	40	20	60		0	0	50			hand1_1			-1			6	6																																									
