NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	仇恨	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	禁播受击动作	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	婚宴npc类型	势力归属	势力关系表	战斗开始的召唤ID	NPC交互停留时间	权重	初始动作固定帧播放	碰撞对话规则	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	善恶参数	直接触发	脱战回血	格挡方式(-1表示不格挡)	超过距离就脱战	使用轻功	破防几率	破防技能	防御CD	世界触发器相关	存在时间	是否理会玩家	缩放尺寸	跟随距离	跟随位置	是否跨场景	跟随角度	NPC所属势力	动作集	大逃杀专用	团队显示道具
monv025300	CommonNpc	青衣仙娥		8	12	2	2	10		1.25	4	hand1_2	npc\monster227		0.86	icon\monster\monster227.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							505		0	10																																												
monv025301	CommonNpc	绯云侍婢		8	12	2	2	10		1.25	4	hand1_2	npc\worldnpc113		0.874221	icon\funcnpc\worldnpc113.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							505		0	10																																												
monv025302	CommonNpc	彤云剑侍		8	12	2	2	10		1.25	4	hand1_2	npc\monster078		0.892101	icon\monster\monster078.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							505		0	10																																												
monv025303	CommonNpc	丝衣绝舞		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc013		0.860941	icon\funcnpc\worldnpc013.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							670																					
																					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																																												
monv025400	CommonNpc	红杉妖姬		8	14	2	2	10		1.25	4	hand1_2	npc\monster450		0.86	icon\monster\monster450.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							670																					
monv025402	CommonNpc	云石烈女		8	14	2	2	10		1.25	4	hand1_2	npc\monster088		0.863949	icon\monster\monster088.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							670																					
monv025500	CommonNpc	素云宫精英		8	14	2	2	10		1.25	4	hand1_2	npc\monster554		0.865	icon\monster\monster554.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							670																					
monv025600	CommonNpc	素云宫巡察使		8	14	2	2	10		1.25	4	hand1_2	npc\monster583		0.87	icon\monster\monster195.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							670																					
monv025700	CommonNpc	素云宫侍婢		8	14	2	2	10		1.25	4	hand1_2	npc\monster195		0.865	icon\monster\monster195.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							670																					
monv012103	CommonNpc	饿虎岗哨卫		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc551		0.930587	icon\monster\monster114.png					0				3	0	0			20																							1	15		1					15	10	60			"mon_tg27_01,1,20;mon_tg27_02,1,20"	1					1				2000	30		2000							501		0	10																							719																					
monv012104	CommonNpc	饿虎岗巨盗		8	12	2	2	10		1.25	4	hand1_1	npc\monster313		0.905	icon\monster\monster313.png					0				3	0	0			20																							1	16		1					15	10	60				1					1				2000	30		2000							501		0	10																																												
monv012105	CommonNpc	饿虎岗杀手		8	12	2	2	10		1.25	4	hand1_1	npc\monster109		0.96	icon\monster\monster109.png					0				3	0	0			20																							1	18		1					15	10	60				1					1				2000	30		2000							501		0	10																																												
monv012106	CommonNpc	饿虎岗顶级杀手		8	12	2	2	10		1.25	4	hand1_1	npc\monster072		0.863286	icon\monster\monster072.png					0				3	0	0			20																							1	19		1					15	10	60				1					1				2000	30		2000							501		0	10																																												
monv012200	CommonNpc	恶虎山寨护卫		8	14	2	2	10		1.25	4	hand1_1	npc\monster114		0.930587	icon\monster\monster114.png					0				3	0	0			20																							1	15		1					15	10	60			"mon_tg27_01,1,20;mon_tg27_02,1,20"	1					1				2000	30		2000							501		0	10																							719																					
monv012400	CommonNpc	前寨巡逻喽啰		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc561		0.875	icon\monster\monster395.png					0				3	0	0			20																							1	17		1					15	10	60			"mon_tg27_01,1,20;mon_tg27_02,1,20"	1					1				2000	30		2000							501		0	10																							719																					
monv012500	CommonNpc	寨主护卫		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc553		0.938074	icon\monster\monster189.png					0				3	0	0			20																							1	15		1					15	10	60			"qiduocangqiong_nan,1,40;mengguikoumen_nan,1,40"	1					1				2000	30		2000							501		0	10																							719																					
monv012600	CommonNpc	后寨巡逻喽啰		8	14	2	2	10		1.25	4	hand1_1	npc\monster239		0.855	icon\monster\monster177.png					0				3	0	0			20																							1	19		1					15	10	60			"mon_tg27_01,1,20;mon_tg27_02,1,20"	1					1				2000	30		2000							501		0	10																							719																					
monv012700	CommonNpc	劫道喽啰		8	14	2	2	10		1.25	4	hand1_1	npc\monster040		0.92	icon\monster\monster152.png					0				3	0	0			20																							1	19		1					15	10	60			"mon_tg27_01,1,20;mon_tg27_02,1,20"	1					1				2000	30		2000							501		0	10																							719																					
monv012701	CommonNpc	恶虎山寨训虎师		8	14	2	2	10		1.25	4	hand1_1	npc\monster152		0.92	icon\monster\monster152.png					0				3	0	0			20																							1	16		1					15	10	60			"mon_tg27_01,1,20;mon_tg27_02,1,20"	1					1				2000	30		2000							501		0	10																							719																					
monv012702	CommonNpc	恶虎山寨女杀手		8	14	2	2	10		1.25	4	sword1_2	npc\monster177		0.905	icon\monster\monster518.png				s_r_npcitem417	0				3	0	0			20																							1	18		1					15	10	60			"yuemansenhan_nv,1,30"	1					1				2000	30		2000							501		0	10																							719																					
monv012703	CommonNpc	恶虎山寨高手		8	14	2	2	10		1.25	4	hand1_1	npc\monster496		0.905	icon\monster\monster601.png					0				3	0	0			20																							1	19		1					15	10	60			"mon_tg27_01,1,20;mon_tg27_02,1,20"	1					1				2000	30		2000							501		0	10																							719																					
monv012704	CommonNpc	毛人村猎户			14	2	2	10		1.25	4.5	hand1_1	npc\worldnpc513		0.905	icon\funcnpc\worldnpc513.png					0				1	0	0			20																							140	4		1					15	10	60			"wudizirong_nan,1,50;huaizhongbaoyue_nan,1,50"	1			monv012705		0				2000	30		2000							699		0	10																							1218																					
monv012705	CommonNpc	毛人村村民			14	2	2	10		1.25	4.5	hand1_1	npc\worldnpc514		0.905	icon\funcnpc\worldnpc514.png					0				1	0	0			20																							140	4		1					15	10	60				1			monv012704		0				2000	30		2000							699		0	10																							1218																					
monv032100	CommonNpc	盐帮工吏		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc550		0.925	icon\funcnpc\worldnpc550.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032101	CommonNpc	盐帮监工		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc499		0.91	icon\funcnpc\worldnpc499.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032102	CommonNpc	盐帮看守		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc177		0.902003	icon\funcnpc\worldnpc177.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032200	CommonNpc	盐帮卫兵		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc202		0.919509	icon\funcnpc\worldnpc202.png					0				3	0	0			20																							1	7		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032201	CommonNpc	盐帮舵主		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc319		0.943237	icon\funcnpc\worldnpc319.png					0				3	0	0			20																							1	7		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032202	CommonNpc	仆人		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc454		0.87	icon\funcnpc\worldnpc454.png					0				3	0	0			20																							1	7		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032203	CommonNpc	侍女		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc195		0.815212	icon\funcnpc\worldnpc195.png					0				3	0	0			20																							1	7		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032204	CommonNpc	盐帮太保		8	14	2	2	10		1.25	4	hand1_1	npc\monster447		0.97	icon\monster\monster447.png					0				3	0	0			20																							1	7		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032300	CommonNpc	盐帮督岗卫		8	14	2	2	10		1.25	4	hand1_1	npc\monster313		0.905	icon\monster\monster313.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032301	CommonNpc	东盐田工吏		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc550		0.925	icon\funcnpc\worldnpc550.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032302	CommonNpc	东盐田监工		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc553		0.935	icon\funcnpc\worldnpc553.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032303	CommonNpc	东盐田看守		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc177		0.902003	icon\funcnpc\worldnpc177.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032304	CommonNpc	东盐督岗卫		8	14	2	2	10		1.25	4	hand1_1	npc\monster313		0.905	icon\monster\monster313.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032400	CommonNpc	渡口守卫		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc550		0.925	icon\funcnpc\worldnpc550.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032401	CommonNpc	训练场监兵		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc190		0.919566	icon\funcnpc\worldnpc190.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032402	CommonNpc	盐帮学徒		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc517		0.895	icon\funcnpc\worldnpc517.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032403	CommonNpc	盐帮教官		8	14	2	2	10		1.25	4	hand1_1	npc\monster123		0.915	icon\monster\monster123.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032404	CommonNpc	盐帮武师		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc496		0.90642	icon\monster\monster110.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032500	CommonNpc	精炼厂工吏		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc498		0.91	icon\funcnpc\worldnpc498.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032501	CommonNpc	精炼厂卫兵		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc177		0.902003	icon\funcnpc\worldnpc177.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032502	CommonNpc	精炼厂监工		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc190		0.919566	icon\funcnpc\worldnpc190.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032503	CommonNpc	仓库看守		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc384		0.922367	icon\funcnpc\worldnpc384.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							697																					
monv032504	CommonNpc	失心者		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc157		0.920429	icon\funcnpc\worldnpc157.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																																												
monv032700	CommonNpc	漕帮小头目		8	12	2	2	10		1.25	4	hand1_1	npc\monster311		0.849352	icon\monster\monster311.png					0				3	0	0			20																							1	7		1					15	10	60				1					1				2000	30		2000							506		0	10																																												
monv032701	CommonNpc	官府中人		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc625		0.849352	icon\funcnpc\worldnpc625.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							506		0	10																																												
monv033500	CommonNpc	盐帮偷窥者		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc177		0.902003	icon\funcnpc\worldnpc177.png					0				3	0	0			20																							1	24		1					15	10	60				1					1				2000	30		2000							506		0	10																							677																					
monv033501	CommonNpc	盐帮弟子		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc499		0.91	icon\funcnpc\worldnpc499.png					0				3	0	0			20																							1	24		1					15	10	60				1					1				2000	30		2000							506		0	10																																												
monv033502	CommonNpc	盐帮暗查者		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc202		0.919509	icon\funcnpc\worldnpc202.png					0				3	0	0			20																							1	25		1					15	10	60				1					1				2000	30		2000							506		0	10																							677																					
monv033400	CommonNpc	神风帮巡查者		8	14	2	2	10		1.25	4	hand1_1	npc\monster122		0.919509	icon\monster\monster122.png					0				3	0	0			20																							1	24		1					15	10	60				1					1				2000	30		2000							507		0	10																							676																					
monv033401	CommonNpc	神风帮密探		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc553		0.935	icon\funcnpc\worldnpc553.png					0				3	0	0			20																							1	24		1					15	10	60				1					1				2000	30		2000							507		0	10																							676																					
monv033402	CommonNpc	神风帮前锋卫		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc560		0.9	icon\funcnpc\worldnpc560.png					0				3	0	0			20																							1	25		1					15	10	60				1					1				2000	30		2000							507		0	10																							676																					
monv033403	CommonNpc	神风帮商队头领		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc105		0.847119	icon\funcnpc\worldnpc105.png					0				3	0	0			20																							1	25		1					15	10	60				1					1				2000	30		2000							507		0	10																							676																					
