NPC编号	对象类型	特殊建筑类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	家园子npc类型	选择操作	鼠标形状	是否转身	走路速度	跑步速度	武器持握方式	武器名称	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	缩放	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	NPC交互停留时间	权重	碰撞对话规则	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	钓鱼活动	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	是否有帮派驻地	AI编辑包	善恶参数	直接触发	表演时间（ms）	使用次数	婚宴npc类型	格挡方式(-1表示不格挡)	脱战回血	存在时间(毫秒)	退出发声对话	天气包	护卫跟随点X	护卫跟随点Z	捐献类型	是否可见	优先显示
JobQianDZ008	CommonNpc		闾丘妮	1	8	129		2	2	1	1.3	4.8	hand1_2		npc\worldnpc509	2		icon\funcnpc\worldnpc509.png					0				3	0	0			20			Home_131	1																																																						Shop_jq_01001			sh_jq			508;823;824;862;1503;	508;823;824;861;907;1503;																												
JobQianDZ009	CommonNpc		杨锦天	1	8	130		2	2	1	1.25	4	hand1_1		npc\worldnpc137	1		icon\funcnpc\worldnpc137.png					0				3	0	0			20			Home_131	1																																																						Shop_ys_01001			sh_ys			501;502;1504;	501;502;908;1504;																												
JobQianDZ010	CommonNpc		佘玉庭	1	8	131		2	2	1	1.25	4	hand1_1		npc\worldnpc418	1		icon\funcnpc\worldnpc418.png					0				3	0	0			20			Home_131	1																																																						Shop_ds_01001			sh_ds			503;504;1505;	503;504;909;1505;																												
JobQianDZ011	CommonNpc		李强庭	1	8	132		2	2	1	1.25	4	hand1_1		npc\worldNpc231	1		icon\funcnpc\worldNpc231.png					0				3	0	0			20			Home_131	1																																																						Shop_cs_01001			sh_cs			510;1506;	510;910;1004;1028;1506;																												
JobQianDZ012	CommonNpc		云七音	5	8	133		2	2	1	1	4.8	hand1_2		npc\worldNpc235	2		icon\funcnpc\worldNpc235.png					0				3	0	0			20			Home_131	1																																																						Shop_qs_05001			sh_qs			518;	518;																												
JobQianDZ013	CommonNpc		陈希翼	4	8	134		2	2	1	1.3	4.8	hand1_2		npc\worldNpc203	2		icon\funcnpc\worldNpc203.png					0				3	0	0			20			Home_131	1																																																						Shop_qis_05001			sh_qis			517;	517;																							3					
JobQianDZ014	CommonNpc		孔悦	4	8	135		2	2	1	0.65	1.3	hand_0		npc\worldNpc140	1		icon\funcnpc\worldNpc140.png					0				3	0	0			20			Home_131	1																																																						Shop_ss_05001			sh_ss			515;	515;																							11					
JobQianDZ015	CommonNpc		李墨轩	4	8	136		2	2	1	1.25	4	hand1_1		npc\worldNpc214	1		icon\funcnpc\worldNpc214.png					0				3	0	0			20			Home_131	1																																																						Shop_hs_05001			sh_hs			516;	516;																												
JobQianDZ016	CommonNpc		鲍雨伸	3	8	137		2	2	1	1.25	4	hand1_1		npc\worldnpc197	1		icon\funcnpc\worldnpc197.png					0				3	0	0			20			Home_131	1																																																						Shop_gs_01001			sh_gs			520;	520;																												
JobQianDZ017	CommonNpc		张春阳		8	138		2	2	1	1.25	4	hand1_1		npc\worldNpc414	1		icon\funcnpc\worldNpc414.png					0				3	0	0			20			Home_131	1																																																						Shop_qg_01001			sh_qg			519;	519;																												
																																																																																																																													
	//烟雨庄																																																																																																																												
JobYanYZ001	CommonNpc		孟九郎	1	8	122		2	2	1	1.25	4	hand1_1		npc\worldnpc468	1		icon\funcnpc\worldnpc468.png					0				3	0	0			20			Home_133	1																																																						Shop_kg_01001			sh_kg			726;727;	726;727;																												
JobYanYZ002	CommonNpc		王天照	1	8	123		2	2	1	1.25	4	hand1_1		npc\fbnpc004007c			icon\monster\fbnpc004007c.png					0				3	0	0			20			Home_133	1																																																						Shop_tj_01001			sh_tj			10849;10850;730;833;834;1507;	10848;10849;730;833;834;864;1507;																												
JobYanYZ003	CommonNpc		张余	1	8	124		2	2		1.25	4	hand1_1		npc\worldnpc175	1		icon\funcnpc\worldnpc175.png					0				3	0	0			20			Home_133	1																																																						Shop_yf_01001			sh_yf	ui_sd_yugan_test01		732;	732;																												
JobYanYZ004	CommonNpc		徐涛	1	8	125		2	2	1	0.3	3.8	hand1_1		npc\worldnpc133	1		icon\funcnpc\worldnpc133.png					0				3	0	0			20			Home_133	1																																																						Shop_qf_01001			sh_qf			733;	733;																												
JobYanYZ005	CommonNpc		杨立	1	8	126		2	2	1	1.25	4	hand1_1		npc\worldnpc483	1		icon\funcnpc\worldnpc483.png					0				3	0	0			20			Home_133	1																																																						Shop_nf_01001 			sh_nf			808;809;810;	808;809;810;																												
JobYanYZ006	CommonNpc		陈怒	2	8	127		2	2	1	1.25	4	hand1_1		npc\worldnpc164	1		icon\funcnpc\worldnpc164.png					0				3	0	0			20			Home_133	1																																																						Shop_lh_01001			sh_lh			735;	735;																												
JobYanYZ007	CommonNpc		金钰	5	8	128		2	2	1	1.3	4.8	hand1_2		npc\worldnpc188	2		icon\funcnpc\worldnpc188.png					0				3	0	0			20			Home_133	1																																																						Shop_cf_01001			sh_cf			10731;728;829;830;863;1508;99;	10730;728;828;829;830;1508;																												
JobYanYZ008	CommonNpc		汝月婵	1	8	129		2	2	1	1.3	4.8	hand1_2		npc\worldnpc506	2		icon\funcnpc\worldnpc506.png					0				3	0	0			20			Home_133	1																																																						Shop_jq_01001			sh_jq			729;831;832;864;1509;	729;831;832;863;1509;																												
JobYanYZ009	CommonNpc		宋明音	1	8	130		2	2	1	1.25	4	hand1_1		npc\worldnpc126	1		icon\funcnpc\worldnpc126.png					0				3	0	0			20			Home_133	1																																																						Shop_ys_01001			sh_ys			722;723;1510;	722;723;1510;																												
JobYanYZ010	CommonNpc		林慈悲	1	8	131		2	2	1	1.25	4	hand1_1		npc\worldnpc418	1		icon\funcnpc\worldnpc418.png					0				3	0	0			20			Home_133	1																																																						Shop_ds_01001			sh_ds			724;725;1511;	724;725;1511;																												
JobYanYZ011	CommonNpc		朱峰	1	8	132		2	2	1	1.25	4	hand1_1		npc\worldNpc231	1		icon\funcnpc\worldNpc231.png					0				3	0	0			20			Home_133	1																																																						Shop_cs_01001			sh_cs			10809;10810;731;1512;	10808;10809;731;1008;1512;																												
JobYanYZ012	CommonNpc		刘菀悠	5	8	133		2	2	1	1	4.8	hand1_2		npc\worldNpc235	2		icon\funcnpc\worldNpc235.png					0				3	0	0			20			Home_133	1																																																						Shop_qs_05001			sh_qs			872;	872;																												
JobYanYZ013	CommonNpc		巽伊韵	4	8	134		2	2	1	1.3	4.8	hand1_2		npc\worldNpc203	2		icon\funcnpc\worldNpc203.png					0				3	0	0			20			Home_133	1																																																						Shop_qis_05001			sh_qis			875;	875;																												
JobYanYZ014	CommonNpc		方才生	4	8	135		2	2	1	0.65	1.3	hand_0		npc\worldNpc140	1		icon\funcnpc\worldNpc140.png					0				3	0	0			20			Home_133	1																																																						Shop_ss_05001			sh_ss			878;	878;																												
JobYanYZ015	CommonNpc		唐彩辉	4	8	136		2	2	1	1.25	4	hand1_1		npc\worldNpc214	1		icon\funcnpc\worldNpc214.png					0				3	0	0			20			Home_133	1																																																						Shop_hs_05001			sh_hs			881;	881;																												
JobYanYZ016	CommonNpc		沈孟春	3	8	137		2	2	1	1.25	4	hand1_1		npc\worldNpc197	1		icon\funcnpc\worldNpc197.png					0				3	0	0			20			Home_133	1																																																						Shop_gs_01001			sh_gs			741;	741;																												
JobYanYZ017	CommonNpc		钱陶		8	138		2	2	1	1.25	4	hand1_1		npc\worldNpc414	1		icon\funcnpc\worldNpc414.png					0				3	0	0			20			Home_133	1																																																						Shop_qg_01001			sh_qg			740;	740;																												
																																																																																																																													
	//恶人谷																																																																																																																												
JobERG001	CommonNpc		李磊	1	8	122		2	2	1	1.25	4	hand1_1		npc\worldnpc403	1		icon\funcnpc\worldnpc403.png					0				3	0	0			20			Home_133	1																																																						Shop_kg_01001			sh_kg			706;707;	706;707;1719;																												
JobERG002	CommonNpc		放大为	1	8	123		2	2	1	1.25	4	hand1_1		npc\worldnpc177	1		icon\funcnpc\worldnpc177.png					0				3	0	0			20			Home_133	1																																																						Shop_tj_01001			sh_tj			710;1513;	710;1513;1713;																												
JobERG003	CommonNpc		荣汉江	1	8	124		2	2		1.25	4	hand1_1		npc\worldnpc486	1		icon\funcnpc\worldnpc486.png					0				3	0	0			20			Home_133	1																																																						Shop_yf_01001			sh_yf	ui_sd_yugan_test01		712;	712;1720;																												
JobERG004	CommonNpc		邢风华	1	8	125		2	2	1	0.3	3.8	hand1_1		npc\worldnpc401	1		icon\funcnpc\worldnpc401.png					0				3	0	0			20			Home_133	1																																																						Shop_qf_01001			sh_qf			713;	713;1721;																												
JobERG005	CommonNpc		程动	1	8	126		2	2	1	1.25	4	hand1_1		npc\worldnpc570	1		icon\funcnpc\worldnpc570.png					0				3	0	0			20			Home_133	1																																																						Shop_nf_01001 			sh_nf			805;806;807;	805;806;807;1722;																												
JobERG006	CommonNpc		王勇	2	8	127		2	2	1	1.25	4	hand1_1		npc\worldnpc164	1		icon\funcnpc\worldnpc164.png					0				3	0	0			20			Home_133	1																																																						Shop_lh_01001			sh_lh			715;	715;1723;																												
JobERG007	CommonNpc		梁丘虹	5	8	128		2	2	1	1.3	4.8	hand1_2		npc\worldnpc531	2		icon\funcnpc\worldnpc531.png					0				3	0	0			20			Home_133	1																																																						Shop_cf_01001			sh_cf			708;1514;	708;1514;1714;																												
JobERG008	CommonNpc		薛之桃	1	8	129		2	2	1	1.3	4.8	hand1_2		npc\worldnpc526	2		icon\funcnpc\worldnpc526.png					0				3	0	0			20			Home_133	1																																																						Shop_jq_01001			sh_jq			709;1515;	709;1515;1715;																												
JobERG009	CommonNpc		扈志泽	1	8	130		2	2	1	1.25	4	hand1_1		npc\worldnpc420	1		icon\funcnpc\worldnpc420.png					0				3	0	0			20			Home_133	1																																																						Shop_ys_01001			sh_ys			702;703;1516;	702;703;1516;1716;																												
JobERG010	CommonNpc		丘野	1	8	131		2	2	1	1.25	4	hand1_1		npc\worldnpc515	1		icon\funcnpc\worldnpc515.png					0				3	0	0			20			Home_133	1																																																						Shop_ds_01001			sh_ds			704;705;1517;	704;705;1517;1717;																												
JobERG011	CommonNpc		李康	1	8	132		2	2	1	1.25	4	hand1_1		npc\WorldNpc231	1		icon\funcnpc\WorldNpc231.png					0				3	0	0			20			Home_133	1																																																						Shop_cs_01001			sh_cs			711;1518;	711;1518;1718;																												
JobERG012	CommonNpc		夏梁音	5	8	133		2	2	1	1	4.8	hand1_2		npc\worldNpc235	2		icon\funcnpc\worldNpc235.png					0				3	0	0			20			Home_133	1																																																						Shop_qs_05001			sh_qs			871;	871;																												
JobERG013	CommonNpc		李梦嫣	4	8	134		2	2	1	1.3	4.8	hand1_2		npc\worldNpc203	2		icon\funcnpc\worldNpc203.png					0				3	0	0			20			Home_133	1																																																						Shop_qis_05001			sh_qis			874;	874;																												
JobERG014	CommonNpc		司马经纶	4	8	135		2	2	1	0.65	1.3	hand_0		npc\worldNpc140	1		icon\funcnpc\worldNpc140.png					0				3	0	0			20			Home_133	1																																																						Shop_ss_05001			sh_ss			877;	877;																												
JobERG015	CommonNpc		林万山	4	8	136		2	2	1	1.25	4	hand1_1		npc\worldNpc214	1		icon\funcnpc\worldNpc214.png					0				3	0	0			20			Home_133	1																																																						Shop_hs_05001			sh_hs			880;	880;																												
JobERG016	CommonNpc		容文端	3	8	137		2	2	1	1.25	4	hand1_1		npc\worldNpc197	1		icon\funcnpc\worldNpc197.png					0				3	0	0			20			Home_133	1																																																						Shop_gs_01001			sh_gs			721;	721;																												
JobERG017	CommonNpc		吴钱		8	138		2	2	1	1.25	4	hand1_1		npc\worldNpc493	1		icon\funcnpc\worldNpc493.png					0				3	0	0			20			Home_133	1																																																						Shop_qg_01001			sh_qg			720;	720;																												
																																																																																																																													
	//漠河镇																																																																																																																												
JobMoHZ001	CommonNpc		王金发	1	8	122		2	2	1	1.25	4	hand1_1		npc\worldnpc468	1		icon\funcnpc\worldnpc468.png					0				3	0	0			20			Home_133	1																																																						Shop_kg_01001			sh_kg			746;747;	746;747;																												
JobMoHZ002	CommonNpc		潘大海	1	8	123		2	2	1	1.25	4	hand1_1		npc\worldnpc177	1		icon\funcnpc\worldnpc177.png					0				3	0	0			20			Home_133	1																																																						Shop_tj_01001			sh_tj			750;840;841;1519;	750;840;841;866;1519;																												
JobMoHZ003	CommonNpc		宋九树	1	8	124		2	2		1.25	4	hand1_1		npc\worldnpc486	1		icon\funcnpc\worldnpc486.png					0				3	0	0			20			Home_133	1																																																						Shop_yf_01001			sh_yf	ui_sd_yugan_test01		752;	752;																												
JobMoHZ004	CommonNpc		皮浩宇	1	8	125		2	2	1	0.3	3.8	hand1_1		npc\worldnpc133	1		icon\funcnpc\worldnpc133.png					0				3	0	0			20			Home_133	1																																																						Shop_qf_01001			sh_qf			753;	753;																												
JobMoHZ005	CommonNpc		刘金贵	1	8	126		2	2	1	1.25	4	hand1_1		npc\worldnpc454clone04	1		icon\funcnpc\worldnpc454clone04.png					0				3	0	0			20			Home_133	1																																																						Shop_nf_01001 			sh_nf			811;812;813;	811;812;813;																												
JobMoHZ006	CommonNpc		李常	2	8	127		2	2	1	1.25	4	hand1_1		npc\worldnpc164	1		icon\funcnpc\worldnpc164.png					0				3	0	0			20			Home_133	1																																																						Shop_lh_01001			sh_lh			755;	10910;755;1035;1045;1055;																												
JobMoHZ007	CommonNpc		欧阳佳芝	5	8	128		2	2	1	1.3	4.8	hand1_2		npc\worldnpc529	2		icon\funcnpc\worldnpc529.png					0				3	0	0			20			Home_133	1																																																						Shop_cf_01001			sh_cf			748;836;837;865;1520;	748;835;836;837;1520;																												
JobMoHZ008	CommonNpc		缪茜	1	8	129		2	2	1	1.3	4.8	hand1_2		npc\worldnpc510	2		icon\funcnpc\worldnpc510.png					0				3	0	0			20			Home_133	1																																																						Shop_jq_01001			sh_jq			749;838;839;866;1521;	749;838;839;865;1521;																												
JobMoHZ009	CommonNpc		公冶御	1	8	130		2	2	1	1.25	4	hand1_1		npc\worldnpc419	1		icon\funcnpc\worldnpc419.png					0				3	0	0			20			Home_133	1																																																						Shop_ys_01001			sh_ys			742;743;1522;	742;743;1522;																												
JobMoHZ010	CommonNpc		佘国华	1	8	131		2	2	1	1.25	4	hand1_1		npc\worldnpc515	1		icon\funcnpc\worldnpc515.png					0				3	0	0			20			Home_133	1																																																						Shop_ds_01001			sh_ds			744;745;1523;	744;745;1523;																												
JobMoHZ011	CommonNpc		张庭	1	8	132		2	2	1	1.25	4	hand1_1		npc\WorldNpc231	1		icon\funcnpc\WorldNpc231.png					0				3	0	0			20			Home_133	1																																																						Shop_cs_01001			sh_cs			751;1524;	751;1018;1524;																												
JobMoHZ012	CommonNpc		萧琴	5	8	133		2	2	1	1	4.8	hand1_2		npc\worldNpc235	2		icon\funcnpc\worldNpc235.png					0				3	0	0			20			Home_133	1																																																						Shop_qs_05001			sh_qs			873;	873;																												
JobMoHZ013	CommonNpc		任棋寐	4	8	134		2	2	1	1.3	4.8	hand1_2		npc\worldNpc203	2		icon\funcnpc\worldNpc203.png					0				3	0	0			20			Home_133	1																																																						Shop_qis_05001			sh_qis			876;	876;																												
JobMoHZ014	CommonNpc		聂书云	4	8	135		2	2	1	0.65	1.3	hand_0		npc\worldNpc140	1		icon\funcnpc\worldNpc140.png					0				3	0	0			20			Home_133	1																																																						Shop_ss_05001			sh_ss			879;	879;																												
JobMoHZ015	CommonNpc		许岳	4	8	136		2	2	1	1.25	4	hand1_1		npc\worldNpc214	1		icon\funcnpc\worldNpc214.png					0				3	0	0			20			Home_133	1																																																						Shop_hs_05001			sh_hs			882;	882;																												
JobMoHZ016	CommonNpc		许段文	3	8	137		2	2	1	1.25	4	hand1_1		npc\worldNpc197	1		icon\funcnpc\worldNpc197.png					0				3	0	0			20			Home_133	1																																																						Shop_gs_01001			sh_gs			761;	761;																												
JobMoHZ017	CommonNpc		孙伯符		8	138		2	2	1	1.25	4	hand1_1		npc\worldNpc493	1		icon\funcnpc\worldNpc493.png					0				3	0	0			20			Home_133	1																																																						Shop_qg_01001			sh_qg			760;	760;																												
																																																																																																																													
																																																																																																																													
																																																																																																																													
	//成都																																																																																																																												
JobChengD001	CommonNpc		李程		8	122		2	2	1	1.25	4	hand1_1		npc\worldnpc561	1		icon\funcnpc\worldnpc561.png					0				3	0	0			20			Home_112	1																																																						Shop_kg_01001			sh_kg			786;787;	786;787;																												
JobChengD002	CommonNpc		方鑫		8	123		2	2	1	1.25	4	hand1_1		npc\monster235	1		icon\monster\monster235.png					0				3	0	0			20			Home_112	1																																																						Shop_tj_05001			sh_tj			790;854;855;1525;	790;854;855;870;1525;																												
JobChengD003	CommonNpc		荣四海		8	124		2	2		1.25	4	hand1_1		npc\worldnpc156	1		icon\funcnpc\worldnpc156.png					0				3	0	0			20			Home_112	1																																																						Shop_yf_01001			sh_yf	ui_sd_yugan_test01		792;	792;																												
JobChengD004	CommonNpc		杨柳		8	125		2	2	1	0.3	3.8	hand1_1		npc\worldnpc402	1		icon\funcnpc\worldnpc402.png					0				3	0	0			20			Home_112	1																																																						Shop_qf_01001			sh_qf			793;82051;	793;82051;																												
JobChengD005	CommonNpc		程阿九		8	126		2	2	1	1.25	4	hand1_1		npc\worldnpc501	1		icon\funcnpc\worldnpc501.png					0				3	0	0			20			Home_112	1																																																						Shop_nf_01001 			sh_nf			817;818;819;	817;818;819;																												
JobChengD006	CommonNpc		王勇		8	127		2	2	1	1.25	4	hand1_1		npc\worldnpc513	1		icon\funcnpc\worldnpc513.png					0				3	0	0			20			Home_112	1																																																						Shop_lh_01001			sh_lh			795;	795;1034;1044;																												
JobChengD007	CommonNpc		萧思灵		8	128		2	2	1	1.3	4.8	hand1_2		npc\worldnpc532	2		icon\funcnpc\worldnpc532.png					0				3	0	0			20			Home_112	1																																																						Shop_cf_05001			sh_cf			788;850;851;869;1526;	788;849;850;851;1526;																												
JobChengD008	CommonNpc		司马芷芸		8	129		2	2	1	1.3	4.8	hand1_2		npc\worldnpc203	2		icon\funcnpc\worldnpc203.png					0				3	0	0			20			Home_112	1																																																						Shop_jq_05001			sh_jq			789;852;853;870;1527;	789;852;853;869;1527;																												
JobChengD009	CommonNpc		朱洪涛		8	130		2	2	1	1.25	4	hand1_1		npc\worldnpc439	1		icon\funcnpc\worldnpc439.png					0				3	0	0			20			Home_112	1																																																						Shop_ys_05001			sh_ys			782;783;1528;	782;783;1528;																												
JobChengD010	CommonNpc		慕青		8	131		2	2	1	1.25	4	hand1_1		npc\worldnpc136	1		icon\funcnpc\worldnpc136.png					0				3	0	0			20			Home_112	1																																																						Shop_ds_05001			sh_ds			784;785;1529;	784;785;1529;																												
JobChengD011	CommonNpc		钱安康		8	132		2	2	1	1.25	4	hand1_1		npc\WorldNpc231	1		icon\funcnpc\WorldNpc231.png					0				3	0	0			20			Home_112	1																																																						Shop_cs_05001			sh_cs			791;1530;	791;1013;1054;1530;																												
JobChengD012	CommonNpc		李小蓉		8	133		2	2	1	0.5	1.1	hand_0		npc\worldNpc169	2		icon\funcnpc\worldNpc169.png					0				3	0	0			20			Home_112	1																																																						Shop_qs_05001			sh_qs			799;	799;																												
JobChengD013	CommonNpc		司马晟睿		8	134		2	2	1	1.25	4	hand1_1		npc\worldNpc460	1		icon\funcnpc\worldNpc460.png					0				3	0	0			20			Home_112	1										1	qpcj_10095																																											Shop_qis_05001			sh_qis			798;	798;																												
JobChengD014	CommonNpc		周曦		8	135		2	2	1	1.25	4	hand1_1		npc\worldNpc522	1		icon\funcnpc\worldNpc522.png					0				3	0	0			20			Home_112	1																																																						Shop_ss_05001			sh_ss			796;	796;																												
JobChengD015	CommonNpc		张衡之		8	136		2	2	1	1.25	4	hand1_1		npc\fbfunnpc00029			icon\monster\fbfunnpc00029.png					0				3	0	0			20			Home_112	1																																																						Shop_hs_05001			sh_hs			797;	797;																												
JobChengD016	CommonNpc		上官津		8	137		2	2	1	1.25	4	hand1_1		npc\worldNpc197	1		icon\funcnpc\worldNpc197.png					0				3	0	0			20			Home_112	1																																																						Shop_gs_01001			sh_gs			801;	801;																												
JobChengD017	CommonNpc		李玉强		8	138		2	2	1	1.25	4	hand1_1		npc\worldnpc492_1	1		icon\funcnpc\worldnpc492_1.png					0				3	0	0			20			Home_112	1																																																						Shop_qg_01001			sh_qg			800;	800;																												
																																																																																																																													
	//苏州																																																																																																																												
