NPC±àºÅ	¶ÔÏóÀàÐÍ	ini×¢ÊÍÃû³Æ	NPCÆòÌÖÐÅÏ¢	±íÏÖAI°ü±àºÅ	NPCÀàÐÍ	Ñ¡Ôñ²Ù×÷	Êó±êÐÎ×´	Í£ÁôÊ±¼ä	ÊÇ·ñ×ªÉí	×ßÂ·ËÙ¶È	ÅÜ²½ËÙ¶È	ÎäÆ÷³ÖÎÕ·½Ê½	Ä£ÐÍ±àºÅ	ÐÔ±ð	Ä£ÐÍ°ë¾¶	Í¼Æ¬	³öÉú×´Ì¬	npcÉùÒô	×é³É²ÄÁÏ	ÎäÆ÷Ãû³Æ	NPCÖÖÀàID	½Å±¾±àºÅ	´¥·¢ÌØÐ§	AIÀàÐÍ	Ñ²ÂßÄ£Ê½	Ñ²Âß°ë¾¶	Â·¾¶ID	ÊÇ·ñËæ»ú³öÏÖ	ÏìÓ¦·¶Î§	ÃÅÅÉ	³ÆºÅ	¼®¹á	ÕóÓª	Ãû×Ö±íÐòºÅ	ÉúÆ½±íÐòºÅ	Éí·Ý²ÎÊý1	Éí·Ý²ÎÊý2	Éí·Ý²ÎÊý3	¶Ô»°¹æÔò	ÉúÆ½	Ìß¹Ý×¨ÓÃ¹ØÁªNPC	ÄÜ·ñÇÐ´è	Ëæ»ú¶Ô»°	ÏÂÆåÍæ¼ÒµÄ×îÐ¡µÈ¼¶	NPCÉíÉÏ¹ÒµÄÆåÆ×°ü	NPCÊÂ¼þ°ü±àºÅ	½øÈëÇÐ´èÇ°¶Ô»°	½áÊøÇÐ´èºó¶Ô»°	¿ÕÏÐ×´Ì¬¶Ô»°	Åö×²Ê±¶Ô»°	ÊµÁ¦°ü±àºÅ	¼¶±ð	ÐÞÎª¾­Ñé	¹ÖÎïÇ¿¶È	µôÂä	ÎäÆ÷ÀàÐÍ	Ëø¶¨Î»ÒÆ¹¥»÷	½û²¥ÊÜ»÷¶¯×÷	Ê°È¡È¨ÏÞÇå¿ÕÊ±¼ä	ÎÞÊ°È¡ÎïÏûÊ§Ê±¼ä	×î´óÏûÊ§Ê±¼ä	¸½¼ÓËæ»úÄÜÁ¦±àºÅ	ÆÕÍ¨¹¥»÷	¼¼ÄÜ±í	Ö÷¶¯±»¶¯	¹Ì¶¨NPCÖØÉúÊ±¼ä	µÐÈËNPC±àºÅ±í	¶ÓÓÑ±àºÅ	ÄÜ·ñ¹¥»÷	ÄÜ²»ÄÜ±»¹¥»÷	²»ÄÜ±»É±ËÀ	¹¥·À±ÈÖØ	"Õ½¶·ÆµÂÊ,ºÁÃë"	"×·»÷·¶Î§,Ã×"	ÎÞ·¨±»Ó²Ö±	Ëø¶¨¼¼ÄÜ¼ä¸ô	ÕÙ»½ID	ÕÙ»½°ë¾¶	ÕÙ»½ÀàÐÍ	±íÑÝ¸ÅÂÊ	±íÑÝÊ±¼ä	ÊÆÁ¦¹éÊô	ÊÆÁ¦¹ØÏµ±í	Õ½¶·¿ªÊ¼µÄÕÙ»½ID	NPC½»»¥Í£ÁôÊ±¼ä	ÉÌµêID	Ï´ºìÃû¹¦ÄÜ	²Ö¿âID	Ö°ÒµID	±¦Ê¯ÓÎÏ·NPC ID	½ÓÈÎÎñ±í	½»ÈÎÎñ±í	¿ÉÒÔ¼ÓÈëµÄÃÅÅÉ±í	¿É»ñµÃµÄÉí·Ý±í	¸´»îµã	Âä½Åµã	æäÕ¾	ÊäÈë¹ØÏµ°ü±àºÅ	ÊÇ·ñÓÐ¹«»á¹¦ÄÜ	°ïÅÉµØ¿é¹ºÂò	ÊÇ·ñÓÐÃÅÅÉÕ½¹¦ÄÜ	ÔËïÚ±àºÅ	ÊÇ·ñÓÐ°ïÅÉ²Ö¿â	ËùÊô°ï»áµØ¿é±àºÅ	AI±à¼­°ü	ÉÆ¶ñ²ÎÊý	Ö±½Ó´¥·¢	·ÀÓù¸ÅÂÊÊôÐÔ	µØÎ»ÆÀ·Ö	±¨¸´µÈ¼¶	±¨¸´ÊÖ¶Î	NPCÓÅÏÈÏÔÊ¾	´æÔÚÊ±¼ä
WorldNpc04905	CommonNpc	ÌÕÃÀ¶ð		8	105	2	2			1.3	4.8	hand1_2	npc\worldnpc127			icon\funcnpc\worldnpc127.png					0			3	0	0			20				1			7	2	4	talkrule070204							164;168;174;200;212					1	2		1											1						1		2000	15		2000								0	10						83564;	83564;														1			2				
WorldNpc04906	CommonNpc	¼ÍÑ©æÃ		8	105	2	2			0.8	1.2	hand_0	npc\worldnpc142			icon\funcnpc\worldnpc142.png					0			3	0	0			20				1			7	2	6	talkrule070206							164;168;174;200;212					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04907	CommonNpc	Ð¡Èá		8	105	2	2			0.7	1.2	hand_0	npc\worldnpc122			icon\funcnpc\worldnpc122.png					0			3	0	0			20				1			7	2	8	talkrule070208							165;176;178;214;156					1	2		1											1						1		2000	15		2000								0	10																					1			1				
WorldNpc04908	CommonNpc	Ð¡°Í		8	105	2	2			1.25	4	hand1_1	npc\worldnpc124			icon\funcnpc\worldnpc124.png					0			3	0	0			20				1			7	2	7	talkrule070207							162;173;179;205;156					1	2		1											1						1		2000	15		2000								0	10						28499;28500;	28498;28499;														1			1				
WorldNpc04909	CommonNpc	ÌïÌï		8	105	2	2			1.25	4	hand1_1	npc\worldnpc123			icon\funcnpc\worldnpc123.png					0			3	0	0			20				1			7	2	7	talkrule070207							162;173;179;205;156					1	2		1											1						1		2000	15		2000								0	10																					1			1				
WorldNpc04910	CommonNpc	ËÕÑÏÊÏ		8	105	2	2			1.3	4.8	hand1_2	npc\worldnpc009			icon\funcnpc\worldnpc009.png					0			3	0	0			20				1			7	2	2	talkrule070202							164;168;174;200;212					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04911	CommonNpc	´ºÊ£		8	105	2	2			1.15	4	hand1_1	npc\worldnpc117			icon\funcnpc\worldnpc117.png					0			3	0	0			20				1			7	2	5	talkrule070205							166;177;211;215;156					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04912	CommonNpc	ÁõÊØÐÅ		8	105	2	2			1.25	4	hand1_1	npc\worldnpc105			icon\funcnpc\worldnpc105.png					0			3	0	0			20				1			7	2	9	talkrule070209							168;178;214;156					1	2		1											1						1		2000	15		2000								0	10																					1			4				
WorldNpc04913	CommonNpc	°ÍµÌÄ¾		8	105	2	2			1.25	4	hand1_1	npc\worldnpc214			icon\funcnpc\worldnpc214.png					0			3	0	0			20				1			9	1	1	talkrule090101							166;177;211;215;156					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04914	CommonNpc	ÍÁ¼ÒÖ¯²¼Å®		8	105	2	2			1.3	4.8	hand1_2	npc\worldnpc129			icon\funcnpc\worldnpc129.png					0			3	0	0			20				1			9	1	1	talkrule090101							166;177;211;215;156					1	2		1											1						1		2000	15		2000								0	10						28498;	28497;														1			2				
WorldNpc04915	CommonNpc	·¶²©ÎÅ		8	105	2	2			1.25	4	hand1_1	npc\worldnpc102			icon\funcnpc\worldnpc102.png					0			3	0	0			20				1			7	1	14	talkrule070114							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10						28497;	28496;														1			3				
WorldNpc04916	CommonNpc	ÕÔÀÏºº		8	105	2	2			1.25	4	hand1_1	npc\worldnpc156			icon\funcnpc\worldnpc485.png					0			3	0	0			20				1			7	1	3	talkrule070103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04917	CommonNpc	½¯ÀÏºº		8	105	2	2			1.25	4	hand1_1	npc\worldnpc156			icon\funcnpc\worldnpc485.png					0			3	0	0			20				1			7	1	3	talkrule070103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04918	CommonNpc	ÑîÀÏºº		8	105	2	2			1.25	4	hand1_1	npc\worldnpc156			icon\funcnpc\worldnpc485.png					0			3	0	0			20				1			7	1	3	talkrule070103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04919	CommonNpc	Öî¸ð·å		8	105	2	2			1.2	3.5	hand1_1	npc\monster043			icon\monster\monster043.png					0			3	0	0			20				1			6	2	2	talkrule060202							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			4				
WorldNpc04920	CommonNpc	°×ÇåÊ¯		8	105	2	2			1.25	4	hand1_1	npc\worldnpc178			icon\funcnpc\worldnpc178.png					0			3	0	0			20				1			6	1	1	talkrule060101							161;210;212;156;157					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04921	CommonNpc	°×æÃæÃ		8	105	2	2			1	4.8	hand1_2	npc\worldnpc235			icon\funcnpc\worldnpc235.png					0			3	0	0			20				1			7	2	6	talkrule070206							164;168;174;200;212					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04922	CommonNpc	¶¡¸£		8	105	2	2			1.25	4	hand1_1	npc\worldnpc105			icon\funcnpc\worldnpc105.png					0			3	0	0			20				1			7	2	1	talkrule070201							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04923	CommonNpc	ÂíËÉ		8	105	2	2			1.25	4	hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0			3	0	0			20				1			7	7	7	talkrule070707							168;178;214;156;157					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04924	CommonNpc	Âí¸Ê		8	105	2	2			1.25	4	hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0			3	0	0			20				1			7	7	7	talkrule070707							168;178;214;156;157					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04925	CommonNpc	Âí·É		8	105	2	2			1.25	4	hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0			3	0	0			20				1			7	7	7	talkrule070707							168;178;214;156;157					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04926	CommonNpc	ÂíÌ©		8	105	2	2			1.25	4	hand1_1	npc\worldnpc135			icon\funcnpc\worldnpc135.png					0			3	0	0			20				1			7	5	2	talkrule070502							166;177;211;215;156					1	2		1											1						1		2000	15		2000								0	10																					1			1				
WorldNpc04927	CommonNpc	ÌÆÌú		8	105	2	2			1.25	4	hand1_1	npc\monster132			icon\monster\monster132.png					0			3	0	0			20				1			7	7	5	talkrule070705							172;211;215;156;157					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04928	CommonNpc	ÌÆ¹ó		8	105	2	2			1.25	4	hand1_1	npc\monster132			icon\monster\monster132.png					0			3	0	0			20				1			7	7	5	talkrule070705							172;211;215;156;157					1	2		1											1						1		2000	15		2000								0	10						83613;	83613;														1			3				
WorldNpc04929	CommonNpc	ÌÆÐÇ		8	105	2	2			1.25	4	hand1_1	npc\monster132			icon\monster\monster132.png					0			3	0	0			20				1			7	7	5	talkrule070705							172;211;215;156;157					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04930	CommonNpc	ÌÆ±¦		8	105	2	2			1.25	4	hand1_1	npc\monster132			icon\monster\monster132.png					0			3	0	0			20				1			7	7	5	talkrule070705							172;211;215;156;157					1	2		1											1						1		2000	15		2000								0	10						83612;	83611;83612;														1			3				
WorldNpc04931	CommonNpc	ÌÆ·Ç		8	105	2	2			1.25	4	hand1_1	npc\monster132			icon\monster\monster132.png					0			3	0	0			20				1			7	7	5	talkrule070705							172;211;215;156;157					1	2		1											1						1		2000	15		2000								0	10						83611;															1			3				
WorldNpc04932	CommonNpc	½ð¼§Ñà		8	105	2	2			1.3	4.8	hand1_2	npc\funcnpc003			icon\funcnpc\funcnpc003.png					0			3	0	0			20				1			7	2	10	talkrule070210							166;177;211;215;156					1	2		1											1						1		2000	15		2000								0	10						83555;	83555;														1			3				
WorldNpc04933	CommonNpc	°¢ÒÁ		8	105	2	2			1.25	4	hand1_1	npc\worldnpc110			icon\funcnpc\worldnpc110.png					0			3	0	0			20				1			7	5	2	talkrule070502							166;177;211;215;156					1	2		1											1						1		2000	15		2000								0	10																					1			1				
WorldNpc04934	CommonNpc	·Ñ´óÆ½		8	105	2	2			1.25	4	hand1_1	npc\worldnpc231			icon\funcnpc\worldnpc231.png					0			3	0	0			20				1			7	1	11	talkrule070111							159;167;156					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04935	CommonNpc	Ê·Áù×Ó		8	105	2	2			1.25	4	hand1_1	npc\worldnpc008			icon\funcnpc\worldnpc008.png					0			3	0	0			20				1			7	5	1	talkrule070501							168;178;214;156;157					1	2		1											1						1		2000	15		2000								0	10						83504;	83504;														1			1				
WorldNpc04936	CommonNpc	°×¡¤É³Àï·É		8	105	2	2			1.25	4	hand1_1	npc\worldnpc205			icon\funcnpc\worldnpc205.png					0			3	0	0			20				1			6	1	1	talkrule060101							161;210;212;156;157					1	2		1											1						1		2000	15		2000								0	10																					1			5				
																																																																																					10																												
																																																																																					10																												
																																																																																					10																												
WorldNpc04937	CommonNpc	Ñ¦½£		8	105	2	2			1.25	4	hand1_1	npc\worldnpc107			icon\funcnpc\worldnpc107.png					0			3	0	0			20				1			6	2	2	talkrule060202							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			4				
WorldNpc04938	CommonNpc	À×Ôª		8	105	2	2			1.25	4	hand1_1	npc\funcnpc001			icon\funcnpc\funcnpc001.png					0			3	0	0			20				1			7	1	6	talkrule070106							161;210;212;156					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04939	CommonNpc	Ä¾ÂÊÂú		8	105	2	2			1.25	4	hand1_1	npc\worldnpc105			icon\funcnpc\worldnpc105.png					0			3	0	0			20				1			7	2	9	talkrule070209							168;178;214;156					1	2		1											1						1		2000	15		2000								0	10							83503;														1			4				
WorldNpc04940	CommonNpc	ÎäÊÙ		8	105	2	2			1.25	4	hand1_1	npc\worldnpc135			icon\funcnpc\worldnpc135.png					0			3	0	0			20				1			7	5	3	talkrule070503							165;176;178;214;156					1	2		1											1						1		2000	15		2000								0	10																					1			1				
WorldNpc04941	CommonNpc	Îä°²		8	105	2	2			1.25	4	hand1_1	npc\worldnpc135			icon\funcnpc\worldnpc135.png					0			3	0	0			20				1			7	5	3	talkrule070503							165;176;178;214;156					1	2		1											1						1		2000	15		2000								0	10						83601;	83601;														1			1				
WorldNpc04942	CommonNpc	Â³°¢¸£		8	105	2	2			0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0			3	0	0			20				1			7	1	16	talkrule070116							161;210;212;156					1	2		1											1						1		2000	15		2000								0	10						83600;	83600;														1			3				
WorldNpc04943	CommonNpc	×¯ÁáÁá		8	105	2	2			1.3	4.8	hand1_2	npc\worldnpc242			icon\funcnpc\worldnpc242.png					0			3	0	0			20				1			7	2	6	talkrule070206							164;168;174;200;212					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04944	CommonNpc	×¯Çàºú		8	105	2	2			1.25	4	hand1_1	npc\worldnpc125			icon\funcnpc\worldnpc125.png					0			3	0	0			20				1			7	2	1	talkrule070201							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04945	CommonNpc	ËïÑÅÆÅ		8	105	2	2			1.3	4.8	hand1_2	npc\worldnpc009			icon\funcnpc\worldnpc009.png					0			3	0	0			20				1			7	2	2	talkrule070202							164;168;174;200;212					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04946	CommonNpc	Ê·Ð¡´ä		8	105	2	2			1.3	4.8	hand1_2	npc\worldnpc415			icon\funcnpc\worldnpc415.png					0			3	0	0			20				1			7	2	6	talkrule070206							164;168;174;200;212					1	2		1											1						1		2000	15		2000								0	10						83615;	83615;														1			2				
WorldNpc04947	CommonNpc	Î÷Òå×Ó		8	105	2	2			0.65	1.3	hand_0	npc\worldnpc140			icon\funcnpc\worldnpc140.png					0			3	0	0			20				1			7	1	17	talkrule070117							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10						83602;	83602;														1			3				
WorldNpc04948	CommonNpc	°üÍú¸ç		8	105	2	2			1.25	4	hand1_1	npc\worldnpc130			icon\funcnpc\worldnpc130.png					0			3	0	0			20				1			7	2	11	talkrule070211							168;178;214;156					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04949	CommonNpc	Ö÷³Ö		8	105	2	2			1.25	4	hand1_1	npc\worldnpc152			icon\funcnpc\worldnpc152.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04950	CommonNpc	¸ßÉ®		8	105	2	2			1.25	4	hand1_1	npc\worldnpc047			icon\funcnpc\worldnpc047.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04951	CommonNpc	¸ßÉ®		8	105	2	2			1.25	4	hand1_1	npc\worldnpc047			icon\funcnpc\worldnpc047.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04952	CommonNpc	¸ßÉ®		8	105	2	2			1.25	4	hand1_1	npc\worldnpc047			icon\funcnpc\worldnpc047.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04953	CommonNpc	É®ÂÂ		8	105	2	2			0.7	4	hand1_1	npc\worldnpc094			icon\funcnpc\worldnpc094.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04954	CommonNpc	É®ÂÂ		8	105	2	2			0.7	4	hand1_1	npc\worldnpc094			icon\funcnpc\worldnpc094.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04955	CommonNpc	É®ÂÂ		8	105	2	2			0.7	4	hand1_1	npc\worldnpc094			icon\funcnpc\worldnpc094.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04956	CommonNpc	É®ÂÂ		8	105	2	2			0.7	4	hand1_1	npc\worldnpc094			icon\funcnpc\worldnpc094.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04957	CommonNpc	É®ÂÂ		8	105	2	2			0.7	4	hand1_1	npc\worldnpc094			icon\funcnpc\worldnpc094.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04958	CommonNpc	É®ÂÂ		8	105	2	2			0.7	4	hand1_1	npc\worldnpc094			icon\funcnpc\worldnpc094.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04959	CommonNpc	É®ÂÂ		8	105	2	2			0.7	4	hand1_1	npc\worldnpc094			icon\funcnpc\worldnpc094.png					0			3	0	0			20				1			6	1	3	talkrule060103							163;171;174;179;204					1	2		1											1						1		2000	15		2000								0	10																					1			5				
WorldNpc04960	CommonNpc	ºÂÐË¿â		8	105	2	2			1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0			3	0	0			20				1			8	4	1	talkrule080401							161;210;212;156					1	2		1											1						1		2000	15		2000								0	10																					1			6				
