NPC编号	ini注释名称	对象类型	副本分组场景刷新属性包	NPC类型	实力包编号	级别	修为经验	怪物强度	掉落	掉落数量	走路速度	跑步速度	武器持握方式	是否转身	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	AI类型	主动被动	响应范围	锁定位移攻击	禁播受击动作	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	不能被杀死	攻击防御比重	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤类型	召唤ID	召唤半径	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	势力归属	势力关系表	AI编辑包	直接触发	刷新时间	格挡类型	世界触发器相关	使用轻功	NPC绑定点	破防几率	破防技能	防御CD	世界战场声威	拾取半径	超过距离就脱战	脱战回血	存在时间	是否理会玩家	优先显示	缩放尺寸	跟随距离	跟随位置	时间轴	动作集	伤害判定奖励类BOSS类型	追击高度差	竞拍掉落	团队显示道具
bossf070500	走火入魔的摘星子	BossNpc		3	4	24		3			1	1.3	hand_0		npc\worldnpc074		0.898542	icon\funcnpc\worldnpc074.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0	-1																						
					4																																																																																												
bossf070600	密宗统领王腾飞	BossNpc		3	4	25		3			1.25	4	hand1_1		npc\monster521		0.93	icon\monster\monster521.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossf070700	大王蛇	BossNpc		3	4	30		3			1	3	hand_0		npc\monster117		0.989951	icon\monster\monster117.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0	-1																						
					4																																																																																												
bossf070701	太湖地宫密宗高手	BossNpc		3	4	12		3			1.25	4	hand1_1		npc\worldnpc112		0.911107	icon\funcnpc\worldnpc112.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossf071300	被捕的盐帮副帮主马天	BossNpc		3	4	10		3			1.25	4	hand1_1		npc\worldnpc499		0.91	icon\funcnpc\worldnpc499.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossf070900	幽灵山庄降龙	BossNpc		3	4	10		3			1.25	4	hand1_1		npc\monster509		0.94	icon\monster\monster509.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossf071000	幽灵山庄伏虎	BossNpc		3	4	10		3			1.25	4	hand1_1		npc\monster509		0.94	icon\monster\monster509.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossf071100	贪财鬼	BossNpc		3	4	12		3			1.25	4	hand1_1		npc\monster123		0.915	icon\monster\monster123.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossf071200	嗜酒鬼	BossNpc		3	4	12		3			1.25	4	hand1_1		npc\monster383		0.97	icon\monster\monster383.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossf071400	仰阿莎	BossNpc		3	4	12		3			1.3	4.8	hand1_2		npc\monster417		0.89	icon\monster\monster417.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
																																																																																																	
bossqy0027	倭寇首领	BossNpc		3	1	30		1	qy_junzitang0027	1	1.25	4	hand1_1		npc\monster308		0.9	icon\monster\monster308.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
																																																																																																	
bosssuzhou01	地宫镇宫使（黑）上官平	BossNpc		3	6	70		1	task_renwu_00012	1	1.25	4	hand1_1		npc\worldnpc067		1.030654	icon\funcnpc\worldnpc067.png				"skill_task_suzhou02,1,90;skill_task_suzhou03,1,90;jn_tg04_011,1,90;jn_tg04_021,1,90"	7	0		1	1	2	15	15	15	npc_foundplayer								1																	0		2000	1	2000	0					30			1				15000																							
bosssuzhou02	地宫镇宫使（红）上官清	BossNpc		3	6	70		1	task_renwu_00012	1	1.25	4	hand1_1		npc\worldnpc067_02		1.030654	icon\funcnpc\worldnpc067_02.png				"skill_task_suzhou04,1,85;skill_task_suzhou05,1,85;jn_tg04_033,1,85;jn_tg04_062,1,85"	7	0		1	1	2	15	15	15	npc_foundplayer								1																	0		2000	1	2000	0					30			1				15000																							
bosssuzhou03	地宫镇宫使（绿）上官静	BossNpc		3	6	70		1	task_renwu_00012	1	1.25	4	hand1_1		npc\worldnpc067_01		1.030654	icon\funcnpc\worldnpc067_01.png				"skill_task_suzhou06,1,85;skill_task_suzhou07,1,85;jn_tg04_073,1,85;jn_tg04_074,1,85"	7	0		1	1	2	15	15	15	npc_foundplayer								1																	0		2000	1	2000	0					30			1				15000																							
	//世界BOSS																																																																																																
bossworld001	三爪雪猿	BossNpc		13	419	160		4			1.25	10	hand_0		npc\boss064		2.5	icon\monster\boss064.png			npc\boss\bossworld001.lua	"jn_boss_szxy02,1,0;jn_boss_szxy03,1,0;jn_boss_szxy04,1,0;jn_boss_szxy05,1,0;jn_boss_szxy06,1,0"	7	1		1	1	2	120	300	300	npc_foundplayer					s_r_npcitem578			1																	0		2000	1	2000	0					100		jn_boss_szxy01	1		4889	1	-1	-1									1	1			1							20		
bossworld002	万年火龟	BossNpc		13	419	160		4	comd_drop_worldboss_008		0.5	2	hand_0		npc\boss065		5	icon\monster\boss065.png			npc\boss\bossworld002.lua	"jn_boss_wnhg02,1,0;jn_boss_wnhg03,1,0;jn_boss_wnhg04,1,0;jn_boss_wnhg05,1,0;jn_boss_wnhg06,1,30"	7	1		1	1	2	120	300	300	npc_foundplayer								1																	0		2000	1	2000	0					100		jn_boss_wnhg01	1		4885	1	-1	-1									1	1			1							20		
bossworld003	凌云玉	BossNpc		393	800	160		4	drop_worldboss_009		1.25	5	hand_0		npc\boss067	1	1	icon\monster\boss067.png			npc\boss\test\bossworld003.lua	"jn_boss_qqgz_jieti,1,0;jn_boss_qqgz_jieti2,1,0;jn_boss_qqgz01,1,0;jn_boss_qqgz02,1,0;jn_boss_qqgz03,1,0;jn_boss_qqgz04,1,0;jn_boss_qqgz05,1,0;jn_boss_qqgz06,1,30;jn_boss_qqgz07,1,0;jn_boss_qqgz08,1,30;jn_boss_qqgz09,1,0;jn_boss_qqgz10,1,30;jn_boss_qqgz11,1,30;jn_boss_qqgz13,1,30;jn_boss_qqgz_jieti2copy,1,0"	7	1	30	1	1	2	120	300	300	npc_foundplayer								1																	0		1000	1	2000	0					100		jn_boss_qqgz07	1		4898	1	-1	-1		3		1					1	1			1							20		1
bossworld003a	金剑童	BossNpc		393	421	160		3			1.25	5	hand_0		npc\boss066a	2	0.9	icon\monster\boss066.png			npc\boss\test\bossworld003a.lua	"jn_boss_qqgz08,1,30"	7	1	20	1	1	2	300	300	300	npc_foundplayer					s_r_260			1																	1		1000	1	2000	0					25		jn_boss_qqgz12	1		1482	1	-1	-1		3		1					1	1			1									
bossworld003b	银剑童	BossNpc		393	421	160		3			1.25	5	hand_0		npc\boss066b	2	0.9	icon\monster\boss066.png			npc\boss\test\bossworld003a.lua	"jn_boss_qqgz10,1,30"	7	1	20	1	1	2	300	300	300	npc_foundplayer					s_r_240			1																	1		1000	1	2000	0					25		jn_boss_qqgz12	1		1482	1	-1	-1		3		1					1	1			1									
bossworld003c	铜剑童	BossNpc		393	421	160		3			1.25	5	hand_0		npc\boss066c	2	0.9	icon\monster\boss066.png			npc\boss\test\bossworld003a.lua	"jn_boss_qqgz11,1,30"	7	1	20	1	1	2	300	300	300	npc_foundplayer					s_r_244			1																	1		1000	1	2000	0					25		jn_boss_qqgz12	1		1482	1	-1	-1		3		1					1	1			1									
bossworld003d	铁剑童	BossNpc		393	421	160		3			1.25	5	hand_0		npc\boss066d	2	0.9	icon\monster\boss066.png			npc\boss\test\bossworld003a.lua	"jn_boss_qqgz13,1,30"	7	1	20	1	1	2	300	300	300	npc_foundplayer					s_r_248			1																	1		1000	1	2000	0					25		jn_boss_qqgz12	1		1482	1	-1	-1		3		1					1	1			1									
bossworld003e	轿子	BossNpc		52	419	160		4			1.25	5	hand_0		npc\npcitem577	0	4				npc\boss\test\bossworld003e.lua	"jn_boss_qqgz_jieti,1,0;jn_boss_qqgz_jieti2,1,0;jn_boss_qqgz_heti,1,0;jn_boss_qqgz01,1,0;jn_boss_qqgz02,1,0;jn_boss_qqgz03,1,0;jn_boss_qqgz04,1,0;jn_boss_qqgz05,1,0"	7	1		1	1	1	300	300	300	npc_foundplayer		10						1																	0		1000	1	2000	0					100			1		2438		-1	-1			"bossworld003,0,0,0,0,2,0;bossworld003a,-0.7,0,1.89,0,1,0;bossworld003b,0.7,0,1.89,0,1,0;bossworld003c,-0.7,0,-1.89,0,1,0;bossworld003d,0.7,0,-1.89,0,1,0"	1					1	1			1							20		
bossworld004	秃鹰王	BossNpc		13	419	160		4	comd_drop_worldboss_010		1.25	6	hand_0		npc\boss068		0.9	icon\monster\boss068.png			npc\boss\bossworld004.lua	"jn_boss_tyw01,1,0;jn_boss_tyw02,1,0;jn_boss_tyw03,1,0;jn_boss_tyw04,1,0;jn_boss_tyw06,1,30"	7	1		1	1	2	120	300	300	npc_foundplayer								1																	0		1500	1	2000	0					100		jn_boss_tyw05	1		4894	1	-1	-1									1	1			1							20		
bossworld006	曹九阳	BossNpc		13	798	120		4	drop_happyislandboss_005		1.25	10	blade1_1		npc\boss034	1	1					"bosskhd_03_01,1,0;bosskhd_03_03,1,0;"	7	1		1	1	2	120	300	300	npc_foundplayer	1				b_r_npcitem329_default			1										3685009							0		2000	1	2000	0					100			1		2575	1	-1	-1				1					1				1	"1.3,1.3,1.3"			660			20		1
bossworld007	东海恶鲨	BossNpc		13	799	160		10			3	8	hand_0		npc\boss145	0	1	icon\monster\boss145.png				"jn_boss_dhes05,1,0;jn_boss_dhes03a,1,0;jn_boss_dhes06,1,0"	14		30	1	1	2	120	300	300	npc_foundplayer								1																			2000	1	1000	0					100		jn_boss_dhes04	1		3861	1	-1	-1				-1		1			1	1			1							20		1
																																																																																																	
	新服活动																																																																																																
bossworld001_hd	三爪雪猿	BossNpc		605	313	80		4	drop_worldboss_hd_1		1.25	10	hand_0		npc\boss064	0	2.5	icon\monster\boss064.png			npc\boss\bossworld001.lua	"jn_boss_szxy02,1,0;jn_boss_szxy03,1,0;jn_boss_szxy04,1,0;jn_boss_szxy05,1,0;jn_boss_szxy06,1,0"	7	1		1	1	2	120	60	300	npc_foundplayer		10			s_r_npcitem578			1																	0		2000	1	2000	0					100		jn_boss_szxy01	1		4890	1	-1	-1				1									1							20		
bossworld002_hd	万年火龟	BossNpc		605	313	80		4	drop_worldboss_hd_1		0.5	2	hand_0		npc\boss065	0	5	icon\monster\boss065.png			npc\boss\bossworld002.lua	"jn_boss_wnhg02,1,0;jn_boss_wnhg03,1,0;jn_boss_wnhg04,1,0;jn_boss_wnhg05,1,0;jn_boss_wnhg06,1,30"	7	1		1	1	2	120	60	300	npc_foundplayer		10						1																	0		2000	1	2000	0					100		jn_boss_wnhg01	1		4886	1	-1	-1				1									1							20		
bossworld004_hd	秃鹰王	BossNpc		605	313	80		4	drop_worldboss_hd_1		1.25	6	hand_0		npc\boss068	1	0.9	icon\monster\boss068.png			npc\boss\bossworld004.lua	"jn_boss_tyw01,1,0;jn_boss_tyw02,1,0;jn_boss_tyw03,1,0;jn_boss_tyw04,1,0;jn_boss_tyw06,1,30"	7	1		1	1	2	300	60	300	npc_foundplayer		10						1																	0		1500	1	2000	0					100		jn_boss_tyw05	1		4895	1	-1	-1		3		1									1							20		
	国庆活动																																																																																																
bossworld001_gq	三爪雪猿	BossNpc		602	313	80		4	drop_worldbossgq_01		1.25	10	hand_0		npc\boss064	0	2.5	icon\monster\boss064.png			npc\boss\bossworld001.lua	"jn_boss_szxy02,1,0;jn_boss_szxy03,1,0;jn_boss_szxy04,1,0;jn_boss_szxy05,1,0;jn_boss_szxy06,1,0"	7	1		1	1	2	120	60	300	npc_foundplayer		10			s_r_npcitem578			1																	0		2000	1	2000	0					100		jn_boss_szxy01	1		4891	1	-1	-1				1									1							20		
bossworld002_gq	万年火龟	BossNpc		602	313	80		4	drop_worldbossgq_01		0.5	2	hand_0		npc\boss065	0	5	icon\monster\boss065.png			npc\boss\bossworld002.lua	"jn_boss_wnhg02,1,0;jn_boss_wnhg03,1,0;jn_boss_wnhg04,1,0;jn_boss_wnhg05,1,0;jn_boss_wnhg06,1,30"	7	1		1	1	2	120	60	300	npc_foundplayer		10						1																	0		2000	1	2000	0					100		jn_boss_wnhg01	1		4887	1	-1	-1				1									1							20		
bossworld004_gq	秃鹰王	BossNpc		602	313	80		4	drop_worldbossgq_01		1.25	6	hand_0		npc\boss068	1	0.9	icon\monster\boss068.png			npc\boss\bossworld004.lua	"jn_boss_tyw01,1,0;jn_boss_tyw02,1,0;jn_boss_tyw03,1,0;jn_boss_tyw04,1,0;jn_boss_tyw06,1,30"	7	1		1	1	2	300	60	300	npc_foundplayer		10						1																	0		1500	1	2000	0					100		jn_boss_tyw05	1		4896	1	-1	-1		3		1									1							20		
																																																																																																	
	春节活动																																																																																																
bossworld001_ns	三爪雪猿	BossNpc		602	313	80		4	drop_worldbossns_01		1.25	10	hand_0		npc\boss064	0	2.5	icon\monster\boss064.png			npc\boss\bossworld001.lua	"jn_boss_szxy02,1,0;jn_boss_szxy03,1,0;jn_boss_szxy04,1,0;jn_boss_szxy05,1,0;jn_boss_szxy06,1,0"	7	1		1	1	2	120	60	300	npc_foundplayer		10			s_r_npcitem578			1																	0		2000	1	2000	0					100		jn_boss_szxy01	1		4891	1	-1	-1				1									1							20		
bossworld002_ns	万年火龟	BossNpc		602	313	80		4	drop_worldbossns_01		0.5	2	hand_0		npc\boss065	0	5	icon\monster\boss065.png			npc\boss\bossworld002.lua	"jn_boss_wnhg02,1,0;jn_boss_wnhg03,1,0;jn_boss_wnhg04,1,0;jn_boss_wnhg05,1,0;jn_boss_wnhg06,1,30"	7	1		1	1	2	120	60	300	npc_foundplayer		10						1																	0		2000	1	2000	0					100		jn_boss_wnhg01	1		4887	1	-1	-1				1									1							20		
bossworld004_ns	秃鹰王	BossNpc		602	313	80		4	drop_worldbossns_01		1.25	6	hand_0		npc\boss068	1	0.9	icon\monster\boss068.png			npc\boss\bossworld004.lua	"jn_boss_tyw01,1,0;jn_boss_tyw02,1,0;jn_boss_tyw03,1,0;jn_boss_tyw04,1,0;jn_boss_tyw06,1,30"	7	1		1	1	2	300	60	300	npc_foundplayer		10						1																	0		1500	1	2000	0					100		jn_boss_tyw05	1		4896	1	-1	-1		3		1									1							20		
	华人服万圣节活动																																																																																																
bossworld003_wsjnh	凌云玉	BossNpc		393	96	90		4	drop_wsjnh_xmm		1.25	5	hand_0		npc\boss067	1	1	icon\monster\boss067.png			npc\boss\test\bossworld003.lua	"jn_boss_qqgz_jieti,1,0;jn_boss_qqgz_jieti2,1,0;jn_boss_qqgz01,1,0;jn_boss_qqgz02,1,0;jn_boss_qqgz03,1,0;jn_boss_qqgz04,1,0;jn_boss_qqgz05,1,0;jn_boss_qqgz06,1,30;jn_boss_qqgz07,1,0;jn_boss_qqgz08,1,30;jn_boss_qqgz09,1,0;jn_boss_qqgz10,1,30;jn_boss_qqgz11,1,30;jn_boss_qqgz13,1,30;jn_boss_qqgz_jieti2copy,1,0"	7	1	30	1	1	2	120	300	300	npc_foundplayer								1																	0		1000	1	2000	0					100		jn_boss_qqgz07	1		4899	1	-1	-1		3		1					1	1			1							20		
bossworld003a_wsjnh	金剑童	BossNpc		393	96	50		3			1.25	5	hand_0		npc\boss066a	2	0.9	icon\monster\boss066.png			npc\boss\test\bossworld003a.lua	"jn_boss_qqgz08,1,30"	7	1	30	1	1	2	300	300	300	npc_foundplayer					s_r_260			1																	1		1000	1	2000	0					100		jn_boss_qqgz12	1		2631	1	-1	-1		3		1					1	1			1									
bossworld003b_wsjnh	银剑童	BossNpc		393	96	50		3			1.25	5	hand_0		npc\boss066b	2	0.9	icon\monster\boss066.png			npc\boss\test\bossworld003a.lua	"jn_boss_qqgz10,1,30"	7	1	30	1	1	2	300	300	300	npc_foundplayer					s_r_240			1																	1		1000	1	2000	0					100		jn_boss_qqgz12	1		2631	1	-1	-1		3		1					1	1			1									
bossworld003c_wsjnh	铜剑童	BossNpc		393	96	50		3			1.25	5	hand_0		npc\boss066c	2	0.9	icon\monster\boss066.png			npc\boss\test\bossworld003a.lua	"jn_boss_qqgz11,1,30"	7	1	30	1	1	2	300	300	300	npc_foundplayer					s_r_244			1																	1		1000	1	2000	0					100		jn_boss_qqgz12	1		2631	1	-1	-1		3		1					1	1			1									
