NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	刷新时间	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	碰撞时对话	仇恨	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	禁播受击动作	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	婚宴npc类型	势力归属	势力关系表	战斗开始的召唤ID	权重	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	善恶参数	直接触发	脱战回血	格挡方式(-1表示不格挡)	超过距离就脱战	使用轻功	破防几率	破防技能	防御CD	世界触发器相关	存在时间	是否理会玩家	缩放尺寸	跟随距离	跟随位置	是否跨场景	跟随角度	NPC配偶	采集范围	采集动作名	读条时间(ms)	最大消失时间(s)	宝箱开启前特效	宝箱开启后特效	钥匙数量	钥匙id	开启条件	分配类型	动作集	伤害判定奖励类BOSS类型	时间轴	
newmp_gumu_007	CommonNpc	容楚		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1390	1		icon\monster\monster454.png					0				3	0	0				20				0									1									110	80		1											1						1			2000	15		2000							1										20622;20623;20624;20625;																																														
newmp_gumu_008	CommonNpc	顾云姜		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1390	1		icon\monster\monster454.png					0				3	0	0				20				0									1									2	80		1											1						1			2000	15		2000							1										20618;20619;20620;20621;																																														
newmp_gumu_009	CommonNpc	姜少央		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1390	1		icon\monster\monster454.png					0				3	0	0				20				0									1									2	80		1											1						1			2000	15		2000							1										20614;20615;20616;20617;																																														
newmp_gumu_010	CommonNpc	霍婵雪		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1384	2		icon\monster\monster554.png					0				3	0	0				20				0									1									2	80		1											1						1			2000	15		2000																																																															
newmp_gumu_011	CommonNpc	杨池蕊		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1384	2		icon\monster\monster554.png				s_r_217	0				3	0	0				20				0									1									41	100		1									Npc_gm_ynsxj01	"Npc_gm_ynsxj01,5,0;Npc_gm_ynsxj02,5,0;Npc_gm_ynsxj03,5,0;Npc_gm_ynsxj04,5,0;Npc_gm_ynsxj05,5,0;Npc_gm_ynsxj06,5,0;Npc_gm_ynsxj07,5,0;Npc_gm_ynsxj08,5,0;jn_tg_yanxing,5,0;jn_tg_yanxing_back,5,0"	1						1			2000	15		2000							1										20526;20528;20510;20610;20611;20612;20613;20504;	20526;20528;													3240		1		19		15																										
newmp_gumu_012	CommonNpc	夏青芜		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1382	2		icon\monster\monster554.png					0				3	0	0				20				0									1									39	80		1											1						1			2000	15		2000																																																															
newmp_gumu_013	CommonNpc	宋心诗		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1382	2		icon\monster\monster554.png					0				3	0	0				20				0									1									39	80		1											1						1			2000	15		2000																																																															
newmp_gumu_014	CommonNpc	齐书		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1387	1		icon\monster\monster454.png					0				3	0	0				20				0									1									39	80		1											1						1			2000	15		2000																																																															
newmp_gumu_015	CommonNpc	云皓远		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1387	1		icon\monster\monster454.png					0				3	0	0				20				0									1									39	80		1											1						1			2000	15		2000																	20681	20681																																													
newmp_gumu_016	CommonNpc	班婆婆		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1378	2		icon\monster\monster554.png					0				3	0	0				20				0									1									39	80		1											1						1			2000	15		2000																	20530;20701;20702;20703;20704;20705;20706;20707;20708;20709;20710;20711;20712;20713;20714;20715;20716;20717;20718;20719;20720;20721;	20530;20702;20703;20704;20532;20701;20705;20706;20707;20708;20709;20710;20711;20712;20713;20714;20715;20716;20717;20720;20721;																																													
newmp_gumu_017	CommonNpc	韩芷心		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1385	2		icon\monster\monster396.png					0				3	0	0				20				0									1									39	80		1											1						1			2000	15		2000																																																															
newmp_gumu_018	CommonNpc	糟老头		8	672	2	2			1.25	4	hand1_1	npc\worldnpc162	1		icon\funcnpc\worldnpc162.png					0				3	0	0				20				0									1									39	80		1											1						1			2000	15		2000																																																															
newmp_gumu_018_a	CommonNpc	糟老头		8	672	2	2			1.25	4	hand1_1	npc\worldnpc162	1		icon\funcnpc\worldnpc162.png					0				3	0	0				20				0									1									39	80		1											1						1			2000	15		2000																	20511;	20511;																																													
newmp_gumu_019	CommonNpc	古墓门人		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1387	1		icon\monster\monster454.png					0			npc_foundplayer	3	0	0				20				0									1									39	80		1											1						1			2000	15		2000																	20515;	20515;																																													
newmp_gumu_020	CommonNpc	古墓派弟子		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1387	1		icon\monster\monster454.png					0			npc_foundplayer	3	0	0				20				0									1									39	80		1											1						1			2000	15		2000							1										20513;20514;	20512;20513;20514																																													
newmp_gumu_021	CommonNpc	卿雪		8	116	2	2			1.25	4	hand1_2	npc\worldnpc1159_1			icon\funcnpc\worldnpc1159_1					0				3	0	0				20				0									1									31	50		1											0	-1	gmp_zyb_srz_001;gmp_zyb_srz_002				0			2000	15		2000																																																															
newmp_gumu_022	CommonNpc	顾云流		8	672	2	2			1.25	4	hand1_1	npc\monster554	2		icon\monster\monster554.png					0				3	0	0				20				0									1									31	50		1											0	-1	gmp_zyb_srz_001;gmp_zyb_srz_002				0			2000	15		2000																																																															
newmp_gumu_023	CommonNpc	棺材车		8	116	2	2			1.25	4	hand1_2	npc\npcitem835			icon\funcnpc\npcitem835					0				3	0	0				20				0									1									31	50		1											1	-1					1			2000	15		2000																																																															
newmp_gumu_024	CommonNpc	卿雪的徒弟		8	116	2	2			1.25	4	hand1_2	npc\worldnpc1162			icon\funcnpc\worldnpc1162					0				3	0	0				20				0									1									31	50		1											0	-1	gmp_zyb_srz_001;gmp_zyb_srz_002				0			2000	15		2000																																																															
newmp_gumu_025	CommonNpc	卿雪的徒弟		8	116	2	2			1.25	4	hand1_2	npc\worldnpc1162			icon\funcnpc\worldnpc1162					0				3	0	0				20				0									1									31	50		1											0	-1	gmp_zyb_srz_001;gmp_zyb_srz_002				0			2000	15		2000																																																															
newmp_gumu_026	CommonNpc	卿雪的徒弟		8	116	2	2			1.25	4	hand1_2	npc\worldnpc1162			icon\funcnpc\worldnpc1162					0				3	0	0				20				0									1									31	50		1											0	-1	gmp_zyb_srz_001;gmp_zyb_srz_002				0			2000	15		2000																																																															
newmp_gumu_027	CommonNpc	门派考验弟子		8	672	2	2			1.25	4	hand1_2	npc\worldnpc1387	1		icon\monster\monster454.png					0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000																	20533;20534;	20527;20533;																																													
newmp_gumu_028	CommonNpc	门派接引弟子		8	672	2	2			1.25	4	hand1_2	npc\worldnpc1389	1		icon\monster\monster454.png					0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000																	20527;	20523;																																													
newmp_gumu_029	ForceNpc	入门资格审核人		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1387	1		icon\monster\monster454.png					0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000																	20523;20649	20649																																													
newmp_gumu_030	ForceNpc	掌门拜师审核人		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1389	1		icon\monster\monster454.png					0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000																																																															
newmp_gumu_031	CommonNpc	破誓任务接引弟子		8	672	2	2			1.25	4	hand1_1	npc\monster554	2		icon\monster\monster554.png					0				3	0	0				20				0									1									31	50		1											1						1			2000	15		2000																																																															
newmp_gumu_032	CommonNpc	古墓派弟子		8	672	2	2			1.25	4	hand1_2	npc\worldnpc1384	2		icon\monster\monster554.png					0				3	0	0				20				0									1									31	50		1											1						1			2000	15		2000																																																															
newmp_gumu_032_a	CommonNpc	古墓派弟子		8	672	2	2			1.25	4	hand1_2	npc\worldnpc1384	2		icon\monster\monster554.png					0				3	0	0				20				0									1									31	50		1											1						1			2000	15		2000																																																															
newmp_gumu_032_b	CommonNpc	古墓派弟子		8	672	2	2			1.25	4	hand1_2	npc\worldnpc1384	2		icon\monster\monster554.png					0				3	0	0				20				0									1									31	50		1											1						1			2000	15		2000																																																															
newmp_gumu_032_c	CommonNpc	古墓派弟子		8	672	2	2			1.25	4	hand1_2	npc\worldnpc1384	2		icon\monster\monster554.png					0				3	0	0				20				0									1									31	50		1											1						1			2000	15		2000																																																															
newmp_gumu_033	CommonNpc	路人		8	672	2	2			1.25	4	hand1_1	npc\worldnpc511	1		icon\funcnpc\worldnpc511.png				s_r_npcitem088	0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000																	20512;	20511;																																													
newmp_gumu_034	CommonNpc	隐世高人		8	672	2	2			1.25	4	hand1_1	npc\worldnpc042	1		icon\funcnpc\worldnpc042.png				s_r_npcitem088	0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000																	20515;	20514;																																													
newmp_gumu_040	CommonNpc	古墓派弟子		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1385	2		icon\monster\monster554.png					0				3	0	0				20				0									1									31	50		1											1						1			2000	15		2000																	20503;	20507;																																													
newmp_gumu_041	ForceNpc	入门资格查询人		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1387	1		icon\monster\monster454.png					0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000																	20523;20649	20649																																													
newmp_gumu_042	CommonNpc	古墓女弟子1		8	672					1.25	4	hand1_2	npc\worldnpc1382								0				3	0	0		30																																																																																																																	
newmp_gumu_043	CommonNpc	古墓女弟子1-1		8	672					1.25	4	hand1_2	npc\worldnpc1382								0				3	0	0		30																																																																																																																	
newmp_gumu_044	CommonNpc	古墓女弟子1-2		8	672					1.25	4	hand1_2	npc\worldnpc1382								0				3	0	0		30																																																																																																																	
newmp_gumu_045	CommonNpc	古墓女弟子2		8	672					1.25	4	hand1_2	npc\worldnpc1383								0				3	0	0		30																																																																																																																	
newmp_gumu_046	CommonNpc	李晔		8	482	2	2			1.25	4	hand1_2	npc\worldnpc1383								0				3	0	0		30																																																																1																																																	
newmp_gumu_047	CommonNpc	古墓女弟子2-2		8	672					1.25	4	hand1_2	npc\worldnpc1383								0				3	0	0		30																																																																																																																	
newmp_gumu_048	CommonNpc	古墓女弟子3		8	672					1.25	4	hand1_2	npc\worldnpc1385								0				3	0	0		30																																																																																																																	
newmp_gumu_049	CommonNpc	古墓女弟子3-1		8	672					1.25	4	hand1_2	npc\worldnpc1385								0				3	0	0		30																																																																																																																	
newmp_gumu_050	CommonNpc	古墓女弟子3-2		8	672					1.25	4	hand1_2	npc\worldnpc1385								0				3	0	0		30																																																																																																																	
newmp_gumu_051	CommonNpc	古墓女弟子4		8	672					1.25	4	hand1_2	npc\worldnpc1385								0				3	0	0		30																																																																																																																	
newmp_gumu_052	CommonNpc	古墓女弟子4-1		8	672					1.25	4	hand1_2	npc\worldnpc1385								0				3	0	0		30																																																																																																																	
newmp_gumu_053	CommonNpc	古墓女弟子4-2		8	672					1.25	4	hand1_2	npc\worldnpc1385								0				3	0	0		30																																																																																																																	
newmp_gumu_054	CommonNpc	古墓女弟子5		8	672					1.25	4	hand1_2	npc\worldnpc1386								0				3	0	0		30																																																																																																																	
newmp_gumu_055	CommonNpc	古墓女弟子5-1		8	672					1.25	4	hand1_2	npc\worldnpc1386								0				3	0	0		30																																																																																																																	
newmp_gumu_056	CommonNpc	古墓女弟子5-2		8	672					1.25	4	hand1_2	npc\worldnpc1386								0				3	0	0		30																																																																																																																	
newmp_gumu_057	CommonNpc	古墓男弟子1		8	672					1.25	4	hand1_1	npc\worldnpc1387								0				3	0	0		30																																																																																																																	
newmp_gumu_058	CommonNpc	古墓男弟子1-1		8	672					1.25	4	hand1_1	npc\worldnpc1387								0				3	0	0		30																																																																																																																	
newmp_gumu_059	CommonNpc	古墓男弟子1-2		8	672					1.25	4	hand1_1	npc\worldnpc1387								0				3	0	0		30																																																																																																																	
newmp_gumu_060	CommonNpc	古墓男弟子2		8	672					1.25	4	hand1_1	npc\worldnpc1388								0				3	0	0		30																																																																																																																	
newmp_gumu_061	CommonNpc	古墓男弟子2-1		8	672					1.25	4	hand1_1	npc\worldnpc1388								0				3	0	0		30																																																																																																																	
newmp_gumu_062	CommonNpc	古墓男弟子2-2		8	672					1.25	4	hand1_1	npc\worldnpc1388								0				3	0	0		30																																																																																																																	
newmp_gumu_063	CommonNpc	古墓男弟子3		8	672					1.25	4	hand1_1	npc\worldnpc1389								0				3	0	0		30																																																																																																																	
newmp_gumu_064	CommonNpc	古墓男弟子3-1		8	672					1.25	4	hand1_1	npc\worldnpc1389								0				3	0	0		30																																																																																																																	
newmp_gumu_065	CommonNpc	古墓男弟子3-2		8	672					1.25	4	hand1_1	npc\worldnpc1389								0				3	0	0		30																																																																																																																	
newmp_gumu_066	CommonNpc	古墓男弟子4		8	672					1.25	4	hand1_1	npc\worldnpc1390								0				3	0	0		30																																																																																																																	
newmp_gumu_067	CommonNpc	古墓男弟子4-1		8	672					1.25	4	hand1_1	npc\worldnpc1390								0				3	0	0		30																																																																																																																	
newmp_gumu_068	CommonNpc	古墓男弟子4-2		8	672					1.25	4	hand1_1	npc\worldnpc1390								0				3	0	0		30																																																																																																																	
newmp_gumu_069	CommonNpc	古墓男弟子5		8	672					1.25	4	hand1_1	npc\worldnpc1391								0				3	0	0		30																																																																																																																	
newmp_gumu_070	CommonNpc	古墓男弟子5-1		8	672					1.25	4	hand1_1	npc\worldnpc1391								0				3	0	0		30																																																																																																																	
newmp_gumu_071	CommonNpc	古墓男弟子5-2		8	672					1.25	4	hand1_1	npc\worldnpc1391								0				3	0	0		30																																																																																																																	
newmp_gumu_line	CommonNpc	绳子		8	672	2	28		1			hand_0	npc\npcitem857	1		icon\funcnpc\itemnpc607.png					0				3	0	0				3				1																																																																																																											
newmp_gumu_line_a	CommonNpc	绳子		8	672	2	28		1			hand_0	npc\npcitem856	1		icon\funcnpc\itemnpc607.png					0				3	0	0				3				1																																																																																																											
newmp_gumu_074	CommonNpc	掌门拜师审核人		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1389	1		icon\monster\monster454.png					0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000																																																															
																																																																																																																																														
	//古墓派-改善伙食																																																																																																																																													
gumu_tuzi001	CommonNpc	兔子		8	672	2	2			1.25	4		npc\monster118								0				3																																																																																					3203																																
gumu_zhangzi002	CommonNpc	獐子		8	672	2	2			1.25	4		npc\monster128								0				3																																																																																					3206																																
gumu_zhangzi003	BoxNpc	獐子尸体		8	672	2	2			1.25	4		npc\monster713				diedownloop				0				3																																drop_newschool_gumu_huoshi					1	1																																																																		3													
gumu_xianjing003	CommonNpc	陷阱		8	672	2	2			1.25	4		npc\npcitem339_1								0				3						2																																																																																										7200000																					
newmp_gumu_huoshi	CommonNpc	宋心诗		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1382	2		icon\monster\monster396.png					0				3	0	0				20				0									1									39	20		1											1						1			2000	15		2000																																																															
newmp_gumu_huoshi01	CommonNpc	宋心诗		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1382	2		icon\monster\monster396.png					0				3	0	0				20				0									1									39	80		1											1						1			2000	15		2000																		20603;																																													
																																																																																																																																														
	//古墓派-日常劳作																																																																																																																																													
newmp_gumu_rc010	CommonNpc	古墓派弟子		8	92	2	2			1.25	4	hand1_1	npc\worldnpc1387	1		icon\monster\monster454.png					0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000							1		0									20718;																																													
newmp_gumu_rc011	CommonNpc	古墓派弟子		8	92	2	2			1.25	4	hand1_1	npc\worldnpc1384	2		icon\monster\monster454.png					0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000							1		0									20719;																																													
																																																																																																																																														
	//古墓派-以绳为床																																																																																																																																													
newmp_gumu_yswc_001	CommonNpc	卿宁（古墓弟子）		8	672	2	2			1.25	4	hand1_2	npc\worldnpc1383			icon\funcnpc\worldnpc1383.png					0				3	0	0				20				0									1									31	50		1											0	-1					0			2000	15		2000																	20609;	20609;																																													
																																																																																																																																														
	//古墓派-双人同修																																																																																																																																													
newmp_gumu_srtx001	CommonNpc	柳冰冰		8	672	2	2			1.25	4	hand1_2	npc\worldnpc1384	2		icon\funcnpc\worldnpc1384.png					0			npc_foundplayer	3	0	0				20				0																		39	50		1																				2000	15		2000																	20604;	20604;																																													
	//古墓派结缘NPC																																																																																																																																													
gmp_npc_jy001	CommonNpc	陈胜男（结缘大使）		8	673	2	2			1.25	4	hand1_2	npc\worldnpc1384	2		icon\funcnpc\worldnpc1384.png					0			npc_foundplayer	3	0	0				20				0									1									39	20		1											1						1			2000	15		2000																																																															
																																																																																																																																														
	//古墓周常活动-挑战师叔																																																																																																																																													
gmp_hd_01_001	BossNpc	冷清浅		8	6	2	2			1.25	4	sword1_2	npc\worldnpc1386			icon\funcnpc\worldnpc1386.png				s_r_npcitem087	0				3	0	0				20																						697	100					1	1	30	10	60			"gmp_hd_ynsxj01,1,0;gmp_hd_ynsxj02,1,0;gmp_hd_ynsxj03,1,0;gmp_hd_ynsxj04,1,0;gmp_hd_ynsxj05,1,0;gmp_hd_ynsxj06,1,0;gmp_hd_ynsxj07,1,0;gmp_hd_ynsxj08,1,0;gmp_hd_txjj01,1,0;gmp_hd_txjj02,1,0;gmp_hd_txjj03,1,0;gmp_hd_txjj04,1,0;gmp_hd_txjj05,1,0;gmp_hd_txjj06,1,0;gmp_hd_txjj07,1,0;gmp_hd_txjj08,1,0"		-1								1000	25	1	1000							1																								3169		1					20	gmp_hd_ynsxj06																								
gmp_hd_01_002	BossNpc	兰宜		8	6	2	2			1.25	4	dsword1_1	npc\worldnpc1389			icon\funcnpc\worldnpc1389.png				ds_rl_npcitem324	0				3	0	0				20																						51	100					1	1	30	10	60			"gmp_hd_txjj01,1,0;gmp_hd_txjj02,1,0;gmp_hd_txjj03,1,0;gmp_hd_txjj04,1,0;gmp_hd_txjj05,1,0;gmp_hd_txjj06,1,0;gmp_hd_txjj07,1,0;gmp_hd_txjj08,1,0"		-1								1000	25	1	1000							1																								3167		1					20	gmp_hd_txjj06																								
gmp_hd_01_003	BossNpc	兰轩		8	6	2	2			1.25	4	sword1_2	npc\worldnpc1385			icon\funcnpc\worldnpc1385.png				s_r_npcitem087	0				3	0	0				20																						51	100					1	1	30	10	60			"gmp_hd_ynsxj01,1,0;gmp_hd_ynsxj02,1,0;gmp_hd_ynsxj03,1,0;gmp_hd_ynsxj04,1,0;gmp_hd_ynsxj05,1,0;gmp_hd_ynsxj06,1,0;gmp_hd_ynsxj07,1,0;gmp_hd_ynsxj08,1,0"		-1								1000	25	1	1000							1																								3168		1					20	gmp_hd_ynsxj06																								
gmp_hd_01_004	CommonNpc	触发用		8	172	2	2			1.25	4	hand1_2	npc\itemnpc057								0				3	0	0				20																						104	100					1	1	30	10	60													1000	25	1	1000																																	1					20																									
gmp_hd_01_005	CommonNpc	护法（女）		8	6	2	2			1.25	4	hand1_2	npc\worldnpc1385			icon\funcnpc\worldnpc1384.png					0				3	0	0				20																						104	100					1	1	30	10	60													1000	25	1	1000																																	1					20																									
