NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	碰撞时对话	仇恨	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	禁播受击动作	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	婚宴npc类型	势力归属	势力关系表	战斗开始的召唤ID	权重	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	善恶参数	直接触发	脱战回血	格挡方式(-1表示不格挡)	超过距离就脱战	使用轻功	破防几率	破防技能	防御CD	世界触发器相关	存在时间	是否理会玩家	缩放尺寸	跟随距离	跟随位置	是否跨场景	跟随角度	NPC配偶	采集范围	采集动作名	读条时间(ms)	最大消失时间(s)	宝箱开启前特效	宝箱开启后特效	钥匙数量	钥匙id	开启条件	分配类型	无法跟随时自动停止	大逃杀专用TYPE	
newworld_xiyu_a2_013	CommonNpc	塔希莉		8	533	2	2			1.25	4	hand1_1	npc\worldnpc1309			icon\funcnpc\worldnpc1309.png					0				3	0	0			20																																																							821																																																							
newworld_xiyu_a2_014	CommonNpc	曦池		8	533	2	2			1.25	4	hand1_1	npc\worldnpc1156			icon\funcnpc\worldnpc1156.png					0				3	0	0			20																																																							807																																																							
newworld_xiyu_a2_015	CommonNpc	夙絮		8	533	2	2			1.25	4	hand1_1	npc\worldnpc1157			icon\funcnpc\worldnpc1157.png					0				3	0	0			20																																																							807																																																							
newworld_xiyu_a2_016	CommonNpc	苏沐青		8	533	2	2			1.25	4	hand1_1	npc\boss091			icon\funcnpc\boss091.png					0	npc\clone\newworld\newworld_minigame_xiyu_zhongli.lua			3	0	0			20																																																							807																																																							
newworld_xiyu_a2_017	CommonNpc	杨陪风		8	533	2	2			1.25	4	hand1_1	npc\worldnpc067			icon\funcnpc\fbboss022004.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20																																																							808																																																							
newworld_xiyu_a2_018	CommonNpc	虞绾绾		8	533	2	2			1.25	4	hand1_1	npc\worldnpc747			icon\funcnpc\worldnpc747.png					0				3	0	0			20																																																							809																																																							
newworld_xiyu_a2_019	CommonNpc	隐风		8	533	2	2			1.25	4	hand1_1	npc\worldnpc074			icon\funcnpc\worldnpc074.png					0	npc\clone\newworld\newworld_minigame_xiyu_xiepai.lua			3	0	0			20																																																							810																																																							
newworld_xiyu_a2_020	CommonNpc	陆倩娘		8	533	2	2			1.25	4	hand1_1	npc\worldnpc784			icon\funcnpc\worldnpc784.png					0				3	0	0			20																																																							810																																																							
newworld_xiyu_a2_021	CommonNpc	徐妙真		8	533	2	2			1.25	4	hand1_1	npc\monster620			icon\funcnpc\monster620.png					0	npc\clone\newworld\newworld_minigame_xiyu_zhenpai.lua			3	0	0			20																																																							812																																																							
newworld_xiyu_a2_022	CommonNpc	凌云玉		8	533	2	2			1.25	4	hand1_1	npc\monster619			icon\funcnpc\monster619.png					0				3	0	0			20																																																							812																																																							
newworld_xiyu_a2_023	CommonNpc	白飞飞		8	533	2	2			1.25	4	hand1_1	npc\boss092			icon\funcnpc\boss092.png					0	npc\clone\newworld\newworld_minigame_xiyu_xiepai.lua			3	0	0			20				1									1									45	70		4											1						1			2000	15		2000							813		0																																																					
newworld_xiyu_a2_024	CommonNpc	黑莫尔		8	533	2	2			1.25	4	hand1_1	npc\boss093			icon\funcnpc\boss093.png					0				3	0	0			20																																																							814																																																							
newworld_xiyu_a2_025	CommonNpc	白苏尼咥		8	533	2	2			1.25	4	hand1_1	npc\worldnpc1311			icon\funcnpc\worldnpc1311.png					0				3	0	0			20																																										1													815																																																							
newworld_xiyu_a2_026	CommonNpc	乌叠巴		8	533	2	2			1.25	4	hand1_1	npc\fbboss002001			icon\funcnpc\fbboss002001.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiuzi.lua			3	0	0			20													1									45	70		4											1						1			2000	15		2000							815		0																																																					
newworld_xiyu_a2_027	CommonNpc	石观音		8	533	2	2			1.25	4	hand1_1	npc\fbboss022007			icon\funcnpc\fbboss022007.png					0	npc\clone\newworld\newworld_minigame_xiyu_shiguanyin.lua			3	0	0			20				1									1									45	70		4											1									2000	15		2000							817		0																																																					
newworld_xiyu_a2_028	CommonNpc	毛阿四		8	533	2	2			1.25	4	hand1_1	npc\fbfunnpc00026			icon\funcnpc\fbfunnpc00026.png					0	npc\clone\newworld\newworld_minigame_xiyu_loulan.lua			3	0	0			20				1									1									45	70		4											1									2000	15		2000							818		0																																																					
newworld_xiyu_a2_029	CommonNpc	小乞丐核儿		8	533	2	2			1.25	4	hand1_1	npc\worldnpc259			icon\funcnpc\worldnpc259.png					0				3	0	0			20				1									1									45	70		4											1									2000	15		2000							818		0																																																					
newworld_xiyu_a2_030	CommonNpc	卖酒老板娘		8	533	2	2			1.25	4	hand1_1	npc\fbfunnpc00024_02			icon\funcnpc\fbfunnpc00024_02.png					0				3	0	0			20				1									1									45	70		4											1									2000	15		2000							818		0																																																					
newworld_xiyu_a2_031	CommonNpc	虬髯客		8	533	2	2			1.25	4	hand1_1	npc\monster038			icon\funcnpc\monster038.png					0				3	0	0			20				1									1									45	70		4											1									2000	15		2000							818		0																																																					
newworld_xiyu_a2_032	CommonNpc	胡人		8	533	2	2			1.25	4	hand1_1	npc\monster177_01			icon\funcnpc\monster177_01.png					0				3	0	0			20				1									1									45	70		4											1	-1								2000	15		2000							818		0																																																					
newworld_xiyu_a2_033	CommonNpc	魔刀老祖		8	533	2	2			1.25	4	hand1_1	npc\worldnpc313			icon\funcnpc\worldnpc313.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20				1									1									45	70		4											1									2000	15		2000							820		0																																																					
newworld_xiyu_a2_034	CommonNpc	九宫老人		8	533	2	2			1.25	4	hand1_1	npc\worldnpc001a			icon\funcnpc\worldnpc001a.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20				1									1									45	70		4											1									2000	15		2000							819		0																																																					
																																																																																																																																												
newworld_xiyu_a3_001	CommonNpc	林曼儿		8	533	2	2			1.25	4	hand1_1	npc\worldnpc1315			icon\funcnpc\worldnpc1315.png					0				3	0	0			20				1									1									45	70		4											1									2000	15		2000							814		0																																																					
newworld_xiyu_a3_002	CommonNpc	黑珍珠		8	533	2	2			1.25	4	hand1_1	npc\worldnpc1310			icon\funcnpc\worldnpc1310.png					0	npc\clone\newworld\newworld_minigame_xiyu_damo.lua			3	0	0			20				1									1									45	70		4											1									2000	15		2000							814		0																																																					
newworld_xiyu_a3_003	CommonNpc	则罗沙		8	533	2	2			1.25	4	hand1_1	npc\fbboss004005			icon\funcnpc\fbboss004005.png					0				3	0	0			20																																																							816																																																							
newworld_xiyu_a3_004	CommonNpc	白勒霸		8	533	2	2			1.25	4	hand1_1	npc\worldnpc1145			icon\funcnpc\worldnpc1145.png					0				3	0	0			20																																																							816																																																							
newworld_xiyu_a3_005	CommonNpc	雷行空		8	533	2	2			1.25	4	hand1_1	npc\boss096			icon\funcnpc\boss096.png					0				3	0	0			20																																										1													811																																																							
newworld_xiyu_a3_006	CommonNpc	端木祺		8	533	2	2			1.25	4	hand1_1	npc\fbnpc021011_02			icon\funcnpc\fbnpc021011_02.png					0	npc\clone\newworld\newworld_minigame_xiyu_damo.lua			3	0	0			20																																										1													811																																																							
newworld_xiyu_a3_007	CommonNpc	朱允炆		8	533	2	2			1.25	4	hand1_1	npc\worldnpc521			icon\funcnpc\worldnpc521.png					0				3	0	0			20																																										1													811																																																							
newworld_xiyu_a3_008	CommonNpc	千拙大师		8	533	2	2			1.25	4	hand1_1	npc\fbboss00095			icon\funcnpc\fbboss00095.png					0				3	0	0			20																																										1													811																																																							
																																																																																																																																												
	//西域事件NPC																																																																																																																																											
newworld_xiyu_monster_01	CommonNpc	洪喜		8	6	2	2			1.25	4	hand1_1	npc\worldnpc202			icon\funcnpc\worldnpc202.png					0				3	0	0			50																														30	10	60					-1								1000	15		1000							803																																																							
newworld_xiyu_monster_02	CommonNpc	关逢雷		8	6	2	2			1.25	4	hand1_1	npc\worldnpc178			icon\funcnpc\worldnpc178.png					0				3	0	0			50																														30	10	60					-1								1000	15		1000							803																																																							
newworld_xiyu_monster_03	CommonNpc	李承天		8	6	2	2			1.25	4	hand1_1	npc\monster250			icon\monster\monster250.png					0				3	0	0			50																														30	10	60					-1								1000	15		1000							804																																																							
newworld_xiyu_monster_04	CommonNpc	余罂花		8	6	2	2			1.25	4	hand1_2	npc\monster293_02			icon\monster\monster293.png					0				3	0	0			50																														30	10	60					-1								1000	15		1000							804																																																							
newworld_xiyu_monster_05	CommonNpc	拓跋百齐		8	6	2	2			1.25	4	hand1_1	npc\monster250			icon\monster\monster250.png					0				3	0	0			50																														30	10	60					-1								1000	15		1000							804																																																							
newworld_xiyu_monster_06	CommonNpc	沐蝶音		8	6	2	2			1.25	4	sword1_2	npc\worldnpc745			icon\funcnpc\worldnpc745.png				s_r_npcitem417	0				3	0	0			50																						371	55					1	1	30	10	60		Newworld_xiyu_010	"Newworld_xiyu_xixia_5_001,1,0;Newworld_xiyu_xixia_5_002,1,0;Newworld_xiyu_xixia_5_003,1,0;Newworld_xiyu_xixia_5_004,1,0;Newworld_xiyu_xixia_5_005,1,0;Newworld_xiyu_xixia_5_006,1,0;Newworld_xiyu_xixia_5_007,1,0"		-1	newworld_xiyu_monster_08;newworld_xiyu_monster_11;newworld_xiyu_monster_12;newworld_xiyu_monster_17							1000	15		1000							800	"802,0"																							2930		1	5				100	Newworld_xiyu_xixia_5_002			1260000																				
newworld_xiyu_monster_07	CommonNpc	向九尘		8	6	2	2			1.25	4	hand1_1	npc\worldnpc053			icon\funcnpc\worldnpc053.png					0				3	0	0			50																						371	55					1	1	30	10	60		Newworld_xiyu_008	"Newworld_xiyu_xixia_6_001,1,0;Newworld_xiyu_xixia_6_002,1,0;Newworld_xiyu_xixia_6_003,1,0;Newworld_xiyu_xixia_6_004,1,0;Newworld_xiyu_xixia_6_005,1,0;Newworld_xiyu_xixia_6_006,1,0;Newworld_xiyu_xixia_6_007,1,0"		-1	newworld_xiyu_monster_08;newworld_xiyu_monster_11;newworld_xiyu_monster_12;newworld_xiyu_monster_17							1000	15		1000							801	"802,0"																							2924		1	5				100	Newworld_xiyu_xixia_6_002			1260000																				
newworld_xiyu_monster_08	CommonNpc	王逍		8	6	2	2			1.25	4	blade1_1	npc\worldnpc792			icon\funcnpc\worldnpc792.png				b_r_npcitem389	0				3	0	0			30																						372	55			drop_newworld_xiyu_xixia_1		1	1	30	10	60		Newworld_xiyu_009	"Newworld_xiyu_xixia_4_001,1,0;Newworld_xiyu_xixia_4_002,1,0;Newworld_xiyu_xixia_4_003,1,0;Newworld_xiyu_xixia_4_004,1,0;Newworld_xiyu_xixia_4_005,1,0;Newworld_xiyu_xixia_4_006,1,0;Newworld_xiyu_xixia_4_007,1,0"		-1	newworld_xiyu_monster_06;newworld_xiyu_monster_07;newworld_xiyu_monster_13;newworld_xiyu_monster_14;newworld_xiyu_monster_15;newworld_xiyu_monster_16							1000	15		1000							802	"800,0;801,0"																							2926		1	5				100	Newworld_xiyu_xixia_4_005			1260000																				
newworld_xiyu_monster_09	CommonNpc	西夏一品堂勇士		8	6	2	2			1.25	4	hand1_1	npc\monster250			icon\monster\monster250.png					0				3	0	0			50																														30	10	60					-1								1000	15		1000							804																																																							
newworld_xiyu_monster_10	CommonNpc	西夏一品堂勇士-死亡		8	6	2	2			1.25	4	hand1_1	npc\monster250			icon\monster\monster250.png					0				3	0	0			50																														30	10	60					-1								1000	15		1000							804																																																							
newworld_xiyu_monster_11	CommonNpc	锦衣卫先锋弟子		8	6	2	2			1.25	4	blade1_1	npc\worldnpc798_02			icon\funcnpc\worldnpc798.png				b_r_npcitem323	0				3	0	0			30																						293	55							30	10	60		Newworld_xiyu_004			-1	newworld_xiyu_monster_06;newworld_xiyu_monster_07;newworld_xiyu_monster_13;newworld_xiyu_monster_14;newworld_xiyu_monster_15;newworld_xiyu_monster_16							1000	15		1000							802	"800,0;801,0"																							2929		1					100																								
newworld_xiyu_monster_12	CommonNpc	锦衣卫弓箭手		8	6	2	2			0	0	hand1_1	npc\worldnpc798_02			icon\worldnpc\worldnpc795.png				b_r_npcitem152	0				3	0	0			30																						293	55							30	10	60		Newworld_xiyu_005			-1	newworld_xiyu_monster_06;newworld_xiyu_monster_07;newworld_xiyu_monster_13;newworld_xiyu_monster_14;newworld_xiyu_monster_15;newworld_xiyu_monster_16							1000	15		1000							802	"800,0;801,0"																							2928		1					100																								
newworld_xiyu_monster_13	CommonNpc	武当弟子		8	6	2	2			1.25	4	sword1_1	npc\worldnpc090			icon\funcnpc\worldnpc090.png				s_r_npcitem026	0				3	0	0			50																						293	55							30	10	60		Newworld_xiyu_006	"Newworld_xiyu_xixia_1_001,1,100;Newworld_xiyu_xixia_1_002,1,100;Newworld_xiyu_xixia_1_003,1,100;Newworld_xiyu_xixia_1_004,1,100;Newworld_xiyu_xixia_1_005,1,100;Newworld_xiyu_xixia_1_006,1,100;Newworld_xiyu_015,1,0"		-1	newworld_xiyu_monster_08;newworld_xiyu_monster_11;newworld_xiyu_monster_12;newworld_xiyu_monster_17							1000	15		1000							801	"802,0"																							2925		1					100	Newworld_xiyu_xixia_1_004			1260000																				
newworld_xiyu_monster_14	CommonNpc	武当弟子		8	6	2	2			1.25	4	sword1_1	npc\worldnpc224			icon\funcnpc\worldnpc224.png				s_r_npcitem026	0				3	0	0			50																						293	55							30	10	60		Newworld_xiyu_006	"Newworld_xiyu_xixia_1_001,1,100;Newworld_xiyu_xixia_1_002,1,100;Newworld_xiyu_xixia_1_003,1,100;Newworld_xiyu_xixia_1_004,1,100;Newworld_xiyu_xixia_1_005,1,100;Newworld_xiyu_xixia_1_006,1,100;Newworld_xiyu_016,1,0"		-1	newworld_xiyu_monster_08;newworld_xiyu_monster_11;newworld_xiyu_monster_12;newworld_xiyu_monster_17							1000	15		1000							801	"802,0"																							2934		1					100	Newworld_xiyu_xixia_1_004			1260000																				
newworld_xiyu_monster_15	CommonNpc	峨眉弟子		8	6	2	2			1.25	4	dknife1_2	npc\worldnpc525			icon\funcnpc\worldnpc525.png				dk_rl_npcitem217	0				3	0	0			50																						293	55							30	10	60		Newworld_xiyu_007	"Newworld_xiyu_xixia_2_001,1,100;Newworld_xiyu_xixia_2_002,1,100;Newworld_xiyu_xixia_2_003,1,100;Newworld_xiyu_xixia_2_004,1,100;Newworld_xiyu_xixia_2_005,1,100;Newworld_xiyu_xixia_2_006,1,100;Newworld_xiyu_xixia_2_007,1,100;Newworld_xiyu_012,1,0"		-1	newworld_xiyu_monster_08;newworld_xiyu_monster_11;newworld_xiyu_monster_12;newworld_xiyu_monster_17							1000	15		1000							800	"802,0"																							2923		1					100	Newworld_xiyu_xixia_2_003			1260000																				
