NPC±àºÅ	¶ÔÏóÀàÐÍ	ini×¢ÊÍÃû³Æ	NPCÆòÌÖÐÅÏ¢	±íÏÖAI°ü±àºÅ	NPCÀàÐÍ	Ñ¡Ôñ²Ù×÷	Êó±êÐÎ×´	ÊÇ·ñ×ªÉí	×ßÂ·ËÙ¶È	ÅÜ²½ËÙ¶È	ÎäÆ÷³ÖÎÕ·½Ê½	Ä£ÐÍ±àºÅ	ÐÔ±ð	Ä£ÐÍ°ë¾¶	Í¼Æ¬	³öÉú×´Ì¬	npcÉùÒô	×é³É²ÄÁÏ	ÎäÆ÷Ãû³Æ	NPCÖÖÀàID	½Å±¾±àºÅ	ÊÇ·ñÄÜ½ÓïÚ	´¥·¢ÌØÐ§	AIÀàÐÍ	Ñ²ÂßÄ£Ê½	Ñ²Âß°ë¾¶	Â·¾¶ID	ÊÇ·ñËæ»ú³öÏÖ	ÏìÓ¦·¶Î§	ÃÅÅÉ	³ÆºÅ	¼®¹á	ÕóÓª	Ãû×Ö±íÐòºÅ	ÉúÆ½±íÐòºÅ	Éí·Ý²ÎÊý01	Éí·Ý²ÎÊý2	Éí·Ý²ÎÊý3	¶Ô»°¹æÔò	Ìß¹Ý×¨ÓÃ¹ØÁªNPC	ÉúÆ½	ÄÜ·ñÇÐ´è	Ëæ»ú¶Ô»°	ÏÂÆåÍæ¼ÒµÄ×îÐ¡µÈ¼¶	NPCÉíÉÏ¹ÒµÄÆåÆ×°ü	NPCÊÂ¼þ°ü±àºÅ	½øÈëÇÐ´èÇ°¶Ô»°	½áÊøÇÐ´èºó¶Ô»°	¿ÕÏÐ×´Ì¬¶Ô»°	Åö×²Ê±¶Ô»°	ÊµÁ¦°ü±àºÅ	¼¶±ð	ÐÞÎª¾­Ñé	¹ÖÎïÇ¿¶È	µôÂä	ÎäÆ÷ÀàÐÍ	Ëø¶¨Î»ÒÆ¹¥»÷	½û²¥ÊÜ»÷¶¯×÷	Ê°È¡È¨ÏÞÇå¿ÕÊ±¼ä	ÎÞÊ°È¡ÎïÏûÊ§Ê±¼ä	×î´óÏûÊ§Ê±¼ä	¸½¼ÓËæ»úÄÜÁ¦±àºÅ	ÆÕÍ¨¹¥»÷	¼¼ÄÜ±í	Ö÷¶¯±»¶¯	¹Ì¶¨NPCÖØÉúÊ±¼ä	µÐÈËNPC±àºÅ±í	¶ÓÓÑ±àºÅ	ÄÜ·ñ¹¥»÷	ÄÜ²»ÄÜ±»¹¥»÷	²»ÄÜ±»É±ËÀ	¹¥·À±ÈÖØ	·ÀÓù¸ÅÂÊ	"Õ½¶·ÆµÂÊ,ºÁÃë"	"×·»÷·¶Î§,Ã×"	ÎÞ·¨±»Ó²Ö±	Ëø¶¨¼¼ÄÜ¼ä¸ô	ÕÙ»½ID	ÕÙ»½°ë¾¶	ÕÙ»½ÀàÐÍ	±íÑÝ¸ÅÂÊ	±íÑÝÊ±¼ä	ÊÆÁ¦¹éÊô	ÊÆÁ¦¹ØÏµ±í	Õ½¶·¿ªÊ¼µÄÕÙ»½ID	NPC½»»¥Í£ÁôÊ±¼ä	Åö×²¶Ô»°¹æÔò	³õÊ¼¶¯×÷¹Ì¶¨Ö¡²¥·Å	ÉÌµêID	Ï´ºìÃû¹¦ÄÜ	²Ö¿âID	Ö°ÒµID	±¦Ê¯ÓÎÏ·NPC ID	½ÓÈÎÎñ±í	½»ÈÎÎñ±í	¿ÉÒÔ¼ÓÈëµÄÃÅÅÉ±í	¿É»ñµÃµÄÉí·Ý±í	¸´»îµã	Âä½Åµã	æäÕ¾	ÊäÈë¹ØÏµ°ü±àºÅ	ÊÇ·ñÓÐ¹«»á¹¦ÄÜ	°ïÅÉµØ¿é¹ºÂò	ÊÇ·ñÓÐÃÅÅÉÕ½¹¦ÄÜ	ÔËïÚ±àºÅ	ÊÇ·ñÓÐ°ïÅÉ²Ö¿â	ÊÇ·ñÓÐ°ïÅÉ×¤µØ	AI±à¼­°ü	ÉÆ¶ñ²ÎÊý	µÐÈËNPC±àºÅ±í	¶ÓÓÑ±àºÅ	Ö±½Ó´¥·¢	µØÎ»ÆÀ·Ö	±¨¸´µÈ¼¶	±¨¸´ÊÖ¶Î	ÊÇ·ñ¿É½á»é	ÍË³ö·¢Éù¶Ô»°	ÌìÆø°ü	ÊÀ½ç´¥·¢Æ÷Ïà¹Ø	´æÔÚÊ±¼ä	ÓÅÏÈÏÔÊ¾	²Æ¸»µ¥´ÎÔö³¤¼ä¸ô	²Æ¸»µ¥´ÎÔö³¤Öµ	²Æ¸»Ôö³¤×î´óÖµ	²Æ¸»Ë¥¼õ¼ä¸ô	²Æ¸»µ¥´ÎË¥¼õÖµ	²Æ¸»Ë¥¼õ×îµÍÖµ	½øÈëÕ½ÕùÖ±½ÓÉèÖÃ²Æ¸»	½øÈëÕ½ÕùÉèÖÃÍæ¼ÒÌìÆø	»÷É±Õâ¸öboss½øÈëÔö³¤ÆÚ	Í£Ö¹AI
FuncNpc00056	CommonNpc	ÐìÇà	2	8	84	2	2		1.25	4	hand1_1	npc\funcnpc006			icon\funcnpc\funcnpc006.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210							167;175;190;156;157					1	2		1											1						1			2000	15		2000								0	10			Shop_jiu_00100					11947;11948;10895;80615;	11946;11947;														1				3																		
FuncNpc00057	CommonNpc	½ðËÄÒ¯	4	8	67	2	2		1.25	4	hand1_1	npc\funcnpc007			icon\funcnpc\funcnpc007.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210			1									1	1		1											1						1			2000	15		2000						1		0	10					1			80603;	80603;														1				3																		
FuncNpc00058	CommonNpc	ÃçÓ¥	2	8	61	2	2		1.25	4	hand1_1	npc\funcnpc010			icon\funcnpc\funcnpc010.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	18	talkrule070218		zhuanyong_520										1	2		1											1						1			2000	15		2000								0	10			Shop_jn_jh_00100					10751;10752;10753;10754;10755;10756;10757;10758;10759;10760;10889;22006;	10751;10752;10753;10754;10755;10756;10757;10758;10759;10760;10888;62;63;1077;1005;1006;22003;														1				4																		
FuncNpc00060	CommonNpc	ÀîÈý	1	8	114	2	2		1.25	4	hand1_1	npc\worldnpc233			icon\funcnpc\worldnpc233.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211							162;178;186;156;157					1	2		1											1						1			2000	15		2000								0	10			Shop_zuoqi_00103																				1				2																		
FuncNpc00061	CommonNpc	Âí·½ÖÐ	2	8	84	2	2		1.25	4	hand1_1	npc\worldnpc105			icon\funcnpc\worldnpc105.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210							167;175;190;156;157					1	2		1											1						1			2000	15		2000								0	10			Shop_zahuo_00103					10856;10857;80608;	10855;10856;80608;														1				3																		
WorldNpcgf001	CommonNpc	ÁêÂåÒ£		8	84	2	2		1.3	4	hand1_1	npc\fbboss00023			icon\monster\fbboss00023.png					0				3					20				1																			75													1						1			2000	15		2000								0	10																											0																		
WorldNpcgf002	CommonNpc	Ê·Ìì·ç		8	84	2	2		1.3	4	hand1_1	npc\fbboss00026			icon\monster\fbboss00026.png					0				3					20				1																			75													1						1			2000	15		2000								0	10																											0																		
																																																																																						10																																													
																																																																																						10																																													
WorldNpc00501	CommonNpc	¾Å¹¬ÀÏÈË	3	8	84	2	2		0.5	-1	hand_0	npc\worldnpc001			icon\funcnpc\worldnpc001.png					0				3	0	0			20	prop_QiTaMenPai_2		Home_133	1								zhuanyong_254																																													10								10724;22001;22003;22013;	10724;444;1089;1095;22001;22012;														1				0																		
WorldNpc00502	CommonNpc	×ó·É	1	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc517			icon\funcnpc\worldnpc517.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_133	2			7	2	18	talkrule070218												1	2		1											1						1			2000	15		2000								0	10																							1				4	4	14																
WorldNpc00503	CommonNpc	µËÀ×	1	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc160			icon\monster\monster133.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_133	2			7	2	18	talkrule070218			1				161;169;185;156					1	1		1											1						1			2000	15		2000						1		0	10																							1				4																		
WorldNpc00504	CommonNpc	ÖÜÕ×Áú	1	8	84	2	2	1	0.65	4	hand1_1	npc\worldnpc160			icon\funcnpc\worldnpc160.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_133	2			7	2	18	talkrule070218			1				161;169;185;156					1	1		1											1						1			2000	15		2000						1		0	10																							1				4																		
WorldNpc00505	CommonNpc	ÕÅÀ¥É½	1	8	84	2	2	1	0.65	4	hand1_1	npc\worldnpc160			icon\funcnpc\worldnpc160.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_133	2			7	2	18	talkrule070218							161;169;185;156					1	2		1											1						1			2000	15		2000								0	10																							1				4	4	14																
WorldNpc00506	CommonNpc	º×¹ÅÎÌ	3	8	84	2	2		1.25	4	hand1_1	npc\worldnpc126			icon\funcnpc\worldnpc126.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	1	talkrule070201							164;169;179;187;156					1	2		1											1						1			2000	15		2000								0	10								10795;10796;10797;10798;10799;10800;	10795;10796;10797;10798;10799;10800;10896;														1				2																		
WorldNpc00507	CommonNpc	¶ËÄ¾Í¨	3	8	84	2	2		1.25	4	hand1_1	npc\worldnpc125			icon\funcnpc\worldnpc125.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	1	talkrule070201							164;169;179;187;156					1	2		1											1						1			2000	15		2000								0	10																							1				2																		
WorldNpc00508	CommonNpc	Éò¶±	4	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc101			icon\funcnpc\worldnpc101.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	6	1	talkrule070601							167;175;190;156;157					1	2		1											1						1			2000	15		2000								0	10									10714;														1				2																		
WorldNpc00509	CommonNpc	¸ðÒÇ	5	8	84	2	2	1	1.3	4.8	hand1_2	npc\worldnpc311			icon\funcnpc\worldnpc311.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211							162;178;186;156;157					1	2		1											1						1			2000	15		2000								0	10								10717;10718;	10717;														1				2																		
WorldNpc00510	CommonNpc	°×Ã·	5	8	84	2	2	1	1.3	4.8	hand1_2	npc\worldnpc406			icon\funcnpc\worldnpc406.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	11	talkrule070211							162;178;186;156;157					1	2		1											1						1			2000	15		2000								0	10								10716;	10716;														1				2																		
WorldNpc00511	CommonNpc	ÀîÏÀ	3	8	84	2	2		1.25	4	hand1_1	npc\worldnpc112			icon\funcnpc\worldnpc112.png					0				3	0	0			20	prop_ZhongLiMenPai_201	Call_23	Home_133	1			6	1	2	talkrule060102		zhuanyong_255					159;169;176;183;156					1	2		1											1						1			2000	15		2000								0	10								10771;10772;10773;10774;10775;10776;10777;10778;	10771;10772;10773;10774;10775;10776;10777;10778;10890;														1				5																		
WorldNpc00512	CommonNpc	³£ËÄº£	3	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc105			icon\funcnpc\worldnpc105.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210							167;175;190;156;157					1	2		1											1						1			2000	15		2000								0	10			shop_tea_1001					10823;10825;10829;	10822;10824;10828;														1				3																		
WorldNpc00513	CommonNpc	ÖìÌì±¦	2	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc008			icon\funcnpc\worldnpc008.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	5	1	talkrule070501							162;178;186;156;157					1	2		1											1						1			2000	15		2000								0	10								10890;															1				1																		
WorldNpc00514	CommonNpc	Â½¿ý	1	8	84	2	2		1.25	4	hand1_1	npc\worldnpc137			icon\funcnpc\worldnpc137.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	3	talkrule070203							167;175;190;156;157					1	2		1											1						1			2000	15		2000								0	10																							1				2																		
WorldNpc00515	CommonNpc	ºÂÍ¨	3	8	84	2	2		1.25	4	hand1_1	npc\worldnpc107			icon\funcnpc\worldnpc107.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			6	1	1	talkrule060101							161;169;185;156					1	2		1											1						1			2000	15		2000								0	10																							1				5	5	22																
WorldNpc00516	CommonNpc	ÖÓÃî	1	8	84	2	2		1.3	4.8	hand1_2	npc\worldnpc113			icon\funcnpc\worldnpc113.png					0				3	0	0			20	prop_ZhongLiMenPai_202	Call_24	Home_133	1			6	1	4	talkrule060104		zhuanyong_256					164;169;179;187;156					1	2		1											1						1			2000	15		2000								0	10								10846;10847;10893;10894;	10846;10851;10893;10894;														1				5																		
WorldNpc00517	CommonNpc	Ð»Ô¶Ä«	3	8	84	2	2		1.25	4	hand1_1	npc\worldnpc126			icon\funcnpc\worldnpc126.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	1	talkrule070201							164;169;179;187;156					1	2		1											1						1			2000	15		2000								0	10																							1				2																		
WorldNpc00518	CommonNpc	Ì·±ª	2	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	7	3	talkrule070703							164;173;180;189;156					1	10		2											1						1			2000	20		2000								0	10																							1				3	3	14																
WorldNpc00519	CommonNpc	ÁõÃú	1	8	84	2	2		1.25	4	hand1_1	npc\worldnpc107			icon\funcnpc\worldnpc107.png					0				3	0	0			20	prop_ZhongLiMenPai_203	Call_25	Home_133	1			6	1	1	talkrule060101		zhuanyong_257	1				161;169;185;156					1	1		1											1						1			2000	15		2000						1		0	10								10781;10782;10783;10784;	10781;10782;10783;10784;10897;														1				5	5	22																
WorldNpc00520	CommonNpc	ÂíÃù	2	8	84	2	2	1	1.25	4	hand1_1	npc\monster039			icon\monster\monster039.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	2			7	2	9	talkrule070209							162;178;186;156;157					1	18		2											1						1			1500	20		2000								0	10																							1				4																		
WorldNpc00521	CommonNpc	Íõ¶þ	2	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_133	1			7	7	3	talkrule070703							164;173;180;189;156					1	2		1											1						1			2000	15		2000								0	10																							1				3	3	14																
WorldNpc00522	CommonNpc	µóÈ«	2	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_133	1			7	7	3	talkrule070703							164;173;180;189;156					1	2		1											1						1			2000	15		2000								0	10																							1				3																		
WorldNpc00523	CommonNpc	Ç®´óºÓ	3	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc164			icon\funcnpc\worldnpc164.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	1	6	talkrule070106			1				161;169;185;156					1	1		1											1						1			2000	15		2000						1		0	10																							1				3																		
WorldNpc00524	CommonNpc	Ç®ÊÏ	4	8	84	2	2	1	1.3	4.8	hand1_2	npc\worldnpc131			icon\funcnpc\worldnpc131.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	4	talkrule070204							166;169;183;156;157					1	2		1											1						1			2000	15		2000								0	10								80611;	80611;														1				2																		
WorldNpc00525	CommonNpc	ÌúôÃ	2	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_133	1			7	7	3	talkrule070703							164;173;180;189;156					1	2		1											1						1			2000	15		2000								0	10																							1				3																		
WorldNpc00526	CommonNpc	ÂÞÌ«	2	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_133	1			7	7	3	talkrule070703							164;173;180;189;156					1	2		1											1						1			2000	15		2000								0	10																							1				3																		
WorldNpc00527	CommonNpc	Åá°²	1	8	84	2	2	1	1.25	4	hand1_1	npc\worldnpc110			icon\funcnpc\worldnpc110.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	3	talkrule070203							167;175;190;156;157					1	2		1											1						1			2000	15		2000								0	10																							1				2																		
WorldNpc00528	CommonNpc	ÇÇÀÏºº	3	8	84	2	2		1.25	4	hand1_1	npc\worldnpc125			icon\funcnpc\worldnpc125.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	1	talkrule070201							164;169;179;187;156					1	2		1											1						1			2000	15		2000								0	10																							1				2																		
WorldNpc00529	CommonNpc	ÕÔ´óÒ¯	3	8	84	2	2		1.25	4	hand1_1	npc\worldnpc126			icon\funcnpc\worldnpc126.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	1	talkrule070201							164;169;179;187;156					1	2		1											1						1			2000	15		2000								0	10																							1				2																		
WorldNpc00530	CommonNpc	ÂíÆ½¹ó	1	8	84	2	2		1.25	4	hand1_1	npc\worldnpc107			icon\funcnpc\worldnpc107.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	3	talkrule070203							167;175;190;156;157					1	2		1											1						1			2000	15		2000								0	10																							1				2																		
WorldNpc00531	CommonNpc	ÌÆÇú¶ù	5	8	84	2	2		1.3	4.8	hand1_2	npc\worldnpc201			icon\funcnpc\worldnpc201.png					0				3	0	0			20	prop_ZhongLiMenPai_1		Home_133	1			1	5	3	talkrule010503							164;169;179;187;156					1	2		1											1						1			2000	15		2000								0	10																							3				4																		
WorldNpc00532	CommonNpc	µË¼½	2	8	84	2	2		1.25	4	hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	7	3	talkrule070703							164;173;180;189;156					1	2		1											1						1			2000	15		2000								0	10																							1				3																		
