STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
70020			s1530101	14	dhyd_ssl_010	dhyd_ssl_010			70021	1										title_70020	context_70020	accept_70020_1;menu_70020_1	complete_70020;submit_70020		target_70020		next_70020	CanAcceptMenu_70020		CompleteMenu_70020					0	0	0																	
70021			s1530101	14	dhyd_ssl_001	dhyd_ssl_001			70022	1										title_70021	context_70021	accept_70021_1;menu_70021_1	complete_70021;submit_70021		target_70021		next_70021	CanAcceptMenu_70021		CompleteMenu_70021					0	0	0																	
70022			s1530101	14	dhyd_ssl_011	dhyd_ssl_011			70023	1										title_70022	context_70022	accept_70022_1;menu_70022_1	complete_70022;submit_70022		target_70022		next_70022	CanAcceptMenu_70022		CompleteMenu_70022					0	0	0																	
70023			s1530101	14	dhyd_ssl_010	dhyd_ssl_010			71011	1										title_70023	context_70023	accept_70023_1;menu_70023_1	complete_70023;submit_70023		target_70023		next_70023	CanAcceptMenu_70023		CompleteMenu_70023					0	0	0																	
70016			s1530101	5	npc_huiguihuodong_01	npc_huiguihuodong_01							112508;112509;112510					SubmitNpcEx_70016		title_70016	context_70016	accept_70016_1;menu_70016_1	complete_70016;submit_70016		target_70016		next_70016	CanAcceptMenu_70016		CompleteMenu_70016					0	0	0																	
70024			s1530101	14	newworld_shengsipan_001	newworld_shengsipan_001	604	604										SubmitNpcEx_70024		title_70024	context_70024	accept_70024_1;menu_70024_1	complete_70024;submit_70024		target_70024		next_70024	CanAcceptMenu_70024		CompleteMenu_70024					0	0	3	1	1															
70025			s1530101	5	fqrwnpc_1012	hd_2015qx_001	17	17					28083					SubmitNpcEx_70025		title_70025	context_70025	accept_70025_1;menu_70025_1	complete_70025;submit_70025		target_70025		next_70025	CanAcceptMenu_70025		CompleteMenu_70025					1	0	1	1	1															
70026			s1530101	5	fqrwnpc_1012	hd_2015qx_002	17	17					28086					SubmitNpcEx_70026		title_70026	context_70026	accept_70026_1;menu_70026_1	complete_70026;submit_70026		target_70026		next_70026	CanAcceptMenu_70026		CompleteMenu_70026					1	0	1	1	1															
70027			s1530101	5	zqhd_001	zqhd_001	14	14				70028	113007;113038							title_70027	context_70027	accept_70027_1;menu_70027_1	complete_70027;submit_70027		target_70027		next_70027	CanAcceptMenu_70027		CompleteMenu_70027					0	0	1	1	1			148												
70028			s1530101	5	zqhd_001	zqhd_002	14	14			70027	70029	113007;113038							title_70028	context_70028	accept_70028_1;menu_70028_1	complete_70028;submit_70028		target_70028		next_70028	CanAcceptMenu_70028		CompleteMenu_70028					0	0						148												
70029			s1530101	5	zqhd_002	JobSuZ011	14	14			70028	70030	113007;113038							title_70029	context_70029	accept_70029_1;menu_70029_1	complete_70029;submit_70029		target_70029		next_70029	CanAcceptMenu_70029		CompleteMenu_70029					0	0						148												
70030			s1530101	5	JobSuZ011	zqhd_006	14				70029	70031	113007;113038					SubmitNpcEx_70030		title_70030	context_70030	accept_70030_1;menu_70030_1	complete_70030;submit_70030		target_70030		next_70030	CanAcceptMenu_70030		CompleteMenu_70030					0	0						148												
70031			s1530101	5	zqhd_006	zqhd_006					70030		113007;113038					SubmitNpcEx_70031		title_70031	context_70031	accept_70031_1;menu_70031_1	complete_70031;submit_70031		target_70031		next_70031	CanAcceptMenu_70031		CompleteMenu_70031					0	0						148												
70033			s1530101	5	hd_dw_001	hd_dw_001							113203					SubmitNpcEx_70033		title_70033	context_70033	accept_70033_1;menu_70033_1	complete_70033;submit_70033		target_70033		next_70033	CanAcceptMenu_70033		CompleteMenu_70033					1	0	0	0	0															
70036			s1530101	5	chunjie_qifu_001	chunjie_qifu_001	17	17					113591							title_70036	context_70036	accept_70036_1;menu_70036_1	complete_70036;submit_70036		target_70036		next_70036	CanAcceptMenu_70036		CompleteMenu_70036					1	0	1	1	1															
70037			s1530101	5	chunjie_qifu_001	chunjie_qifu_001	17	17					19219;113591							title_70037	context_70037	accept_70037_1;menu_70037_1	complete_70037;submit_70037		target_70037		next_70037	CanAcceptMenu_70037		CompleteMenu_70037					1	0	1	1	1															
70038			s1530101	5	chunjie_qifu_001	chunjie_qifu_001	17	17					113586;113591							title_70038	context_70038	accept_70038_1;menu_70038_1	complete_70038;submit_70038		target_70038		next_70038	CanAcceptMenu_70038		CompleteMenu_70038					1	0	1	1	1															
70903			s1530101	5	juqingxiang_001		2	2					113714;113935					SubmitNpcEx_70903		title_70903	context_70903	accept_70903_1;menu_70903_1			target_70903		next_70903	CanAcceptMenu_70903							1	0	1	1	1															
70904			s1530101	5	juqingxiang_002	juqingxiang_002	2											SubmitNpcEx_70904		title_70904	context_70904				target_70904		next_70904								1	0	1																	
70905			s1530101	5	juqingxiang_002		2	2										SubmitNpcEx_70905		title_70905	context_70905				target_70905		next_70905								1	0	1																	
70906			s1530101	5	juqingxiang_002	juqingxiang_002	2	2										SubmitNpcEx_70906		title_70906	context_70906				target_70906		next_70906								1	0	1																	
70907			s1530101	5	juqingxiang_002	juqingxiang_002	2	2										SubmitNpcEx_70907		title_70907	context_70907				target_70907		next_70907								1	0	1																	
70908			s1530101	5	juqingxiang_003	juqingxiang_001	2	2										SubmitNpcEx_70908		title_70908	context_70908				target_70908		next_70908								1	0	1																	
70909			s1530101	5	juqingxiang_003	juqingxiang_001	2	2										SubmitNpcEx_70909		title_70909	context_70909				target_70909		next_70909								1	0	1																	
70910			s1530101	5	juqingxiang_003	juqingxiang_001	2	2										SubmitNpcEx_70910		title_70910	context_70910				target_70910		next_70910								1	0	1																	
70911			s1530101	5	juqingxiang_003	juqingxiang_001	2	2										SubmitNpcEx_70911		title_70911	context_70911				target_70911		next_70911								1	0	1																	
70913			s1530101	5	juqingxiang_004	juqingxiang_001	2	2										SubmitNpcEx_70913		title_70913	context_70913				target_70913		next_70913								1	0	1																	
70914			s1530101	5	juqingxiang_004	juqingxiang_001	2	2										SubmitNpcEx_70914		title_70914	context_70914				target_70914		next_70914								1	0	1																	
70915			s1530101	5	juqingxiang_004	juqingxiang_001	2	2										SubmitNpcEx_70915		title_70915	context_70915				target_70915		next_70915								1	0	1																	
70916			s1530101	5	juqingxiang_004	juqingxiang_001	2	2										SubmitNpcEx_70916		title_70916	context_70916				target_70916		next_70916								1	0	1																	
70919			s1530101	5			2	2										SubmitNpcEx_70919		title_70919	context_70919				target_70919		next_70919								1	0	1																	
70921			s1530101	5		juqingxiang_001	2	2										SubmitNpcEx_70921		title_70921	context_70921	accept_70921_1;menu_70921_1	complete_70921;submit_70921		target_70921		next_70921	CanAcceptMenu_70921		CompleteMenu_70921					1	0	1																	
70920			s1530101	5			2	2										SubmitNpcEx_70920		title_70920	context_70920				target_70920		next_70920								1	0	1																	
70048			s1530101	5	hd_qm_chaoting	hd_qm_chaoting	14	14					113893							title_70048	context_70048	accept_70048_1;menu_70048_1	complete_70048;submit_70048		target_70048		next_70048	CanAcceptMenu_70048		CompleteMenu_70048					1	0	1	1	1															
70047			s1530101	5	hd_qm_mutong	hd_qm_mutong	14	14					113893					SubmitNpcEx_70047		title_70047	context_70047	accept_70047_1;menu_70047_1	complete_70047;submit_70047		target_70047		next_70047	CanAcceptMenu_70047		CompleteMenu_70047					0	0	1	1	1															
70059			s1530101	5	hd_dw_001	hd_dw_001							114208					SubmitNpcEx_70059		title_70059	context_70059	accept_70059_1;menu_70059_1	complete_70059;submit_70059		target_70059		next_70059	CanAcceptMenu_70059		CompleteMenu_70059					1	0	0	0	0															
70065			s1530101	5	chushi_001	chushi_001							28784					SubmitNpcEx_70065		title_70065	context_70065	accept_70065_1;menu_70065_1	complete_70065;submit_70065		target_70065		next_70065	CanAcceptMenu_70065		CompleteMenu_70065					1	0	3	1	1															
70081			s1530101	5	sz348	sz348	14	14					115676;115587							title_70081	context_70081	accept_70081_1;menu_70081_1	complete_70081;submit_70081		target_70081			CanAcceptMenu_70081		CompleteMenu_70081					1	0	0	0	0															
70082			s1530101	5	newworld_event_qm1	newworld_event_qm1	14	14					115731					SubmitNpcEx_70082		title_70082	context_70082	accept_70082_1;menu_70082_1	complete_70082;submit_70082		target_70082		next_70082	CanAcceptMenu_70082		CompleteMenu_70082					1	0	1	1	1															
70085			s1530101	5	npc_ftask_001	npc_ftask_001	16	16					115768;115881							title_70085	context_70085	accept_70085_1;menu_70085_1	complete_70085;submit_70085		target_70085		next_70085	CanAcceptMenu_70085		CompleteMenu_70085					0	0	0	0	0															
70086			s1530101	5	npc_ftask_004	npc_ftask_004	16	16					115768;115881							title_70086	context_70086	accept_70086_1;menu_70086_1	complete_70086;submit_70086		target_70086		next_70086	CanAcceptMenu_70086		CompleteMenu_70086					1	1	1	1	1															
70089			s1530101	5	npc_hd_201751_001	npc_hd_201751_001	13	13					115912			60019				title_70089	context_70089	accept_70089_1;menu_70089_1	complete_70089;submit_70089		target_70089		next_70089	CanAcceptMenu_70089		CompleteMenu_70089					1	0	1	1	1															
70090			s1530101	5	npc_hd_201751_001	npc_hd_201751_001	13	13					115912							title_70090	context_70090	accept_70090_1;menu_70090_1	complete_70090;submit_70090		target_70090		next_70090	CanAcceptMenu_70090		CompleteMenu_70090					1	0	1	1	1															
70091			s1530101	5	npc_hd_201751_001	npc_hd_201751_001	13	13					115912							title_70091	context_70091	accept_70091_1;menu_70091_1	complete_70091;submit_70091		target_70091		next_70091	CanAcceptMenu_70091		CompleteMenu_70091					1	0	1	1	1															
70092			s1530101	5	npc_hd_201751_001	npc_hd_201751_001	13	13					115912			60020;60021				title_70092	context_70092	accept_70092_1;menu_70092_1	complete_70092;submit_70092		target_70092		next_70092	CanAcceptMenu_70092		CompleteMenu_70092					1	0	1	1	1															
70093			s1530101	5	hd_dw_001	hd_dw_001							116000					SubmitNpcEx_70093		title_70093	context_70093	accept_70093_1;menu_70093_1	complete_70093;submit_70093		target_70093		next_70093	CanAcceptMenu_70093		CompleteMenu_70093					1	0																		
70500			s1530201	14	npc_wjd_wjd_001	npc_wjd_wjd_001	605	605	70501							60007				title_70500	context_70500	accept_70500_1;menu_70500_1	complete_70500;submit_70500		target_70500		next_70500	CanAcceptMenu_70500		CompleteMenu_70500					0	0	0	0	0															
70501			s1530201	14		npc_wjd_wjd_003		605	70502											title_70501	context_70501	accept_70501_1;menu_70501_1	complete_70501;submit_70501		target_70501		next_70501	CanAcceptMenu_70501		CompleteMenu_70501					0	0	0	0	0															
70502			s1530201	14		npc_wjd_wjd_003		605	70503											title_70502	context_70502	accept_70502_1;menu_70502_1	complete_70502;submit_70502		target_70502		next_70502	CanAcceptMenu_70502		CompleteMenu_70502					0	0	0	0	0															
70503			s1530201	14		npc_wjd_wjd_001		605	70504											title_70503	context_70503	accept_70503_1;menu_70503_1	complete_70503;submit_70503		target_70503		next_70503	CanAcceptMenu_70503		CompleteMenu_70503					0	0	0	0	0															
70504			s1530201	14		npc_wjd_wjd_001		605	70505							60008;60009				title_70504	context_70504	accept_70504_1;menu_70504_1	complete_70504;submit_70504		target_70504		next_70504	CanAcceptMenu_70504		CompleteMenu_70504					0	0	0	0	0															
70505			s1530201	14		npc_wjd_wjd_001		605	70506											title_70505	context_70505	accept_70505_1;menu_70505_1	complete_70505;submit_70505		target_70505		next_70505	CanAcceptMenu_70505		CompleteMenu_70505					0	0	0	0	0															
70506			s1530201	14		npc_wjd_wjd_001		605	70507											title_70506	context_70506	accept_70506_1;menu_70506_1	complete_70506;submit_70506		target_70506		next_70506	CanAcceptMenu_70506		CompleteMenu_70506					0	0	0	0	0															
70507			s1530201	14					70508	1										title_70507	context_70507	accept_70507_1;menu_70507_1	complete_70507;submit_70507		target_70507		next_70507	CanAcceptMenu_70507		CompleteMenu_70507					0	0	0	0	0															
70508			s1530201	14		npc_wjd_wjd_001		605	70509											title_70508	context_70508	accept_70508_1;menu_70508_1	complete_70508;submit_70508		target_70508		next_70508	CanAcceptMenu_70508		CompleteMenu_70508					0	0	0	0	0															
70509			s1530201	14		npc_wjd_wjd_001		605	70510											title_70509	context_70509	accept_70509_1;menu_70509_1	complete_70509;submit_70509		target_70509		next_70509	CanAcceptMenu_70509		CompleteMenu_70509					0	0	0	0	0															
70510			s1530201	14		npc_wjd_wjd_001		605	70511											title_70510	context_70510	accept_70510_1;menu_70510_1	complete_70510;submit_70510		target_70510		next_70510	CanAcceptMenu_70510		CompleteMenu_70510					0	0	0	0	0															
70511			s1530201	14		npc_wjd_wjd_001		605	70512											title_70511	context_70511	accept_70511_1;menu_70511_1	complete_70511;submit_70511		target_70511		next_70511	CanAcceptMenu_70511		CompleteMenu_70511					0	0	0	0	0															
70512			s1530201	14		npc_wjd_wjd_003		605	70513											title_70512	context_70512	accept_70512_1;menu_70512_1	complete_70512;submit_70512		target_70512		next_70512	CanAcceptMenu_70512		CompleteMenu_70512					0	0	0	0	0															
70513			s1530201	14		npc_wjd_wjd_003		605	70514											title_70513	context_70513	accept_70513_1;menu_70513_1	complete_70513;submit_70513		target_70513		next_70513	CanAcceptMenu_70513		CompleteMenu_70513					0	0	0	0	0															
70514			s1530201	14		npc_wjd_wjd_003		605	70515											title_70514	context_70514	accept_70514_1;menu_70514_1	complete_70514;submit_70514		target_70514		next_70514	CanAcceptMenu_70514		CompleteMenu_70514					0	0	0	0	0															
70515			s1530201	14		npc_wjd_wjd_001		605	70516											title_70515	context_70515	accept_70515_1;menu_70515_1	complete_70515;submit_70515		target_70515		next_70515	CanAcceptMenu_70515		CompleteMenu_70515					0	0	0	0	0															
70516			s1530201	14		npc_wjd_wjd_003		605	70517											title_70516	context_70516	accept_70516_1;menu_70516_1	complete_70516;submit_70516		target_70516		next_70516	CanAcceptMenu_70516		CompleteMenu_70516					0	0	0	0	0															
70517			s1530201	14		worldnpc04101		5								60010				title_70517	context_70517	accept_70517_1;menu_70517_1	complete_70517;submit_70517		target_70517		next_70517	CanAcceptMenu_70517		CompleteMenu_70517					0	0	0	0	0															
70032			s1530101	5	hd_npc_xsm_001	hd_npc_xsm_001							113204					SubmitNpcEx_70032		title_70032	context_70032	accept_70032_1;menu_70032_1	complete_70032;submit_70032		target_70032		next_70032			CompleteMenu_70032					1	0	1	1	1															
70034			s1530101	5	hd_dw_001	hd_dw_001							113509					SubmitNpcEx_70034		title_70034	context_70034				target_70034		next_70034								1	0																		
70035			s1530101	5	hd_dw_001	hd_dw_001							113543					SubmitNpcEx_70035		title_70035	context_70035				target_70035		next_70035								1	0																		
70039			s1530101	5	hd_dw_001	hd_dw_001							113598					SubmitNpcEx_70039		title_70039	context_70039				target_70039		next_70039								1	0																		
70040			s1530101	5	hd_dw_001	hd_dw_001							28427					SubmitNpcEx_70040		title_70040	context_70040				target_70040		next_70040								1	0	1	1	1															
70041			s1530101	5	hd_dw_001	hd_dw_001							113645;113655;113718					SubmitNpcEx_70041		title_70041	context_70041				target_70041										1	0	1	1	1															
70042			s1530101	5	hd_dw_001	hd_dw_001							113646;113655;113718					SubmitNpcEx_70042		title_70042	context_70042				target_70042		next_70042								1	0	1	1	1															
70043			s1530101	5	hd_dw_001	hd_dw_001							113647;113655;113718					SubmitNpcEx_70043		title_70043	context_70043				target_70043										1	0	1	1	1															
70044			s1530101	5	hd_dw_001	hd_dw_001							113648;113655;113718					SubmitNpcEx_70044		title_70044	context_70044				target_70044										1	0	1	1	1															
70045			s1530101	5	hd_dw_001	hd_dw_001							113649;113655;113718					SubmitNpcEx_70045		title_70045	context_70045				target_70045										1	0	1	1	1															
70046			s1530101	5	hd_dw_001	hd_dw_001							113650;113655;113718					SubmitNpcEx_70046		title_70046	context_70046				target_70046										1	0	1	1	1															
70803			s1530301	5	yywl_gujjztz_001	yywl_gujjztz_001	2	2					113715					SubmitNpcEx_70803		title_70803	context_70803	accept_70803_1;menu_70803_1	complete_70803;submit_70803		target_70803			CanAcceptMenu_70803		CompleteMenu_70803					1	0	1	1	1														15000	box_prize_wywl001
70805			s1530301	5	Npc_sneakon_rw_01	Npc_sneakon_rw_01	2	2					113714							title_70805	context_70805	accept_70805_1;menu_70805_1	complete_70805;submit_70805		target_70805		next_70805	CanAcceptMenu_70805		CompleteMenu_70805					1	0	1	1	1														15000	box_prize_wywl007
70806			s1530301	5	Npc_sneakon_rw_01	Npc_sneakon_rw_01	2	2					113715							title_70806	context_70806	accept_70806_1;menu_70806_1	complete_70806;submit_70806		target_70806		next_70806	CanAcceptMenu_70806		CompleteMenu_70806					1	0	1	1	1														15000	box_prize_wywl008
70807			s1530301	5	waiyuwulin_003	waiyuwulin_002	3	3			70800	70802								title_70807	context_70807	accept_70807_1;menu_70807_1	complete_70807;submit_70807		target_70807		next_70807	CanAcceptMenu_70807		CompleteMenu_70807	9758				1	0	0	0	0															
70800			s1530301	5	waiyuwulin_001	waiyuwulin_003	14	3				70807	113892							title_70800	context_70800	accept_70800_1;menu_70800_1	complete_70800;submit_70800		target_70800		next_70800	CanAcceptMenu_70800		CompleteMenu_70800					1	0	0	0	0															
70802			s1530301	5	waiyuwulin_002	waiyuwulin_006	3	2			70807									title_70802	context_70802	accept_70802_1;menu_70802_1	complete_70802;submit_70802		target_70802		next_70802	CanAcceptMenu_70802		CompleteMenu_70802					1	0	0	0	0															
70804			s1530301	5	waiyuwulin_008	waiyuwulin_008	2	2					113876;113892							title_70804	context_70804	accept_70804_1;menu_70804_1	complete_70804;submit_70804		target_70804		next_70804	CanAcceptMenu_70804		CompleteMenu_70804					1	0	2	0																
70808			s1530301	5	outlandwar_lpf001	outlandwar_lpf001	2	2					113868							title_70808	context_70808	accept_70808_1;menu_70808_1	complete_70808;submit_70808		target_70808		next_70808	CanAcceptMenu_70808		CompleteMenu_70808					1	0	1	1	1															
70049			s1530101	5	hd_dw_001	hd_shcx_001			70050			70050	113924					SubmitNpcEx_70049		title_70049	context_70049		complete_70049;submit_70049		target_70049										1	0	1	1	1			152												
70050			s1530101	5		hd_dw_001					70049							SubmitNpcEx_70050		title_70050	context_70050		complete_70050;submit_70050		target_70050					CompleteMenu_70050					0	0						152												
70051			s1530101	5	hd_dw_001	hd_dw_001							113933;113934					SubmitNpcEx_70051		title_70051	context_70051	accept_70051_1;menu_70051_1	complete_70051;submit_70051		target_70051		next_70051	CanAcceptMenu_70051		CompleteMenu_70051					1	0	1	1	1															
70053			s1530101	5	hd_dw_001	hd_dw_001							113972					SubmitNpcEx_70053		title_70053	context_70053				target_70053										1	0	0																	
70052			s1530101	5	hd_xfhd_001	hd_xfhd_001							113928;113929					SubmitNpcEx_70052		title_70052	context_70052				target_70052										1	0	0																	
70809			s1530301	5	yywl_lzydh_wpdh	yywl_lzydh_wpdh	2	2												title_70809	context_70809	accept_70809_1;menu_70809_1	complete_70809;submit_70809		target_70809			CanAcceptMenu_70809		CompleteMenu_70809					1	0	0	0	0															
70054			s1530101	5	hd_wyhd_001	hd_wyhd_001	14	14					117214							title_70054	context_70054				target_70054										1	0	1	1	1															
70055			s1530101	5	hd_wyhd_001	hd_wyhd_001	14	14					117214							title_70055	context_70055				target_70055										1	0	1	1	1															
70056			s1530101	5	hd_wyhd_001	hd_wyhd_001	14	14					117214							title_70056	context_70056				target_70056										1	0	1	1	1															
70057			s1530101	5	hd_wyhd_001	hd_wyhd_001	14	14					117214							title_70057	context_70057				target_70057										1	0	1	1	1															
70058			s1530101	5	hd_wyhd_001	hd_wyhd_001	14	14					115908							title_70058	context_70058				target_70058										1	0	1	1	1															
70060			s1530101	5	biaoqian_npc_01	biaoqian_npc_01	17	17					114262;17545					SubmitNpcEx_70060		title_70060	context_70060	accept_70060_1;menu_70060_1	complete_70060;submit_70060		target_70060		next_70060	CanAcceptMenu_70060		CompleteMenu_70060					1	0	1	1	1															
70062			s1530101	5	hd_dw_001	hd_dw_001							28711;114948					SubmitNpcEx_70062		title_70062	context_70062	accept_70062_1;menu_70062_1	complete_70062;submit_70062		target_70062		next_70062	CanAcceptMenu_70062		CompleteMenu_70062					1	0	0																	
70061			s1530101	5	hd_wyqb_01	hd_wyqb_01	2	2					114941;114942;114957							title_70061	context_70061				target_70061										0	0	1	1	1															
70063			s1530101	5	hd_wyhd_001	hd_wyhd_001							112325;114976					SubmitNpcEx_70063		title_70063	context_70063				target_70063		next_70063								1	0	0																	
70064			s1530101	5	hd_wyhd_001	hd_wyhd_001							112325;114975					SubmitNpcEx_70064		title_70064	context_70064				target_70064		next_70064								1	0	0																	
70201			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727					SubmitNpcEx_70201		title_70201	context_70201				target_70201		next_70201								1	0	3	1	1															
70202			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727					SubmitNpcEx_70202		title_70202	context_70202				target_70202		next_70202								1	0	3	1	1															
70203			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727					SubmitNpcEx_70203		title_70203	context_70203				target_70203		next_70203								1	0	3	1	1															
70204			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727					SubmitNpcEx_70204		title_70204	context_70204				target_70204		next_70204								1	0	3	1	1															
70205			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727					SubmitNpcEx_70205		title_70205	context_70205				target_70205		next_70205								1	0	3	1	1															
70206			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727;27235					SubmitNpcEx_70206		title_70206	context_70206				target_70206		next_70206								1	0	3	1	1															
70207			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727					SubmitNpcEx_70207		title_70207	context_70207	accept_70207_1;menu_70207_1	complete_70207;submit_70207		target_70207		next_70207	CanAcceptMenu_70207		CompleteMenu_70207					1	0	3	1	5															
70067			s1530101	5	hd_dw_001	hd_dw_001							115576					SubmitNpcEx_70067		title_70067	context_70067				target_70067										0	0	0	0	0															
70066			s1530101	5	sd_npc_002	sd_npc_002							115551					SubmitNpcEx_70066		title_70066	context_70066	accept_70066_1;menu_70066_1	complete_70066;submit_70066		target_70066		next_70066	CanAcceptMenu_70066		CompleteMenu_70066					1	0	0	0	0															
70068			s1530101	5	hd_dw_001	hd_dw_001							115578					SubmitNpcEx_70068		title_70068	context_70068				target_70068										1	0	1	1	1															
70069			s1530101	5	WorldNpc01650	WorldNpc01650	14	14					115580					SubmitNpcEx_70069		title_70069	context_70069	accept_70069_1;menu_70069_1	complete_70069;submit_70069		target_70069			CanAcceptMenu_70069		CompleteMenu_70069					1	0	0																	
70070			s1530101	5	WorldNpc01194	WorldNpc01194	14	14					115580;17545			60011		SubmitNpcEx_70070		title_70070	context_70070	accept_70070_1;menu_70070_1	complete_70070;submit_70070		target_70070			CanAcceptMenu_70070		CompleteMenu_70070					1	0	0																	
70071			s1530101	5	FuncNpc00106	FuncNpc00106	14	14					115583			60012				title_70071	context_70071				target_70071										1	0	1	1	1															
70072			s1530101	5	FuncNpc00106	FuncNpc00106	14	14					115583			60013				title_70072	context_70072				target_70072										1	0	1	1	1															
70073			s1530101	5	FuncNpc00106	FuncNpc00106	14	14					115583			60014				title_70073	context_70073				target_70073										1	0	1	1	1															
