STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
52053			s970101	13	npc_hsp_001	npc_hsp_001	571	571					27603			43219					title_52053	context_52053	accept_52053_1;menu_52053_1	complete_52053;submit_52053		target_52053		next_52053	CanAcceptMenu_52053		CompleteMenu_52053					0	0	3	1	1			
52054			s970101	13	newmp_wxj_01	newmp_wxj_01	634	634					27604			43220					title_52054	context_52054	accept_52054_1;menu_52054_1	complete_52054;submit_52054		target_52054		next_52054	CanAcceptMenu_52054		CompleteMenu_52054					0	0	3	1	1			
52055			s970101	13	npc_nlb_001	npc_nlb_001	565	565					27343			43218					title_52055	context_52055	accept_52055_1;menu_52055_1	complete_52055;submit_52055		target_52055		next_52055	CanAcceptMenu_52055		CompleteMenu_52055					0	0	3	1	1			
52056			s970101	13	newmp_shenshui_001	newmp_shenshui_001	573	573					27605			43221					title_52056	context_52056	accept_52056_1;menu_52056_1	complete_52056;submit_52056		target_52056		next_52056	CanAcceptMenu_52056		CompleteMenu_52056					0	0	3	1	1			
52057			s970101	13	newmp_gumu_001	newmp_gumu_001	541	541					27180			43216			SubmitNpcEx_52057		title_52057	context_52057	accept_52057_1;menu_52057_1	complete_52057;submit_52057		target_52057		next_52057	CanAcceptMenu_52057		CompleteMenu_52057					0	0	3	1	1			
52058			s970101	13	newmp_dmp_05	newmp_dmp_05	637	637					27606			43222					title_52058	context_52058	accept_52058_1;menu_52058_1	complete_52058;submit_52058		target_52058		next_52058	CanAcceptMenu_52058		CompleteMenu_52058					0	0	3	1	1			
52061			s970101	13	offline_xunluo_xdm	offline_xunluo_xdm	5	5					27177								title_52061	context_52061	accept_52061_1;menu_52061_1	complete_52061;submit_52061		target_52061		next_52061	CanAcceptMenu_52061		CompleteMenu_52061					0	0	1	1	1			
52062			s970101	13	offline_xunluo_cfbj	offline_xunluo_cfbj	6	6					27340								title_52062	context_52062	accept_52062_1;menu_52062_1	complete_52062;submit_52062		target_52062		next_52062	CanAcceptMenu_52062		CompleteMenu_52062					0	0	1	1	1			
52063			s970101	13	offline_xunluo_hsp	offline_xunluo_hsp	7	7					27599								title_52063	context_52063	accept_52063_1;menu_52063_1	complete_52063;submit_52063		target_52063		next_52063	CanAcceptMenu_52063		CompleteMenu_52063					0	0	1	1	1			
52064			s970101	13	offline_xunluo_wxj	offline_xunluo_wxj	8	8					27600								title_52064	context_52064	accept_52064_1;menu_52064_1	complete_52064;submit_52064		target_52064		next_52064	CanAcceptMenu_52064		CompleteMenu_52064					0	0	1	1	1			
52065			s970101	13	offline_xunluo_nlb	offline_xunluo_nlb	9	9					27341								title_52065	context_52065	accept_52065_1;menu_52065_1	complete_52065;submit_52065		target_52065		next_52065	CanAcceptMenu_52065		CompleteMenu_52065					0	0	1	1	1			
52066			s970101	13	offline_xunluo_ssg	offline_xunluo_ssg	10	10					27601								title_52066	context_52066	accept_52066_1;menu_52066_1	complete_52066;submit_52066		target_52066		next_52066	CanAcceptMenu_52066		CompleteMenu_52066					0	0	1	1	1			
52067			s970101	13	offline_xunluo_gmp	offline_xunluo_gmp	11	11					27178								title_52067	context_52067	accept_52067_1;menu_52067_1	complete_52067;submit_52067		target_52067		next_52067	CanAcceptMenu_52067		CompleteMenu_52067					0	0	1	1	1			
52068			s970101	13	offline_xunluo_dmp	offline_xunluo_dmp	12	12					27602								title_52068	context_52068	accept_52068_1;menu_52068_1	complete_52068;submit_52068		target_52068		next_52068	CanAcceptMenu_52068		CompleteMenu_52068					0	0	1	1	1			
52071			s970101	13	offline_jyw	offline_xunluo_xdm	5	5					27143								title_52071	context_52071	accept_52071_1;menu_52071_1	complete_52071;submit_52071		target_52071		next_52071	CanAcceptMenu_52071		CompleteMenu_52071					1	0	1	1	4			
52072			s970101	13	offline_gb	offline_xunluo_cfbj	6	6					28104								title_52072	context_52072	accept_52072_1;menu_52072_1	complete_52072;submit_52072		target_52072			CanAcceptMenu_52072		CompleteMenu_52072					1	0	1	1	4			
52073			s970101	13	offline_jzt	offline_xunluo_hsp	7	7					28101								title_52073	context_52073	accept_52073_1;menu_52073_1	complete_52073;submit_52073		target_52073			CanAcceptMenu_52073		CompleteMenu_52073					1	0	1	1	4			
52074			s970101	13	offline_jlg	offline_xunluo_wxj	8	8					28102								title_52074	context_52074	accept_52074_1;menu_52074_1	complete_52074;submit_52074		target_52074			CanAcceptMenu_52074		CompleteMenu_52074					1	0	1	1	4			
52075			s970101	13	offline_tm	offline_xunluo_nlb	9	9					28103								title_52075	context_52075	accept_52075_1;menu_52075_1	complete_52075;submit_52075		target_52075			CanAcceptMenu_52075		CompleteMenu_52075					1	0	1	1	4			
52076			s970101	13	offline_em	offline_xunluo_ssg	10	10					28105								title_52076	context_52076	accept_52076_1;menu_52076_1	complete_52076;submit_52076		target_52076			CanAcceptMenu_52076		CompleteMenu_52076					1	0	1	1	4			
52077			s970101	13	offline_wd	offline_xunluo_gmp	11	11					27144								title_52077	context_52077	accept_52077_1;menu_52077_1	complete_52077;submit_52077		target_52077		next_52077	CanAcceptMenu_52077		CompleteMenu_52077					1	0	1	1	4			
52078			s970101	13	offline_sl	offline_xunluo_dmp	12	12					28106								title_52078	context_52078	accept_52078_1;menu_52078_1	complete_52078;submit_52078		target_52078			CanAcceptMenu_52078		CompleteMenu_52078					1	0	1	1	4			
52709			s970101	10	newmp_mj_001	newmp_mj_001	769	769					29310			43223					title_52709	context_52709	accept_52709_1;menu_52709_1	complete_52709;submit_52709		target_52709		next_52709	CanAcceptMenu_52709		CompleteMenu_52709					0	0	3	1	1			
52080			s970101	10	offline_xunluo_mj	offline_xunluo_mj	769	769					29311								title_52080	context_52080	accept_52080_1;menu_52080_1	complete_52080;submit_52080		target_52080		next_52080	CanAcceptMenu_52080		CompleteMenu_52080					0	0	1	1	1			
52081			s970101	10	offline_mj	offline_xunluo_mj	769	769					116257								title_52081	context_52081	accept_52081_1;menu_52081_1	complete_52081;submit_52081		target_52081		next_52081	CanAcceptMenu_52081		CompleteMenu_52081					1	0	1	1	4			
52082			s970101	10	newmp_mj_001	newmp_mj_001	769	769					29310;116448			43223					title_52082	context_52082	accept_52082_1;menu_52082_1	complete_52082;submit_52082		target_52082		next_52082	CanAcceptMenu_52082		CompleteMenu_52082					0	0	3	1	1			
52083			s970101	13	newmp_sjy_001	newmp_sjy_001	786	786					29484			43224					title_52083	context_52083	accept_52083_1;menu_52083_1	complete_52083;submit_52083		target_52083		next_52083	CanAcceptMenu_52083		CompleteMenu_52083					0	0	3	1	1			
52085			s970101	13	offline_xunluo_shenji	offline_xunluo_shenji	769	769					29485								title_52085	context_52085	accept_52085_1;menu_52085_1	complete_52085;submit_52085		target_52085		next_52085	CanAcceptMenu_52085		CompleteMenu_52085					0	0	1	1	1			
52086			s970101	13	offline_mj	offline_xunluo_shenji	769	769					29486								title_52086	context_52086	accept_52086_1;menu_52086_1	complete_52086;submit_52086		target_52086		next_52086	CanAcceptMenu_52086		CompleteMenu_52086					1	0	1	1	4			
52087			s970101	13	newmp_sjy_001	newmp_sjy_001	786	786					29484;116916			43225					title_52087	context_52087	accept_52087_1;menu_52087_1	complete_52087;submit_52087		target_52087		next_52087	CanAcceptMenu_52087		CompleteMenu_52087					0	0	3	1	1			
53050			s970202	5		npc_nlb_hh_lh_01	563	563													title_53050	context_53050	accept_53050_1;menu_53050_1	complete_53050;submit_53050		target_53050			CanAcceptMenu_53050		CompleteMenu_53050					1	0	1	1	999			buff_nlb_hh_ty01
52088			s970101	10	newmp_tsp_001	newmp_tsp_001	832	832					29764			43226					title_52088	context_52088	accept_52088_1;menu_52088_1	complete_52088;submit_52088		target_52088		next_52088	CanAcceptMenu_52088		CompleteMenu_52088					0	0	3	1	1			
52089			s970101	10	offline_xunluo_ts	offline_xunluo_ts	832	832					29765								title_52089	context_52089	accept_52089_1;menu_52089_1	complete_52089;submit_52089		target_52089		next_52089	CanAcceptMenu_52089		CompleteMenu_52089					0	0	1	1	1			
52090			s970101	10	offline_ts	offline_xunluo_ts	832	832					117366								title_52090	context_52090	accept_52090_1;menu_52090_1	complete_52090;submit_52090		target_52090		next_52090	CanAcceptMenu_52090		CompleteMenu_52090					1	0	1	1	4			
52091			s970101	13	newmp_xmg_001	newmp_xmg_001	891	891					29901			43227					title_52091	context_52091	accept_52091_1;menu_52091_1	complete_52091;submit_52091		target_52091		next_52091	CanAcceptMenu_52091		CompleteMenu_52091					0	0	3	1	1			
52092			s970101	13	offline_xunluo_xingmiao	offline_xunluo_xingmiao	832	832					29902								title_52092	context_52092	accept_52092_1;menu_52092_1	complete_52092;submit_52092		target_52092		next_52092	CanAcceptMenu_52092		CompleteMenu_52092					0	0	1	1	1			
52093			s970101	13	offline_ts	offline_xunluo_xingmiao	832	832					29903								title_52093	context_52093	accept_52093_1;menu_52093_1	complete_52093;submit_52093		target_52093		next_52093	CanAcceptMenu_52093		CompleteMenu_52093					1	0	1	1	4			
