STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING		
28501	TaskItemClone_004010	FunnpcClone004101			10	1	collectinfo_28501	30	4513		
28505	TaskItemClone_004008	GatherClone004006			40	1	collectinfo_28505	30			
27262	TaskItemClone009007	BossClone009008			1	1	collectinfo_27262	35			
28508	TaskItemClone_004010	FunnpcClone004150			10	100		30			
28514	TaskItemClone_004008	FunnpcClone004556			10	1		30			
28513	TaskItemClone_004007	FunnpcClone004555			10	1		30			
28519		GatherClone004003						30			
28520	TaskItemClone_0171131	BossClone017006			1	1	collectinfo_28520	43			
28521	TaskItemClone_0171132	BossClone017005			1	1	collectinfo_28521	43			
28522	TaskItemClone_0171133	BossClone017013			1	1	collectinfo_28522	43			
28504	TaskItemClone_004008	Gatherclone004005			15	1	collectinfo_28504	30			
28502	TaskItemClone_004007	GatherClone004005			40	1	collectinfo_28502	30			
28528	BossClone017002	1		hunterinfo_28528	43						2810
28531	BossClone017013	1		hunterinfo_28531	43						2818
