NPC编号	对象类型	名称	隐藏地面贴花	模型编号	头像	类型	NPC种类ID	响应范围	脚本编号	机关npc类型	1：可反复触发，不填默认只能触发1次	初始状态	机关触发后的状态	机关的触发动作	机关的恢复动作	触发后是否需要恢复原来状态0:否    1:是	"默认是否被打开,0:可开启，1：不可开启"	恢复原来状态的时间(ms)	采集动作名	触发读条时间(ms)	触发机关需要物品和提示(物品/个数/扣除表示/不足提示id)	NPC阵营	籍贯	平生	门派	AI编号	巡逻模式	寻路是是否转向	走路速度	跑步速度	路径编号	是否可选中	鼠标形状	机关开启人数（仅SpringMachineNpc可用）（不填则默认为1人）	AI编辑包	是否预载入模型	缩放
macclone002007	SpringMachineNpc		1	npc\fbmac002012	icon\funcnpc\door.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	0		10000	interact041	1000												2	5				
macclone002008	SpringMachineNpc		1	npc\fbmac002003	icon\funcnpc\door.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	0		10000	interact041	0												2	5				
macclone002009	SpringMachineNpc		1	npc\fbmac002004	icon\funcnpc\door.png	173	4	2	npc\spring_machine_npc.lua	-1	1	closeloop	openloop	open	close	0		-1	interact041	0												0	0				
macclone002010	SpringMachineNpc		1	npc\fbmac002005	icon\funcnpc\door.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	0		10000	interact041	0												2	5				
macclone002011	SpringMachineNpc		1	npc\fbmac002006	icon\funcnpc\door.png	173	4	2	npc\spring_machine_npc.lua	-1	1	closeloop	openloop	open	close	0		-1	interact041	0												0	0				
macclone002012	SpringMachineNpc		1	npc\fbmac002007	icon\funcnpc\door.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	0		10000	interact041	0												2	5				
macclone002013	SpringMachineNpc		1	npc\fbmac002008	icon\funcnpc\door.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	0		10000	interact041	2000	"TaskItemClone_002025,1,0,15007"											2	5				
macclone002014	SpringMachineNpc		1	npc\fbmac002009	icon\funcnpc\door.png	173	4	2	npc\clone\clone002\macclone002014.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	0												2	5				
macclone002015	SpringMachineNpc		1	npc\fbmac002010	icon\funcnpc\door.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	0												2	5				
macclone002016	SpringMachineNpc		1	npc\fbmac002011	icon\funcnpc\door.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	3000												2	5				
macclone002017	SpringMachineNpc		1	npc\itemnpc423a	icon\funcnpc\task.png	173	4	2	npc\clone\clone002\macclone002017.lua	2		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002018	SpringMachineNpc		1	npc\itemnpc423a	icon\funcnpc\task.png	173	4	2	npc\clone\clone002\macclone002018.lua	2		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002019	SpringMachineNpc		1	npc\itemnpc423a	icon\funcnpc\task.png	173	4	2	npc\clone\clone002\macclone002019.lua	2		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002020	SpringMachineNpc		1	npc\itemnpc423a	icon\funcnpc\task.png	173	4	2	npc\clone\clone002\macclone002020.lua	2		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002021	SpringMachineNpc		1	npc\itemnpc423a	icon\funcnpc\task.png	173	4	2	npc\clone\clone002\macclone002021.lua	2		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002022	SpringMachineNpc		1	npc\itemnpc423a	icon\funcnpc\task.png	173	4	2	npc\clone\clone002\macclone002022.lua	2		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002023	SpringMachineNpc		1	npc\itemnpc422a	icon\funcnpc\task.png	173	4	0		-1		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002024	SpringMachineNpc		1	npc\itemnpc422a	icon\funcnpc\task.png	173	4	0		-1		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002025	SpringMachineNpc		1	npc\itemnpc422a	icon\funcnpc\task.png	173	4	0		-1		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002026	SpringMachineNpc		1	npc\itemnpc422a	icon\funcnpc\task.png	173	4	0		-1		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002027	SpringMachineNpc		1	npc\itemnpc422a	icon\funcnpc\task.png	173	4	0		-1		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002028	SpringMachineNpc		1	npc\itemnpc422a	icon\funcnpc\task.png	173	4	0		-1		closeloop	openloop	open	close	0		-1	interact041	60000												2	9				
macclone002029	SpringMachineNpc		1	npc\fbmac002014	icon\funcnpc\door.png	173	4	2		-1		closeloop	openloop	open	close	0		-1	interact041	0												2					
macclone002030	SpringMachineNpc		1	npc\fbmac002016	icon\funcnpc\door.png	173	4	2		-1		closeloop	openloop	open	close	0		-1	interact041	3000												2	5				
macclone002031	SpringMachineNpc		1	npc\fbmac002015		173	4	2		-1		closeloop	openloop	open	close	0		-1	interact041	0												2	5				
macclone002032	SpringMachineNpc		1	npc\fbmac002017	icon\funcnpc\task.png	173	4	2	npc\clone\clone002\macclone002032.lua	-1		closeloop	openloop	open	close	0		10000	interact041	0												2	5				
macclone002033	SpringMachineNpc		1	npc\fbmac002018	icon\funcnpc\fbmac002018.png	173	4	2	npc\clone\clone002\macclone002033.lua	2		closeloop	openloop	open	close	0		10000	interact041	0												2	5				
																																					
MacClone002001	SpringMachineNpc		1	npc\fbmac002002	icon\funcnpc\door.png	173	4	3	npc\spring_machine_npc.lua	2		close	open	openloop	closeloop	0		10000	interact041	5000	"TaskItemClone_002018,1,1,15007"											2	5				
MacClone002002	SpringMachineNpc		1	npc\fbmac002002	icon\funcnpc\door.png	173	4	3	npc\spring_machine_npc.lua	2		close	open	openloop	closeloop	0		10000	interact041	5000	"TaskItemClone_002018,1,1,15007"											2	5				
MacClone002003	SpringMachineNpc		1	npc\fbmac002002	icon\funcnpc\door.png	173	4	3	npc\spring_machine_npc.lua	2		close	open	openloop	closeloop	0		10000	interact041	5000	"TaskItemClone_002018,1,1,15007"											2	5				
MacClone002004	SpringMachineNpc		1	npc\fbmac002002	icon\funcnpc\door.png	173	4	3	npc\spring_machine_npc.lua	2		close	open	openloop	closeloop	0		10000	interact041	5000	"TaskItemClone_002018,1,1,15007"											2	5				
																																					
																																					
MacClone017066	SpringMachineNpc		1	npc\fbmac00535	icon\funcnpc\fbmac00535.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017011	SpringMachineNpc		1	npc\fbmac00518	icon\funcnpc\fbmac00518.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2		close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017012	SpringMachineNpc		1	npc\fbmac00518	icon\funcnpc\fbmac00518.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017014	SpringMachineNpc		1	npc\fbmac00518	icon\funcnpc\fbmac00518.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017015	SpringMachineNpc		1	npc\fbmac00519	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000	"TaskItemClone_0171140,1,1,15007"											2	5				
MacClone017016	SpringMachineNpc		1	npc\fbmac00519	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017028	SpringMachineNpc		1	npc\fbmac00519	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017029	SpringMachineNpc		1	npc\fbmac00511	icon\funcnpc\fbmac00511.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017010	SpringMachineNpc		1	npc\fbmac019011	icon\funcnpc\fbmac00511.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	closeloop	openloop	open	close	0	1	-1	interact041	5000												2	5				
MacClone017001	SpringMachineNpc		1	npc\fbmac019011	icon\funcnpc\fbmac00511.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017091	SpringMachineNpc		1	npc\fbmac00528	icon\funcnpc\door.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017092	SpringMachineNpc		1	npc\fbmac00529	icon\funcnpc\door.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017093	SpringMachineNpc		1	npc\fbmac00516	icon\funcnpc\door.png	173	4	3		2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017095	SpringMachineNpc		1	npc\fbmac00518	icon\funcnpc\fbmac00518.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
																																					
MacClone017043	SpringMachineNpc		1	npc\fbmac019011	icon\funcnpc\fbmac00511.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0	1	-1	interact041	5000												2	5				
MacClone017009	SpringMachineNpc		1	npc\fbmac00517	icon\funcnpc\fbmac00517.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017013	SpringMachineNpc		1	npc\fbmac00518	icon\funcnpc\fbmac00518.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017030	SpringMachineNpc		1	npc\fbmac00519	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017031	SpringMachineNpc		1	npc\fbmac00519	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017017	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017018	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017019	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017020	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
																																					
MacClone017021	SpringMachineNpc			npc\fbmac00531	icon\funcnpc\fbmac013006c.png	171	4	1	npc\clone\clone017\mac_boss_door.lua	1	1	close	open	openloop	closeloop	0		10000	interact041	0												0	0				
MacClone017022	SpringMachineNpc			npc\fbmac00521	icon\funcnpc\fbmac013006c.png	171	4	1	npc\clone\clone017\mac_boss_door.lua	1	1	close	open	openloop	closeloop	0		10000	interact041	0												0	0				
MacClone017023	SpringMachineNpc			npc\fbmac00515		164	4	2	npc\clone\clone017\mac_water_creator.lua	1	1	close	open	openloop	closeloop	0		10000	interact041	0												0	0				
																																					
MacClone017044	SpringMachineNpc		1	npc\fbmac00525	icon\funcnpc\fbmac00525.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	10				
																																					
MacClone017049	SpringMachineNpc		1	npc\fbmac00519	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017050	SpringMachineNpc		1	npc\fbmac00511	icon\funcnpc\fbmac00511.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
																																					
MacClone017081	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017082	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017083	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017084	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017085	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017086	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017087	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017088	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
																																					
MacClone017094	SpringMachineNpc		1	npc\fbmac00525	icon\funcnpc\fbmac00525.png	173	4	3		2	1	stand	1_stand	standfree01	1_standfree01	1		10000	interact041	5000												2	5				
																																					
MacClone017081	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
																																					
MacClone017201	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017202	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017203	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017204	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017205	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017206	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017207	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017208	SpringMachineNpc		1	npc\fbmac00516		173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017209	SpringMachineNpc		1	npc\fbmac00517	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017210	SpringMachineNpc		1	npc\fbmac00518	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017211	SpringMachineNpc		1	npc\fbmac00519	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017212	SpringMachineNpc		1	npc\fbmac00520	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017213	SpringMachineNpc		1	npc\fbmac00521	icon\funcnpc\fbmac00519.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017214	SpringMachineNpc		1	npc\fbmac00535	icon\funcnpc\fbmac00535.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017215	SpringMachineNpc		1	npc\fbmac00528	icon\funcnpc\door.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017216	SpringMachineNpc		1	npc\fbmac00529	icon\funcnpc\door.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone017217	SpringMachineNpc		1	npc\fbmac00531	icon\funcnpc\fbmac013006c.png	171	4	1	npc\clone\clone017\mac_boss_door.lua	1	1	close	open	openloop	closeloop	0		10000	interact041	0												0	0				
MacClone017218	SpringMachineNpc		1	npc\fbmac00525	icon\funcnpc\fbmac00525.png	173	4	3	npc\clone\clone017\mac_boss_door.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	10				
																																					
																																					
																																					
																																					
																																					
																																					
																																					
MacClone003001	SpringMachineNpc		1	npc\fbmac003001	icon\funcnpc\clonedoor.png	173	4	2	npc\spring_machine_npc.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	2000	"TaskItemClone_002025,1,0,4029"											2	5				
MacClone003002	SpringMachineNpc		1	npc\fbmac003002	icon\funcnpc\clonedoor.png	173	4	2		2	1	close	open	openloop	closeloop	0	1	10000	interact041	2000												2	5				
MacClone003003	SpringMachineNpc		1	npc\fbmac003003	icon\funcnpc\clonedoor.png	173	4	2	npc\spring_machine_npc.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone003004	SpringMachineNpc		1	npc\fbmac003027	icon\funcnpc\clonedoor.png	173	4	2	npc\spring_machine_npc.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone003005	SpringMachineNpc		1	npc\fbmac003004	icon\funcnpc\clonedoor.png	164	4	2		2	1	close	open	openloop	closeloop	0	1	10000	interact041	5000												2	5				
MacClone003006	SpringMachineNpc		1	npc\brokennpc\brokenitem027	icon\funcnpc\clonedoor.png	172	4	2		2	1					0	1	10000														0	0				
MacClone003007	SpringMachineNpc		1	npc\fbmac003006	icon\funcnpc\clonedoor.png	164	4	2		2	1	close	open	openloop	closeloop	0	1	10000	interact041	5000												2	5				
MacClone003008	SpringMachineNpc		1	npc\brokennpc\brokenitem028	icon\funcnpc\clonedoor.png	172	4	2		2	1					0	1	10000														0	0				
MacClone003009	SpringMachineNpc		1	npc\fbmac003008		173	4	2	npc\spring_machine_npc.lua	2	1																					0	0				
MacClone003010	SpringMachineNpc		1	npc\fbmac003009		173	4	2	npc\spring_machine_npc.lua	2	1																					0	0				
MacClone003011	SpringMachineNpc		1	npc\fbmac003011	icon\funcnpc\clonedoor.png	173	4	2	npc\spring_machine_npc.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
MacClone003012	SpringMachineNpc		1	npc\fbmac003012	icon\funcnpc\clonedoor.png	173	4	2		2	1	close	open	openloop	closeloop	0	1	10000	interact041	5000												2	5				
MacClone003013	SpringMachineNpc		1	npc\fbmac00035	icon\funcnpc\clonedoor.png	173	4	2	npc\spring_machine_npc.lua	2	1	close	open	openloop	closeloop	0		10000	interact041	5000												2	5				
																																					
MacClone005002	SpringMachineNpc		1	npc\fbmac005008		173	4	1		2	1	closeloop	openloop	open	close	0	0	-1	interact041	5000												2	5				
MacClone005003	SpringMachineNpc		1	npc\fbmac005005		173	4	3		2	1	closeloop	openloop	open	close	0	1	-1	interact041	5000												2	5				
MacClone005005	SpringMachineNpc		1	npc\fbmac005004		173	4	3		2	1	closeloop	openloop	open	close	0	1	-1	interact041	5000												2	5				
MacClone005006	SpringMachineNpc		1	npc\fbmac005004		173	4	3		2	1	closeloop	openloop	open	close	0	0	-1	interact041	5000												2	5				
MacClone005007	SpringMachineNpc		1	npc\fbmac005007		173	4	3		2	1	closeloop	openloop	open	close	0	0	-1	interact041	5000												2	5				
MacClone005008	SpringMachineNpc		1	npc\fbmac005008		173	4	3		2	1	closeloop	openloop	open	close	0	0	-1	interact041	5000												2	5				
MacClone005009	SpringMachineNpc		1	npc\fbmac005009		173	4	3		2	1	closeloop	openloop	open	close	0	0	-1	interact041	5000												2	5				
MacClone005010	SpringMachineNpc		1	npc\fbmac00003		173	4	3		2	1	closeloop	openloop	open	close	0		-1	interact041	5000												2	5				
MacClone005011	SpringMachineNpc		1	npc\fbmac00003		173	4	3		2	1	closeloop	openloop	open	close	0		-1	interact041	5000												2	5				
MacClone005012	SpringMachineNpc		1	npc\fbmac00003		173	4	3		2	1	closeloop	openloop	open	close	0		-1	interact041	5000												2	5				
MacClone005016	SpringMachineNpc		1	npc\fbmac005016		173	4	3		2	1	closeloop	openloop	open	close	0		-1	interact041	5000												2	5				
MacClone005017	SpringMachineNpc		1	npc\itemnpc070		173	4	3		2	1	closeloop	openloop	open	close	0		-1	interact041	5000												2	5				
MacClone005018	SpringMachineNpc		1	npc\fbmac005017		173	4	3		2	1	closeloop	openloop	open	close	0		-1	interact041	5000												2	5				
MacClone005019	SpringMachineNpc		1	npc\fbmac005009		173	4	3		2	1	closeloop	openloop	open	close	0	1	-1	interact041	5000												2	5				
MacClone005020	SpringMachineNpc		1	npc\fbmac005001		173	4	3		2	1	closeloop	openloop	open	close	0	0	-1	interact041	5000												2	5				
MacClone005021	SpringMachineNpc		1	npc\fbmac005002		173	4	3		2	1	closeloop	openloop	open	close	0	1	-1	interact041	5000												2	5				
