NPC编号	对象类型	名称	模型编号	NPC类型	NPC种类ID	响应范围	选择状态	脚本编号	玩家最多传送人数（-1：不限制）	玩家传送坐标	npc最多传送人数（-1：不限制）	npc传送坐标	AI编辑包
DoorClone005005	GotoDoor	禅心池至迷宫（进入解禅迷宫）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"872.980,12.252,-4.185,-3.118"	0		
DoorClone005006	GotoDoor	迷宫至禅心池（前往禅心池）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"875.086,18.492,713.469,0.376"	0		
DoorClone005007	GotoDoor	牟尼堂至迷宫（进入解禅迷宫）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"820.208,14.785,-175.419,1.604"	0		
DoorClone005008	GotoDoor	迷宫至牟尼堂（前往牟尼堂）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"805.895,11.004,537.738,-0.570"	0		
DoorClone005009	GotoDoor	至前精英区（进入木人巷地宫）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"584.421,27.433,-363.856,-1.546"	0		
DoorClone005010	GotoDoor	至前铜人区（进入木人巷地宫）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"426.816,145.164,-308.220,-1.600"	0		
DoorClone005011	GotoDoor	至前金人区（进入木人巷地宫）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"186.339,110.481,-571.604,-3.132"	0		
DoorClone005012	GotoDoor	至后罗汉区（前往罗汉殿）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"564.083,22.365,-364.077,1.547"	0		
DoorClone005013	GotoDoor	至前罗汉区（进入罗汉殿）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"446.584,52.488,-576.841,1.527"	0		
DoorClone005014	GotoDoor	至后木人区（前往木人殿）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"319.526,129.208,-309.413,1.541"	0		
DoorClone005015	GotoDoor	至后铜人区（前往铜人殿）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"321.907,67.074,-656.009,-1.586"	0		
DoorClone005016	GotoDoor	牟尼堂至迷宫（地狱扫地僧）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"974.482,14.474,-367.235,-0.025"	0		
													
DoorClone013001	GotoDoor	传入九折思维路入口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"980.276,10.000,212.991,-1.571"	0		
DoorClone013002	GotoDoor	传出九折思维路入口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"425.103,-10.368,-237.119,1.392"	0		
DoorClone013003	GotoDoor	传出九折思维路出口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"340.815,-10.368,-236.268,4.449"	0		
DoorClone013004	GotoDoor	传入九折思维路出口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"626.133,10.000,211.232,1.583"	0		
DoorClone013005	GotoDoor	传入九宫八卦阵入口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"433.383,40.951,287.488,3.639"	0		
DoorClone013006	GotoDoor	传出九宫八卦阵入口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"241.776,56.278,-589.090,-1.559"	0		
DoorClone013007	GotoDoor	传出九宫八卦阵出口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"330.623,79.791,-589.473,1.539"	0		
DoorClone013008	GotoDoor	传入九宫八卦阵出口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"351.375,41.422,154.558,2.119"	0		
Doorqy_swgj_01	GotoDoor	塞外大漠高级奇遇	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	1	"351.375,41.422,154.558,2.119"	0		
													
													
													
													
DoorClone021001	GotoDoor	后院到地宫	npc\itemnpc057k	43		1	0	npc\goto_door_npc.lua	-1	"38.935,2.652,508.897,0.00"	0		
DoorClone021002	GotoDoor	地宫到后院	npc\itemnpc057k	43		1	0	npc\goto_door_npc.lua	-1	"332.361,181.675,172.319,0.00"	0		
DoorClone021003	GotoDoor	竹屋到地宫	npc\itemnpc057k	43		1	0	npc\goto_door_npc.lua	-1	"277.928,9.520,634.240,0.00"	0		
DoorClone021004	GotoDoor	地宫到竹屋	npc\itemnpc057k	43		1	0	npc\goto_door_npc.lua	-1	"53.010,179.009,-84.369,0.00"	0		
DoorClone021005	GotoDoor	假山到地宫	npc\itemnpc057k	43		1	0	npc\goto_door_npc.lua	-1	"-89.454,6.568,856.367,0.00"	0		
DoorClone021006	GotoDoor	地宫到假山	npc\itemnpc057k	43		1	0	npc\goto_door_npc.lua	-1	"-2.419,179.202,214.206,0.00"	0		
DoorClone021007	GotoDoor	下人房到地宫	npc\itemnpc057k	43		1	0	npc\goto_door_npc.lua	-1	"-61.083,3.994,475.884,0.00"	0		
DoorClone021008	GotoDoor	地宫到下人房	npc\itemnpc057k	43		1	0	npc\goto_door_npc.lua	-1	"-20.036,179.235,-30.843,0.00"	0		
													
													
	//极乐谷												
DoorClone019001	GotoDoor	进入水库	npc\funcNPC004	43		1		npc\goto_door_npc.lua	1				
DoorClone019002	GotoDoor	出水库	npc\funcNPC004	43		1		npc\goto_door_npc.lua	1		0		
DoorClone019003	GotoDoor	销魂洞简单出密道	npc\itemnpc057k	43		3	2	npc\goto_door_npc.lua	-1	"382.081,26.220,886.340,0.392"	0		
DoorClone019004	GotoDoor	销魂洞简单进密道	npc\itemnpc057k	43		3	2	npc\goto_door_npc.lua	-1	"814.398,69.411,1265.808,4.449"	0		
													
													
	//雁门关												
DoorClone004001	GotoDoor	东泉村	npc\itemnpc057k	43		3	0	npc\goto_door_npc.lua	-1	"616.257,-30.713,846.392,0.00"	0		
DoorClone004002	GotoDoor	蛇谷	npc\itemnpc057k	43		3	0	npc\goto_door_npc.lua	-1	"730.068,-78.627,196.306,0.00"	0		
DoorClone004003	GotoDoor	后卫营	npc\itemnpc057k	43		3	0	npc\goto_door_npc.lua	-1	"442.64,-74.009,-125.471,0.00"	0		
DoorClone004004	GotoDoor	暗影洞中部	npc\itemnpc057k	43		3	0	npc\goto_door_npc.lua	-1	"-1.772,-21.008,223.464,-0.046"	0		
DoorClone004005	GotoDoor	暗影洞	npc\itemnpc057k	43		3	0	npc\goto_door_npc.lua	-1	"114.875,-5.727,465.078,1.553"	0		
DoorClone004006	GotoDoor	将军岭	npc\itemnpc057k	43		3	0	npc\goto_door_npc.lua	-1	"436.351,81.956,229.513,0.00"	0		
DoorClone004007	GotoDoor	前锋营	npc\itemnpc057k	43		3	0	npc\goto_door_npc.lua	-1	"573.136,-61.176,88.163,-1.536"	0		
													
DoorClone009201	GotoDoor	舍身崖传送	npc\itemnpc057k	43		2	0	npc\goto_door_npc.lua	-1	"688.287,217.650,31.907,0.00"	0		
DoorClone009202	GotoDoor	舍身崖传送	npc\itemnpc057k	43		2	0	npc\goto_door_npc.lua	-1	"676.425,314.737,32.941,0.00"	0		
DoorClone009001	GotoDoor	传入九折思维路入口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"539.580,-14.961,304.096,-1.571"	0		
DoorClone009002	GotoDoor	传入九折思维路入口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"241.8,157.8,309.7,-1.571"	0		
DoorClone009003	GotoDoor	传入九折思维路入口处	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"523.375,-14.769,301.358,7.4"	0		
DoorClone009004	GotoDoor	传入九折思维路入口处	npc\itemnpc057k	43		1	2	npc\goto_door_npc.lua	-1	"247.960,181.884,319.264,35.810"	0		
DoorClone009005	GotoDoor	传入九折思维路入口处	npc\itemnpc057k	43		1	2	npc\goto_door_npc.lua	-1	"244.898,181.884,326.901,100.268"	0		
DoorClone009006	GotoDoor	传入九折思维路入口处	npc\itemnpc057k	43		1	2	npc\goto_door_npc.lua	-1	"262.021,187.442,320.582,313.017"	0		
DoorClone009007	GotoDoor	传入九折思维路入口处	npc\itemnpc057k	43		1	2	npc\goto_door_npc.lua	-1	"249.251,188.210,333.401,138.656"	0		
													
													
	//杏子林												
DoorClone011001	GotoDoor	破庙到地道	npc\funcNPC004	43		30	2	npc\goto_door_npc.lua	-1	"74.961,10.449,-201.100,0.00"	0		
DoorClone011002	GotoDoor	密道到杏子林	npc\funcNPC004	43		5	2	npc\goto_door_npc.lua	-1	"306.301,0.117,248.142,0.00"	0		
DoorClone011003	GotoDoor	破庙传送	npc\itemnpc057k	43		5	2	npc\goto_door_npc.lua	-1	"306.630,0.129,249.144,0.00"	0		
DoorClone011004	GotoDoor	山洞传送	npc\itemnpc057k	43		5	2	npc\goto_door_npc.lua	-1	"-97.321,42.746,-428.359,1.310"	0		
DoorClone011005	GotoDoor	惠山到破庙	npc\itemnpc057k	43		5	2	npc\goto_door_npc.lua	-1	"147.809,21.732,289.867,2.357"	0		
DoorClone011006	GotoDoor	地下到山洞	npc\itemnpc057k	43		5	2	npc\goto_door_npc.lua	-1	"641.114,82.161,146.489,1.929"	0		
													
	//快活岛迷宫												
GotoDoorNpc_khd_001	GotoDoor		npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"-4164,10.554,471,0.6/-4061,10.554,474,-0.4/-4060,10.554,582,-2/-4163,10.554,580,1.9/-4113,30.222,439,0/-4043,30.320,461,-0.8/-4028,30.278,528,-1.6/-4045,30.274,595,-2.4/-4113,30.299,616,-3/-4183,30.247,597,2.2"	0		
GotoDoorNpc_khd_002	GotoDoor		npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"-4164,10.554,471,0.6/-4061,10.554,474,-0.4/-4060,10.554,582,-2/-4163,10.554,580,1.9/-4113,30.222,439,0/-4043,30.320,461,-0.8/-4028,30.278,528,-1.6/-4045,30.274,595,-2.4/-4113,30.299,616,-3/-4183,30.247,597,2.2"	0		
GotoDoorNpc_khd_003	GotoDoor	前往寻宝	npc\itemnpc057k	43		1	2	npc\goto_door_npc.lua	-1	"-4119.9,10.1,255.4,0"	0		
GotoDoorNpc_khd_004	GotoDoor	前往瀑布	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"298.368,153.142,575.510,1.873"	0		
GotoDoorNpc_khd_005	GotoDoor	前往温柔乡	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"198.937,143.903,781.831,-1.924"	0		
GotoDoorNpc_khd_006	GotoDoor	迷宫前往寻宝	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"-4090.125,10.317,251.334,-0.449"	0		
GotoDoorNpc_khd_007	GotoDoor	前往踢塔	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"-4117.3,10.1,320.2,-1.587"	0		
													
	//快活岛禁地												
GotoDoorNpc_clone031_001	GotoDoor	前往醉仙楼密室	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"2595.000,14.975,1486.000,-0.177"	0		
GotoDoorNpc_clone031_002	GotoDoor	离开醉仙楼密室	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"-288.632,131.231,517.375,1.518"	0		
GotoDoorNpc_clone031_003	GotoDoor	前往逍遥居密室	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"2843.500,20.300,210.300,1.600"	0		
GotoDoorNpc_clone031_004	GotoDoor	离开逍遥居密室	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"115.698,142.225,367.479,-0.177"	0		
													
	//华山七层试剑台												
GotoDoorNpc_hsp_qclj_001	GotoDoor	回到山脚	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"1757.259,95.768,932.345,2.689"	0		
													
	//晴瑶宫												
GotoDoorNpc_adv040_001	GotoDoor	桃花阵传送门1	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"1772.500,26.153,230.400,1.329"	0		
GotoDoorNpc_adv040_002	GotoDoor	桃花阵传送门2	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"1835.5,27.5,278.2,-3.1"	0		
GotoDoorNpc_adv040_003	GotoDoor	桃花阵传送门3	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"1900.6,28.9,268.7,-1.2"	0		
GotoDoorNpc_adv040_004	GotoDoor	桃花阵传送门4	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"1890.5,30.4,321.1,-2.0"	0		
GotoDoorNpc_adv040_005	GotoDoor	桃花阵传送门5	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"1891.742,25.286,208.329,0.798"	0		
GotoDoorNpc_adv040_006	GotoDoor	桃花阵传送门5	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"1835.9,25.2,210.3,0.0"	0		
													
	//动态禁地												
GotoDoorNpc_clonezone_001	GotoDoor	蝙蝠洞传送	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1		0		
GotoDoorNpc_clonezone_002	GotoDoor	蝙蝠宫传送	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1		0		
													
	//青云堡四海楼												
GotoDoorClone021_sihailou1	GotoDoor	前往四海楼	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"-52.190,183.328,62.963,1.563"	0		
GotoDoorClone021_sihailou2	GotoDoor	回到地宫大殿	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"-276.731,26.665,796.982,-1.023"	0		
													
	//千苍峡												
GotoDoorClone039_001	GotoDoor	回到周岩雪身边	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"1271.664,142.462,167.827,2.728"	0		
													
	//新龙门												
GotoDoorClone002n_001	GotoDoor	密道入口	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"1330.902,3.388,97.965,0.892"	0		
GotoDoorClone002n_002	GotoDoor	密道回客栈	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"622.516,21.496,314.860,-2.529"	0		
													
	//新凤凰												
GotoDoorClone001n_001	GotoDoor	进入五行阵	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"631.271,122.822,387.990,-0.992"	0		
GotoDoorClone001n_002	GotoDoor	进入四象阵	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"631.271,122.822,387.990,-0.992"	0		
GotoDoorClone001n_003	GotoDoor	进入青龙阵	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"744.137,127.416,203.854,1.641"	0		
GotoDoorClone001n_004	GotoDoor	进入朱雀阵	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"863.421,127.654,85.191,0.054"	0		
GotoDoorClone001n_005	GotoDoor	进入玄武阵	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"863.552,127.726,320.448,-3.108"	0		
GotoDoorClone001n_006	GotoDoor	进入白虎阵	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"980.039,127.582,203.052,-1.539"	0		
GotoDoorClone001n_007	GotoDoor	进入最终地	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"863.553,127.438,243.318,-3.135"	0		
													
	//新雁门												
GotoDoorClone004n_001	GotoDoor	前往前锋营	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"251.381,-56.842,83.689,-2.311"	0		
													
	//新快活岛												
GotoDoorClone036_001	GotoDoor	进入阎王地宫	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"2844.999,20.307,210.496,1.551"	0		
GotoDoorClone036_002	GotoDoor	离开阎王地宫	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"112.081,142.225,369.027,0.019"	0		
													
	//横云谷												
GotoDoorClone040_001	GotoDoor	进入阎王地宫	npc\itemnpc057k	42		2	2	npc\goto_door_npc.lua	-1	"506.9,198.0,-710.9,0"	0		
