NPC编号	实力包编号	级别	对象类型	名称	模型编号	头像	类型	NPC种类ID	选择操作分类	脚本编号	机关npc类型	绑定时持续添加的buff	绑定点名字	绑定后npc进行的动作名字	绑定后玩家进行的动作名字	NPC阵营	门派	技能表	准心技能	响应范围	AI编辑包	刷新时间	鼠标形状	锁定位移攻击	禁播受击动作	能否攻击	能不能被攻击	不能被杀死	路径编号	相对转动角度(填写该属性则出现准心，npc变为可旋转)		
DriveNpc0015	1	80	DriveNpc	赌船7	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0016	1	80	DriveNpc	赌船8	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0017	1	80	DriveNpc	赌船9	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0018	1	80	DriveNpc	赌船10	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0019	1	80	DriveNpc	赌船11	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0020	1	80	DriveNpc	赌船12	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	sitdownchairfree01			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0021	1	80	DriveNpc	万兽山庄骑乘1	npc\monster003	icon\monster\monster003.png	163	4	2		1	buf_wssz_pingjing	monster160_back_01	stand	sitdownfree01					3		-1	2	1	1							
DriveNpc0022	1	80	DriveNpc	万兽山庄骑乘2	npc\monster023	icon\monster\monster023.png	163	4	2		1	buf_wssz_pingjing	monster160_back_01	stand	sitdownfree01					3		-1	2	1	1							
DriveNpc0023	1	80	DriveNpc	万兽山庄骑乘3	npc\monster611	icon\monster\monster611.png	163	4	2		1	buf_wssz_pingjing	monster160_back_01	stand	sitdownfree01					3		-1	2	1	1							
DriveNpc0024	1	80	DriveNpc	快活泉石凳	npc\itemnpc508	icon\monster\petm_Y_1201.png	163	4	2		1	buff_event_spa_008	Point01	stand	interact475					3		-1	5	1	1							
DriveNpc0025	1	80	DriveNpc	万兽山庄骑乘5	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2		1	buf_wssz_pingjing	Model::effect_02	Tpose	sitdownfree01					3		-1	5	1	1							
																																
aqzw_huopao01	14	80	DriveNpc	镇关火炮	npc\fbmac002001	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0001.lua	1	buf_CannonNpc0001	Model::effect_02	Tpose	stand			"clone021_yuancheng11,1,0;cannon_left,1,0;cannon_right,1,0"		3		-1		1	1							
																																
	//五内-武当																															
5nei_z2_hc	1	80	DriveNpc	5内-喝茶	npc\fbmac004012d	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_5nei_z2_hc	Model::effect_02	Tpose	interact420					3		-1	5	1	1							
DriveNpc_cfbj001	14	80	DriveNpc	长风镖局	npc\npcitem877	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buff_cfbj_wy_005	Model::Point01	Tpose	stand			"jn_cfbj_huopao,1,0"	jn_cfbj_huopao	3		-1	2	1	1	1	1	1		40		
																																
DriveNpc_wjd_01	14	80	DriveNpc	无极岛火炮	npc\npcitem877	icon\funcnpc\clonedoor.png	714	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buff_wjd_gc_038	Model::Point01	Tpose	stand			"riding_wjd_huopao1,1,0"	riding_wjd_huopao1	8		-1	2	1	1	1	1	1		40		
																																
DriveNpc_sjy001	14	80	DriveNpc	神机营火炮	npc\npcitem877	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_sjy_dingzw_002	Model::Point01	Tpose	stand			"jn_sjy_huopao,1,0"	jn_sjy_huopao	3		-1	2	1	1	1	1	1		40		
																																
DriveNpc_xmg_dy_01	1	80	DriveNpc	无门派喝酒	npc\fbmac004012d	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buff_xmg_dy_10	Model::effect_02	Tpose	interact420					3		-1	5	1	1							
