NPC编号	对象类型	名称	模型编号	触发范围	NPC类型	走路速度	跑步速度	相对位置	子怪物	巡逻模式	AI类型	追击范围	路径编号	能否死亡	脚本编号	AI编辑包	刷新时间
Leader_clone002_301	TeamLeaderNpc	沈义山线，护送沈义山至龙门关下	npc\itemnpc057e		11	3.5	5	"0,0;-1,-1"	bossclone002028;bossclone002014	1	6	0	clone002_008	1			
Leader_clone002_501	TeamLeaderNpc	马贼线，护送马贼喽啰和小孩至龙门关常言笑处	npc\itemnpc057e		11	3.5	5	"0,1;1,0;-1,0;1,-1;-1,-1"	funnpcclone002040;funnpcclone002007;funnpcclone002008;funnpcclone002040;funnpcclone002040	1	6	0	clone002_015	1			
Leader_clone002_502	TeamLeaderNpc	马贼线，贺虎去聚义厅	npc\itemnpc057e		11	3.5	5	"0,0;-1,0;0,-1;1,0"	bossclone002013;funnpcclone002041;funnpcclone002042;funnpcclone002043	1	6	0	clone002_014	1			
Leader_clone002_102	TeamLeaderNpc	周淮安线，护送周淮安等至密道入口1	npc\itemnpc057e		11	3.5	5	"0,1;0,0;0.2,-1;-0.2,-1;0,-2"	bossclone002007;bossclone002006;funnpcclone002107;funnpcclone002108;bossclone002004	1	6	0	clone002_010	1			
Leader_clone002_103	TeamLeaderNpc	周淮安线，跟随周淮安等至曹少钦处	npc\itemnpc057e		11	3.5	5	"0,1;0,0;1,-1;-1,-1;-2,0"	bossclone002004;bossclone002006;funnpcclone002007;funnpcclone002008;bossclone002007	1	6	0	clone002_009	1			
Leader_clone002_104	TeamLeaderNpc	周淮安线，护送周淮安等至密道入口2	npc\itemnpc057e		11	3.5	5	"0,1;0,0;1,-1;-1,-1;0,-2"	bossclone002004;bossclone002006;funnpcclone002007;funnpcclone002008;bossclone002007	1	6	0	clone002_011	1			
Leader_clone002_401	TeamLeaderNpc	东厂线，更随常言笑到达龙门客栈	npc\itemnpc057e		11	3.5	5	"0,0;1,-1"	bossclone002005;bossclone002011	1	6	0	clone002_013	1			
Leader_clone002_601	TeamLeaderNpc	龙门关大道巡逻	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002031;funnpcclone002053;funnpcclone002031	1	6	0	clone002_024	1			
Leader_clone002_602	TeamLeaderNpc	龙门关马棚巡逻	npc\itemnpc057		11	3.5	5	"0,0;1,-1"	funnpcclone002053;funnpcclone002031	1	6	0	clone002_025	1			
Leader_clone002_603	TeamLeaderNpc	龙门关城墙巡逻1	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002031;funnpcclone002053;funnpcclone002031	1	6	0	clone002_026	1			
Leader_clone002_604	TeamLeaderNpc	龙门关城墙巡逻2	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002031;funnpcclone002053;funnpcclone002031	1	6	0	clone002_027	1			
Leader_clone002_605	TeamLeaderNpc	龙门关兵营巡逻	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002031;funnpcclone002053;funnpcclone002031	1	6	0	clone002_028	1			
Leader_clone002_606	TeamLeaderNpc	龙门关投石车巡逻	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002031;funnpcclone002053;funnpcclone002031	1	6	0	clone002_029	1			
Leader_clone002_607	TeamLeaderNpc	龙门关城墙投石车巡逻3	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002031;funnpcclone002053;funnpcclone002031	1	6	0	clone002_030	1			
Leader_clone002_608	TeamLeaderNpc	龙门关城墙巡逻4	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002031;funnpcclone002053;funnpcclone002031	1	6	0	clone002_031	1			
Leader_clone002_609	TeamLeaderNpc	龙门关粮草巡逻	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002031;funnpcclone002053;funnpcclone002031	1	6	0	clone002_032	1			
Leader_clone002_610	TeamLeaderNpc	胡人大营中军帐巡逻	npc\itemnpc057		11	3.5	5	"0,0;0,1;0,2;1,0;1,1;1,2"	funnpcclone002088;funnpcclone002088;funnpcclone002088;funnpcclone002088;funnpcclone002088;funnpcclone002088	1	6	0	clone002_033	1			
Leader_clone002_611	TeamLeaderNpc	胡人大营右路巡逻	npc\itemnpc057		11	3.5	5	"0,0;0,1;1,0;1,1"	funnpcclone002088;funnpcclone002088;funnpcclone002088;funnpcclone002088	1	6	0	clone002_034	1			
Leader_clone002_612	TeamLeaderNpc	胡人大营左路巡逻	npc\itemnpc057		11	3.5	5	"0,0;0,1;1,0;1,1"	funnpcclone002088;funnpcclone002088;funnpcclone002088;funnpcclone002088	1	6	0	clone002_035	1			
Leader_clone002_613	TeamLeaderNpc	马贼山寨马棚巡逻	npc\itemnpc057		11	3.5	5	"0,1;1,0"	funnpcclone002089;funnpcclone002090	1	6	0	clone002_036	1			
Leader_clone002_614	TeamLeaderNpc	马贼山寨山路巡逻	npc\itemnpc057		11	3.5	5	"0,1;1,0"	funnpcclone002090;funnpcclone002090	1	6	0	clone002_037	1			
Leader_clone002_615	TeamLeaderNpc	马贼山寨内巡逻	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002090;funnpcclone002089;funnpcclone002090	1	6	0	clone002_038	1			
Leader_clone002_616	TeamLeaderNpc	马贼山牢房巡逻	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002090;funnpcclone002089;funnpcclone002090	1	6	0	clone002_039	1			
Leader_clone002_617	TeamLeaderNpc	马场巡逻1	npc\itemnpc057		11	8	13	"0,2;0,0;2,-2;-2,-2;0,-4"	funnpcclone002103;funnpcclone002103;funnpcclone002103;funnpcclone002103;funnpcclone002103	1	6	0	clone002_ey_01	1			
Leader_clone002_618	TeamLeaderNpc	马场巡逻2	npc\itemnpc057		11	3.5	5	"-1,0;0,1;1,0"	funnpcclone002034;funnpcclone002037;funnpcclone002037	1	6	0	clone002_ey_02	1			
Leader_clone002_619	TeamLeaderNpc	马场巡逻3	npc\itemnpc057		11	8	13	"0,2;0,0;2,-2;-2,-2;0,-4"	funnpcclone002103;funnpcclone002103;funnpcclone002103;funnpcclone002103;funnpcclone002103	1	6	0	clone002_ey_01	1			
																	
																	
																	
																	
																	
Leader_clone017_001	TeamLeaderNpc	机关通道巡逻	npc\itemnpc057		11	1.5	5	"0,0;-1,-1;1,-1"	NpcClone017171hh;NpcClone017171hh;NpcClone017171hh	1	6	0	AI_clone017_03	1			
Leader_clone017_002	TeamLeaderNpc	机关通道巡逻	npc\itemnpc057		11	1.5	5	"0,0;-1,-1;1,-1"	NpcClone017171hh;NpcClone017171hh;NpcClone017171hh	1	6	0	AI_clone017_04	1			
Leader_clone017_003	TeamLeaderNpc	栈道巡逻	npc\itemnpc057		11	1.5	5	"0,0;-1,-1;1,-1"	NpcClone017169hh;NpcClone017169hh;NpcClone017169hh	1	6	0	AI_clone017_10	1			
Leader_clone017_004	TeamLeaderNpc	山谷巡逻	npc\itemnpc057		11	1.5	5	"0,0;-1,-1;1,-1"	NpcClone017150nn;NpcClone017150nn;NpcClone017150nn	1	6	0	AI_clone017_13a	1			
Leader_clone017_005	TeamLeaderNpc	山谷巡逻	npc\itemnpc057		11	1.5	5	"0,0;-1,-1;1,-1"	NpcClone017150nn;NpcClone017150nn;NpcClone017150nn	1	6	0	AI_clone017_13b	1			
Leader_clone017_006	TeamLeaderNpc	沈鸿烈随从	npc\itemnpc057		11	1.5	5	"0,0;-1,-1;1,-1"	BossClone017003;FunnpcClone017017;FunnpcClone017018	1	6	0	AI_clone017_001	0			
																	
Leader_clone005_100	TeamLeaderNpc	盗墓贼巡逻	npc\itemnpc057		11	2	5	"0,0;-1,-1;1,-1"	NpcClone005030;NpcClone005028;NpcClone005029	1	6	0		1			
																	
																	
																	
Leader_clone004_001	TeamLeaderNpc	雁门关城里巡逻1	npc\itemnpc057	15	11	3	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501	1	6	30	clone004_002	1			
Leader_clone004_002	TeamLeaderNpc	雁门关城里巡逻2	npc\itemnpc057	15	11	3	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	funnpcclone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501	1	6	30	clone004_003	1			
Leader_clone004_003	TeamLeaderNpc	雁门关城楼巡逻1	npc\itemnpc057	15	11	3	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503	1	6	30	clone004_004	1			
Leader_clone004_004	TeamLeaderNpc	雁门关城楼巡逻2	npc\itemnpc057	15	11	3	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503	1	6	30	clone004_005	1			
Leader_clone004_005	TeamLeaderNpc	雁门关城楼巡逻3	npc\itemnpc057	15	11	3	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503	1	6	30	clone004_006	1			
Leader_clone004_006	TeamLeaderNpc	雁门关城楼巡逻4	npc\itemnpc057	15	11	3	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503	1	6	30	clone004_007	1			
Leader_clone004_007	TeamLeaderNpc	鞑靼军巡逻1	npc\itemnpc057	15	11	3	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_010	1			
Leader_clone004_008	TeamLeaderNpc	鞑靼军巡逻2	npc\itemnpc057	15	11	3	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_011	1			
Leader_clone004_009	TeamLeaderNpc	鞑靼军巡逻3	npc\itemnpc057	15	11	3	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_012	1			
Leader_clone004_010	TeamLeaderNpc	鞑靼军偷袭1	npc\itemnpc057	15	11	3	5	"0,0;-1,-1;1,-1;-1,-2;1,-2;-1-3;1,-3;-1,-4;1,-4;-1,-5;1,-5"	FunnpcClone004530;FunnpcClone004530;FunnpcClone004530;FunnpcClone004530;FunnpcClone004530;FunnpcClone004530;FunnpcClone004530;FunnpcClone004530;FunnpcClone004530;FunnpcClone004530;FunnpcClone004530	1	6	30	clone004_52	1			
Leader_clone004_012	TeamLeaderNpc	鞑靼军偷袭3	npc\itemnpc057	15	11	3	5	"-1,-1;1,-1"	BossClone004006	1	6	30	clone004_52	1			
Leader_clone004_013	TeamLeaderNpc	明军冲锋	npc\itemnpc057	15	11	5	5	"-6,0;-2,0;2,0;6,0;-2,-4;-6,-4;2,-4;6,-4;-6,-8;-2,-8;2,-8;6,-8;-6,-12;-2,-12;2,-12;6,-12"	FunnpcClone004646;FunnpcClone004646;FunnpcClone004646;FunnpcClone004646;FunnpcClone004646;FunnpcClone004646;FunnpcClone004646;FunnpcClone004646;FunnpcClone004646;FunnpcClone004646;FunnpcClone004647;FunnpcClone004647;FunnpcClone004647;FunnpcClone004647;FunnpcClone004647;FunnpcClone004647:FunnpcClone004647;FunnpcClone004647;FunnpcClone004647;FunnpcClone004647	1	6	30	clone004_014	1			
Leader_clone004_014	TeamLeaderNpc	守备	npc\itemnpc057	15	11	5	5	"0,0"	FunnpcClone004650	1	6	30	clone004_014	1			
Leader_clone004_015	TeamLeaderNpc	鞑靼军冲锋	npc\itemnpc057	15	11	5	5	"-6,0;-2,0;2,0;6,0;-2,-4;-6,-4;2,-4;6,-4;-6,-8;-2,-8;2,-8;6,-8;-6,-12;-2,-12;2,-12;6,-12"	FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627;FunnpcClone004627	1	6	30	clone004_015	1			
Leader_clone004_016	TeamLeaderNpc	鞑靼军冲锋	npc\itemnpc057	15	11	5	5	"-6,0;-2,0;2,0;6,0;-2,-4;-6,-4;2,-4;6,-4;-6,-8;-2,-8;2,-8;6,-8;-6,-12;-2,-12;2,-12;6,-12"	FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;NpcClone004381;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628;FunnpcClone004628	1	6	30	clone004_015	1			
Leader_clone004_017	TeamLeaderNpc	游骑兵	npc\itemnpc057	15	11	3	5	"0,0;3,-1;-2,-2;2,-3;-3,-4;0,-4;3,-4;-1,-5;4,-5;-4,-7;-1,-7;2,-7;-3,-8;3,-8;0,-9"	FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;FunnpcClone004611;	1	6	30	clone004_009	1			
Leader_clone004_018	TeamLeaderNpc	鞑靼军增援	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_016	1			
Leader_clone004_019	TeamLeaderNpc	鞑靼军增援	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_017	1			
Leader_clone004_020	TeamLeaderNpc	鞑靼军增援	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_018	1			
Leader_clone004_021	TeamLeaderNpc	鞑靼军增援	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_019	1			
Leader_clone004_022	TeamLeaderNpc	鞑靼军增援	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_020	1			
Leader_clone004_023	TeamLeaderNpc	鞑靼军增援	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_021	1			
Leader_clone004_024	TeamLeaderNpc	鞑靼军增援	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_022	1			
Leader_clone004_025	TeamLeaderNpc	鞑靼军增援	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_023	1			
Leader_clone004_026	TeamLeaderNpc	鞑靼军增援	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_024	1			
Leader_clone004_027	TeamLeaderNpc	鞑靼军增援	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_025	1			
Leader_clone004_028	TeamLeaderNpc	守备带兵反偷袭	npc\itemnpc057	15	11	5	5	"-1,0;1,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3;-1,-4;1,-4;-1,-5;1,-5"	FunnpcClone004524;FunnpcClone004527;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;	1	6	30	clone004_51	1			
Leader_clone004_040	TeamLeaderNpc	巡逻兵	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503	1	6	30	clone004_40	1			
Leader_clone004_041	TeamLeaderNpc	巡逻兵	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503	1	6	30	clone004_41	1			
Leader_clone004_042	TeamLeaderNpc	民兵搬石头	npc\itemnpc057	15	11	5	5	"0,0"	FunnpcClone004513	1	6	30	clone004_43	1			
Leader_clone004_043	TeamLeaderNpc	村民搬石头	npc\itemnpc057	15	11	5	5	"0,0"	FunnpcClone004509	1	6	30	clone004_43	1			
Leader_clone004_044	TeamLeaderNpc	民兵搬木头	npc\itemnpc057	15	11	5	5	"0,0"	FunnpcClone004513	1	6	30	clone004_44	1			
Leader_clone004_045	TeamLeaderNpc	村民搬木头	npc\itemnpc057	15	11	5	5	"0,0"	FunnpcClone004510	1	6	30	clone004_44	1			
Leader_clone004_046	TeamLeaderNpc	鞑靼军	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3;-1,-4;1,-4;-1,-5;1,-5"	FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607	1	6	30		1			
Leader_clone004_047	TeamLeaderNpc	鞑靼军	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3;-1,-4;1,-4;-1,-5;1,-5"	FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607	1	6	30		1			
Leader_clone004_048	TeamLeaderNpc	鞑靼军	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3;-1,-4;1,-4;-1,-5;1,-5"	FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607;FunnpcClone004607	1	6	30		1			
Leader_clone004_049	TeamLeaderNpc	明军守城	npc\itemnpc057	15	11	5	5	"-6,0;-2,0;2,0;6,0;-2,-4;-6,-4;2,-4;6,-4;-6,-8;-2,-8;2,-8;6,-8;-6,-12;-2,-12;2,-12;6,-12"	FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501;FunnpcClone004501	1	6	30	clone004_55	1			
Leader_clone004_050	TeamLeaderNpc	明军守城	npc\itemnpc057	15	11	5	5	"-6,0;-2,0;2,0;6,0;-2,-4;-6,-4;2,-4;6,-4;-6,-8;-2,-8;2,-8;6,-8;-6,-12;-2,-12;2,-12;6,-12"	FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503	1	6	30	clone004_56	1			
Leader_clone004_051	TeamLeaderNpc	城楼上巡逻	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3;-1,-4;1,-4;-1,-5;1,-5"	FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503;FunnpcClone004503	1	6	30	clone004_58	1			
Leader_clone004_052	TeamLeaderNpc	攻城车小队	npc\itemnpc057	15	11	1.5	1.5	"0,0;2.4,-2.8;-2.4,-2.8;2.4,0.2;-2.4,0.2"	FunnpcClone004644;FunnpcClone004644;FunnpcClone004644;FunnpcClone004644	1	6	30	clone004_57	1			
Leader_clone004_053	TeamLeaderNpc	呼延晓先锋队	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	BossClone004001;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063	1	6	40	clone004_60	1			
Leader_clone004_054	TeamLeaderNpc	逃难村民	npc\itemnpc057	15	11	3	4	"0,0;-1,0;1,0;0,1;1,1"	FunnpcClone004064;FunnpcClone004065;FunnpcClone004066;FunnpcClone004067;FunnpcClone004068	1	6	30	clone004_tncm	1			
Leader_clone004_055	TeamLeaderNpc	呼延晓先锋队	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	BossClone004301;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063	1	6	30	clone004_60	1			
Leader_clone004_056	TeamLeaderNpc	村民线鞑靼进村	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1"	FunnpcClone004072;FunnpcClone004063;FunnpcClone004209	1	6	30	clone004_60	1			
Leader_clone004_057	TeamLeaderNpc	村民线牢房寻路BOSS	npc\itemnpc057	15	11	5	5	"0,0;0,-1;0,-2;0,-3;0,-4"	BossClone004211;FunnpcClone004072;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063	1	6	30	clone004_71	1			
Leader_clone004_058	TeamLeaderNpc	村民线牢房村民	npc\itemnpc057	15	11	5	5	"0,0;0,-1;0,-2;0,-3;0,-4"	FunnpcClone004207;FunnpcClone004204;FunnpcClone004205;FunnpcClone004206;FunnpcClone004040	1	6	30	clone004_71	1			
Leader_clone004_059	TeamLeaderNpc	村民线引路村民	npc\itemnpc057	15	11	5	5	"0,0;0,-1;0,-1;0,-1;0,-1;"	BossClone004211;FunnpcClone004072;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063	1	6	30	clone004_72	1			
Leader_clone004_060	TeamLeaderNpc	村民线鞑靼队伍	npc\itemnpc057	15	11	5	5	"0,0;0,-1;0,-1;0,-1;0,-1;"	FunnpcClone004207;FunnpcClone004204;FunnpcClone004205;FunnpcClone004206;FunnpcClone004040	1	6	30	clone004_72	1			
Leader_clone004_061	TeamLeaderNpc	鞑靼军巡逻1	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_73	1			
Leader_clone004_062	TeamLeaderNpc	鞑靼军巡逻1	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601;FunnpcClone004601	1	6	30	clone004_74	1			
Leader_clone004_063	TeamLeaderNpc	村民线拉忽尔脱攻城	npc\itemnpc057	15	11	5	5	"-1,-1;1,-1"	BossClone004210	1	6	60	clone004_52	1			
Leader_clone004_064	TeamLeaderNpc	守军线呼延晓先锋队	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	BossClone004401;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063	1	6	40	clone004_60	1			
