NPC编号	对象类型	名称	模型编号	NPC类型	移动的时候是否旋转	走路速度	跑步速度	AI类型	巡逻模式	路径编号	是否碰撞	相对于自身的可站立高度	Xz平面上可站立范围类形	"StandShape=0时为半径StandShape=1时为长,垂直于面向"	"StandShape=1时为宽,平行于面向"	脚本编号	NPC绑定点	响应范围	有无响应	AI编辑包	模型预载入	存在时间
npc_5n_lzj_bird12	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_09	0	3	0	0	0			1	0	3666		
npc_5n_lzj_bird13	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_10	0	3	0	0	0			1	0	3667		
npc_5n_lzj_bird14	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_11	0	3	0	0	0			1	0	3668		
npc_5n_lzj_bird15	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_12	0	3	0	0	0			1	0	3669		
npc_5n_lzj_bird16	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_13	0	3	0	0	0			1	0	3670		
npc_5n_lzj_bird17	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_14	0	3	0	0	0			1	0	3671		
npc_5n_lzj_bird18	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_15	0	3	0	0	0			1	0	3672		
npc_5n_lzj_bird19	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_16	0	3	0	0	0			1	0	3673		
npc_5n_lzj_bird20	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_17	0	3	0	0	0			1	0	3674		
npc_5n_lzj_bird21	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_18	0	3	0	0	0			1	0	3675		
npc_5n_lzj_bird22	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_19	0	3	0	0	0			1	0	3676		
npc_5n_lzj_bird23	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_20	0	3	0	0	0			1	0	3677		
																						
npc_5n_lzj_bird30	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_01	0	3	0	0	0			1	0	3678		
npc_5n_lzj_bird31	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_02	0	3	0	0	0			1	0	3679		
npc_5n_lzj_bird32	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_03	0	3	0	0	0			1	0	3680		
npc_5n_lzj_bird33	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_04	0	3	0	0	0			1	0	3681		
npc_5n_lzj_bird34	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_05	0	3	0	0	0			1	0	3682		
npc_5n_lzj_bird35	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_06	0	3	0	0	0			1	0	3683		
npc_5n_lzj_bird36	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_07	0	3	0	0	0			1	0	3684		
npc_5n_lzj_bird37	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_08	0	3	0	0	0			1	0	3685		
npc_5n_lzj_bird38	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_09	0	3	0	0	0			1	0	3686		
npc_5n_lzj_bird39	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_10	0	3	0	0	0			1	0	3687		
npc_5n_lzj_bird40	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_11	0	3	0	0	0			1	0	3688		
npc_5n_lzj_bird41	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_12	0	3	0	0	0			1	0	3689		
npc_5n_lzj_bird42	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_13	0	3	0	0	0			1	0	3690		
npc_5n_lzj_bird43	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_14	0	3	0	0	0			1	0	3691		
npc_5n_lzj_bird44	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_15	0	3	0	0	0			1	0	3692		
npc_5n_lzj_bird45	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_16	0	3	0	0	0			1	0	3693		
npc_5n_lzj_bird46	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_17	0	3	0	0	0			1	0	3694		
npc_5n_lzj_bird47	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_18	0	3	0	0	0			1	0	3695		
npc_5n_lzj_bird48	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_19	0	3	0	0	0			1	0	3696		
npc_5n_lzj_bird49	FlyNpc	白雕	npc\fbboss00361	202	0	9	9	8	1	adv031_bird_1_20	0	3	0	0	0			1	0	3697		
																						
flynpc_wmd001	FlyNpc	机关	npc\npcitem788	48	0	0	0	8	0		0	3	0	3	3							
																						
gumu_maque001	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	6	6	8	1	school14_bird001	0	3	0	0	0			1	0			
gumu_maque002	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	6	6	8	1	school14_bird002	0	3	0	0	0			1	0			
gumu_maque003	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	6	6	8	1	school14_bird003	0	3	0	0	0			1	0			
gumu_maque004	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	6	6	8	1	school14_bird004	0	3	0	0	0			1	0			
gumu_maque005	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	10	10	8	1	school14_bird005	0	3	0	0	0			1	0			
gumu_maque006	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	10	10	8	1	school14_bird006	0	3	0	0	0			1	0			
gumu_maque007	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	10	10	8	1	school14_bird007	0	3	0	0	0			1	0			
gumu_maque008	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	10	10	8	1	school14_bird008	0	3	0	0	0			1	0			
gumu_maque009	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	4	4	8	1	school14_bird009	0	3	0	0	0			1	0			
gumu_maque010	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	4	4	8	1	school14_bird010	0	3	0	0	0			1	0			
gumu_maque011	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	4	4	8	1	school14_bird011	0	3	0	0	0			1	0			
gumu_maque012	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	4	4	8	1	school14_bird012	0	3	0	0	0			1	0			
gumu_maque013	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	4	4	8	1	school14_bird013	0	3	0	0	0			1	0			
gumu_maque014	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	4	4	8	1	school14_bird001	0	3	0	0	0			1	0			
gumu_maque015	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	5	5	8	1	school14_bird002	0	3	0	0	0			1	0			
gumu_maque016	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	6	6	8	1	school14_bird003	0	3	0	0	0			1	0			
gumu_maque017	FlyNpc	麻雀	npc\petm_c_0602_a	202	0	7	7	8	1	school14_bird004	0	3	0	0	0			1	0			
																						
flynpc_nlb_butterfly01	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_001	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly02	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_002	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly03	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_003	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly04	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_004	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly05	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_005	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly06	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_006	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly07	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_007	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly08	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_008	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly09	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_009	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly10	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_010	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly11	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_011	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly12	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_012	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly13	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_013	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly14	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_014	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly15	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_015	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly16	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_016	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly17	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_017	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly18	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_018	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly19	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_019	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly20	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_020	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly21	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_021	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly22	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_022	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly23	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_023	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly24	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_024	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly25	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_025	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly26	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_026	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly27	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_027	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly28	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_028	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly29	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_029	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly30	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_030	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly31	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_031	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly32	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_032	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly33	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_033	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly34	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_034	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly35	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_035	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly36	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_036	0	3	0	0	0			1	0	3373		
