NPC编号	对象类型	名称	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	脚本编号	缩放	AI编辑包	是否服务器检测碰撞	碰撞外形分类(0:圆柱形)	碰撞半径	是否预载入
BlockClone011010	BlockNpc	杏子林空气墙	npc\fbblock00000		172	4	2	0	npc\block_npc.lua						
BlockClone011011	BlockNpc	//禁地闯关	npc\fbblock00000		172	4	2	0	npc\block_npc.lua						
BlockClone011012	BlockNpc	//禁地闯关	npc\fbblock00000		172	4	2	0	npc\block_npc.lua						
BlockClone011013	BlockNpc	//禁地闯关	npc\fbblock00000		172	4	2	0	npc\block_npc.lua						
BlockClone011014	BlockNpc	//禁地闯关	npc\fbblock00000		172	4	2	0	npc\block_npc.lua						
BlockClone011015	BlockNpc	//禁地闯关	npc\fbblock00000		172	4	2	0	npc\block_npc.lua						
BlockClone011016	BlockNpc	//禁地闯关	npc\fbblock00000		172	4	2	0	npc\block_npc.lua						
BlockClone011017	BlockNpc	//禁地闯关	npc\fbblock00000		172	4	2	0	npc\block_npc.lua						
BlockClone011501	BlockNpc	破庙围栏	npc\fbblock00000		172	4	0.1	0	npc\block_npc.lua						
BlockClone011502	BlockNpc	破庙围栏	npc\fbblock00000		172	4	0.1	0	npc\block_npc.lua						
BlockClone011503	BlockNpc	破庙围栏	npc\fbblock00000		172	4	0.1	0	npc\block_npc.lua						
BlockClone011504	BlockNpc	破庙围栏	npc\fbblock00000		172	4	0.1	0	npc\block_npc.lua						
BlockClone011505	BlockNpc	破庙拒马	npc\fbmac00007		172	4	0.1	0	npc\block_npc.lua						
BlockClone011601	BlockNpc	困难陷阱拒马	npc\fbmac00007		172	4	0.1	0	npc\block_npc.lua						
BlockClone011602	BlockNpc	困难陷阱拒马	npc\fbmac00007		172	4	0.1	0	npc\block_npc.lua						
BlockClone011603	BlockNpc	困难陷阱拒马	npc\fbmac00007		172	4	0.1	0	npc\block_npc.lua						
BlockClone011604	BlockNpc	困难陷阱气墙	npc\fbblock00000		172	4	0.1	0	npc\block_npc.lua						
BlockClone011605	BlockNpc	困难陷阱气墙	npc\fbblock00000		172	4	0.1	0	npc\block_npc.lua						
BlockClone011606	BlockNpc	困难陷阱气墙	npc\fbblock00000		172	4	0.1	0	npc\block_npc.lua						
BlockClone011607	BlockNpc	困难酒阵拒马	npc\fbmac00007		172	4	0.1	0	npc\block_npc.lua						
BlockClone011608	BlockNpc	困难酒阵气墙	npc\fbblock00000		172	4	0.1	0	npc\block_npc.lua						
BlockClone011609	BlockNpc	困难大仁拒马	npc\fbmac00007		172	4	0.1	0	npc\block_npc.lua						
BlockClone011610	BlockNpc	困难大仁气墙	npc\fbblock00000		172	4	0.1	0	npc\block_npc.lua						
BlockClone011611	BlockNpc	困难堵路巨石	npc\fbmac005020c		172	4	0.1	0	npc\block_npc.lua						
BlockClone009012	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
BlockClone009013	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
BlockClone009015	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
BlockClone009016	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
BlockClone009017	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
BlockClone009018	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
BlockClone009019	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
BlockClone009020	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
BlockClone009021	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
BlockClone009022	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
BlockClone009050	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						1
npc_5nei_sl_021	BlockNpc	五内-少林五内前戏任务空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua	"1.3,1,10.6"					1
//四内															
Block_4nei_tm01	BlockNpc	唐门四内日常BOSS阻挡岩石	npc\fbmac005020e		172	4	2		npc\block_npc.lua						
															
BlockNpc_wgm_001	BlockNpc	修罗道试炼	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						
BlockNpc_nmp_wgm001	BlockNpc	无根门空气墙	npc\fbmac004013		172	4	0.1	0	npc\block_npc.lua						
															
Npc_world_38	BlockNpc	暗器之王空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						
Npc_world_39	BlockNpc	暗器之王空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						
															
		//五内大侠养成													
block_5nei_zy_dxyc_am	BlockNpc		npc\fbmac004013		172	4	1	0							
															
		//华山派师门大会													
BlockClone_hsp_smdh01	BlockNpc	杏子林空气墙	npc\fbmac004013		172	4	2	0	npc\block_npc.lua						
															
		//天隐谷													
BlockClone034001	BlockNpc	阻挡用门	npc\fbmac004013		172	4	2	0	npc\block_npc.lua	"2,120,2"					1
BlockClone034002	BlockNpc	阻挡用门	npc\fbmac004013		172	4	2	0	npc\block_npc.lua	"2,120,2"					1
