NPC编号	对象类型	名称	模型编号	头像	NPC类型	NPC种类ID	响应范围	脚本编号	采集范围	采集动作名	读条时间(ms)	掉落	掉落数量	无拾取物消失时间/秒	最大消失时间/秒	刷新时间	存在时间	宝箱开启前特效	宝箱开启后特效	钥匙数量	钥匙id	NPC特效名称	是否可选中	鼠标形状	模型缩放	开启条件	AI编辑包	拾取规则（0为自由拾取，1为系统分配，2为队伍分配，不填默认为0）	级别	怪物强度	限制创建次数	拾取锁定时间（防止拾取者见利踢人，单位：s）
BoxNpc00024	BoxNpc	20级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox02003				-1							2	9								
BoxNpc00025	BoxNpc	25级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox02003				-1							2	9								
BoxNpc00026	BoxNpc	30级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox03003				-1							2	9								
BoxNpc00027	BoxNpc	35级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox03003				-1							2	9								
BoxNpc00028	BoxNpc	40级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox04003				-1							2	9								
BoxNpc00029	BoxNpc	45级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox04003				-1							2	9								
BoxNpc00030	BoxNpc	50级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxNpc00031	BoxNpc	55级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxNpc00032	BoxNpc	60级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox06003				-1							2	9								
BoxNpc00033	BoxNpc	65级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox06003				-1							2	9								
BoxNpc00034	BoxNpc	70级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox06003				-1							2	9								
BoxNpc00035	BoxNpc	20级武器架	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000	NormalBox02001				-1							2	9								
BoxNpc00036	BoxNpc	30级武器架	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000	NormalBox03001				-1							2	9								
BoxNpc00037	BoxNpc	40级武器架	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000	NormalBox04001				-1							2	9								
BoxNpc00038	BoxNpc	50级武器架	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000	NormalBox05001				-1							2	9								
BoxNpc00039	BoxNpc	60级武器架	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000	NormalBox06001				-1							2	9								
																																
BoxClone007001	BoxNpc	死门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss001_b				-1				1000	BoxClone007001		0	0				2	50	10		
BoxClone007001A	BoxNpc	死门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss001_b				-1							2	9				2	50	10		
BoxClone007001B	BoxNpc	死门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss001_c				-1							2	9				2	50	10		
BoxClone007002A	BoxNpc	伤门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss002_b				-1							2	9				2	55	10		
BoxClone007002B	BoxNpc	伤门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss002_c				-1							2	9				2	55	10		
BoxClone007003A	BoxNpc	休门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss003_b				-1							2	9				2	53	10		
BoxClone007003B	BoxNpc	休门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss003_c				-1							2	9				2	53	10		
BoxClone007004A	BoxNpc	杜门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss004_b				-1							2	9				2	54	10		
BoxClone007004B	BoxNpc	杜门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss004_c				-1							2	9				2	54	10		
BoxClone007005A	BoxNpc	景门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss005_b				-1							2	9				2	51	10		
BoxClone007005B	BoxNpc	景门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss005_c				-1							2	9				2	51	10		
BoxClone007006A	BoxNpc	惊门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss006_b				-1							2	9				2	56	10		
BoxClone007006B	BoxNpc	惊门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss006_c				-1							2	9				2	56	10		
BoxClone007008	BoxNpc	宝箱1	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox04003				-1							2	9								
BoxClone007009	BoxNpc	宝箱2	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox04003				-1							2	9								
BoxClone007010	BoxNpc	武器架	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxClone007011	BoxNpc	磁石	npc\cj_102005	icon\funcnpc\cj_020020.png	161		3		2	interact006	5000	CloneGather007001				-1							2	9								
BoxClone007012	BoxNpc	锄头1	npc\npcitem031		161		3		2	interact041	2000	CloneGather007002				-1							2	9								
BoxClone007013	BoxNpc	锄头2	npc\npcitem126		161		3		2	interact041	2000	CloneGather007003				-1							2	9								
BoxClone007014	BoxNpc	铁锹	npc\npcitem365		161		3		2	interact041	2000	CloneGather007004				-1							2	9								
BoxClone007015A	BoxNpc	桑书云玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss007_b				-1							2	9				2	60	10		
BoxClone007015B	BoxNpc	桑书云玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss007_c				-1							2	9				2	60	10		
BoxClone007016A	BoxNpc	甲乙丙宝箱	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss008_b				-1							2	9				2	51	10		
BoxClone007016B	BoxNpc	甲乙丙宝箱	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss008_c				-1							2	9				2	51	10		
BoxClone007017A	BoxNpc	陆寒山宝箱	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss011_b				-1							2	9				2	58	10		
BoxClone007017B	BoxNpc	陆寒山宝箱	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss011_c				-1							2	9				2	58	10		
BoxClone007007a	BoxNpc	冰块	npc\fbmac007004a	icon\funcnpc\task.png	161		3		2	interact041	500	BoxClone007007				-1							2	9								
BoxClone007007b	BoxNpc	冰块	npc\fbmac007004b	icon\funcnpc\task.png	161		3		2	interact041	500	BoxClone007007				-1							2	9								
BoxClone007007c	BoxNpc	冰块	npc\fbmac007004c	icon\funcnpc\task.png	161		3		2	interact041	500	BoxClone007007				-1							2	9								
BoxClone007007d	BoxNpc	冰块	npc\fbmac007004d	icon\funcnpc\task.png	161		3		2	interact041	500	BoxClone007007				-1							2	9								
		//困难																														
BoxClone007101	BoxNpc	死门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss201_c				-1				1000	BoxClone007001		0	0				2	61	10		
BoxClone007101A	BoxNpc	死门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss201_c				-1							2	9				2	61	10		
BoxClone007102	BoxNpc	伤门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss202_c				-1							2	9				2	64	10		
BoxClone007103	BoxNpc	休门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss203_c				-1							2	9				2	63	10		
BoxClone007104	BoxNpc	杜门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss204_c				-1							2	9				2	62	10		
BoxClone007105	BoxNpc	景门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss205_c				-1							2	9				2	61	10		
BoxClone007106	BoxNpc	惊门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss206_c				-1							2	9				2	65	10		
BoxClone007115	BoxNpc	中厅玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss207_c				-1							2	9				2	66	10		
		//地狱																														
BoxClone007201	BoxNpc	死门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss301_c				-1				1000	BoxClone007001		0	0				2	67	10		
BoxClone007201A	BoxNpc	死门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss301_c				-1							2	9				2	67	10		
BoxClone007202	BoxNpc	伤门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss302_c				-1							2	9				2	66	10		
BoxClone007203	BoxNpc	休门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss303_c				-1							2	9				2	67	10		
BoxClone007204	BoxNpc	杜门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss304_c				-1							2	9				2	68	10		
BoxClone007205	BoxNpc	景门玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss305_c				-1							2	9				2	66	10		
BoxClone007206	BoxNpc	剑玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss308_c				-1							2	9				2	68	10		
BoxClone007215	BoxNpc	苍梧玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss309_c				-1							2	9				2	70	10		
BoxClone007216	BoxNpc	璇玑玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss307_c				-1							2	9				2	69	10		
BoxClone007217	BoxNpc	陆机玄铁匣	npc\itemboxnpc002	icon\funcnpc\task.png	161		3		2	interact041	5000	cswd_boss306_c				-1							2	9				2	69	10		
BoxClone007218	BoxNpc	陆机玄真门钥匙	npc\itemnpc201	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000			-1	-1	-1				1000	BoxClone007218		2	9								
																																
																																
																																
																																
																																
																																
BoxClone013001	BoxNpc	宝箱1	npc\itemboxnpc003	icon\funcnpc\itemboxnpc003.png	161		3		2	interact041	5000	NormalBox03003				-1							2	9								
BoxClone013002	BoxNpc	宝箱2	npc\itemboxnpc002	icon\funcnpc\itemboxnpc002.png	161		3		2	interact041	5000	NormalBox03003				-1							2	9								
BoxClone013003	BoxNpc	武器架	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000	NormalBox03003				-1							2	9								
BoxClone013004	BoxNpc	罐子	npc\itemnpc001	icon\funcnpc\itemnpc001.png	161		3		2	interact041	2000	NormalBox04003				-1							2	9								
BoxClone013005	BoxNpc	破布包	npc\fbmac009005	icon\funcnpc\fbmac009005.png	161		3		3	interact041	2000	NormalBox04003				-1							2	9								
BoxClone013007	BoxNpc	震宫宝箱1	npc\itemboxnpc003	icon\funcnpc\itemboxnpc003.png	161		3		2	interact041	5000	NormalBox04003				-1							2	9								
BoxClone013010	BoxNpc	天宫掉落宝箱	npc\itemboxnpc002	icon\funcnpc\itemboxnpc002.png	161		3		2	interact041	5000	NormalBox04003				-1							2	9								
BoxClone013011	BoxNpc	雄黄丹药罐	npc\itemnpc001	icon\funcnpc\itemnpc001.png	161		3		2	interact041	3000	BoxClone013011				-1							2	9								
BoxClone013012	BoxNpc	天降财宝	npc\itemboxnpc002	icon\funcnpc\itemboxnpc002.png	161		3		2	interact041	5000	budainpc10006				-1							2	9								
BoxClone013013	BoxNpc	万毒宫秘宝箱	npc\itemboxnpc003	icon\funcnpc\itemboxnpc003.png	161		3		2	interact041	2000	NormalBox05003				-1							2	9								
BoxClone013014	BoxNpc	万毒宫秘宝箱	npc\itemboxnpc003	icon\funcnpc\itemboxnpc003.png	161		3		2	interact041	2000	NormalBox05003				-1							2	9								
BoxClone013015	BoxNpc	万毒宫秘宝箱	npc\itemboxnpc003	icon\funcnpc\itemboxnpc003.png	161		3		2	interact041	2000	NormalBox05003				-1							2	9								
BoxClone013016	BoxNpc	万毒宫秘宝箱	npc\itemboxnpc003	icon\funcnpc\itemboxnpc003.png	161		3		2	interact041	2000	NormalBox05003				-1							2	9								
																																
BoxClone017001	BoxNpc	丁萧山	npc\itemboxnpc002	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	JYchushiBoss003				-1							2	9	"1.6,1.6,1.6"							
BoxClone017002	BoxNpc	岳志鹏	npc\itemboxnpc002	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	JYchushiBoss004				-1							2	9	"1.6,1.6,1.6"							
BoxClone017003	BoxNpc	沈豪1	npc\itemboxnpc002	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	JYchushiBoss005				-1							2	9	"1.6,1.6,1.6"							
BoxClone017004	BoxNpc	沈豪2	npc\itemboxnpc002	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	BoxClone017004				-1							2	9	"1.6,1.6,1.6"							
BoxClone017005	BoxNpc	孙庆	npc\itemboxnpc002	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	JYchushiBoss010				-1							2	9	"1.6,1.6,1.6"							
BoxClone017006	BoxNpc	解药	npc\itemboxnpc002	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	BoxClone017006				-1							2	9								
BoxClone017007	BoxNpc	宝箱1	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxClone017008	BoxNpc	宝箱2	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxClone017009	BoxNpc	尸体1	npc\kqshiti01	icon\monster\fbnpc00001.png	161		3		2	interact041	5000	NormalBox04500				-1							2	9								
BoxClone017010	BoxNpc	尸体2	npc\kqshiti02	icon\monster\fbnpc00001.png	161		3		2	interact041	5000	NormalBox05000				-1							2	9								
BoxClone017011	BoxNpc	骨骸	npc\guhai001	icon\pk\pk_eren.png	161		3		2	interact041	5000	NormalBox04501				-1							2	9								
BoxClone017012	BoxNpc	武器架	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000	NormalBox04501				-1							2	9								
BoxClone017013	BoxNpc	尸体	npc\kqshiti01	icon\monster\fbnpc00001.png	161		2	npc\clone\clone017\Corpse.lua	2	interact041						-1							0	0								
BoxClone017014	BoxNpc	尸体	npc\kqshiti01	icon\monster\fbnpc00001.png	161		2		2	interact041	3000	NormalBox04501				-1			DeadPickup				0	0								
BoxClone017015	BoxNpc	尸体	npc\kqshiti01	icon\monster\fbnpc00001.png	161		2		2	interact041	3000					-1							0	0								
BoxClone017016	BoxNpc	钥匙箱	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	Jydoorkey_017101				-1							2	9								
BoxClone017017	BoxNpc	冰牢宝箱	npc\itemboxnpc003_yunbiao	icon\funcnpc\itemnpc005.png	161		3		2	interact041	60000					-1							2	9								
	//锦衣卫三内困难																															
BossBox017201C	BoxNpc	汪翌城	npc\itemboxnpc003		161		3		3	interact041	5000	csjyw_boss201_c	6			-1							2	9				2	64	10		
BossBox017202C	BoxNpc	蒋国庆	npc\itemboxnpc003		161		3		3	interact041	5000	csjyw_boss202_c	6			-1							2	9				2	64	10		
BossBox017203C	BoxNpc	孙庆	npc\itemboxnpc003		161		3		3	interact041	5000	csjyw_boss203_c	6			-1							2	9				2	64	10		
BossBox017204C	BoxNpc	苗英华	npc\itemboxnpc003		161		3		3	interact041	5000	csjyw_boss204_c	6			-1							2	9				2	66	10		
BossBox017205C	BoxNpc	赵藏锋	npc\itemboxnpc003		161		3		3	interact041	5000	csjyw_boss205_c	6			-1							2	9				2	66	10		
BossBox017206C	BoxNpc	董大鹏	npc\itemboxnpc003		161		3		3	interact041	5000	csjyw_boss206_c	6			-1							2	9				2	68	10		
BossBox017207C	BoxNpc	厂公	npc\itemboxnpc003		161		3		3	interact041	5000	csjyw_boss207_c	6			-1							2	9				2	70	10		
BossBox017208C	BoxNpc	方大	npc\itemboxnpc003		161		3		3	interact041	5000	csjyw_boss208_c	6			-1							2	9				2	70	10		
	//锦衣卫三内地狱																															
BossBox017301C	BoxNpc	汪翌城	npc\itemnpc590		161		3		3	interact041	5000	csjyw_boss301_c	6			-1							2	9				2	70	10		
BossBox017302C	BoxNpc	蒋国庆	npc\itemnpc590		161		3		3	interact041	5000	csjyw_boss302_c	6			-1							2	9				2	70	10		
BossBox017303C	BoxNpc	孙庆	npc\itemnpc590		161		3		3	interact041	5000	csjyw_boss303_c	6			-1							2	9				2	70	10		
BossBox017304C	BoxNpc	苗英华	npc\itemnpc590		161		3		3	interact041	5000	csjyw_boss304_c	6			-1							2	9				2	70	10		
BossBox017305C	BoxNpc	赵藏锋	npc\itemnpc590		161		3		3	interact041	5000	csjyw_boss305_c	6			-1							2	9				2	70	10		
BossBox017306C	BoxNpc	董大鹏	npc\itemnpc590		161		3		3	interact041	5000	csjyw_boss306_c	6			-1							2	9				2	72	10		
BossBox017307C	BoxNpc	厂公	npc\itemnpc590		161		3		3	interact041	5000	csjyw_boss307_c	6			-1							2	9				2	75	10		
BossBox017308C	BoxNpc	方大	npc\itemnpc590		161		3		3	interact041	5000	csjyw_boss308_c	6			-1							2	9				2	75	10		
																																
BoxClone005001	BoxNpc	八门宝箱	npc\itemboxnpc002	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxClone005002	BoxNpc	冰剑	npc\fbmac019024	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxClone005003	BoxNpc	火剑	npc\fbmac019023	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxClone005004	BoxNpc	香炉	npc\fbmac019008	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxClone005005	BoxNpc			icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxClone005006	BoxNpc	蒲团	npc\itemnpc063	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxClone005007	BoxNpc	无名骨骸	npc\guhai001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxClone005008	BoxNpc	乱木堆	npc\itemnpc038	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxClone005009	BoxNpc	书籍	npc\itemnpc049	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxClone005010	BoxNpc	武器架宝箱1	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000					-1							2	9								
BoxClone005011	BoxNpc	武器架宝箱2	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000					-1							2	9								
BoxClone005012	BoxNpc	少林出师宝箱1	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxClone005013	BoxNpc	少林出师宝箱2	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxClone005014	BoxNpc	少林出师宝箱3	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxClone005015	BoxNpc	少林出师宝箱4	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxBossClone005001	BoxNpc	武僧教头掉落	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxBossClone005009	BoxNpc	铜人BOSS1掉落	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxBossClone005011	BoxNpc	铜人BOSS2掉落	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxBossClone005013	BoxNpc	铜人BOSS3掉落	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
BoxBossClone005015	BoxNpc	无名高僧掉落	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9								
Clone005_bomb_box	BoxNpc	炸弹	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000					-1							2	9		16523						
BoxNpcClone005001	BoxNpc	盗墓贼宝箱	npc\itemboxnpc002	icon\funcnpc\itemboxnpc002.png	161		3		2	interact041	10000					-1							2	9		16523						
																																
																																
BoxClone003001	BoxNpc	钥匙箱	npc\fbmac003020	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	BoxClone003001				-1							2	9		10376						
BoxClone003002	BoxNpc	火药箱	npc\fbmac003021	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	BoxClone003002				-1				1	TaskItemClone_003001		2	5		10376						
BoxClone003003	BoxNpc	水桶	npc\npcitem067	icon\funcnpc\task.png	161		3		2	interact041	1000	useitemclone003001				-1							2	9		10376						
BoxClone003004	BoxNpc	火堆	npc\npcitem167	icon\funcnpc\task.png	161		3		2	interact041	1000	useitemclone003003				-1							2	9		10376						
BoxClone003007	BoxNpc	鱼篓	npc\fbmac003022	icon\funcnpc\itemnpc005.png	161		3		2	interact041	2000	NormalBox02003				-1							2	9								
BoxClone003008	BoxNpc	被子	npc\fbmac003023	icon\funcnpc\itemnpc005.png	161		3		2	interact041	2000	NormalBox02003				-1							2	9								
