NPC编号	实力包编号	级别	对象类型	名称	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	脚本编号	AI编号	NPC阵营	运营管理读取类别	运营管理读取名称	路径编号	巡逻模式	巡逻半径	走路速度	跑步速度	随机动作名	倒计时时间	拆除动作	拆除时间	拆除工具id	爆炸特效	拆除触发距离	拆除技能id	爆炸AOE技能id	随机动作时间间隔(ms)	刷新时间	最大HP	攻击参数1	攻击参数2	追击范围	能否攻击	能否被攻击	非主动	技能表	攻击间隔	命中时间	呼叫类型	呼叫对象	呼救范围	有此身份时触发npc攻击的身份ID	没有此身份时触发npc的身份ID	触发属性	触发属性值	触发运算符	发现敌人特效名称	敌人NPC编号序列	猎杀标识		势力归属	势力关系表	AI编辑包	格挡模式(-1不格挡)
BombNpc00008	14	1	BombNpc	土	npc\fbnpc00005	icon\funcnpc\task.png	162		10	2		3	1	13	13		1	0	0	0		5				bomb_fire_0			clone007_tu		-1	1000	0	3	0	0	1	0	"clone007_tu,1,0"																		-1
BombNpc00009	14	1	BombNpc	木	npc\fbnpc00005	icon\funcnpc\task.png	162		10	2		3	1	13	13		1	0	0	0		5				bomb_fire_0			clone007_mu		-1	1000	0	3	0	0	1	0	"clone007_mu,1,0"																		-1
BombNpc00010	14	1	BombNpc	金	npc\fbnpc00005	icon\funcnpc\task.png	162		10	2		3	1	13	13		1	0	0	0		5				bomb_fire_0			clone007_jin		-1	1000	0	3	0	0	1	0	"clone007_jin,1,0"																		-1
BombNpc00011	14	1	BombNpc	苍松残影	npc\fbnpc00005	icon\funcnpc\task.png	162		10	2		3	1	13	13				2	5		19				bomb_fire_0			clone007_cangsong_06a		-1	1000	0	3	100	0	0	0	"jn_mon114_01,1,10;jn_mon114_02,1,20;jn_mon114_03,1,10;clone007_cangsong_06a,1,0;"	1500	500																-1
BombNpc00012	14	1	BombNpc	震地雷	npc\fbnpc00005	icon\funcnpc\task.png	162		50	2		3	1	13	13				0	0		1				bomb_fire_0					-1	1000	0	3	100	0	0	0		1500	500																-1
BombNpc00013	14	1	BombNpc	冲天炮	npc\fbnpc00005	icon\funcnpc\task.png	162		50	2		3	1	13	13				0	0		1				bomb_fire_0					-1	1000	0	3	100	0	0	0		1500	500																-1
BombNpc00014	14	1	BombNpc	催命弹	npc\fbnpc00005	icon\funcnpc\task.png	162		50	2		3	1	13	13				0	0		1				bomb_fire_0					-1	1000	0	3	100	0	0	0		1500	500																-1
BombNpc00015	14	1	BombNpc	追魂爆	npc\fbnpc00005	icon\funcnpc\task.png	162		50	2		3	1	13	13				0	0		1				bomb_fire_0					-1	1000	0	3	100	0	0	0		1500	500																-1
BombNpc00016	14	1	BombNpc	破尘雷	npc\fbnpc00005	icon\funcnpc\task.png	162		30	2		3	1	13	13				0	0		3				bomb_fire_0					-1	1000	0	3	100	0	0	0		1500	500																-1
BombNpc00017	14	1	BombNpc	test	npc\fbnpc00005	icon\funcnpc\task.png	202		30	2	npc\clone\clone017\crossbomb.lua	3	1	13	13				0	0		10				bomb_fire_0					-1	1000	0	3	100	0	0	0		1500	500																-1
BombNpc00018	14	1	BombNpc	test	npc\fbnpc00005	icon\funcnpc\task.png	202		30	2	npc\clone\clone017\taijibomb.lua	3	1	13	13				0	0		10				bomb_fire_0					-1	1000	0	3	100	0	0	0		1500	500																-1
BombNpc00019	14	1	BombNpc	test	npc\fbnpc00005	icon\funcnpc\task.png	202		30	2	npc\clone\clone017\spirebomb.lua	3	1	13	13				0	0		10				bomb_fire_0					-1	1000	0	3	100	0	0	0		1500	500																-1
BombNpc00020	14	1	BombNpc	火药	npc\itemnpc434	icon\funcnpc\fbnpc00005.png	162		10	2		3	1	13	13				0	0		10				bomb_fire_0			jn_bomb_01		-1	1000	0	3	100	0	0	0	"jn_bomb_01,1,0"	1500	500																-1
BombNpc00021	14	1	BombNpc	test	npc\fbmac00515	icon\funcnpc\task.png	202		30	2	npc\clone\clone017\crossbomb.lua	3	1	13	13				0	0		1				bomb_fire_0					-1	1000	0	3	100	0	0	0		1500	500																-1
BombNpc021001	14	1	BombNpc	火药	npc\itemnpc434	icon\funcnpc\fbnpc00005.png	162		10	2	npc\clone\clone017\crossbomb.lua	3	1	13	13				0	0		3				bomb_fire_0			clone021_bomb		-1	1000	0	3	100	0	0	0	"clone021_bomb,1,0"	1500	500																-1
BombNpc021002	14	1	BombNpc	火药	npc\itemnpc434	icon\funcnpc\fbnpc00005.png	162		10	2	npc\clone\clone017\crossbomb.lua	3	1	13	13				0	0		3				bomb_fire_0			clone021_bomb		-1	1000	0	3	100	0	0	0	"clone021_bomb,1,0"	1500	500																-1
BombNpc021003	14	1	BombNpc	秒杀火药	npc\itemnpc434	icon\funcnpc\task.png	162		10	2	npc\clone\clone017\crossbomb.lua	3	1	13	13				0	0		5				bomb_fire_0			clone021_bomb_miaosha		-1	1000	0	3	100	0	0	0	"clone021_bomb_miaosha,1,0"	1500	500																-1
BombNpc36014	14	1	BombNpc	轰天雷	npc\fbnpc00005	icon\funcnpc\task.png	162		15	2		3	1	13	13				0	0		5				bomb_fire_0_self			task_jl_03		-1	1000	0	3	100	0	0	0	"task_jl_03,1,0"	1500	500																-1
BombNpc84001	14	1	BombNpc	轰天雷	npc\itemnpc057_jyw02	icon\funcnpc\task.png	202		5	2		3	1	13	13				0	0		0				bomb_fire_0			task_jl_04		-1	1000	0	3	100	0	0	0	"task_jl_03,1,0"	2000	500																-1
BombNpc_suzhou	14	1	BombNpc	轰天雷	npc\itemnpc434	icon\funcnpc\task.png	162		10	2		3	1	13	13				0	0		5				clone009n_002_dinghongzhen_1			skill_task_suzhou10		-1	1000	0	3	100	0	0	0	"skill_task_suzhou10,1,100"	1500	500																-1
																																																									
BombNpc004001	57	30	BombNpc	炸弹	npc\fbnpc00005	icon\funcnpc\fbnpc00005.png	162		3	2		3	1	13	13		1	0	0	0		5	interact41	2000		bomb_fire_0	3		clone004_baozha		-1	1000	0	2	0	0	1	0	"clone004_baozha,1,100"																		
																																																									
Npc_world_34	14	1	BombNpc	炸弹	npc\fbnpc00005	icon\funcnpc\fbnpc00005.png	162		100	2		3	1	13	13		1	0	0	0		5	interact41	3000	taskitem_334	buff_xingjk_td26_1	3				-1	1000	0	3	0	0	0	0													Npc_aqzw_21;Npc_aqzw_22					2504	-1
																																																									
BombNpc_jlqz_001	14	1	BombNpc	地雷	npc\fbnpc00005	icon\funcnpc\task.png	162		15	2		3	1	13	13				0	0		0				bomb_fire_0_self			jn_jlqz_sx_xw03		-1	99999	0	3	0	0	0	0	"jn_jlqz_sx_xw03,1,100"	1500	500															2687	-1
																																																									
BombNpc_wjd_xx_01	14	1	BombNpc	火炮炮弹	npc\fbnpc00005	icon\funcnpc\task.png	162		50	2		3	1	13	13				0	0		1				bomb_fire_0					-1	1000	0	3	100	0	0	0		1500	500															3712	-1
