NPC编号	对象类型	名称	模型编号	NPC类型	NPC种类ID	响应范围	触发事件编号	触发类型	触发任务ID	是否可见	交互顺序	脚本编号	触发条件	AI编辑包
EventNpcClone017004	EventNpc	创建沈洪烈	npc\fbmac00515	47	4	20		6		1				
EventNpcClone017005	EventNpc	创建张继武任务	npc\fbmac00515	47	4	20		6		1				
EventNpcClone017006	EventNpc	遇到沈豪	npc\fbmac00515	47	4	20		6		1				
EventNpcClone017007	EventNpc	提示转动佛像	npc\fbmac00515	47	4	10		6		1				
EventNpcClone017008	EventNpc	提示机关通道	npc\fbmac00515	47	4	10		6		1				
EventNpcClone017009	EventNpc	提示水牢机关	npc\fbmac00515	47	4	20		6		1				
EventNpcClone017010	EventNpc	播放沈鸿烈挡刀	npc\fbmac00515	47	4	5		6		1				
EventNpcClone017011	EventNpc	打探触发点	npc\fbmac00515	47	4	80		6		1				
EventNpcClone017012	EventNpc	机关创建NPC	npc\fbmac00515	47	4	42		6		1		npc\clone\clone017\mac_grid_creator.lua  		
TriggerNpcClone017012	EventNpc	沈鸿烈目标点	npc\fbmac00515	47	4	5		6		1				
EventNpcClone017013	EventNpc	沈鸿烈一行消失点	npc\fbmac00515	47	4	5		6		1				
EventNpcClone017014	EventNpc	崔家门口任务完成点	npc\fbmac00515	47	4	10		6		1		npc\clone\clone017\EventNpcClone017014.lua		
EventNpcClone017015	EventNpc	副本奖励	npc\fbmac00515	47	4	50		6		1				
EventNpcClone017016	EventNpc	困难难度传送至出生点	npc\fbmac004012	47	4	50		6		1		npc\clone\clone017\EventNpcClone017016.lua		
EventNpcClone017017	EventNpc	动画播放触发NPC	npc\fbmac004012	47	4	50		6		1				
EventNpcClone017018	EventNpc	冰牢阵法触发NPC	npc\fbmac004012	47	4	50		6		1				
EventNpcClone017021	EventNpc	尸坑触发NPC	npc\fbmac00515	47	4	2		6		1				
EventNpcClone017019	EventNpc	副本入口触发NPC	npc\fbmac004012	47	4	50		6		1				
EventNpcClone017020	EventNpc	BOSS技能隐藏NPC	npc\fbmac00515	47	4	5		6		1				
														
EventNpcClone009001	EventNpc	隐藏1	npc\worldnpc140	47	4	8	0	2		1				
EventNpcClone009002	EventNpc	隐藏2	npc\worldnpc140	47	4	8	0	2		1				
EventNpcClone009003	EventNpc	隐藏3	npc\worldnpc140	47	4	8	0	2		1				
EventNpcClone009004	EventNpc	隐藏4	npc\worldnpc140	47	4	8	0	2		1				
EventNpcClone009005	EventNpc	隐藏5	npc\worldnpc140	47	4	8	0	2		1				
EventNpcClone009006	EventNpc	隐藏6	npc\worldnpc140	47	4	8	0	2		1				
EventNpcClone009007	EventNpc	舍身崖出口触发NPC	npc\worldnpc140	47	4	80	0			1				
EventNpcClone009008	EventNpc	尚寸方逃跑触发点	npc\itemnpc057d	47	4	2	0			1				
EventNpcClone009009	EventNpc	尚寸方逃跑触发点	npc\itemnpc057d	47	4	2	0			1				
EventNpcClone009010	EventNpc	尚寸方逃跑触发点	npc\itemnpc057d	47	4	2	0			1				
EventNpcClone009011	EventNpc	尚寸方逃跑触发点	npc\itemnpc057d	47	4	2	0			1				
EventNpcClone009012	EventNpc	舍身崖动画播放	npc\itemnpc057d	47	4	10	0			1				
EventNpcClone009013	EventNpc	舍身崖动画播放	npc\itemnpc057d	47	4	20	0			1				
EventNpcClone009014	EventNpc	看到绝冥播放动画	npc\itemnpc057d	47	4	5	0			1				
EventNpcClone009015	EventNpc	进入山寨播放动画	npc\itemnpc057d	47	4	5	0			1				
EventNpcClone009030	EventNpc	鱼群触发NPC	npc\itemnpc057	202	4	60				0				
EventNpcClone009031	EventNpc	鱼群触发NPC	npc\itemnpc057	202	4	20				0				
EventNpcClone009032	EventNpc	鱼群触发NPC	npc\itemnpc057	202	4	12				0				
EventNpcClone009033	EventNpc	灭元动画	npc\itemnpc057	202	4	20				0				
EventNpcClone009034	EventNpc	灭元前招马	npc\itemnpc057	202	4	20				0				
EventNpcClone009035	EventNpc	灭元前招马	npc\itemnpc057	202	4	10				0				
														
EventNpcClone002000	EventNpc	玩家第一次进副本触发器	npc\fbmac00515	202	4	10				0				
EventNpcClone002001	EventNpc	马贼山寨下绿洲处检测NPC1	npc\fbmac00515	202	4	10				0				
EventNpcClone002002	EventNpc	崔杨是否在龙门关附近距离检测NPC	npc\fbmac00515	202	4	50				0				
EventNpcClone002003	EventNpc	马贼攻击客栈外事件触发	npc\fbmac00515	202	4	10				0				
EventNpcClone002004	EventNpc	沈义山线；护送沈义山至龙门关末端检测NPC	npc\fbmac00515	202	4	10				0				
EventNpcClone002005	EventNpc	龙门客栈前门范围检测NPC	npc\fbmac00515	202	4	10				0				
EventNpcClone002006	EventNpc	金镶玉线密道入口范围检测NPC	npc\fbmac00515	202	4	3				0				
EventNpcClone002007	EventNpc	金镶玉线密道出口范围检测NPC	npc\fbmac00515	202	4	3				0				
EventNpcClone002008	EventNpc	斫镇门口范围检测NPC	npc\fbmac00515	202	4	10				0				
EventNpcClone002009	EventNpc	传令兵触发范围NPC	npc\fbmac00515	202	4	3				0				
EventNpcClone002010	EventNpc	董遒楼梯口事件触发NPC	npc\fbmac00515	202	4	1				0				
EventNpcClone002011	EventNpc	曹少钦事件范围触发NPC	npc\fbmac00515	202	4	10				0				
EventNpcClone002012	EventNpc	邱莫言寻路终点检测NPC	npc\fbmac00515	202	4	4				0				
EventNpcClone002013	EventNpc	金镶玉寻路对白点1	npc\fbmac00515	202	4	1				0				
EventNpcClone002014	EventNpc	金镶玉寻路对白点2	npc\fbmac00515	202	4	1				0				
EventNpcClone002015	EventNpc	金镶玉寻路对白点3	npc\fbmac00515	202	4	1				0				
EventNpcClone002016	EventNpc	金镶玉寻路对白点4	npc\fbmac00515	202	4	1				0				
EventNpcClone002017	EventNpc	金镶玉寻路终点	npc\fbmac00515	202	4	3				0				
EventNpcClone002018	EventNpc	废弃	npc\fbmac00515	202	4	5				0				
EventNpcClone002019	EventNpc	废弃	npc\fbmac00515	202	4	5				0				
EventNpcClone002020	EventNpc	沈义山线；龙门关外门处东厂阻截事件触发点	npc\fbmac00515	202	4	5				0				
EventNpcClone002021	EventNpc	节点前；贺虎进聚义堂触发点	npc\fbmac00515	202	4	5				0				
EventNpcClone002022	EventNpc	废弃	npc\fbmac00515	202	4	5				0				
EventNpcClone002023	EventNpc	护送贾廷至龙门客栈触发怪物创建	npc\fbmac00515	202	4	5				0				
EventNpcClone002024	EventNpc	胡人督军帐篷内战斗触发器	npc\fbmac00515	202	4	5				0				
EventNpcClone002025	EventNpc	任务2061战斗触发器	npc\fbmac00515	202	4	5				0				
EventNpcClone002026	EventNpc	剧情454触发器	npc\fbmac00515	202	4	10				0				
EventNpcClone002027	EventNpc	龙门关关卡守卫刷新器	npc\fbmac00515	202	4	5				0		npc\clone\clone002\lmg_guardcreate_trigger.lua		
EventNpcClone002028	EventNpc	龙门恩仇触发NPC-马场	npc\fbmac00515	202	4	10				0				
EventNpcClone002029	EventNpc	马场水坑	npc\fbmac00515	202	4	10				0				
EventNpcClone002030	EventNpc	王翦恩仇触发点NPC	npc\fbmac00515	47	4	10		6		0				
EventNpcClone002031	EventNpc	王翦恩仇触发点NPC1	npc\fbmac00515	47	4	10		6		0		npc\clone\clone002\EventNpcClone002031.lua		
EventNpcClone002032	EventNpc	王翦恩仇触发点NPC2-驯马	npc\fbmac00515	47	4	10		6		0		npc\clone\clone002\EventNpcClone002032.lua		
EventNpcClone002033	EventNpc	龙门恩仇触发NPC-桥段1	npc\fbmac00515	47	4	10		6		0		npc\clone\clone002\EventNpcClone002033.lua		
EventNpcClone002034	EventNpc	龙门恩仇触发NPC-桥段3	npc\fbmac00515	47	4	10		6		0		npc\clone\clone002\EventNpcClone002034.lua		
EventNpcClone002035	EventNpc	龙门恩仇触发NPC-驯马点7	npc\fbmac00515	47	4	10		6		0		npc\clone\clone002\EventNpcClone002035.lua		
EventNpcClone002036	EventNpc	龙门奇遇	npc\fbmac00515	202	4	10		6		1		npc\clone\clone002\EventNpcClone002036.lua		
EventNpcClone002037	EventNpc	龙门奇遇	npc\fbmac00515	202	4	10		6		1		npc\clone\clone002\EventNpcClone002037.lua		
														
EventNpcClone004001	EventNpc	雁门关检测NPC	npc\fbmac004012	202	4	10		6		1				
EventNpcClone004002	EventNpc	东泉村检测NPC1	npc\fbmac004012	202	4	30		6		1				
EventNpcClone004003	EventNpc	东泉村检测NPC2	npc\fbmac004012	202	4	10		6		1				
EventNpcClone004004	EventNpc	万蛇谷检测NPC	npc\fbmac004012	202	4	10		6		1				
EventNpcClone004005	EventNpc	大峪沟检测NPC	npc\fbmac004012	202	4	10		6		1				
EventNpcClone004006	EventNpc	落马道检测NPC	npc\fbmac004012	202	4	50		6		1				
EventNpcClone004007	EventNpc	洞口检测NPC	npc\fbmac004012	202	4	10		6		1				
EventNpcClone004008	EventNpc	暗影洞检测传送NPC	npc\fbmac004012	202	4			6		1		npc\clone\clone004\EventNpcClone004008.lua		
EventNpcClone004009	EventNpc	迷宫检测NPC	npc\fbmac004012	202	4	10		6		1				
EventNpcClone004010	EventNpc	雁门关检测NPC 2	npc\fbmac004012	202	4	50		6		1		npc\clone\clone004\EventNpcClone004010.lua		
EventNpcClone004012	EventNpc	粮草房检测NPC	npc\fbmac004012	202	4	10		6		1				
EventNpcClone004013	EventNpc	战场检测NPC	npc\fbmac004012	202	4	10		6						
EventNpcClone004014	EventNpc	少林方丈触发NPC	npc\fbmac004012	202	4	3		6		1		npc\clone\clone004\EventNpcClone004014.lua		
EventNpcClone004015	EventNpc	阻挡NPC1	npc\fbmac004013	202	4	10		6		1				
EventNpcClone004016	EventNpc	阻挡NPC2	npc\fbmac004013	202	4	10		6		1				
EventNpcClone004017	EventNpc	骑兵删除NPC	npc\fbmac004012	202	4	10		6		1				
EventNpcClone004018	EventNpc	阿鲁台和方无恨密谋动画触发NPC	npc\fbmac004012	202	4	10		6		1				
EventNpcClone004019	EventNpc	玩家见到柳方朔动画触发NPC	npc\fbmac004012	202	4	10	520	4	5311	1				
EventNpcClone004100	EventNpc		npc\fbmac004012	202	4	10		6		1				
EventNpcClone004101	EventNpc		npc\fbmac004012	202	4	10		6		1		npc\clone\clone004\EventNpcClone004101.lua		
EventNpcClone004102	EventNpc	云梯	npc\fbmac004103	202	4	1		6				npc\clone\clone004\EventNpcClone004102.lua		
EventNpcClone004103	EventNpc	陷阱	npc\hw_xj001	202	4	5		6				npc\clone\clone004\xianjing.lua		
EventNpcClone004998	EventNpc	删除泛黄平原支援民兵	npc\fbmac004012	202	4	10		6		1		npc\clone\clone004\EventNpcClone004998.lua		
EventNpcClone004999	EventNpc	删除泛黄平原逃难百姓	npc\fbmac004012	202	4	10		6		1		npc\clone\clone004\EventNpcClone004999.lua		
EventNpcClone004104	EventNpc	方无恨牢房触发NPC1	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004105	EventNpc	方无恨牢房触发NPC2	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004106	EventNpc	东泉村逃难村民1	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004107	EventNpc	东泉村逃难村民2	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004108	EventNpc	东泉村逃难村民3	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004109	EventNpc	东泉村逃难村民4	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004110	EventNpc	东泉村逃难村民5	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004111	EventNpc	东泉村逃难村民6	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004112	EventNpc	村民线柳方硕寻路点1	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004113	EventNpc	村民线柳方硕寻路点2	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004114	EventNpc	村民线柳方硕寻路点3	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004115	EventNpc	村民线柳方硕寻路点4	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004116	EventNpc	村民线搬运NPC终点	npc\fbmac004012	202	4	6		6		1		npc\clone\clone004\EventNpcClone004116.lua		
EventNpcClone004117	EventNpc	武林线骑兵玩法刷新NPC	npc\fbmac004012	202	4	3		6		1		npc\clone\clone004\EventNpcClone004117.lua		
EventNpcClone004118	EventNpc	雁门关关卡刷新NPC	npc\fbmac004012	202	4	50		6		1		npc\clone\clone004\EventNpcClone004118.lua		
EventNpcClone004119	EventNpc	村民线柳方硕寻路点8	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004120	EventNpc	村民线柳方硕寻路点9	npc\fbmac004012	202	4	3		6		1				
EventNpcClone004501	EventNpc	监军线 蛇道	npc\worldnpc140	202	4	8		6		1				
EventNpcClone004502	EventNpc	冬泉动画	npc\worldnpc140	202	4	8		6		1				
EventNpcClone004503	EventNpc	滚石陷阱	npc\worldnpc140	202	4	8		6		1		npc\clone\clone004\EventNpcClone004503.lua		
EventNpcClone004504	EventNpc	大营警戒	npc\worldnpc140	202	4	50		6		1		npc\clone\clone004\EventNpcClone004504.lua		
EventNpcClone004505	EventNpc	粮草检测NPC	npc\fbmac004012	202	4	8		6		1				
EventNpcClone004506	EventNpc	鸿门宴触发NPC1	npc\fbmac004012	202	4	8		6		1				
EventNpcClone004507	EventNpc	鸿门宴触发NPC2	npc\fbmac004012	202	4	8		6		1				
EventNpcClone004508	EventNpc	创建骑兵队长	npc\fbmac004012	202	4	8		6		1		npc\clone\clone004\EventNpcClone004508.lua		
EventNpcClone004509	EventNpc	创建步兵队长	npc\fbmac004012	202	4	8		6		1		npc\clone\clone004\EventNpcClone004509.lua		
EventNpcClone004510	EventNpc	蛇谷检测	npc\fbmac004012	202	4	8		6		1				
EventNpcClone004511	EventNpc	大峪沟检测	npc\fbmac004012	202	4	8		6		1				
EventNpcClone004512	EventNpc	鞑靼骑兵表现触发	npc\fbmac004012	202	4	50		6		1		npc\clone\clone004\EventNpcClone004512.lua		
EventNpcClone004513	EventNpc	暗影洞前检测NPC	npc\fbmac004012	202	4	8		6		1		npc\clone\clone004\EventNpcClone004513.lua		
EventNpcClone004514	EventNpc	粮草车队终点	npc\fbmac004012	202	4	8		6		1		npc\clone\clone004\EventNpcClone004514.lua		
EventNpcClone004515	EventNpc	雁门关前门逃难农民判断	npc\fbmac004012	202	4	8		6		1		npc\clone\clone004\EventNpcClone004515.lua		
EventNpcClone004516	EventNpc	完颜拉索检测	npc\fbmac004012	202	4	8		6		1				
														
EventNpcClone003001	EventNpc	沙滩救村民	npc\worldnpc140	47	4	8				1				
EventNpcClone003002	EventNpc	燃烧的房子	npc\worldnpc140	47	4	8				1				
EventNpcClone003003	EventNpc	祠堂动画触发	npc\worldnpc140	47	4	8				1				
EventNpcClone003004	EventNpc	赵子亟死	npc\worldnpc140	47	4	10				1				
EventNpcClone003005	EventNpc	赵子亟没死	npc\worldnpc140	47	4	10				1				
EventNpcClone003006	EventNpc	宇文绝动画	npc\worldnpc140	47	4	4				1				
EventNpc_mskn01	EventNpc	进入苏州分组场景	npc\itemnpc057e	47	4	5		6		1		npc\clone\clone003\EventNpc_qy_jinru.lua	10299	
EventNpc_mskn02	EventNpc	离开苏州分组场景	npc\itemnpc057e	47	4	20		6		1		npc\clone\clone003\EventNpc_qy_likai.lua		
														
EventNpcClone005001	EventNpc	触发石门开启	npc\worldnpc140	47	4	8				1				
EventNpcClone005002	EventNpc	铜人区香炉刷怪	npc\worldnpc140	47	4	8				1				
EventNpcClone005003	EventNpc	活动地板刷怪	npc\worldnpc140	47	4	8				1				
EventNpcClone005004	EventNpc	触发疯人出现	npc\worldnpc140	47	4	8				1				
EventNpcClone005005	EventNpc	迷宫触发动画	npc\worldnpc140	47	4	8				1				
EventNpcClone005006	EventNpc	触发盗墓贼刷新	npc\worldnpc140	47	4	8				1				
EventNpcClone005007	EventNpc		npc\worldnpc140	47	4	8				1				
EventNpcClone005008	EventNpc	隐藏恢复BOSS刷新	npc\worldnpc140	47	4	38				1				
EventNpcClone005009	EventNpc	隐藏恢复BOSS刷新	npc\worldnpc140	47	4	4		6		1		npc\clone\clone005\EventNpc_for_guide.lua		
EventNpcClone005010	EventNpc	禅院进门触发动画	npc\worldnpc140	47	4	18				1				
EventNpcClone005011	EventNpc	木人觉处触发动画	npc\worldnpc140	47	4	10				1				
EventNpcClone005012	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005013	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005014	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005015	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005016	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005017	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005018	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005019	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005020	EventNpc	木人桩玩法触发动画	npc\worldnpc140	47	4	10				1				
EventNpcClone005021	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005022	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005023	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005024	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005025	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005026	EventNpc		npc\worldnpc140	47	4	10				1				
EventNpcClone005027	EventNpc	木桩水道swich	npc\worldnpc140	47	4	10				1				
EventNpcClone005028	EventNpc	地狱模式泥沼触发npc	npc\worldnpc140	47	4	2				1				
EventNpcClone005029	EventNpc	可用触发npc	npc\worldnpc140	47	4	10				1				
EventNpcClone005030	EventNpc	可用触发npc	npc\worldnpc140	47	4	10				1				
EventNpcClone005031	EventNpc	可用触发npc	npc\worldnpc140	47	4	10				1				
EventNpcClone005032	EventNpc	困难地狱动画触发npc	npc\worldnpc140	47	4	10				1				
														
														
EventNpcClone019001	EventNpc	进入鬼使领地检测NPC	npc\cj_101007	47	4	8				1				
EventNpcClone019002	EventNpc	毒使提示检测NPC	npc\cj_101007	47	4	8				1				
EventNpcClone019003	EventNpc	蛊使领地检测NPC	npc\cj_101007	47	4	8				1				
EventNpcClone019004	EventNpc	第一次进入场景播剧情	npc\cj_101007	47	4	10				1				
EventNpcClone019006	EventNpc	尸使检测NPC	npc\cj_101007	47	4	8				1				
EventNpcClone019007	EventNpc	佛使检测NPC	npc\cj_101007	47	4	8				1				
EventNpcClone019008	EventNpc	修罗殿检测NPC1	npc\cj_101007	47	4	8				1				
EventNpcClone019009	EventNpc	修罗殿检测NPC2	npc\cj_101007	47	4	8				1				
EventNpcClone019010	EventNpc	2092任务检测NPC	npc\cj_101007	47	4	10		6		1		npc\clone\clone019\task2902_triggernpc.lua		
EventNpcClone019011	EventNpc	毒使通道花粉buff检测	npc\cj_101008	47	4	20				1				
EventNpcClone019012	EventNpc	火球终点检测	npc\cj_101007	47	4	4.5				1				
EventNpcClone019013	EventNpc	毒使通道标记buff增加	npc\cj_101008	47	4	15				1				
EventNpcClone019014	EventNpc	毒使通道标记buff删除	npc\cj_101009	47	4	20				1				
EventNpcClone019015	EventNpc		npc\cj_101009	47	4	20				1				
EventNpcClone019016	EventNpc	蛊使通道检测npc2	npc\cj_101009	47	4	20				1				
EventNpcClone019017	EventNpc		npc\cj_101009	47	4	20				1				
EventNpcClone019018	EventNpc	蛊使通道检测npc4	npc\cj_101009	47	4	12				1				
EventNpcClone019019	EventNpc	修罗殿检测npc停止寻路	npc\cj_101009	47	4	12				1				
EventNpcClone019020	EventNpc	火buff增加	npc\cj_101008	47	4	15				1				
EventNpcClone019021	EventNpc	火buff删除	npc\cj_101009	47	4	20				1				
EventNpcClone019022	EventNpc	冰buff增加	npc\cj_101008	47	4	15				1				
EventNpcClone019023	EventNpc	冰buff删除	npc\cj_101009	47	4	20				1				
EventNpcClone019024	EventNpc	单冲说话检测点	npc\cj_101009	47	4	4				1				
EventNpcClone019025	EventNpc	检测机关是否开启	npc\cj_101009	47	4	10		6		1		npc\clone\clone019\EventNpcClone019025.lua		522
EventNpcClone019026	EventNpc	鬼使战结束检测	npc\cj_101009	47	4	4		6		1				
EventNpcClone019027	EventNpc	尸使通道触发检测1	npc\cj_101009	47	4	16		6		1				
EventNpcClone019028	EventNpc	尸使通道触发检测2	npc\cj_101009	47	4	16		6		1				
EventNpcClone019029	EventNpc	尸使通道触发检测3	npc\cj_101009	47	4	16		6		1				
EventNpcClone019030	EventNpc	鬼使出现检测	npc\cj_101009	47	4	4				1				
EventNpcClone019031	EventNpc	灼热提示触发检测	npc\cj_101009	47	4	6				1				
EventNpcClone019034	EventNpc	寒冰提示触发检测	npc\cj_101009	47	4	6				1				
EventNpcClone019035	EventNpc	突袭士兵	npc\cj_101009	47	4	6				1				
EventNpcClone019036	EventNpc	进入分组场景	npc\cj_101009	47	4	10		6		1		npc\clone\clone019\EventNpcClone019036.lua		
EventNpcClone019037	EventNpc	出分组场景	npc\cj_101009	47	4	10		6		1		npc\clone\clone019\EventNpcClone019037.lua		
EventNpcClone019038	EventNpc	触发动画	npc\cj_101009	47	4	10		6		1		npc\clone\clone019\EventNpcClone019038.lua		
EventNpcClone019039	EventNpc	改变势力触发1	npc\cj_101009	47	4	10				1				
EventNpcClone019040	EventNpc	改变势力触发2	npc\cj_101009	47	4	10				1				
EventNpcClone019041	EventNpc	水库宝箱触发	npc\cj_101009	47	4	2				1				
EventNpcClone019042	EventNpc	恩仇传送	npc\cj_101009	47	4	2				1				
EventNpcClone019050	EventNpc	水洞	npc\cj_101009	47	4	10				1				
EventNpcClone019051	EventNpc	石柱1	npc\cj_101009	202	4	3				1				
EventNpcClone019052	EventNpc	石柱2	npc\cj_101009	202	4	1				1				
EventNpcClone019053	EventNpc	石柱3	npc\cj_101009	202	4	1				1				
EventNpcClone019054	EventNpc	石柱4	npc\cj_101009	202	4	1				1				
EventNpcClone019055	EventNpc	石柱4	npc\cj_101009	202	4	2				1				
EventNpcClone019056	EventNpc	密道计数器触发	npc\cj_101009	202	4	2				1				
														
														
														
														
TriggerNpcClone013004	EventNpc	绝情针	npc\fbmac013019f	202	4	5				1				
TriggerNpcClone013005	EventNpc	油灯毒雾	npc\fbmac013019f	202	4	5				1				
TriggerNpcClone013007	EventNpc	唐青进分组场景触发NPC	npc\fbmac013019f	202	4	20		6		1		npc\clone\clone013\TriggerNpcClone013007.lua		
TriggerNpcClone013008	EventNpc	唐青出分组场景触发NPC	npc\fbmac013019f	202	4	22		6		1		npc\clone\clone013\TriggerNpcClone013008.lua		
TriggerNpcClone013009	EventNpc	检测创建唐青触发NPC	npc\fbmac013019f	202	4	10		6		1		npc\clone\clone013\TriggerNpcClone013009.lua		
TriggerNpcClone013010	EventNpc	囚牢进分组场景触发NPC	npc\fbmac013019f	202	4	20		6		1		npc\clone\clone013\TriggerNpcClone013010.lua		
TriggerNpcClone013011	EventNpc	囚牢出分组场景触发NPC	npc\fbmac013019f	202	4	22		6		1		npc\clone\clone013\TriggerNpcClone013011.lua		
														
EventNpcClone013000	EventNpc	万毒宫进入副本触发NPC	npc\itemnpc057	202	4	10				1				
EventNpcClone013001	EventNpc	万毒宫副本唐青剧情事件触发763	npc\itemnpc057	202	4	30				1				
EventNpcClone013002	EventNpc	万毒宫副本唐蓝剧情事件触发764	npc\itemnpc057	202	4	5				1				
EventNpcClone013003	EventNpc	万毒宫副本事件触发NPC3	npc\itemnpc057	202	4	10				1				
EventNpcClone013004	EventNpc	万毒宫副本事件触发NPC4	npc\itemnpc057	202	4	10				1				
EventNpcClone013005	EventNpc	万毒宫副本事件触发NPC5	npc\itemnpc057	202	4	10				1				
EventNpcClone013006	EventNpc	万毒宫副本事件触发NPC6	npc\itemnpc057	202	4	10				1				
EventNpcClone013007	EventNpc	九折迷宫大门触发	npc\itemnpc057	202	4	20				1				
EventNpcClone013008	EventNpc	天宫宝箱怪物删除NPC	npc\itemnpc057	202	4	3				1				
														
EventNpcClone013011	EventNpc	下山调查触发npc	npc\fbmac00515	47	4	8		6		1				
EventNpcClone013012	EventNpc	唐门暗哨2触发npc	npc\fbmac00515	47	4	8		6		1				
EventNpcClone013013	EventNpc	唐门暗哨3触发npc	npc\fbmac00515	47	4	8		6		1				
EventNpcClone013025	EventNpc	弟子房提示	npc\fbmac013019f	202	4	3				1				
EventNpcClone013026	EventNpc	九折门前提示	npc\fbmac013019f	202	4	3				1				
EventNpcClone013024	EventNpc	花海提示	npc\fbmac013019f	202	4	3				1				
EventNpcClone013018	EventNpc	回廊处提示	npc\fbmac013019f	202	4	3				1				
